Date,Open,High,Low,Close,Volume,Adj Close
2017-02-02,16.620001,17.15,16.610001,16.620001,3126700,16.620001
2017-02-01,16.370001,16.950001,16.299999,16.860001,2498100,16.860001
2017-01-31,16.34,16.559999,16.049999,16.41,3915000,16.41
2017-01-30,16.09,16.15,15.75,15.96,2517100,15.96
2017-01-27,16.540001,16.65,16.34,16.389999,2733100,16.389999
2017-01-26,17.15,17.190001,16.25,16.629999,4070400,16.629999
2017-01-25,17.299999,17.379999,17.049999,17.15,4583200,17.15
2017-01-24,17.00,17.51,16.969999,17.33,6856900,17.33
2017-01-23,16.870001,16.950001,16.639999,16.790001,2563100,16.790001
2017-01-20,16.889999,17.059999,16.610001,16.90,3996800,16.90
2017-01-19,16.66,16.98,16.549999,16.889999,2541500,16.889999
2017-01-18,16.85,17.18,16.639999,16.67,3937500,16.67
2017-01-17,16.450001,16.99,16.41,16.76,2836000,16.76
2017-01-16,17.17,17.200001,16.50,16.50,1515200,16.50
2017-01-13,16.40,17.25,16.190001,17.17,3825400,17.17
2017-01-12,16.790001,17.02,16.299999,16.440001,4271300,16.440001
2017-01-11,16.139999,16.629999,15.95,16.450001,4012700,16.450001
2017-01-10,15.12,15.93,15.10,15.87,5124300,15.87
2017-01-09,14.70,14.75,14.36,14.42,1316300,14.42
2017-01-06,14.91,15.12,14.66,14.76,1769700,14.76
2017-01-05,14.60,15.24,14.41,15.03,3631600,15.03
2017-01-04,13.78,14.60,13.73,14.58,4059900,14.58
2017-01-03,13.69,13.96,13.11,13.49,3465100,13.49
2016-12-30,14.09,14.21,13.28,13.35,2630600,13.35
2016-12-29,14.09,14.11,13.76,13.88,1704000,13.88
2016-12-28,14.21,14.34,13.84,14.03,2085200,14.03
2016-12-23,14.02,14.08,13.79,13.83,1285400,13.83
2016-12-22,14.39,14.40,13.93,14.13,1972200,14.13
2016-12-21,14.50,14.59,14.13,14.40,1785000,14.40
2016-12-20,13.95,14.50,13.80,14.44,3128900,14.44
2016-12-19,13.92,14.21,13.70,13.85,3003500,13.85
2016-12-16,14.70,15.00,14.07,14.28,7639900,14.28
2016-12-15,14.36,14.93,14.23,14.85,2542100,14.85
2016-12-14,14.75,15.07,14.37,14.56,3718200,14.56
2016-12-13,15.68,15.79,14.77,14.87,4856200,14.87
2016-12-12,15.66,15.98,15.45,15.66,2420200,15.66
2016-12-09,15.79,16.10,15.56,15.59,2374200,15.59
2016-12-08,15.85,16.040001,15.44,15.84,2584700,15.84
2016-12-07,15.71,15.93,15.44,15.74,3015800,15.74
2016-12-06,15.35,15.60,15.25,15.47,2706700,15.47
2016-12-05,15.40,16.08,15.22,15.61,4355100,15.61
2016-12-02,14.68,14.94,14.45,14.76,2367500,14.76
2016-12-01,15.34,15.60,14.67,14.73,2682900,14.73
2016-11-30,15.02,15.43,14.68,15.34,5374500,15.34
2016-11-29,15.13,15.17,14.50,14.60,3497400,14.60
2016-11-28,15.89,16.01,15.52,15.74,3093700,15.74
2016-11-25,16.610001,16.68,15.78,15.85,2829100,15.85
2016-11-24,16.27,16.870001,16.209999,16.67,1753900,16.67
2016-11-23,15.35,16.139999,15.02,15.99,4834100,15.99
2016-11-22,15.11,15.79,15.11,15.73,4644500,15.73
2016-11-21,14.13,14.87,14.10,14.80,3939300,14.80
2016-11-18,14.29,14.35,13.58,13.81,4318500,13.81
2016-11-17,13.92,14.42,13.90,14.37,3891000,14.37
2016-11-16,13.70,13.98,13.48,13.85,4363300,13.85
2016-11-15,12.99,14.04,12.79,13.90,5055000,13.90
2016-11-14,14.35,14.67,13.37,13.57,6175900,13.57
2016-11-11,15.24,15.29,13.76,14.22,7131700,14.22
2016-11-10,14.95,15.74,14.83,14.97,11022400,14.97
2016-11-09,14.25,14.70,14.04,14.37,7796000,14.37
2016-11-08,12.72,14.09,12.61,13.66,6450700,13.66
2016-11-07,12.55,12.84,12.48,12.60,4016500,12.60
2016-11-04,11.94,12.55,11.76,12.10,3885100,12.10
2016-11-03,11.97,12.20,11.87,11.93,2564100,11.93
2016-11-02,12.40,12.52,11.74,11.92,3843200,11.92
2016-11-01,12.89,12.96,12.15,12.43,6217800,12.43
2016-10-31,12.41,12.83,12.28,12.74,5018200,12.74
2016-10-28,11.91,12.69,11.89,12.24,5986200,12.24
2016-10-27,12.30,12.34,11.93,12.10,3644200,12.10
2016-10-26,12.15,12.37,11.93,12.21,3723800,12.21
2016-10-25,11.99,12.53,11.97,12.15,5707800,12.15
2016-10-24,11.85,11.88,11.51,11.79,2530600,11.79
2016-10-21,11.41,11.87,11.36,11.70,3457900,11.70
2016-10-20,11.50,11.67,11.23,11.54,3676400,11.54
2016-10-19,11.60,11.63,11.31,11.62,3728500,11.62
2016-10-18,10.75,11.64,10.68,11.62,5870600,11.62
2016-10-17,10.70,10.76,10.54,10.59,2029100,10.59
2016-10-14,10.62,10.80,10.49,10.65,2445300,10.65
2016-10-13,10.30,10.64,10.05,10.61,4185400,10.61
2016-10-12,10.70,10.82,10.62,10.73,2217800,10.73
2016-10-11,10.70,10.77,10.55,10.68,2630500,10.68
2016-10-07,10.77,10.78,10.27,10.51,2884600,10.51
2016-10-06,10.52,10.78,10.44,10.56,3600300,10.56
2016-10-05,10.22,10.65,10.17,10.48,3554600,10.48
2016-10-04,10.74,10.75,10.08,10.10,3528500,10.10
2016-10-03,10.78,11.03,10.60,10.74,2669100,10.74
2016-09-30,10.92,11.04,10.70,10.86,2965600,10.86
2016-09-29,10.79,11.01,10.71,10.81,2187500,10.81
2016-09-28,10.80,10.94,10.51,10.79,2978600,10.79
2016-09-27,10.40,10.76,10.25,10.55,3477700,10.55
2016-09-26,10.78,10.92,10.63,10.68,2348500,10.68
2016-09-23,10.95,11.24,10.57,10.90,3881400,10.90
2016-09-22,10.85,11.14,10.80,11.03,4367300,11.03
2016-09-21,10.37,10.60,10.27,10.51,2904300,10.51
2016-09-20,10.65,10.65,10.21,10.24,2711500,10.24
2016-09-19,10.70,10.70,10.38,10.54,2117700,10.54
2016-09-16,10.35,10.68,10.27,10.57,5645700,10.57
2016-09-15,10.55,10.70,10.21,10.40,4889100,10.40
2016-09-14,10.29,10.75,10.27,10.42,5620500,10.42
2016-09-13,10.71,10.75,10.04,10.11,4623400,10.11
2016-09-12,10.28,10.92,10.08,10.82,4882000,10.82
2016-09-09,10.84,10.85,10.17,10.60,5156300,10.60
2016-09-08,10.55,11.13,10.48,11.05,4908000,11.05
2016-09-07,10.30,10.55,10.20,10.55,3330400,10.55
2016-09-06,10.39,10.44,10.06,10.33,3790100,10.33
2016-09-02,10.32,10.53,10.03,10.16,4279800,10.16
2016-09-01,9.99,10.29,9.82,10.05,4950500,10.05
2016-08-31,10.00,10.08,9.63,9.94,6470500,9.94
2016-08-30,10.86,10.86,9.90,10.09,4780700,10.09
2016-08-29,10.61,10.83,10.46,10.78,3915400,10.78
2016-08-26,11.08,11.37,10.66,10.76,5589500,10.76
2016-08-25,11.00,11.13,10.72,10.84,5622400,10.84
2016-08-24,11.89,11.94,10.96,11.08,6655300,11.08
2016-08-23,12.01,12.23,11.98,12.05,3548900,12.045
2016-08-22,11.66,11.97,11.50,11.94,3499300,11.935045
2016-08-19,12.10,12.11,11.88,12.04,2411400,12.035004
2016-08-18,12.15,12.34,12.09,12.17,3302500,12.16495
2016-08-17,11.93,12.10,11.81,11.95,3412700,11.945041
2016-08-16,12.06,12.15,11.92,12.10,3115600,12.094979
2016-08-15,11.75,12.00,11.73,11.99,3227200,11.985024
2016-08-12,11.85,11.87,11.59,11.67,4336100,11.665157
2016-08-11,12.09,12.16,11.91,12.05,3098900,12.045
2016-08-10,12.20,12.25,11.97,12.03,4287600,12.025008
2016-08-09,12.03,12.03,11.73,11.81,3427000,11.8051
2016-08-08,11.70,12.26,11.52,11.92,5372400,11.915054
2016-08-05,11.41,11.57,11.27,11.47,4326000,11.465241
2016-08-04,11.00,11.62,10.99,11.47,4736800,11.465241
2016-08-03,11.10,11.31,10.86,11.29,4323900,11.285315
2016-08-02,11.25,11.44,11.20,11.27,5149200,11.265324
2016-07-29,11.38,11.44,11.08,11.29,5084800,11.285315
2016-07-28,11.03,11.45,10.90,11.35,14051600,11.34529
2016-07-27,10.49,10.62,9.96,10.40,5592300,10.395684
2016-07-26,9.91,10.59,9.85,10.48,5737300,10.475651
2016-07-25,10.08,10.08,9.65,10.03,3795100,10.025838
2016-07-22,10.05,10.14,9.73,9.99,3905900,9.985854
2016-07-21,10.10,10.63,9.93,10.04,7173100,10.035834
2016-07-20,9.86,10.25,9.53,10.00,5871200,9.99585
2016-07-19,10.44,10.45,9.97,9.98,5136100,9.975858
2016-07-18,10.07,10.43,9.91,10.41,5191200,10.40568
2016-07-15,10.88,10.92,10.02,10.21,6001500,10.205763
2016-07-14,11.25,11.25,10.78,10.90,4319500,10.895476
2016-07-13,11.18,11.30,10.75,10.91,7933400,10.905473
2016-07-12,10.09,10.81,10.09,10.78,8672600,10.775526
2016-07-11,9.71,9.89,9.62,9.75,7193700,9.745954
2016-07-08,9.31,9.57,9.25,9.29,5044200,9.286145
2016-07-07,9.27,9.39,9.14,9.21,7994500,9.206178
2016-07-06,9.21,9.27,9.04,9.13,8775200,9.126211
2016-07-05,9.70,9.79,9.32,9.41,7591900,9.406095
2016-07-04,9.54,10.02,9.52,9.87,6129800,9.865904
2016-06-30,9.18,9.31,8.97,9.07,8283000,9.066236
2016-06-29,9.09,9.32,9.00,9.24,7174700,9.236165
2016-06-28,8.73,8.91,8.57,8.89,8280100,8.886311
2016-06-27,8.73,8.89,8.11,8.24,6440100,8.23658
2016-06-24,8.50,9.28,8.37,8.85,8949500,8.846328
2016-06-23,9.50,9.95,9.45,9.83,5062000,9.825921
2016-06-22,9.30,9.48,9.13,9.34,4184000,9.336124
2016-06-21,9.25,9.25,8.82,9.15,4099700,9.146203
2016-06-20,9.21,9.32,8.99,9.27,6080000,9.266154
2016-06-17,8.50,8.86,8.45,8.77,9769400,8.766361
2016-06-16,8.23,8.57,8.11,8.50,5839400,8.496473
2016-06-15,8.54,8.83,8.42,8.64,7943400,8.636415
2016-06-14,8.64,8.76,7.77,8.17,8857900,8.16661
2016-06-13,8.53,8.95,8.53,8.77,4841800,8.766361
2016-06-10,8.86,8.91,8.58,8.63,7013100,8.626419
2016-06-09,9.53,9.63,9.08,9.18,8689200,9.176191
2016-06-08,9.99,10.34,9.90,9.95,9092300,9.945871
2016-06-07,9.55,9.93,9.41,9.68,9026700,9.675983
2016-06-06,9.39,10.20,9.39,10.06,8401200,10.055826
2016-06-03,8.95,9.24,8.95,9.15,7657600,9.146203
2016-06-02,8.43,8.66,8.31,8.60,4820300,8.596432
2016-06-01,8.49,8.70,8.19,8.66,6808900,8.656406
2016-05-31,8.87,9.17,8.60,8.60,8020300,8.596432
2016-05-30,8.82,8.85,8.72,8.80,1374900,8.796348
2016-05-27,8.72,9.01,8.59,8.92,6164800,8.916299
2016-05-26,8.86,9.03,8.63,8.72,7413700,8.716382
2016-05-25,8.54,8.70,8.32,8.61,5886400,8.606427
2016-05-24,8.75,8.88,8.18,8.23,5244700,8.226584
2016-05-20,8.86,9.04,8.61,8.62,5880300,8.616423
2016-05-19,8.32,8.82,8.09,8.62,8259600,8.616423
2016-05-18,8.70,9.13,8.51,8.73,9973300,8.726377
2016-05-17,8.72,9.25,8.41,9.22,7400000,9.216174
2016-05-16,8.60,9.04,8.59,8.70,5651800,8.69639
2016-05-13,8.70,8.74,8.24,8.38,6454600,8.376523
2016-05-12,9.41,9.49,8.55,8.74,8473500,8.736373
2016-05-11,9.05,9.34,8.82,9.23,8939900,9.226169
2016-05-10,8.10,8.59,7.95,8.53,7512200,8.52646
2016-05-09,8.67,8.68,7.97,7.98,8094600,7.976689
2016-05-06,9.05,9.96,9.01,9.31,8386200,9.306137
2016-05-05,9.39,9.53,8.96,9.24,8377900,9.236165
2016-05-04,9.82,10.10,9.18,9.29,7495600,9.286145
2016-05-03,10.15,10.30,9.82,10.10,9475800,10.095809
2016-05-02,11.36,11.36,10.35,10.64,9041300,10.635585
2016-04-29,9.98,11.58,9.95,10.69,18511100,10.685564
2016-04-28,9.42,9.78,9.01,9.16,10604600,9.156199
2016-04-27,8.62,9.49,8.57,9.32,7866200,9.316132
2016-04-26,8.47,8.81,8.16,8.63,6714400,8.626419
2016-04-25,8.70,8.81,8.33,8.47,5912700,8.466485
2016-04-22,8.77,9.23,8.64,8.76,9854900,8.756365
2016-04-21,9.26,9.36,8.55,8.60,12570300,8.596432
2016-04-20,8.72,9.12,8.68,8.89,11632700,8.886311
2016-04-19,7.80,8.84,7.79,8.83,12397500,8.826336
2016-04-18,7.00,7.70,7.00,7.63,7000400,7.626834
2016-04-15,6.86,7.35,6.80,7.14,5201600,7.137037
2016-04-14,7.36,7.40,6.89,7.18,5681800,7.17702
2016-04-13,7.52,7.84,7.00,7.14,8231300,7.137037
2016-04-12,6.69,7.27,6.69,7.19,11969500,7.187016
2016-04-11,6.60,6.73,6.42,6.49,4462100,6.487307
2016-04-08,5.74,6.45,5.63,6.28,9665500,6.267398
