Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,82.989998,83.040001,82.00,82.32,515700,82.32
2017-01-25,83.07,84.400002,83.07,84.230003,444500,84.230003
2017-01-24,85.830002,86.279999,83.800003,84.580002,723400,84.580002
2017-01-23,85.970001,86.190002,84.959999,85.980003,569400,85.980003
2017-01-20,84.099998,85.559998,83.760002,85.099998,638600,85.099998
2017-01-19,82.050003,84.25,81.580002,83.919998,554500,83.919998
2017-01-18,83.989998,84.50,82.019997,82.830002,678100,82.830002
2017-01-17,84.519997,85.720001,83.989998,84.080002,498600,84.080002
2017-01-16,84.419998,84.589996,83.43,83.900002,91200,83.900002
2017-01-13,83.260002,83.980003,82.349998,83.440002,779800,83.440002
2017-01-12,82.639999,83.150002,81.629997,82.410004,707000,82.410004
2017-01-11,81.589996,82.010002,79.809998,81.620003,457700,81.620003
2017-01-10,81.75,82.360001,81.160004,81.709999,448900,81.709999
2017-01-09,83.309998,83.309998,80.82,81.269997,486600,81.269997
2017-01-06,82.50,83.550003,79.949997,81.080002,639100,81.080002
2017-01-05,82.489998,84.00,81.849998,83.660004,700800,83.660004
2017-01-04,81.93,82.18,80.389999,81.150002,491300,81.150002
2017-01-03,80.040001,81.839996,79.709999,81.769997,468700,81.769997
2016-12-30,83.010002,84.239998,80.220001,80.279999,534300,80.279999
2016-12-29,81.660004,82.970001,81.00,82.919998,524900,82.919998
2016-12-28,79.360001,81.239998,79.209999,80.660004,536500,80.660004
2016-12-23,77.360001,79.199997,77.300003,78.419998,359700,78.419998
2016-12-22,76.400002,77.32,76.00,77.269997,625400,77.269997
2016-12-21,76.50,76.709999,75.480003,76.349998,627300,76.349998
2016-12-20,74.910004,76.220001,73.260002,75.940002,1108200,75.940002
2016-12-19,75.809998,77.120003,75.32,76.730003,671500,76.730003
2016-12-16,74.150002,75.809998,73.669998,75.209999,2956000,75.209999
2016-12-15,72.040001,73.790001,71.440002,73.07,1052200,73.07
2016-12-14,76.080002,77.120003,73.300003,73.360001,1239300,73.360001
2016-12-13,74.57,75.610001,74.139999,75.419998,621900,75.419998
2016-12-12,74.449997,75.709999,73.169998,74.970001,615500,74.970001
2016-12-09,74.830002,75.459999,73.989998,74.339996,796800,74.339996
2016-12-08,75.949997,76.379997,74.769997,75.209999,888300,75.209999
2016-12-07,76.830002,77.160004,74.800003,75.25,636400,75.25
2016-12-06,76.989998,77.760002,75.720001,75.739998,590900,75.739998
2016-12-05,76.32,76.660004,74.709999,76.510002,730700,76.218003
2016-12-02,77.650002,78.650002,77.220001,77.50,782400,77.204222
2016-12-01,77.830002,77.830002,76.050003,77.050003,879800,76.755943
2016-11-30,78.919998,79.00,77.330002,78.029999,910100,77.732198
2016-11-29,78.370003,80.099998,78.160004,79.550003,533000,79.246402
2016-11-28,76.959999,79.75,75.980003,79.550003,646600,79.246402
2016-11-25,76.830002,77.199997,75.93,76.720001,341700,76.4272
2016-11-24,76.010002,76.629997,76.00,76.25,75800,75.958993
2016-11-23,75.370003,76.919998,73.879997,76.870003,901100,76.57663
2016-11-22,78.18,78.870003,77.18,78.099998,484700,77.801931
2016-11-21,78.440002,79.199997,77.489998,78.199997,465300,77.901548
2016-11-18,77.709999,78.169998,76.449997,77.699997,644900,77.403456
2016-11-17,80.519997,82.040001,77.989998,78.650002,901200,78.349835
2016-11-16,78.75,80.230003,78.019997,80.160004,865000,79.854074
2016-11-15,76.00,78.93,75.139999,78.639999,1261500,78.339871
2016-11-14,76.620003,78.059998,73.160004,75.669998,1825100,75.381205
2016-11-11,84.010002,84.68,77.360001,77.559998,1673800,77.263991
2016-11-10,89.790001,89.790001,82.970001,83.93,1005100,83.609683
2016-11-09,91.00,91.349998,87.330002,89.739998,717500,89.397506
2016-11-08,87.610001,89.610001,85.889999,86.760002,406200,86.428884
2016-11-07,88.00,88.540001,86.629997,87.209999,416400,86.877163
2016-11-04,91.660004,91.82,89.269997,90.300003,438100,89.955374
2016-11-03,89.169998,91.32,88.389999,91.290001,828000,90.941594
2016-11-02,91.540001,92.839996,88.849998,89.339996,705200,88.999032
2016-11-01,88.93,91.25,88.43,90.129997,691300,89.786017
2016-10-31,86.190002,87.879997,85.360001,87.790001,371800,87.454952
2016-10-28,84.790001,87.110001,84.330002,85.980003,505400,85.651862
2016-10-27,85.75,85.779999,84.099998,84.900002,489100,84.575982
2016-10-26,86.620003,87.419998,84.220001,85.059998,530700,84.735367
2016-10-25,86.00,87.199997,85.589996,86.650002,515900,86.319303
2016-10-24,87.440002,88.330002,84.949997,85.709999,479200,85.382888
2016-10-21,88.059998,88.739998,87.379997,87.989998,268100,87.654185
2016-10-20,87.589996,88.160004,86.669998,87.830002,642200,87.4948
2016-10-19,87.519997,87.779999,85.540001,86.769997,548200,86.43884
2016-10-18,85.309998,86.800003,83.699997,86.620003,725300,86.289419
2016-10-17,83.57,85.190002,83.57,84.860001,340900,84.536134
2016-10-14,84.870003,85.889999,82.720001,83.269997,426400,82.952198
2016-10-13,83.849998,87.239998,83.330002,85.410004,596400,85.084038
2016-10-12,82.480003,84.949997,82.480003,84.389999,518700,84.067926
