Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,13.24,13.30,13.01,13.11,389500,13.11
2017-02-09,12.69,13.14,12.69,13.10,477700,13.10
2017-02-08,12.48,12.59,12.22,12.56,339300,12.56
2017-02-07,12.55,12.64,12.40,12.57,201200,12.57
2017-02-06,12.90,12.93,12.55,12.60,154400,12.60
2017-02-03,13.05,13.14,12.88,12.93,256000,12.93
2017-02-02,12.93,13.05,12.86,13.02,116800,13.02
2017-02-01,12.92,13.05,12.77,12.93,255100,12.93
2017-01-31,12.90,12.97,12.74,12.92,96800,12.92
2017-01-30,13.28,13.39,12.84,12.91,246400,12.91
2017-01-27,13.54,13.54,13.18,13.36,550700,13.36
2017-01-26,13.71,13.74,13.47,13.57,248000,13.53
2017-01-25,13.52,13.70,13.40,13.68,244400,13.639676
2017-01-24,13.26,13.56,13.20,13.47,1177000,13.430295
2017-01-23,13.64,13.65,13.14,13.18,202700,13.14115
2017-01-20,13.75,13.77,13.62,13.71,207200,13.669587
2017-01-19,13.60,13.70,13.53,13.63,142000,13.589823
2017-01-18,13.70,13.70,13.51,13.57,442900,13.53
2017-01-17,13.59,13.79,13.52,13.71,200300,13.669587
2017-01-16,13.90,13.90,13.39,13.47,146200,13.430295
2017-01-13,13.50,13.85,13.40,13.81,271400,13.769293
2017-01-12,13.37,13.52,13.27,13.50,280200,13.460206
2017-01-11,13.39,13.39,13.20,13.28,232900,13.240854
2017-01-10,13.42,13.44,13.26,13.29,161700,13.250825
2017-01-09,13.71,13.71,13.33,13.37,177300,13.330589
2017-01-06,13.85,13.90,13.57,13.78,130000,13.739381
2017-01-05,14.02,14.06,13.70,13.78,113900,13.739381
2017-01-04,14.09,14.11,13.88,13.91,139700,13.868998
2017-01-03,14.33,14.38,13.98,14.12,166800,14.078379
2016-12-30,13.88,14.38,13.88,14.17,161400,14.128231
2016-12-29,13.83,13.99,13.83,13.94,102300,13.898909
2016-12-28,13.84,14.01,13.79,13.88,79100,13.839086
2016-12-23,13.85,13.91,13.62,13.77,79200,13.689529
2016-12-22,13.99,14.12,13.80,13.87,270300,13.788944
2016-12-21,14.04,14.18,13.90,13.95,181200,13.868476
2016-12-20,14.22,14.22,13.90,13.90,173400,13.818768
2016-12-19,14.10,14.29,14.01,14.12,167500,14.037483
2016-12-16,14.24,14.30,13.98,14.14,292900,14.057366
2016-12-15,14.00,14.31,13.95,14.27,532000,14.186607
2016-12-14,14.48,14.56,14.08,14.10,399400,14.0176
2016-12-13,14.51,14.78,14.38,14.61,352800,14.524619
2016-12-12,14.80,15.16,14.40,14.44,746300,14.355612
2016-12-09,14.35,14.56,14.27,14.49,280800,14.40532
2016-12-08,14.09,14.37,14.04,14.33,267100,14.246255
2016-12-07,13.99,14.10,13.94,14.06,272000,13.977834
2016-12-06,13.82,14.00,13.77,13.99,268800,13.908242
2016-12-05,13.96,14.01,13.87,13.99,294600,13.908242
2016-12-02,13.65,13.82,13.57,13.80,339200,13.719353
2016-12-01,13.50,14.03,13.47,13.66,407200,13.580171
2016-11-30,12.48,13.47,12.48,13.34,845500,13.262041
2016-11-29,11.98,11.99,11.68,11.78,157300,11.711157
2016-11-28,12.37,12.37,12.11,12.15,156200,12.078995
2016-11-25,12.55,12.55,12.32,12.32,303300,12.208236
2016-11-24,12.56,12.63,12.50,12.57,125600,12.455968
2016-11-23,12.40,12.64,12.40,12.60,107800,12.485696
2016-11-22,12.48,12.74,12.30,12.52,145300,12.406422
2016-11-21,12.42,12.71,12.31,12.53,203300,12.41633
2016-11-18,12.19,12.34,12.12,12.19,95400,12.079415
2016-11-17,12.37,12.47,12.15,12.16,194100,12.049687
2016-11-16,12.33,12.48,12.21,12.30,186700,12.188417
2016-11-15,11.80,12.44,11.80,12.42,164800,12.307329
2016-11-14,12.00,12.07,11.80,12.01,194600,11.901048
2016-11-11,12.17,12.18,11.95,12.09,368700,11.980322
2016-11-10,12.18,12.48,12.18,12.25,194600,12.138871
2016-11-09,12.26,12.40,12.16,12.22,536600,12.109143
2016-11-08,12.30,12.39,12.15,12.29,203400,12.178508
2016-11-07,12.31,12.39,12.13,12.35,191900,12.237964
2016-11-04,12.45,12.45,12.01,12.09,311100,11.980322
2016-11-03,12.81,12.82,12.42,12.52,151100,12.406422
2016-11-02,12.85,12.87,12.23,12.79,443700,12.673972
2016-11-01,12.73,13.01,12.68,13.00,144200,12.882067
2016-10-31,12.83,12.86,12.56,12.60,208400,12.485696
2016-10-28,13.10,13.19,12.83,12.88,156700,12.763156
2016-10-27,13.11,13.31,13.09,13.12,118600,13.000978
2016-10-26,13.06,13.33,13.01,13.07,197700,12.911795
2016-10-25,13.00,13.30,13.00,13.16,210800,13.000705
2016-10-24,13.26,13.46,13.07,13.10,258000,12.941432
2016-10-21,13.23,13.28,13.13,13.23,117500,13.069858
2016-10-20,12.99,13.33,12.99,13.29,159800,13.129132
2016-10-19,12.93,13.21,12.93,13.14,384500,12.980948
2016-10-18,13.05,13.13,12.84,12.86,126300,12.704336
2016-10-17,13.09,13.09,12.77,12.95,150700,12.793247
2016-10-14,13.21,13.21,13.03,13.12,102800,12.961189
2016-10-13,12.99,13.18,12.80,13.15,195600,12.990826
2016-10-12,13.25,13.28,13.03,13.05,196200,12.892037
2016-10-11,13.27,13.30,13.09,13.27,301800,13.109374
2016-10-07,13.36,13.36,13.05,13.08,157600,12.921674
2016-10-06,13.21,13.37,13.08,13.27,289500,13.109374
2016-10-05,12.99,13.19,12.90,13.14,410600,12.980948
2016-10-04,13.00,13.05,12.73,12.78,289600,12.625305
2016-10-03,12.71,13.08,12.55,12.96,313500,12.803126
2016-09-30,12.82,12.89,12.62,12.65,483400,12.496878
2016-09-29,12.83,13.09,12.71,12.85,409500,12.694458
2016-09-28,11.85,12.83,11.85,12.81,1435700,12.654942
2016-09-27,11.70,11.82,11.68,11.81,1114800,11.627531
2016-09-26,11.80,11.99,11.70,11.81,416600,11.627531
2016-09-23,11.68,11.78,11.67,11.76,294000,11.578303
2016-09-22,11.53,11.74,11.53,11.71,701700,11.529076
2016-09-21,11.27,11.46,11.20,11.40,232300,11.223865
2016-09-20,11.08,11.37,11.07,11.20,431200,11.026955
2016-09-19,11.14,11.20,11.02,11.10,269700,10.928501
2016-09-16,10.99,11.17,10.95,10.97,358900,10.800509
2016-09-15,11.05,11.11,10.99,11.04,346200,10.869427
2016-09-14,11.17,11.20,10.96,11.00,426700,10.830045
2016-09-13,11.29,11.31,11.10,11.22,231100,11.046647
2016-09-12,11.29,11.45,11.25,11.40,269300,11.223865
2016-09-09,11.75,11.91,11.50,11.51,344700,11.332166
2016-09-08,11.50,11.95,11.42,11.84,473000,11.657067
2016-09-07,11.51,11.58,11.33,11.41,139000,11.233711
2016-09-06,11.52,11.59,11.42,11.48,142600,11.302629
2016-09-02,11.37,11.65,11.37,11.51,186000,11.332166
2016-09-01,11.20,11.45,11.14,11.34,190500,11.164792
