Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,64.699997,65.25,64.57,65.029999,39300,65.029999
2017-01-17,65.25,65.25,64.309998,64.43,34900,64.43
2017-01-16,66.809998,66.900002,65.160004,65.610001,5500,65.610001
2017-01-13,65.010002,65.650002,64.699997,65.629997,38600,65.629997
2017-01-12,64.419998,65.00,64.419998,64.93,29000,64.93
2017-01-11,64.18,65.160004,64.18,65.00,44900,65.00
2017-01-10,63.91,64.290001,63.82,64.290001,38000,64.290001
2017-01-09,63.650002,63.91,63.509998,63.91,42400,63.91
2017-01-06,63.470001,63.84,63.27,63.689999,27500,63.689999
2017-01-05,63.970001,63.970001,63.00,63.369999,39200,63.369999
2017-01-04,63.419998,64.18,63.00,63.720001,37500,63.720001
2017-01-03,64.099998,64.379997,63.360001,63.77,28200,63.77
2016-12-30,64.199997,64.269997,63.599998,63.740002,28600,63.740002
2016-12-29,64.040001,64.510002,64.019997,64.50,15300,64.50
2016-12-28,63.619999,64.209999,63.619999,64.040001,27300,64.040001
2016-12-23,62.73,63.82,62.580002,63.610001,26600,63.461
2016-12-22,62.900002,62.900002,61.965,62.470001,22600,62.323671
2016-12-21,62.75,62.889999,62.200001,62.290001,22200,62.144093
2016-12-20,62.310001,62.59,62.060001,62.380001,34800,62.233882
2016-12-19,62.18,62.540001,61.98,62.43,32200,62.283764
2016-12-16,61.52,62.400002,61.48,61.91,66800,61.764982
2016-12-15,62.209999,62.490002,61.349998,61.439999,36300,61.296081
2016-12-14,61.68,62.50,61.50,62.240002,108600,62.094211
2016-12-13,62.049999,62.50,61.57,61.860001,44500,61.7151
2016-12-12,60.98,63.209999,60.98,61.799999,164500,61.655239
2016-12-09,59.540001,59.900002,59.16,59.73,47800,59.590088
2016-12-08,58.990002,59.439999,58.439999,59.299999,53000,59.161095
2016-12-07,59.02,59.02,58.360001,58.790001,51800,58.652291
2016-12-06,58.509998,59.060001,58.200001,58.849998,44900,58.712148
2016-12-05,58.139999,58.470001,58.00,58.419998,39600,58.283155
2016-12-02,58.299999,59.139999,57.880001,58.049999,72800,57.914023
2016-12-01,58.50,58.52,57.810001,58.389999,97900,58.253226
2016-11-30,58.48,58.57,57.810001,58.330002,128300,58.193369
2016-11-29,57.200001,58.450001,57.169998,58.32,65000,58.183391
2016-11-28,54.900002,57.209999,54.900002,57.09,73900,56.956272
2016-11-25,55.09,55.73,54.810001,55.099998,38500,54.970932
2016-11-24,55.189999,55.23,54.799999,54.810001,10000,54.681614
2016-11-23,54.59,55.599998,54.43,55.259998,53700,55.130557
2016-11-22,54.200001,54.799999,53.82,54.610001,87200,54.482082
2016-11-21,55.25,55.450001,53.900002,54.200001,81500,54.073043
2016-11-18,55.490002,55.849998,55.200001,55.240002,38300,55.110607
2016-11-17,54.490002,55.610001,54.490002,55.490002,50800,55.360022
2016-11-16,55.470001,55.48,53.900002,54.57,75300,54.442175
2016-11-15,55.549999,56.34,55.450001,55.48,73400,55.350043
2016-11-14,55.299999,55.900002,55.18,55.549999,43100,55.419879
2016-11-11,55.029999,55.75,55.029999,55.59,110300,55.459786
2016-11-10,55.029999,55.310001,54.669998,55.029999,63800,54.901096
2016-11-09,54.810001,55.560001,54.169998,55.32,67000,55.190418
2016-11-08,55.00,55.00,54.630001,54.810001,39300,54.681614
2016-11-07,54.720001,54.830002,54.169998,54.599998,43900,54.472103
2016-11-04,53.810001,55.00,53.650002,53.950001,50800,53.823628
2016-11-03,52.700001,54.959999,52.549999,54.049999,125200,53.923392
2016-11-02,52.799999,53.119999,52.279999,52.689999,170700,52.566577
2016-11-01,53.59,54.650002,52.869999,52.959999,112900,52.835945
2016-10-31,54.490002,54.990002,54.209999,54.349998,59500,54.222689
2016-10-28,56.049999,56.130001,54.75,54.950001,95800,54.821286
2016-10-27,56.599998,57.259998,56.040001,56.32,62500,56.188076
2016-10-26,59.50,60.009998,56.459999,56.650002,124400,56.517304
2016-10-25,59.599998,60.380001,58.66,59.560001,37400,59.420488
2016-10-24,59.599998,60.130001,59.389999,59.900002,13900,59.759692
2016-10-21,59.50,59.830002,59.200001,59.580002,33100,59.440441
2016-10-20,59.02,59.669998,59.02,59.50,40800,59.360627
2016-10-19,59.91,60.00,59.200001,59.57,29400,59.430463
2016-10-18,59.310001,60.18,59.310001,59.959999,37600,59.819549
2016-10-17,58.040001,59.389999,58.040001,59.279999,30600,59.141141
2016-10-14,58.25,58.84,58.25,58.439999,54500,58.303109
2016-10-13,58.189999,58.610001,57.990002,58.380001,60700,58.243252
2016-10-12,58.610001,58.959999,58.02,58.59,36400,58.452759
2016-10-11,59.200001,60.240002,58.220001,58.75,26900,58.612384
2016-10-07,60.689999,60.689999,58.98,59.400002,27800,59.260863
2016-10-06,60.07,60.07,59.330002,59.950001,29900,59.809574
2016-10-05,60.200001,60.200001,59.25,59.77,31100,59.629995
2016-10-04,58.00,60.150002,57.060001,59.630001,54800,59.490324
2016-10-03,61.00,61.00,58.93,59.02,39200,58.881752
2016-09-30,60.740002,61.439999,59.939999,61.02,39100,60.877067
2016-09-29,61.75,61.82,59.759998,60.599998,42800,60.458049
2016-09-28,61.529999,62.200001,61.529999,62.00,20600,61.854771
2016-09-27,63.040001,63.040001,61.73,61.740002,23900,61.450721
2016-09-26,63.50,63.59,63.049999,63.380001,19500,63.083037
2016-09-23,64.059998,64.25,63.57,63.84,13700,63.54088
2016-09-22,64.059998,64.599998,63.639999,64.300003,36900,63.998728
2016-09-21,63.709999,64.389999,63.709999,63.939999,35100,63.64041
2016-09-20,60.990002,64.330002,60.990002,63.709999,68900,63.411488
2016-09-19,59.759998,61.040001,59.73,60.689999,40100,60.405638
2016-09-16,61.220001,61.66,59.59,60.18,111600,59.898029
2016-09-15,62.380001,62.529999,60.799999,61.220001,20200,60.933157
2016-09-14,61.43,62.259998,60.889999,61.139999,16500,60.85353
2016-09-13,61.970001,61.970001,60.84,61.43,25500,61.142172
2016-09-12,60.119999,61.799999,60.119999,61.34,39200,61.052594
2016-09-09,63.200001,63.200001,60.650002,60.93,24400,60.644515
2016-09-08,62.599998,63.200001,62.50,63.200001,52200,62.90388
2016-09-07,63.169998,63.709999,62.389999,62.599998,15600,62.306689
2016-09-06,63.68,63.68,62.580002,63.169998,29700,62.874018
2016-09-02,63.700001,63.799999,63.240002,63.799999,23500,63.501067
2016-09-01,63.75,63.75,62.279999,63.27,37900,62.973551
2016-08-31,62.57,63.360001,62.150002,62.959999,35900,62.665002
2016-08-30,63.810001,63.810001,62.50,62.57,34300,62.27683
2016-08-29,63.790001,64.00,63.490002,63.75,22500,63.451302
2016-08-26,63.799999,64.139999,63.380001,64.080002,28900,63.779757
2016-08-25,63.950001,64.269997,63.700001,64.00,26400,63.70013
2016-08-24,64.900002,64.900002,63.639999,63.860001,14900,63.560787
2016-08-23,64.370003,64.370003,63.759998,64.150002,40500,63.849429
2016-08-22,63.599998,64.620003,63.599998,64.00,43600,63.70013
2016-08-19,65.040001,65.849998,63.619999,63.900002,56300,63.600601
2016-08-18,65.790001,65.790001,65.089996,65.410004,34200,65.103528
2016-08-17,66.169998,66.169998,65.529999,65.760002,16300,65.451886
2016-08-16,66.32,66.800003,65.919998,66.150002,18700,65.840058
2016-08-15,66.519997,67.400002,66.389999,66.400002,22600,66.088887
