Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,26.030001,26.51,25.879999,26.120001,784100,26.120001
2017-02-09,25.68,26.139999,25.65,25.98,414100,25.98
2017-02-08,25.790001,25.91,25.58,25.709999,413600,25.709999
2017-02-07,25.92,26.209999,25.790001,25.860001,412300,25.860001
2017-02-06,26.17,26.209999,25.780001,25.99,266500,25.99
2017-02-03,26.48,26.48,26.129999,26.35,415800,26.35
2017-02-02,26.190001,26.74,26.10,26.450001,343900,26.450001
2017-02-01,26.440001,26.440001,25.91,26.200001,686300,26.200001
2017-01-31,26.25,26.440001,26.08,26.34,595000,26.34
2017-01-30,26.75,26.83,26.209999,26.299999,416300,26.299999
2017-01-27,27.07,27.299999,26.690001,26.74,605500,26.74
2017-01-26,27.10,27.33,26.75,26.889999,251000,26.889999
2017-01-25,26.77,27.25,26.690001,27.219999,378600,27.219999
2017-01-24,26.280001,26.969999,26.17,26.879999,276200,26.879999
2017-01-23,26.51,26.65,25.98,26.15,172400,26.15
2017-01-20,26.559999,26.84,26.559999,26.620001,152600,26.620001
2017-01-19,26.940001,27.00,26.48,26.540001,146700,26.540001
2017-01-18,26.40,27.120001,26.209999,26.959999,548000,26.959999
2017-01-17,26.00,26.450001,25.90,25.93,227100,25.93
2017-01-16,26.139999,26.33,25.940001,26.030001,77300,26.030001
2017-01-13,25.639999,26.309999,25.639999,26.09,281700,26.09
2017-01-12,26.00,26.10,25.51,25.68,291600,25.68
2017-01-11,26.00,26.07,25.85,25.969999,141700,25.969999
2017-01-10,25.799999,26.040001,25.719999,25.950001,305800,25.950001
2017-01-09,26.15,26.15,25.60,25.780001,163800,25.780001
2017-01-06,26.17,26.379999,25.940001,26.18,130800,26.18
2017-01-05,26.809999,26.809999,26.139999,26.18,211000,26.18
2017-01-04,26.620001,27.129999,26.559999,26.879999,249500,26.879999
2017-01-03,26.32,26.799999,26.32,26.549999,249300,26.549999
2016-12-30,26.17,26.52,26.07,26.290001,264100,26.290001
2016-12-29,26.18,26.18,25.799999,26.16,150000,26.16
2016-12-28,26.290001,26.48,26.040001,26.15,171200,26.15
2016-12-23,26.440001,26.440001,26.129999,26.26,61100,26.26
2016-12-22,26.469999,26.530001,26.280001,26.48,135100,26.48
