Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1.05,1.06,1.01,1.06,21800,1.06
2017-02-08,1.01,1.01,1.00,1.00,2700,1.00
2017-02-07,1.03,1.06,1.03,1.06,3800,1.06
2017-02-06,1.05,1.05,1.01,1.01,2100,1.01
2017-02-03,1.00,1.06,1.00,1.06,17500,1.06
2017-02-02,1.02,1.02,1.01,1.01,1400,1.01
2017-02-01,1.02,1.02,1.02,1.02,8000,1.02
2017-01-31,1.00,1.02,1.00,1.02,7900,1.02
2017-01-30,1.00,1.00,1.00,1.00,3900,1.00
2017-01-27,1.01,1.04,1.00,1.04,7200,1.04
2017-01-26,1.01,1.07,1.01,1.07,5200,1.07
2017-01-25,1.02,1.02,1.02,1.02,1500,1.02
2017-01-24,0.94,0.98,0.94,0.98,14300,0.98
2017-01-23,1.06,1.06,0.96,0.96,6300,0.96
2017-01-20,1.00,1.00,1.00,1.00,1500,1.00
2017-01-19,1.01,1.01,1.00,1.00,22800,1.00
2017-01-18,1.02,1.04,1.00,1.04,18700,1.04
2017-01-17,1.04,1.07,1.02,1.02,29200,1.02
2017-01-16,1.07,1.07,1.03,1.03,3400,1.03
2017-01-13,1.09,1.13,1.09,1.13,5900,1.13
2017-01-12,1.14,1.14,1.04,1.04,4500,1.04
2017-01-11,1.13,1.13,1.13,1.13,2000,1.13
2017-01-10,1.00,1.10,1.00,1.10,4600,1.10
2017-01-09,1.00,1.00,1.00,1.00,400,1.00
2017-01-06,1.05,1.05,0.99,1.00,62100,1.00
2017-01-05,1.12,1.12,1.06,1.06,7000,1.06
2017-01-04,1.17,1.18,1.11,1.12,14900,1.12
2017-01-03,1.14,1.17,1.12,1.17,12900,1.17
2016-12-30,1.14,1.18,1.05,1.17,21600,1.17
2016-12-29,1.08,1.18,1.00,1.18,8800,1.18
2016-12-28,1.20,1.20,1.12,1.12,9100,1.12
2016-12-23,0.98,1.20,0.98,1.20,83700,1.20
2016-12-22,1.00,1.03,0.84,0.94,129800,0.94
2016-12-21,1.25,1.25,0.98,1.04,25100,1.04
2016-12-20,1.26,1.29,1.26,1.28,10600,1.28
2016-12-19,1.31,1.31,1.19,1.30,63100,1.30
2016-12-16,1.26,1.48,1.25,1.29,222100,1.29
2016-12-15,1.01,1.25,1.01,1.25,216300,1.25
2016-12-14,1.02,1.03,0.96,1.00,59200,1.00
2016-12-13,0.92,0.96,0.90,0.95,93200,0.95
2016-12-12,0.80,1.00,0.80,0.85,63800,0.85
2016-12-09,0.72,0.80,0.72,0.80,15500,0.80
2016-12-08,0.60,0.70,0.60,0.68,27300,0.68
2016-12-07,0.56,0.59,0.56,0.59,6000,0.59
