Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,8.91,8.97,8.47,8.60,614000,8.60
2017-01-17,8.66,9.04,8.66,8.91,869200,8.91
2017-01-16,8.65,8.65,8.45,8.51,66900,8.51
2017-01-13,8.26,8.56,8.11,8.51,430400,8.51
2017-01-12,8.65,8.82,8.18,8.31,690600,8.31
2017-01-11,8.45,8.62,8.20,8.50,826800,8.50
2017-01-10,8.60,8.83,8.47,8.63,756000,8.63
2017-01-09,8.56,8.84,8.37,8.50,1253800,8.50
2017-01-06,8.65,8.89,8.10,8.32,898800,8.32
2017-01-05,8.39,8.94,8.39,8.88,1217900,8.88
2017-01-04,8.35,8.37,8.03,8.17,707900,8.17
2017-01-03,7.70,8.22,7.61,8.20,656500,8.20
2016-12-30,8.33,8.45,7.57,7.59,719200,7.59
2016-12-29,7.66,8.31,7.54,8.27,807200,8.27
2016-12-28,7.24,7.62,7.21,7.56,781600,7.56
2016-12-23,6.79,6.98,6.79,6.88,310500,6.88
2016-12-22,6.87,7.02,6.75,6.78,424600,6.78
2016-12-21,7.05,7.07,6.85,6.88,472800,6.88
2016-12-20,7.00,7.03,6.80,7.01,666300,7.01
2016-12-19,6.96,7.32,6.90,7.14,609700,7.14
2016-12-16,7.11,7.37,6.92,6.98,5765200,6.98
2016-12-15,7.19,7.32,6.99,7.06,1189000,7.06
2016-12-14,7.99,8.21,7.42,7.47,822500,7.47
2016-12-13,7.65,8.03,7.63,7.87,541800,7.87
2016-12-12,7.60,7.87,7.48,7.64,693600,7.64
2016-12-09,8.04,8.04,7.43,7.46,766600,7.46
2016-12-08,8.28,8.40,8.01,8.12,468600,8.12
2016-12-07,8.63,8.77,8.21,8.31,759800,8.31
2016-12-06,8.77,8.90,8.32,8.42,531600,8.42
2016-12-05,8.55,8.90,8.31,8.74,606600,8.74
2016-12-02,8.17,8.69,8.17,8.67,769400,8.67
2016-12-01,8.10,8.40,7.77,8.12,703100,8.12
2016-11-30,8.35,8.35,8.12,8.12,1616500,8.12
2016-11-29,8.10,8.44,8.08,8.36,455600,8.36
2016-11-28,8.23,8.39,8.11,8.34,309400,8.34
2016-11-25,8.13,8.26,8.08,8.13,379800,8.13
2016-11-24,8.25,8.25,8.10,8.14,88100,8.14
2016-11-23,8.25,8.36,8.04,8.22,695000,8.22
2016-11-22,8.36,8.70,8.10,8.66,601400,8.66
2016-11-21,8.33,8.48,8.19,8.30,660300,8.30
2016-11-18,8.33,8.48,8.01,8.27,510100,8.27
2016-11-17,8.81,9.01,8.27,8.40,846200,8.40
2016-11-16,8.92,8.98,8.53,8.75,527200,8.75
2016-11-15,8.38,9.08,8.16,9.05,738700,9.05
2016-11-14,7.85,8.72,7.75,8.41,1063000,8.41
2016-11-11,9.34,9.35,7.93,8.01,1251800,8.01
2016-11-10,9.75,9.77,9.09,9.30,926600,9.30
2016-11-09,9.80,10.32,9.29,9.64,1223000,9.64
2016-11-08,9.21,9.54,8.86,9.04,938500,9.04
2016-11-07,9.20,9.35,8.95,9.24,412700,9.24
2016-11-04,9.98,9.99,9.18,9.50,1298600,9.50
2016-11-03,9.55,9.96,9.55,9.88,529400,9.88
2016-11-02,10.00,10.32,9.65,9.72,1215300,9.72
2016-11-01,9.43,9.87,9.33,9.75,630200,9.75
2016-10-31,8.88,9.20,8.71,9.17,622000,9.17
2016-10-28,8.94,9.13,8.63,8.86,535000,8.86
2016-10-27,9.21,9.24,8.82,8.90,622500,8.90
2016-10-26,9.29,9.39,9.01,9.13,456200,9.13
2016-10-25,9.14,9.42,8.95,9.33,533700,9.33
2016-10-24,9.55,9.55,8.92,9.12,652900,9.12
2016-10-21,8.90,9.06,8.86,9.04,430700,9.04
2016-10-20,9.20,9.24,8.89,8.93,441800,8.93
2016-10-19,9.02,9.20,8.83,9.20,498300,9.20
2016-10-18,8.61,8.96,8.47,8.84,653300,8.84
2016-10-17,8.29,8.47,8.27,8.45,378900,8.45
2016-10-14,8.59,8.62,8.18,8.26,902500,8.26
2016-10-13,8.45,8.96,8.44,8.73,661600,8.73
2016-10-12,8.20,8.46,8.19,8.45,472200,8.45
2016-10-11,8.35,8.45,8.16,8.20,287900,8.20
2016-10-07,8.38,8.57,8.11,8.35,709200,8.35
2016-10-06,8.05,8.31,7.94,8.10,846300,8.10
2016-10-05,8.40,8.52,7.93,8.39,900600,8.39
2016-10-04,8.99,9.00,8.14,8.24,1005200,8.24
2016-10-03,9.48,9.65,9.24,9.34,348900,9.34
2016-09-30,9.87,10.12,9.50,9.51,490600,9.51
2016-09-29,9.43,9.74,9.28,9.66,486700,9.66
2016-09-28,9.40,9.68,9.19,9.53,588000,9.53
2016-09-27,9.36,9.52,9.17,9.38,977600,9.38
2016-09-26,9.86,9.97,9.56,9.58,360300,9.58
2016-09-23,10.11,10.24,9.69,9.79,491300,9.79
2016-09-22,10.66,10.67,9.96,10.13,551800,10.13
2016-09-21,10.17,10.52,10.00,10.48,852400,10.48
2016-09-20,9.78,9.97,9.61,9.95,522900,9.95
2016-09-19,9.90,9.98,9.63,9.73,649400,9.73
2016-09-16,9.92,10.06,9.59,9.74,1846200,9.74
2016-09-15,10.03,10.39,9.74,10.10,586600,10.10
2016-09-14,10.30,10.49,9.95,10.05,932400,10.05
2016-09-13,10.66,10.86,10.05,10.19,664200,10.19
2016-09-12,10.21,10.90,10.13,10.84,1079500,10.84
2016-09-09,11.32,11.46,10.26,10.48,898500,10.48
2016-09-08,11.62,11.71,11.34,11.55,545200,11.55
2016-09-07,11.53,11.71,11.08,11.67,701300,11.67
2016-09-06,11.03,11.59,11.01,11.54,916500,11.54
2016-09-02,10.61,10.90,10.29,10.83,739300,10.83
2016-09-01,9.60,10.32,9.55,10.24,765600,10.24
2016-08-31,9.89,10.04,9.68,9.79,943900,9.79
2016-08-30,10.56,10.81,9.83,10.03,616200,10.03
2016-08-29,10.33,10.83,10.26,10.67,496300,10.67
2016-08-26,10.47,10.85,10.13,10.42,996700,10.42
2016-08-25,9.80,10.56,9.38,10.17,954500,10.17
2016-08-24,11.42,11.42,9.76,9.86,1120600,9.86
2016-08-23,11.68,11.84,11.49,11.58,657200,11.58
2016-08-22,11.49,11.65,11.22,11.62,621900,11.62
2016-08-19,11.87,11.98,11.62,11.80,493200,11.80
2016-08-18,11.74,12.19,11.68,12.14,552700,12.14
2016-08-17,11.86,11.94,11.57,11.82,845200,11.82
2016-08-16,11.96,12.08,11.80,12.01,530200,12.01
2016-08-15,11.79,12.14,11.76,11.93,458200,11.93
2016-08-12,12.13,12.17,11.64,11.74,405300,11.74
2016-08-11,11.93,12.45,11.82,11.90,536100,11.90
2016-08-10,12.12,12.24,11.69,11.91,678700,11.91
2016-08-09,12.42,12.45,11.88,11.95,866800,11.95
2016-08-08,12.15,12.44,12.05,12.28,1745200,12.28
2016-08-05,11.45,11.67,11.44,11.56,517000,11.56
2016-08-04,11.94,11.95,11.69,11.80,629100,11.80
2016-08-03,12.00,12.04,11.43,11.89,1173900,11.89
2016-08-02,12.18,12.73,11.90,12.01,831600,12.01
2016-07-29,11.31,11.55,11.20,11.38,609000,11.38
2016-07-28,11.50,11.52,11.00,11.29,394000,11.29
2016-07-27,10.74,11.49,10.70,11.35,661800,11.35
2016-07-26,10.15,10.69,10.15,10.57,497700,10.57
2016-07-25,10.45,10.51,10.02,10.18,464300,10.18
2016-07-22,10.47,10.73,10.38,10.60,273400,10.60
2016-07-21,10.25,10.68,10.18,10.67,493500,10.67
2016-07-20,10.66,10.68,10.07,10.18,602300,10.18
2016-07-19,11.03,11.16,10.91,10.99,281200,10.99
2016-07-18,11.11,11.29,10.85,11.07,313000,11.07
2016-07-15,11.10,11.35,11.07,11.15,451300,11.15
2016-07-14,10.99,11.34,10.90,11.32,525700,11.32
2016-07-13,11.36,11.59,10.93,11.42,656700,11.42
2016-07-12,11.65,11.77,10.92,11.08,790000,11.08
2016-07-11,11.40,11.72,11.18,11.62,1091300,11.62
2016-07-08,10.51,11.47,10.43,11.30,887200,11.30
2016-07-07,10.59,10.83,10.19,10.48,1203200,10.48
2016-07-06,10.21,10.62,10.08,10.59,1573800,10.59
2016-07-05,10.00,10.13,9.73,10.08,883900,10.08
2016-07-04,9.93,10.14,9.71,10.00,686700,10.00
2016-06-30,9.04,9.10,8.85,9.03,697800,9.03
2016-06-29,8.33,9.12,8.29,8.91,940400,8.91
2016-06-28,8.07,8.39,8.00,8.15,539300,8.15
2016-06-27,8.24,8.31,7.91,8.07,742200,8.07
2016-06-24,8.39,8.56,7.99,8.17,1444500,8.17
2016-06-23,8.15,8.20,7.87,7.89,775400,7.89
2016-06-22,8.00,8.20,7.88,8.17,417500,8.17
2016-06-21,7.95,8.17,7.94,8.04,480600,8.04
2016-06-20,7.91,8.29,7.70,8.27,454800,8.27
2016-06-17,8.21,8.39,7.88,8.15,6479600,8.15
2016-06-16,8.62,8.95,7.99,8.06,1457100,8.06
2016-06-15,8.06,8.45,8.02,8.34,678400,8.34
2016-06-14,8.25,8.34,7.88,8.05,1099300,8.05
2016-06-13,8.50,8.51,8.07,8.22,1025200,8.22
2016-06-10,8.29,8.54,8.10,8.27,894500,8.27
2016-06-09,7.83,8.36,7.78,8.29,936100,8.29
2016-06-08,8.25,8.35,7.59,7.88,2267000,7.88
2016-06-07,7.94,8.22,7.90,8.07,304100,8.07
2016-06-06,8.25,8.25,7.77,8.08,613800,8.08
2016-06-03,7.44,8.06,7.27,8.05,1274200,8.05
2016-06-02,7.07,7.20,7.03,7.07,463300,7.07
2016-06-01,7.37,7.48,7.03,7.17,286800,7.17
2016-05-31,7.12,7.50,7.06,7.31,426600,7.31
2016-05-30,6.94,7.18,6.94,7.13,169700,7.13
2016-05-27,7.48,7.59,7.08,7.14,388300,7.14
2016-05-26,7.73,7.76,7.42,7.52,489600,7.52
2016-05-25,7.13,7.60,7.07,7.57,554400,7.57
2016-05-24,7.74,7.91,7.21,7.24,684100,7.24
2016-05-20,8.03,8.14,7.69,8.08,438700,8.08
2016-05-19,7.58,8.06,7.06,7.97,743100,7.97
2016-05-18,8.30,8.58,7.72,7.74,730700,7.74
2016-05-17,8.32,8.56,8.17,8.56,744800,8.56
2016-05-16,8.30,8.51,8.14,8.24,447900,8.24
2016-05-13,8.15,8.28,8.07,8.14,544000,8.14
