Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,20.42,20.719999,20.379999,20.700001,2156500,20.700001
2017-01-26,20.49,20.639999,20.299999,20.48,2599600,20.48
2017-01-25,20.60,20.969999,20.50,20.959999,2971200,20.959999
2017-01-24,20.91,21.48,20.77,21.110001,6556000,21.110001
2017-01-23,20.860001,20.93,20.530001,20.92,2939300,20.92
2017-01-20,20.190001,20.780001,20.190001,20.549999,3757000,20.549999
2017-01-19,20.08,20.24,19.75,20.110001,3442500,20.110001
2017-01-18,19.68,20.50,19.68,20.24,5082600,20.24
2017-01-17,19.60,19.870001,19.360001,19.77,3956100,19.77
2017-01-16,19.450001,19.450001,19.15,19.15,873000,19.15
2017-01-13,19.00,19.280001,18.73,19.18,2486600,19.18
2017-01-12,19.43,19.57,19.030001,19.200001,4645400,19.200001
2017-01-11,19.030001,19.16,18.66,19.059999,2359100,19.059999
2017-01-10,19.43,19.49,18.959999,19.110001,2464900,19.110001
2017-01-09,19.75,19.75,19.02,19.129999,2852800,19.129999
2017-01-06,19.50,19.77,19.030001,19.33,3264100,19.33
2017-01-05,19.27,19.99,19.26,19.780001,4928500,19.780001
2017-01-04,19.049999,19.08,18.709999,19.00,4224100,19.00
2017-01-03,18.35,19.02,18.35,18.889999,3450000,18.889999
2016-12-30,18.780001,19.209999,18.26,18.280001,3069600,18.280001
2016-12-29,18.00,18.75,18.00,18.74,3173000,18.74
2016-12-28,17.41,17.889999,17.370001,17.85,2372900,17.85
2016-12-23,16.77,17.16,16.719999,17.040001,1627800,17.040001
2016-12-22,16.610001,16.889999,16.49,16.690001,2478300,16.690001
2016-12-21,16.559999,16.74,16.42,16.65,2970900,16.65
2016-12-20,16.24,16.530001,16.110001,16.450001,2899000,16.450001
2016-12-19,16.59,16.76,16.209999,16.57,3370300,16.57
2016-12-16,16.50,16.73,16.219999,16.639999,7616800,16.639999
2016-12-15,16.25,16.40,15.95,16.26,3666700,16.26
2016-12-14,17.549999,17.799999,16.459999,16.459999,5033200,16.459999
2016-12-13,17.33,17.43,16.969999,17.389999,2985500,17.389999
2016-12-12,17.40,17.74,17.23,17.290001,2852800,17.264001
2016-12-09,17.66,17.76,17.190001,17.389999,2723500,17.363849
2016-12-08,17.85,17.93,17.690001,17.85,2029100,17.823158
2016-12-07,17.99,18.190001,17.75,17.860001,2781400,17.833143
2016-12-06,18.00,18.23,17.68,17.75,3285000,17.723308
2016-12-05,17.709999,18.25,17.459999,17.889999,3818700,17.863097
2016-12-02,17.76,18.139999,17.68,18.00,3011800,17.972932
2016-12-01,17.49,17.93,17.18,17.610001,3426200,17.583519
2016-11-30,17.799999,17.85,17.309999,17.73,4547500,17.703338
2016-11-29,17.809999,18.08,17.68,18.049999,2191200,18.022856
2016-11-28,17.83,18.24,17.549999,18.190001,2385400,18.162647
2016-11-25,17.60,17.879999,17.52,17.719999,2472200,17.693353
2016-11-24,17.43,17.49,17.27,17.40,933800,17.373834
2016-11-23,17.549999,17.549999,17.07,17.41,4067900,17.383819
2016-11-22,18.299999,18.32,17.74,18.139999,2621800,18.112721
2016-11-21,18.25,18.440001,18.07,18.24,2502600,18.212571
2016-11-18,17.93,18.110001,17.60,17.98,2624700,17.952962
2016-11-17,18.48,18.77,17.84,18.09,3498100,18.062797
2016-11-16,18.700001,18.780001,18.01,18.450001,3119400,18.422256
2016-11-15,18.120001,18.68,17.93,18.620001,2649600,18.592001
2016-11-14,17.50,18.34,17.200001,18.110001,4848600,18.082767
2016-11-11,18.780001,18.860001,17.639999,17.799999,4085400,17.773232
2016-11-10,20.00,20.02,18.709999,18.799999,4563900,18.771728
2016-11-09,21.00,21.07,19.84,20.120001,4710000,20.089745
2016-11-08,19.700001,20.030001,19.370001,19.65,2220100,19.620451
2016-11-07,19.91,19.92,19.450001,19.68,2097800,19.650406
2016-11-04,20.33,20.610001,20.24,20.50,1890500,20.469173
2016-11-03,20.42,20.93,20.309999,20.389999,2703400,20.359338
2016-11-02,21.129999,21.629999,20.290001,20.549999,3500600,20.519097
2016-11-01,20.75,21.17,20.60,20.799999,3059900,20.768721
2016-10-31,19.90,20.379999,19.73,20.370001,2166500,20.339369
2016-10-28,19.60,20.24,19.540001,19.889999,3067200,19.860089
2016-10-27,20.49,20.66,19.73,19.75,4029900,19.720301
2016-10-26,20.82,21.049999,20.290001,20.50,2898400,20.469173
2016-10-25,20.51,21.049999,20.33,20.83,3264200,20.798676
2016-10-24,20.91,20.93,20.15,20.440001,2830600,20.409264
2016-10-21,20.43,20.790001,20.379999,20.68,2025900,20.648902
2016-10-20,20.41,20.42,20.17,20.35,3309200,20.319399
2016-10-19,19.84,20.18,19.629999,20.110001,3252000,20.07976
2016-10-18,19.34,19.559999,19.00,19.49,3296100,19.460691
2016-10-17,18.889999,19.26,18.870001,19.10,1867400,19.071278
2016-10-14,19.129999,19.219999,18.77,18.809999,2318000,18.781714
2016-10-13,19.139999,19.879999,18.940001,19.389999,2656500,19.360841
2016-10-12,18.620001,19.17,18.60,19.040001,3235100,19.011369
2016-10-11,18.66,18.799999,18.35,18.530001,2320400,18.502136
2016-10-07,19.08,19.15,18.51,18.719999,4347500,18.691849
2016-10-06,18.610001,19.030001,18.530001,18.639999,4794100,18.611969
2016-10-05,19.299999,19.51,18.60,19.030001,3595800,19.001384
2016-10-04,20.00,20.00,18.93,19.00,4450500,18.971428
2016-10-03,21.629999,21.82,20.459999,20.68,2440700,20.648902
2016-09-30,22.09,22.24,21.610001,21.65,2120100,21.617443
2016-09-29,21.49,22.02,21.41,21.870001,1559000,21.837113
2016-09-28,21.49,21.82,21.049999,21.74,2178600,21.707308
2016-09-27,21.540001,21.68,21.299999,21.450001,1732400,21.417745
2016-09-26,22.00,22.23,21.709999,21.74,2097800,21.707308
2016-09-23,22.33,22.440001,21.719999,21.91,1984700,21.877052
2016-09-22,22.27,22.530001,22.15,22.33,2957900,22.296421
2016-09-21,21.120001,22.120001,21.040001,22.059999,3042900,22.026826
2016-09-20,20.82,20.99,20.530001,20.780001,1917900,20.748752
2016-09-19,20.799999,20.92,20.41,20.74,2105700,20.708812
2016-09-16,20.709999,20.84,20.129999,20.549999,5882000,20.519097
2016-09-15,20.74,21.07,20.41,20.809999,2195500,20.778706
2016-09-14,20.84,21.09,20.549999,20.780001,2257900,20.748752
2016-09-13,21.26,21.26,20.469999,20.719999,2853900,20.688841
2016-09-12,20.49,21.59,20.450001,21.440001,3067300,21.381799
2016-09-09,21.18,21.209999,20.700001,20.76,2136900,20.703644
2016-09-08,21.60,21.74,21.219999,21.370001,2216300,21.311989
2016-09-07,21.48,21.540001,21.08,21.469999,3333700,21.411716
2016-09-06,21.219999,21.59,20.83,21.59,3266400,21.531391
2016-09-02,20.99,21.23,20.65,20.83,2670300,20.773454
2016-09-01,19.85,20.559999,19.76,20.42,3689300,20.364567
2016-08-31,20.09,20.360001,19.889999,19.959999,4521900,19.905815
2016-08-30,21.059999,21.129999,20.09,20.25,3420200,20.195029
2016-08-29,20.67,21.459999,20.66,21.25,2256700,21.192314
2016-08-26,20.940001,21.360001,20.40,20.75,3421500,20.693671
2016-08-25,20.620001,21.27,20.360001,20.74,3815700,20.683698
2016-08-24,22.809999,22.809999,20.40,20.709999,5578900,20.653779
2016-08-23,23.26,23.33,22.780001,22.82,2082100,22.758052
2016-08-22,23.290001,23.290001,22.99,23.24,2194800,23.176912
2016-08-19,23.60,23.83,23.370001,23.559999,1983200,23.496043
2016-08-18,23.92,24.07,23.610001,23.85,1732600,23.785256
2016-08-17,24.09,24.09,23.299999,23.76,2135900,23.695501
2016-08-16,24.370001,24.42,24.15,24.18,1498900,24.11436
2016-08-15,24.459999,24.65,24.219999,24.35,1414800,24.283899
2016-08-12,24.99,25.00,24.27,24.469999,1697900,24.403572
2016-08-11,24.799999,25.17,24.459999,24.60,2360000,24.53322
