Date,Open,High,Low,Close,Volume,Adj Close
2017-01-19,10.61,10.61,10.61,10.61,000,10.61
2017-01-18,10.61,10.61,10.61,10.61,000,10.61
2017-01-17,10.61,10.61,10.61,10.61,1200,10.61
2017-01-16,10.61,10.61,10.61,10.61,000,10.61
2017-01-13,10.61,10.61,10.61,10.61,000,10.61
2017-01-12,10.50,10.61,10.50,10.61,1400,10.61
2017-01-11,10.13,10.13,10.13,10.13,1000,10.13
2017-01-10,9.46,9.46,9.46,9.46,000,9.46
2017-01-09,9.60,9.60,9.46,9.46,300,9.46
2017-01-06,10.19,10.19,10.19,10.19,300,10.19
2017-01-05,10.00,10.05,9.90,10.05,700,10.05
2017-01-04,10.10,10.13,10.10,10.13,900,10.13
2017-01-03,11.07,11.07,11.07,11.07,1000,11.07
2016-12-30,12.07,12.07,12.07,12.07,100,12.07
2016-12-29,12.00,12.00,12.00,12.00,000,12.00
2016-12-28,12.00,12.00,12.00,12.00,1400,12.00
2016-12-23,11.65,11.72,11.65,11.72,300,11.72
2016-12-22,10.93,10.93,10.93,10.93,000,10.93
2016-12-21,10.94,10.94,10.93,10.93,1000,10.93
2016-12-20,10.64,10.64,10.64,10.64,100,10.64
2016-12-19,11.00,11.00,10.95,10.95,200,10.95
2016-12-16,11.49,11.49,11.49,11.49,000,11.49
2016-12-15,11.49,11.49,11.49,11.49,000,11.49
2016-12-14,11.49,11.49,11.49,11.49,1700,11.49
2016-12-13,11.50,11.50,11.50,11.50,000,11.50
2016-12-12,11.53,11.53,11.50,11.50,900,11.50
2016-12-09,11.74,11.74,11.74,11.74,000,11.74
2016-12-08,11.74,11.74,11.74,11.74,400,11.74
2016-12-07,12.03,12.03,11.68,11.68,1100,11.68
2016-12-06,11.61,11.61,11.61,11.61,000,11.61
2016-12-05,11.46,11.61,11.43,11.61,3300,11.61
2016-12-02,10.75,10.75,10.75,10.75,000,10.75
2016-12-01,10.75,10.75,10.75,10.75,000,10.75
2016-11-30,10.75,10.75,10.75,10.75,1500,10.75
2016-11-29,10.82,10.88,10.74,10.74,3100,10.74
2016-11-28,10.80,10.80,10.80,10.80,500,10.80
2016-11-25,9.83,9.83,9.83,9.83,000,9.83
2016-11-24,9.83,9.83,9.83,9.83,000,9.83
2016-11-23,9.83,9.83,9.83,9.83,000,9.83
2016-11-22,9.83,9.83,9.83,9.83,2000,9.83
2016-11-21,8.56,8.56,8.56,8.56,000,8.56
2016-11-17,8.56,8.56,8.56,8.56,000,8.56
2016-11-16,8.56,8.56,8.56,8.56,000,8.56
2016-11-15,8.56,8.56,8.56,8.56,000,8.56
2016-11-14,8.56,8.56,8.56,8.56,000,8.56
2016-11-11,8.56,8.56,8.56,8.56,000,8.56
2016-11-10,8.56,8.56,8.56,8.56,200,8.56
2016-11-09,8.45,8.45,8.45,8.45,000,8.45
2016-11-08,8.75,8.75,8.45,8.45,1500,8.45
