Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1.35,1.37,1.33,1.35,107300,1.35
2017-02-08,1.28,1.38,1.25,1.34,667200,1.34
2017-02-07,1.20,1.27,1.14,1.22,521500,1.22
2017-02-06,1.31,1.31,1.13,1.17,564900,1.17
2017-02-03,1.37,1.37,1.26,1.26,212200,1.26
2017-02-02,1.38,1.38,1.34,1.35,146200,1.35
2017-02-01,1.40,1.40,1.36,1.37,102200,1.37
2017-01-31,1.39,1.41,1.39,1.39,113100,1.39
2017-01-30,1.40,1.42,1.39,1.41,63500,1.41
2017-01-27,1.40,1.41,1.37,1.40,32300,1.40
2017-01-26,1.40,1.42,1.37,1.38,178700,1.38
2017-01-25,1.40,1.41,1.37,1.38,116500,1.38
2017-01-24,1.43,1.44,1.37,1.38,93500,1.38
2017-01-23,1.38,1.44,1.38,1.41,254500,1.41
2017-01-20,1.37,1.46,1.37,1.38,146100,1.38
2017-01-19,1.44,1.46,1.37,1.37,65900,1.37
2017-01-18,1.46,1.47,1.42,1.42,167700,1.42
2017-01-17,1.49,1.49,1.39,1.40,222100,1.40
2017-01-16,1.45,1.52,1.43,1.49,204500,1.49
2017-01-13,1.36,1.48,1.36,1.45,250800,1.45
2017-01-12,1.37,1.40,1.32,1.36,219300,1.36
2017-01-11,1.36,1.37,1.33,1.37,43800,1.37
2017-01-10,1.33,1.37,1.30,1.36,128200,1.36
2017-01-09,1.36,1.36,1.30,1.30,90500,1.30
2017-01-06,1.38,1.38,1.36,1.36,48900,1.36
2017-01-05,1.40,1.40,1.37,1.39,113100,1.39
2017-01-04,1.37,1.41,1.36,1.40,164300,1.40
2017-01-03,1.36,1.38,1.33,1.34,91900,1.34
2016-12-30,1.39,1.39,1.32,1.32,104100,1.32
2016-12-29,1.36,1.43,1.36,1.39,92900,1.39
2016-12-28,1.41,1.43,1.34,1.36,147700,1.36
2016-12-23,1.39,1.40,1.37,1.38,76600,1.38
2016-12-22,1.35,1.42,1.35,1.37,240600,1.37
2016-12-21,1.43,1.45,1.35,1.37,245700,1.37
2016-12-20,1.29,1.44,1.29,1.44,232400,1.44
2016-12-19,1.30,1.34,1.25,1.30,245000,1.30
2016-12-16,1.28,1.30,1.25,1.27,74100,1.27
2016-12-15,1.27,1.31,1.22,1.29,135600,1.29
2016-12-14,1.32,1.33,1.24,1.30,245500,1.30
2016-12-13,1.35,1.35,1.30,1.31,85100,1.31
2016-12-12,1.38,1.39,1.32,1.32,113700,1.32
2016-12-09,1.39,1.39,1.35,1.38,122100,1.38
2016-12-08,1.38,1.40,1.35,1.39,119500,1.39
2016-12-07,1.38,1.40,1.34,1.38,113700,1.38
2016-12-06,1.40,1.40,1.35,1.38,168600,1.38
2016-12-05,1.39,1.47,1.38,1.40,516200,1.40
2016-12-02,1.41,1.49,1.38,1.38,845800,1.38
2016-12-01,1.45,1.45,1.34,1.42,229000,1.42
2016-11-30,1.47,1.53,1.34,1.38,819100,1.38
2016-11-29,1.26,1.47,1.26,1.47,678900,1.47
2016-11-28,1.22,1.28,1.21,1.28,190900,1.28
2016-11-25,1.18,1.21,1.18,1.19,88600,1.19
2016-11-24,1.20,1.20,1.18,1.18,131600,1.18
2016-11-23,1.19,1.23,1.18,1.20,54800,1.20
2016-11-22,1.18,1.24,1.16,1.19,168600,1.19
2016-11-21,1.22,1.22,1.16,1.19,394200,1.19
2016-11-18,1.26,1.26,1.23,1.23,59700,1.23
2016-11-17,1.16,1.27,1.13,1.25,396600,1.25
2016-11-16,1.17,1.20,1.15,1.17,134900,1.17
2016-11-15,1.19,1.22,1.14,1.18,107600,1.18
2016-11-14,1.21,1.21,1.10,1.17,192800,1.17
2016-11-11,1.09,1.21,1.08,1.20,203800,1.20
2016-11-10,1.19,1.19,1.06,1.07,332600,1.07
2016-11-09,1.18,1.21,1.15,1.16,113000,1.16
2016-11-08,1.21,1.22,1.18,1.18,190100,1.18
2016-11-07,1.23,1.24,1.20,1.21,124900,1.21
2016-11-04,1.23,1.26,1.20,1.23,355400,1.23
2016-11-03,1.19,1.26,1.18,1.26,154600,1.26
2016-11-02,1.27,1.27,1.19,1.21,220900,1.21
2016-11-01,1.19,1.28,1.15,1.24,698700,1.24
2016-10-31,1.23,1.25,1.17,1.19,569200,1.19
2016-10-28,1.25,1.31,1.23,1.25,320900,1.25
2016-10-27,1.31,1.35,1.25,1.28,543700,1.28
2016-10-26,1.40,1.40,1.28,1.30,1207700,1.30
2016-10-25,1.26,1.38,1.24,1.37,2256300,1.37
2016-10-24,1.15,1.20,1.08,1.16,386500,1.16
2016-10-21,1.01,1.17,1.00,1.15,968000,1.15
2016-10-20,0.98,1.01,0.96,1.01,81200,1.01
2016-10-19,0.99,1.02,0.93,0.96,624300,0.96
2016-10-18,0.88,0.97,0.88,0.97,1133200,0.97
2016-10-17,0.78,0.86,0.78,0.86,202900,0.86
2016-10-14,0.82,0.84,0.76,0.82,540700,0.82
2016-10-13,0.94,0.95,0.81,0.86,828000,0.86
2016-10-12,0.85,0.93,0.83,0.89,695000,0.89
2016-10-11,0.73,1.00,0.72,0.85,1055000,0.85
2016-10-07,0.68,0.72,0.68,0.71,1730500,0.71
2016-10-06,0.68,0.68,0.67,0.68,10300,0.68
2016-10-05,0.68,0.68,0.68,0.68,67600,0.68
2016-10-04,0.68,0.68,0.67,0.68,489700,0.68
2016-10-03,0.69,0.69,0.67,0.68,576000,0.68
2016-09-30,0.68,0.69,0.67,0.69,162800,0.69
2016-09-29,0.69,0.69,0.67,0.68,151300,0.68
2016-09-28,0.68,0.70,0.68,0.69,146800,0.69
2016-09-27,0.69,0.69,0.68,0.68,121200,0.68
2016-09-26,0.71,0.71,0.69,0.70,170600,0.70
2016-09-23,0.70,0.72,0.69,0.71,222400,0.71
2016-09-22,0.71,0.71,0.70,0.70,338200,0.70
2016-09-21,0.76,0.76,0.68,0.71,515000,0.71
2016-09-20,0.79,0.80,0.77,0.77,83700,0.77
2016-09-19,0.78,0.80,0.78,0.80,34800,0.80
2016-09-16,0.77,0.81,0.77,0.80,63500,0.80
2016-09-15,0.77,0.80,0.73,0.77,214700,0.77
2016-09-14,0.83,0.85,0.81,0.85,108900,0.85
2016-09-13,0.84,0.84,0.76,0.82,135500,0.82
2016-09-12,0.82,0.83,0.81,0.83,12200,0.83
2016-09-09,0.83,0.83,0.83,0.83,3800,0.83
2016-09-08,0.82,0.83,0.81,0.82,15700,0.82
2016-09-07,0.84,0.84,0.82,0.82,47900,0.82
2016-09-06,0.83,0.86,0.83,0.86,5600,0.86
2016-09-02,0.84,0.87,0.84,0.87,9200,0.87
2016-09-01,0.84,0.87,0.82,0.84,38000,0.84
2016-08-31,0.86,0.87,0.82,0.83,47700,0.83
2016-08-30,0.86,0.87,0.85,0.87,45600,0.87
2016-08-29,0.85,0.86,0.84,0.86,17000,0.86
2016-08-26,0.84,0.84,0.82,0.83,55600,0.83
2016-08-25,0.84,0.88,0.84,0.86,38300,0.86
2016-08-24,0.89,0.89,0.82,0.82,27900,0.82
2016-08-23,0.88,0.89,0.86,0.88,78100,0.88
2016-08-22,0.82,0.85,0.79,0.85,69800,0.85
2016-08-19,0.88,0.88,0.80,0.80,102500,0.80
2016-08-18,0.85,0.91,0.85,0.87,72800,0.87
2016-08-17,0.85,0.86,0.84,0.84,20800,0.84
2016-08-16,0.85,0.86,0.82,0.83,27000,0.83
2016-08-15,0.82,0.87,0.82,0.86,107900,0.86
2016-08-12,0.82,0.84,0.82,0.82,8600,0.82
2016-08-11,0.85,0.87,0.82,0.82,41500,0.82
2016-08-10,0.85,0.85,0.82,0.83,41400,0.83
2016-08-09,0.87,0.87,0.83,0.85,49800,0.85
2016-08-08,0.88,0.88,0.81,0.85,77800,0.85
2016-08-05,0.83,0.89,0.82,0.87,90300,0.87
2016-08-04,0.85,0.85,0.83,0.84,41000,0.84
2016-08-03,0.85,0.85,0.84,0.85,33400,0.85
2016-08-02,0.85,0.87,0.85,0.85,23200,0.85
2016-07-29,0.88,0.90,0.85,0.85,50300,0.85
2016-07-28,0.87,0.89,0.87,0.88,18100,0.88
2016-07-27,0.95,0.95,0.86,0.87,66000,0.87
2016-07-26,0.90,0.92,0.89,0.92,6400,0.92
2016-07-25,0.91,0.91,0.88,0.91,30300,0.91
2016-07-22,0.90,0.94,0.90,0.91,64600,0.91
2016-07-21,0.91,0.92,0.85,0.90,86700,0.90
2016-07-20,0.94,0.95,0.90,0.92,31500,0.92
2016-07-19,0.96,0.96,0.94,0.94,64700,0.94
2016-07-18,0.97,0.97,0.94,0.96,113200,0.96
2016-07-15,0.93,0.97,0.92,0.97,71100,0.97
