Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,19.10,19.200001,18.92,19.120001,173000,19.120001
2017-01-26,19.370001,19.40,19.09,19.17,250700,19.17
2017-01-25,19.610001,19.65,19.120001,19.389999,398900,19.389999
2017-01-24,19.299999,19.780001,19.299999,19.610001,269700,19.610001
2017-01-23,19.48,19.530001,19.10,19.25,178700,19.25
2017-01-20,19.35,19.879999,19.35,19.469999,283300,19.469999
2017-01-19,19.299999,19.35,19.209999,19.280001,175900,19.280001
2017-01-18,19.25,19.40,19.02,19.280001,210300,19.280001
2017-01-17,19.209999,19.290001,19.049999,19.280001,311900,19.280001
2017-01-16,19.290001,19.33,19.17,19.200001,86600,19.200001
2017-01-13,19.10,19.25,19.030001,19.24,103700,19.24
2017-01-12,19.280001,19.34,19.049999,19.129999,162100,19.129999
2017-01-11,19.059999,19.24,18.98,19.190001,140700,19.190001
2017-01-10,19.120001,19.15,18.959999,19.02,92800,19.02
2017-01-09,19.15,19.200001,19.00,19.07,205600,19.07
2017-01-06,19.33,19.33,19.120001,19.18,170600,19.18
2017-01-05,19.290001,19.440001,19.129999,19.32,124300,19.32
2017-01-04,19.10,19.280001,19.040001,19.219999,240000,19.219999
2017-01-03,19.09,19.26,18.959999,19.059999,195900,19.059999
2016-12-30,18.99,19.08,18.91,18.98,160600,18.98
2016-12-29,19.00,19.00,18.85,18.98,140700,18.98
2016-12-28,19.110001,19.190001,18.940001,19.00,176300,19.00
2016-12-23,19.15,19.360001,19.07,19.25,167500,18.92
2016-12-22,18.98,19.190001,18.91,19.10,175300,18.772572
2016-12-21,18.780001,18.99,18.780001,18.91,258000,18.585829
2016-12-20,18.870001,19.00,18.620001,18.790001,222200,18.467887
2016-12-19,18.700001,18.99,18.60,18.799999,119300,18.477714
2016-12-16,18.780001,18.959999,18.620001,18.690001,229700,18.369601
2016-12-15,18.549999,18.870001,18.549999,18.719999,107900,18.399086
2016-12-14,18.559999,18.67,18.469999,18.559999,107900,18.241829
2016-12-13,18.65,18.83,18.57,18.629999,277800,18.310628
2016-12-12,19.15,19.24,18.450001,18.58,286300,18.261486
2016-12-09,18.719999,18.870001,18.629999,18.799999,181800,18.477714
2016-12-08,18.67,18.889999,18.450001,18.799999,197000,18.477714
2016-12-07,18.58,18.85,18.52,18.780001,242800,18.458058
2016-12-06,18.440001,18.75,18.299999,18.67,229000,18.349943
2016-12-05,18.709999,18.82,18.530001,18.59,192100,18.271315
2016-12-02,18.299999,18.780001,18.290001,18.620001,226600,18.300801
2016-12-01,18.450001,18.950001,18.34,18.76,413500,18.438401
2016-11-30,17.90,18.549999,17.879999,18.25,908100,17.937143
2016-11-29,17.15,17.459999,17.15,17.290001,182800,16.993601
2016-11-28,17.74,17.799999,17.34,17.530001,210000,17.229487
2016-11-25,17.629999,17.950001,17.440001,17.690001,206400,17.386744
2016-11-24,17.60,17.950001,17.57,17.84,196600,17.534172
2016-11-23,17.15,17.639999,17.15,17.57,216000,17.2688
2016-11-22,16.99,17.32,16.90,17.25,322500,16.954286
2016-11-21,16.780001,17.10,16.700001,16.940001,333400,16.649601
2016-11-18,16.42,16.799999,16.41,16.57,144500,16.285943
2016-11-17,16.65,16.85,16.450001,16.50,212400,16.217143
2016-11-16,16.43,16.719999,16.42,16.559999,281100,16.276114
2016-11-15,16.059999,16.60,16.059999,16.50,323700,16.217143
2016-11-14,15.99,16.02,15.57,15.93,288900,15.656915
2016-11-11,16.049999,16.10,15.65,15.86,211300,15.588114
2016-11-10,16.219999,16.469999,16.17,16.200001,248300,15.922287
2016-11-09,16.00,16.290001,15.99,16.17,152100,15.8928
2016-11-08,16.040001,16.16,15.98,16.040001,179100,15.76503
2016-11-07,15.91,16.129999,15.83,16.059999,142200,15.784686
2016-11-04,16.08,16.10,15.65,15.68,412400,15.411201
2016-11-03,16.27,16.43,16.040001,16.120001,315700,15.843658
2016-11-02,16.74,16.76,16.17,16.23,317100,15.951771
2016-11-01,16.959999,16.98,16.52,16.57,325100,16.285943
2016-10-31,17.309999,17.309999,16.73,16.83,509800,16.541486
2016-10-28,17.68,17.68,17.34,17.42,242300,17.121372
2016-10-27,17.709999,17.790001,17.57,17.709999,145700,17.4064
2016-10-26,17.68,17.879999,17.51,17.700001,672700,17.396573
2016-10-25,18.10,18.18,17.620001,17.76,254100,17.455544
2016-10-24,18.17,18.33,18.01,18.08,140100,17.770058
2016-10-21,18.190001,18.280001,18.00,18.16,163100,17.848686
2016-10-20,18.00,18.32,17.99,18.200001,152300,17.888001
2016-10-19,17.950001,18.23,17.870001,18.129999,308800,17.8192
2016-10-18,18.120001,18.15,17.959999,17.98,128000,17.671771
2016-10-17,17.93,18.049999,17.780001,18.00,153800,17.691429
2016-10-14,18.18,18.309999,17.879999,17.92,199900,17.612801
2016-10-13,17.799999,18.18,17.790001,18.129999,117900,17.8192
2016-10-12,17.90,18.00,17.719999,17.959999,442900,17.652114
2016-10-11,18.26,18.549999,17.82,17.92,268600,17.612801
2016-10-07,18.219999,18.23,17.92,18.07,171500,17.760229
2016-10-06,18.35,18.549999,18.040001,18.17,272800,17.858515
2016-10-05,17.76,18.50,17.74,18.379999,666900,18.064914
2016-10-04,17.76,17.82,17.58,17.610001,174800,17.308115
2016-10-03,17.73,17.98,17.610001,17.75,691800,17.445715
2016-09-30,17.440001,17.82,17.40,17.639999,429500,17.3376
2016-09-29,16.98,17.48,16.969999,17.40,1097100,17.101714
2016-09-28,16.68,17.02,16.389999,16.98,306700,16.688914
2016-09-27,16.66,16.870001,16.530001,16.799999,359400,16.187657
2016-09-26,16.90,16.950001,16.66,16.75,246800,16.13948
2016-09-23,17.120001,17.25,16.790001,16.879999,330500,16.264741
2016-09-22,17.40,17.49,17.139999,17.18,247400,16.553807
2016-09-21,16.790001,17.33,16.790001,17.200001,286700,16.573079
2016-09-20,16.74,16.790001,16.540001,16.66,230200,16.05276
2016-09-19,16.84,17.07,16.620001,16.67,225200,16.062396
2016-09-16,16.57,16.77,16.549999,16.639999,473400,16.033489
2016-09-15,16.809999,16.940001,16.60,16.639999,178300,16.033489
2016-09-14,16.799999,17.01,16.549999,16.59,441500,15.985312
2016-09-13,17.02,17.08,16.75,16.889999,447000,16.274377
2016-09-12,17.309999,17.52,17.10,17.15,627900,16.5249
2016-09-09,17.85,17.950001,17.33,17.389999,314500,16.756152
2016-09-08,18.190001,18.219999,17.85,17.969999,392600,17.315012
2016-09-07,17.90,18.360001,17.90,18.049999,774000,17.392096
2016-09-06,17.93,18.15,17.75,17.76,202800,17.112667
2016-09-02,18.120001,18.27,17.84,17.870001,306700,17.218658
2016-09-01,17.85,18.10,17.85,18.040001,410700,17.382462
2016-08-31,17.67,18.129999,17.67,17.879999,269000,17.228292
2016-08-30,17.76,17.969999,17.700001,17.74,189200,17.093395
2016-08-29,17.700001,18.00,17.620001,17.75,271400,17.103031
2016-08-26,17.77,17.98,17.700001,17.780001,199300,17.131938
2016-08-25,17.41,17.799999,17.41,17.709999,297700,17.064488
2016-08-24,17.50,17.66,17.43,17.52,256500,16.881415
2016-08-23,17.58,17.68,17.50,17.57,207400,16.929592
2016-08-22,17.40,17.65,17.190001,17.620001,329400,16.97777
2016-08-19,17.65,17.65,17.26,17.549999,323100,16.91032
2016-08-18,17.540001,17.83,17.059999,17.60,561300,16.958499
2016-08-17,17.049999,17.639999,16.940001,17.530001,694000,16.89105
2016-08-16,17.030001,17.09,16.799999,17.07,245400,16.447816
2016-08-15,17.200001,17.40,16.860001,17.030001,386000,16.409275
2016-08-12,17.190001,17.34,16.690001,17.16,461800,16.534536
2016-08-11,16.60,17.450001,16.60,17.110001,1581300,16.486359
2016-08-10,15.92,16.129999,15.85,16.02,382900,15.436088
2016-08-09,15.60,15.93,15.60,15.89,543800,15.310826
2016-08-08,15.66,15.73,15.52,15.61,266900,15.041031
2016-08-05,15.28,15.62,15.03,15.49,362800,14.925405
2016-08-04,15.36,15.55,15.16,15.18,371200,14.626705
2016-08-03,14.28,15.55,13.95,15.44,1083300,14.877228
2016-08-02,14.67,14.94,14.66,14.70,182500,14.1642
2016-07-29,14.63,14.93,14.47,14.90,300100,14.35691
2016-07-28,14.61,14.83,14.39,14.72,254400,14.183472
2016-07-27,14.83,14.93,14.46,14.56,354700,14.029304
2016-07-26,14.70,14.83,14.53,14.81,292300,14.270191
2016-07-25,15.00,15.00,14.59,14.76,404600,14.222014
2016-07-22,15.10,15.10,14.87,15.05,525800,14.501443
2016-07-21,14.70,15.09,14.70,14.97,818400,14.424359
2016-07-20,14.30,14.49,14.05,14.37,487800,13.846228
2016-07-19,14.57,14.60,14.30,14.53,274000,14.000396
2016-07-18,14.64,14.65,14.47,14.60,235400,14.067846
2016-07-15,14.67,14.68,14.52,14.60,185400,14.067846
2016-07-14,14.97,14.97,14.62,14.67,313600,14.135294
2016-07-13,15.01,15.05,14.72,14.79,326600,14.25092
2016-07-12,15.01,15.13,14.92,15.06,250800,14.511079
2016-07-11,15.09,15.16,14.81,14.86,264700,14.318368
2016-07-08,14.85,15.19,14.68,15.06,376300,14.511079
2016-07-07,15.01,15.15,14.41,14.69,301000,14.154564
2016-07-06,14.93,15.06,14.76,14.85,156900,14.308733
2016-07-05,15.05,15.17,14.70,15.00,325200,14.453266
2016-07-04,15.12,15.18,15.04,15.11,121800,14.559256
2016-06-30,15.16,15.16,14.85,14.99,256200,14.44363
2016-06-29,15.07,15.27,14.97,15.16,287300,14.607434
2016-06-28,14.75,15.05,14.72,14.88,413500,14.33764
2016-06-27,15.06,15.08,14.55,14.71,457600,13.855864
2016-06-24,15.22,15.56,15.06,15.06,468400,14.185542
2016-06-23,15.56,15.73,15.51,15.70,266600,14.788379
2016-06-22,15.37,15.45,15.26,15.38,210500,14.48696
