Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2.42,2.44,2.42,2.44,7600,2.44
2017-02-08,2.36,2.42,2.36,2.42,1400,2.42
2017-02-07,2.40,2.40,2.35,2.40,11400,2.40
2017-02-06,2.33,2.40,2.30,2.40,19300,2.40
2017-02-03,2.38,2.38,2.31,2.38,3200,2.38
2017-02-02,2.35,2.35,2.35,2.35,6300,2.35
2017-02-01,2.35,2.35,2.35,2.35,1200,2.35
2017-01-31,2.34,2.35,2.34,2.35,1900,2.35
2017-01-30,2.27,2.33,2.27,2.33,8200,2.33
2017-01-27,2.20,2.23,2.20,2.23,1700,2.23
2017-01-26,2.18,2.24,2.13,2.23,9800,2.23
2017-01-25,2.13,2.25,2.13,2.25,6000,2.25
2017-01-24,2.25,2.25,2.20,2.25,16500,2.25
2017-01-23,2.25,2.25,2.12,2.25,11900,2.25
2017-01-20,2.22,2.25,2.19,2.25,26900,2.25
2017-01-19,2.27,2.27,2.24,2.24,400,2.24
2017-01-18,2.28,2.33,2.28,2.30,3400,2.30
2017-01-17,2.30,2.30,2.04,2.20,32500,2.20
2017-01-16,2.35,2.38,2.16,2.30,9400,2.30
2017-01-13,2.36,2.37,2.35,2.35,3600,2.35
2017-01-12,2.40,2.43,2.35,2.40,154700,2.40
2017-01-11,2.37,2.41,2.37,2.38,1300,2.38
2017-01-10,2.32,2.44,2.28,2.35,12300,2.35
2017-01-09,2.38,2.38,2.26,2.37,3200,2.37
2017-01-06,2.38,2.38,2.28,2.38,3100,2.38
2017-01-05,2.37,2.38,2.35,2.36,10600,2.36
2017-01-04,2.37,2.38,2.37,2.38,2700,2.38
2017-01-03,2.43,2.43,2.43,2.43,3800,2.43
2016-12-30,2.44,2.44,2.43,2.43,2100,2.43
2016-12-29,2.40,2.45,2.40,2.44,4500,2.44
2016-12-28,2.29,2.40,2.29,2.40,4700,2.40
2016-12-23,2.28,2.28,2.18,2.26,11100,2.26
2016-12-22,2.19,2.19,2.15,2.15,4100,2.15
2016-12-21,2.28,2.28,2.04,2.10,74000,2.10
2016-12-20,2.39,2.42,2.30,2.30,298700,2.30
2016-12-19,2.44,2.44,2.39,2.42,14000,2.42
2016-12-16,2.25,2.40,2.24,2.39,26100,2.39
2016-12-15,2.27,2.27,2.13,2.27,12500,2.27
2016-12-14,2.39,2.45,2.39,2.45,2200,2.45
2016-12-13,2.45,2.45,2.27,2.45,9200,2.45
2016-12-12,2.45,2.45,2.41,2.45,7000,2.45
2016-12-09,2.45,2.45,2.41,2.45,9000,2.45
2016-12-08,2.49,2.49,2.45,2.45,26000,2.45
2016-12-07,2.35,2.48,2.35,2.45,108800,2.45
2016-12-06,2.38,2.45,2.26,2.38,373900,2.38
2016-12-05,2.41,2.41,2.20,2.32,143300,2.32
2016-12-02,2.44,2.44,2.37,2.44,14200,2.44
2016-12-01,2.50,2.50,2.42,2.44,17800,2.44
2016-11-30,2.49,2.49,2.47,2.47,4300,2.47
2016-11-29,2.53,2.53,2.45,2.47,3800,2.47
2016-11-28,2.50,2.50,2.49,2.50,9400,2.50
2016-11-25,2.52,2.52,2.50,2.50,4300,2.50
2016-11-24,2.56,2.56,2.37,2.50,25600,2.50
2016-11-23,2.53,2.54,2.45,2.49,8000,2.49
2016-11-22,2.51,2.53,2.51,2.53,4500,2.53
2016-11-21,2.52,2.56,2.40,2.51,6800,2.51
2016-11-18,2.46,2.46,2.31,2.45,12300,2.45
2016-11-17,2.51,2.51,2.46,2.46,21800,2.46
2016-11-16,2.49,2.55,2.43,2.51,32800,2.51
2016-11-15,2.49,2.50,2.45,2.50,7900,2.50
2016-11-14,2.50,2.56,2.20,2.50,164900,2.50
2016-11-11,2.40,2.49,2.40,2.49,14800,2.49
2016-11-10,2.50,2.50,2.48,2.49,3200,2.49
2016-11-09,2.50,2.50,2.45,2.45,5100,2.45
2016-11-08,2.43,2.50,2.40,2.45,2600,2.45
2016-11-07,2.49,2.49,2.38,2.45,88000,2.45
2016-11-04,2.50,2.50,2.50,2.50,2500,2.50
2016-11-03,2.48,2.50,2.48,2.50,6500,2.50
2016-11-02,2.39,2.48,2.39,2.48,29000,2.48
2016-11-01,2.35,2.44,2.28,2.40,23400,2.40
2016-10-31,2.26,2.35,2.23,2.35,15000,2.35
2016-10-28,2.27,2.35,2.27,2.35,4900,2.35
2016-10-27,2.35,2.35,2.35,2.35,3600,2.35
2016-10-26,2.42,2.42,2.25,2.35,3000,2.35
2016-10-25,2.40,2.40,2.28,2.35,81800,2.35
2016-10-24,2.35,2.35,2.27,2.35,4800,2.35
2016-10-21,2.36,2.36,2.36,2.36,000,2.36
2016-10-20,2.36,2.36,2.35,2.36,2400,2.36
2016-10-19,2.29,2.37,2.29,2.35,7300,2.35
2016-10-18,2.37,2.37,2.32,2.32,8700,2.32
2016-10-17,2.37,2.40,2.30,2.37,16100,2.37
2016-10-14,2.44,2.44,2.40,2.40,1700,2.40
