Date,Open,High,Low,Close,Volume,Adj Close
2017-01-19,43.83,43.95,43.52,43.82,106900,43.603
2017-01-18,44.17,44.275,43.58,43.84,105200,43.623
2017-01-17,44.31,44.41,43.97,43.97,116600,43.752
2017-01-16,43.89,44.45,43.89,44.32,36400,44.101
2017-01-13,44.04,44.05,43.72,43.84,37000,43.623
2017-01-12,44.00,44.19,43.55,43.90,88000,43.683
2017-01-11,44.01,44.16,43.75,44.02,80800,43.802
2017-01-10,44.49,44.50,44.05,44.09,67600,43.872
2017-01-09,44.80,44.80,44.18,44.50,90800,44.28
2017-01-06,44.80,44.99,44.60,44.67,86100,44.449
2017-01-05,44.75,44.92,44.60,44.67,73800,44.449
2017-01-04,44.91,45.07,44.58,44.72,90100,44.499
2017-01-03,44.70,45.02,44.48,44.80,66000,44.578
2017-01-02,44.83,44.83,44.83,44.83,000,44.608
2016-12-30,45.00,45.08,44.75,44.83,62900,44.608
2016-12-29,44.56,45.08,44.35,45.05,37600,44.827
2016-12-28,44.69,44.91,44.30,44.42,62700,44.20
2016-12-27,44.68,44.68,44.68,44.68,000,44.243
2016-12-26,44.68,44.68,44.68,44.68,000,44.243
2016-12-23,44.89,44.99,44.63,44.68,35100,44.243
2016-12-22,44.52,44.98,44.40,44.85,107700,44.411
2016-12-21,44.25,44.65,43.96,44.52,109300,44.084
2016-12-20,44.14,44.45,43.25,44.27,153300,43.837
2016-12-19,44.58,45.16,44.58,44.80,98500,44.362
2016-12-16,44.09,45.07,44.09,44.72,143100,44.282
2016-12-15,44.30,44.62,43.83,44.02,73100,43.589
2016-12-14,44.73,44.94,44.09,44.26,198500,43.827
2016-12-13,44.56,44.88,44.44,44.65,76400,44.213
2016-12-12,44.71,44.73,44.41,44.53,64700,44.094
2016-12-09,44.45,44.83,44.28,44.64,60500,44.203
2016-12-08,43.89,44.66,43.89,44.32,56000,43.886
2016-12-07,44.14,44.47,44.01,44.37,74500,43.936
2016-12-06,44.25,44.25,43.77,44.11,65200,43.678
2016-12-05,44.34,44.34,43.96,44.24,34300,43.807
2016-12-02,44.20,44.38,44.01,44.07,60600,43.639
2016-12-01,43.64,44.26,43.51,44.20,109200,43.768
2016-11-30,44.04,44.23,43.55,43.63,146600,43.203
