Date,Open,High,Low,Close,Volume,Adj Close
2017-01-30,3.31,3.31,3.16,3.20,2099900,3.20
2017-01-27,3.35,3.38,3.30,3.32,483300,3.32
2017-01-26,3.50,3.53,3.37,3.38,914400,3.38
2017-01-25,3.47,3.60,3.45,3.48,1013500,3.48
2017-01-24,3.47,3.47,3.39,3.47,1094900,3.47
2017-01-23,3.47,3.53,3.36,3.44,1316500,3.44
2017-01-20,3.51,3.58,3.50,3.53,634900,3.53
2017-01-19,3.46,3.48,3.41,3.47,607600,3.47
2017-01-18,3.56,3.56,3.44,3.45,743200,3.45
2017-01-17,3.66,3.69,3.58,3.60,634200,3.60
2017-01-16,3.69,3.69,3.60,3.61,311300,3.61
2017-01-13,3.70,3.73,3.67,3.68,317300,3.68
2017-01-12,3.75,3.75,3.66,3.73,754500,3.73
2017-01-11,3.69,3.74,3.65,3.70,717300,3.70
2017-01-10,3.79,3.79,3.63,3.66,979800,3.66
2017-01-09,3.93,3.94,3.76,3.78,715500,3.78
2017-01-06,4.02,4.02,3.93,3.94,581200,3.94
2017-01-05,4.08,4.12,3.98,4.01,412300,4.01
2017-01-04,4.03,4.07,3.99,4.06,445900,4.06
2017-01-03,4.12,4.18,4.02,4.02,1007800,4.02
2016-12-30,4.04,4.08,3.96,4.06,634900,4.06
2016-12-29,4.05,4.05,3.99,4.03,282900,4.03
2016-12-28,3.96,4.03,3.94,4.00,1724400,4.00
2016-12-23,3.90,3.91,3.84,3.86,356500,3.86
2016-12-22,3.90,3.92,3.85,3.88,399700,3.88
2016-12-21,3.93,3.95,3.87,3.88,418700,3.88
2016-12-20,3.96,3.96,3.86,3.88,888100,3.88
2016-12-19,3.85,3.93,3.81,3.91,682500,3.91
2016-12-16,3.92,3.92,3.85,3.89,3991000,3.89
2016-12-15,3.79,3.90,3.74,3.88,1068900,3.88
2016-12-14,3.97,3.98,3.79,3.80,1740700,3.80
2016-12-13,4.01,4.04,3.93,4.02,893800,4.02
2016-12-12,4.06,4.07,3.91,3.94,1988200,3.94
2016-12-09,3.91,3.93,3.86,3.88,1124300,3.88
2016-12-08,3.94,3.94,3.86,3.88,1032500,3.88
2016-12-07,3.93,3.94,3.83,3.92,1530700,3.92
2016-12-06,4.00,4.01,3.93,3.96,781900,3.96
