Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,10.65,10.91,10.65,10.84,92600,10.84
2017-02-09,10.67,10.76,10.62,10.70,134500,10.70
2017-02-08,10.66,10.68,10.54,10.68,90200,10.68
2017-02-07,10.54,10.68,10.49,10.58,166600,10.58
2017-02-06,10.46,10.52,10.45,10.52,95200,10.52
2017-02-03,10.46,10.50,10.39,10.43,88500,10.43
2017-02-02,10.29,10.50,10.265,10.45,190600,10.45
2017-02-01,10.25,10.28,10.19,10.27,105400,10.27
2017-01-31,10.15,10.31,10.14,10.28,116600,10.28
2017-01-30,10.29,10.29,10.15,10.22,138900,10.22
2017-01-27,10.12,10.31,10.12,10.29,141200,10.29
2017-01-26,10.20,10.27,10.15,10.18,113600,10.18
2017-01-25,10.25,10.27,10.14,10.19,116900,10.19
2017-01-24,10.05,10.25,10.00,10.21,156100,10.21
2017-01-23,10.06,10.15,10.00,10.05,241600,10.05
2017-01-20,10.07,10.18,10.00,10.08,137900,10.08
2017-01-19,10.24,10.24,10.01,10.06,157300,10.06
2017-01-18,10.30,10.31,10.22,10.24,189300,10.24
2017-01-17,10.28,10.30,10.21,10.26,289100,10.26
2017-01-16,10.27,10.34,10.22,10.26,94500,10.26
2017-01-13,10.32,10.37,10.25,10.27,76900,10.27
2017-01-12,10.37,10.43,10.26,10.29,123700,10.29
2017-01-11,10.60,10.60,10.31,10.40,179300,10.40
2017-01-10,10.51,10.62,10.48,10.56,142900,10.56
2017-01-09,10.40,10.53,10.40,10.47,240900,10.47
2017-01-06,10.31,10.33,10.17,10.24,188200,10.24
2017-01-05,10.38,10.39,10.23,10.32,278100,10.32
2017-01-04,10.40,10.50,10.16,10.32,495400,10.32
2017-01-03,10.70,10.70,10.40,10.57,367900,10.57
2016-12-30,10.58,10.76,10.55,10.74,252400,10.74
2016-12-29,10.39,10.53,10.33,10.50,273500,10.50
2016-12-28,10.33,10.40,10.25,10.37,316800,10.37
2016-12-23,10.06,10.30,10.03,10.25,479900,10.25
2016-12-22,9.98,10.07,9.93,10.06,328100,10.06
2016-12-21,10.00,10.02,9.95,9.96,142000,9.96
2016-12-20,10.02,10.03,9.93,9.97,137800,9.97
2016-12-19,10.00,10.07,9.96,10.00,229200,10.00
