Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,6.40,6.43,6.06,6.18,575800,6.18
2017-01-17,6.40,6.46,6.20,6.41,832600,6.41
2017-01-16,6.23,6.27,6.18,6.25,165300,6.25
2017-01-13,6.25,6.39,6.07,6.19,861800,6.19
2017-01-12,6.55,6.55,6.24,6.32,794100,6.32
2017-01-11,6.38,6.48,6.14,6.42,1542400,6.42
2017-01-10,6.61,6.72,6.25,6.42,1065900,6.42
2017-01-09,6.73,6.80,6.44,6.53,1343600,6.53
2017-01-06,6.74,6.81,6.35,6.55,1247400,6.55
2017-01-05,6.61,6.86,6.56,6.82,1463600,6.82
2017-01-04,6.85,6.86,6.19,6.38,1253100,6.38
2017-01-03,6.16,6.55,6.12,6.54,1044800,6.54
2016-12-30,6.46,6.66,6.08,6.12,948400,6.12
2016-12-29,5.84,6.48,5.75,6.44,1286500,6.44
2016-12-28,5.26,5.75,5.17,5.73,697500,5.73
2016-12-23,5.25,5.29,5.12,5.18,432900,5.18
2016-12-22,4.71,5.20,4.68,5.19,979000,5.19
2016-12-21,4.87,4.94,4.70,4.71,460400,4.71
2016-12-20,4.69,4.86,4.56,4.81,853900,4.81
2016-12-19,4.76,4.85,4.68,4.79,783200,4.79
2016-12-16,5.05,5.05,4.77,4.80,4668100,4.80
2016-12-15,4.76,4.88,4.66,4.80,936400,4.80
2016-12-14,5.34,5.42,4.89,4.91,1519300,4.91
2016-12-13,5.32,5.35,5.18,5.29,641300,5.29
2016-12-12,5.16,5.47,5.15,5.32,1295300,5.32
2016-12-09,5.40,5.44,5.02,5.06,578600,5.06
2016-12-08,5.51,5.51,5.26,5.44,515300,5.44
2016-12-07,5.67,5.74,5.41,5.51,537800,5.51
2016-12-06,5.61,5.73,5.54,5.58,612200,5.58
2016-12-05,5.38,5.68,5.25,5.60,914500,5.60
2016-12-02,5.30,5.52,5.24,5.43,1022500,5.43
2016-12-01,5.36,5.44,5.20,5.25,952900,5.25
2016-11-30,5.46,5.55,5.34,5.50,1053800,5.50
2016-11-29,5.51,5.60,5.47,5.50,388200,5.50
2016-11-28,5.62,5.64,5.44,5.61,571800,5.61
2016-11-25,5.70,5.74,5.44,5.48,401900,5.48
2016-11-24,5.50,5.65,5.50,5.57,139700,5.57
2016-11-23,5.52,5.71,5.49,5.64,1001900,5.64
2016-11-22,5.73,5.77,5.56,5.75,925800,5.75
2016-11-21,5.74,5.80,5.64,5.68,689300,5.68
2016-11-18,5.87,5.92,5.48,5.67,1246600,5.67
2016-11-17,6.17,6.37,5.84,5.95,1055400,5.95
2016-11-16,6.47,6.47,6.03,6.14,785000,6.14
2016-11-15,6.35,6.56,6.23,6.51,877800,6.51
2016-11-14,6.34,6.68,5.98,6.37,1469900,6.37
2016-11-11,6.93,7.44,5.82,6.53,1704300,6.53
2016-11-10,7.81,7.81,6.65,7.01,1368000,7.01
2016-11-09,7.97,8.12,7.50,7.77,869600,7.77
2016-11-08,7.58,7.74,7.33,7.45,803300,7.45
2016-11-07,7.64,7.72,7.36,7.54,411500,7.54
2016-11-04,8.09,8.15,7.66,7.86,667800,7.86
2016-11-03,8.09,8.18,7.94,8.07,380100,8.07
2016-11-02,8.42,8.55,8.04,8.08,774400,8.08
2016-11-01,8.05,8.47,8.04,8.23,714900,8.23
2016-10-31,7.60,7.91,7.43,7.89,334300,7.89
2016-10-28,7.51,7.79,7.42,7.55,615600,7.55
2016-10-27,7.78,7.79,7.52,7.53,340900,7.53
2016-10-26,8.03,8.08,7.63,7.70,432700,7.70
2016-10-25,7.97,8.13,7.85,8.04,358100,8.04
2016-10-24,8.14,8.23,7.74,7.87,698900,7.87
2016-10-21,8.10,8.26,8.03,8.05,535300,8.05
2016-10-20,8.24,8.29,7.98,8.13,499000,8.13
2016-10-19,7.97,8.20,7.79,8.20,932300,8.20
2016-10-18,7.47,7.87,7.32,7.83,555100,7.83
2016-10-17,7.16,7.48,7.16,7.31,362700,7.31
2016-10-14,7.40,7.55,7.23,7.25,542800,7.25
2016-10-13,7.26,7.71,7.12,7.50,678400,7.50
2016-10-12,7.07,7.30,7.03,7.24,522200,7.24
