Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,36.50,36.700001,36.490002,36.580002,225300,36.580002
2017-01-25,35.91,36.68,35.900002,36.470001,434400,36.470001
2017-01-24,35.549999,35.98,35.459999,35.82,303700,35.82
2017-01-23,35.82,35.98,35.299999,35.509998,352400,35.509998
2017-01-20,35.689999,35.98,35.630001,35.939999,523900,35.939999
2017-01-19,35.77,35.919998,35.599998,35.639999,473900,35.639999
2017-01-18,36.040001,36.139999,35.580002,35.720001,437200,35.720001
2017-01-17,36.220001,36.25,35.950001,36.040001,421300,36.040001
2017-01-16,36.59,36.740002,36.110001,36.240002,243500,36.240002
2017-01-13,35.84,36.77,35.84,36.66,790800,36.66
2017-01-12,35.75,35.790001,35.43,35.450001,307000,35.450001
2017-01-11,35.650002,35.849998,35.549999,35.77,264800,35.77
2017-01-10,35.32,35.709999,35.23,35.610001,296300,35.610001
2017-01-09,35.450001,35.48,35.110001,35.310001,215600,35.310001
2017-01-06,35.50,35.560001,35.299999,35.48,268100,35.48
2017-01-05,35.709999,35.830002,35.470001,35.52,387700,35.52
2017-01-04,35.27,35.810001,35.27,35.720001,360400,35.720001
2017-01-03,35.189999,35.459999,35.130001,35.240002,177500,35.240002
2016-12-30,35.220001,35.360001,35.009998,35.169998,248000,35.169998
2016-12-29,35.290001,35.389999,35.009998,35.189999,170800,35.189999
2016-12-28,35.73,35.73,35.259998,35.349998,363100,35.349998
2016-12-23,35.619999,35.669998,35.509998,35.630001,150000,35.630001
2016-12-22,35.50,35.610001,35.310001,35.610001,264000,35.610001
2016-12-21,35.57,35.68,35.369999,35.540001,376700,35.540001
2016-12-20,35.799999,35.950001,35.560001,35.619999,508000,35.619999
2016-12-19,35.68,35.860001,35.580002,35.700001,284900,35.700001
2016-12-16,35.470001,35.759998,35.450001,35.75,999900,35.75
2016-12-15,35.630001,35.77,35.470001,35.549999,440800,35.549999
2016-12-14,35.50,35.869999,35.48,35.599998,589300,35.599998
2016-12-13,35.619999,35.779999,35.549999,35.580002,382900,35.580002
2016-12-12,35.459999,35.650002,35.389999,35.549999,525200,35.549999
2016-12-09,35.27,35.630001,35.27,35.529999,357300,35.529999
2016-12-08,35.060001,35.43,34.970001,35.23,441700,35.23
2016-12-07,34.799999,35.060001,34.779999,34.970001,364600,34.970001
2016-12-06,34.720001,34.869999,34.66,34.830002,472600,34.830002
2016-12-05,34.84,34.959999,34.52,34.689999,415600,34.689999
2016-12-02,35.209999,35.209999,34.580002,34.75,522300,34.75
2016-12-01,35.41,35.490002,35.189999,35.240002,410100,35.240002
2016-11-30,35.400002,35.419998,35.07,35.360001,654400,35.360001
2016-11-29,35.279999,35.759998,35.259998,35.619999,912900,35.273999
2016-11-28,35.75,35.830002,35.25,35.299999,818500,34.957107
2016-11-25,35.290001,35.799999,35.25,35.599998,814100,35.254193
2016-11-24,35.150002,35.599998,35.150002,35.310001,590200,34.967012
2016-11-23,35.060001,35.669998,35.060001,35.290001,613000,34.947206
2016-11-22,35.23,35.450001,35.080002,35.099998,541600,34.759049
2016-11-21,34.990002,35.299999,34.98,35.25,278600,34.907594
2016-11-18,34.509998,35.060001,34.419998,35.00,477400,34.660022
2016-11-17,34.439999,34.790001,34.360001,34.450001,389800,34.115366
2016-11-16,34.400002,34.529999,34.290001,34.439999,370500,34.105461
2016-11-15,34.799999,34.950001,34.349998,34.549999,317000,34.214393
2016-11-14,34.75,35.150002,34.43,34.740002,539200,34.402549
2016-11-11,34.459999,34.860001,34.389999,34.75,297600,34.412451
2016-11-10,33.830002,34.84,33.66,34.599998,755800,34.263906
2016-11-09,32.57,33.82,32.50,33.490002,593300,33.164692
2016-11-08,33.139999,33.189999,32.91,33.080002,197300,32.758674
2016-11-07,33.349998,33.389999,32.860001,33.110001,289900,32.788382
