Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,23.879999,24.10,23.76,24.030001,329000,24.030001
2017-02-02,23.65,24.00,23.49,23.90,397000,23.90
2017-02-01,24.00,24.120001,23.66,23.719999,408200,23.719999
2017-01-31,23.620001,24.09,23.60,24.049999,549700,24.049999
2017-01-30,24.00,24.00,23.50,23.629999,609400,23.629999
2017-01-27,24.02,24.10,23.75,23.959999,604300,23.959999
2017-01-26,24.299999,24.379999,24.055,24.059999,493100,24.059999
2017-01-25,24.299999,24.389999,24.24,24.360001,389900,24.360001
2017-01-24,24.26,24.34,24.200001,24.33,267300,24.33
2017-01-23,24.309999,24.35,24.07,24.200001,361100,24.200001
2017-01-20,24.299999,24.49,24.219999,24.24,324200,24.24
2017-01-19,24.299999,24.42,24.219999,24.27,346300,24.27
2017-01-18,24.190001,24.42,24.18,24.32,604100,24.32
2017-01-17,23.85,24.17,23.85,24.17,453200,24.17
2017-01-16,23.85,24.01,23.700001,23.93,268800,23.93
2017-01-13,23.84,23.889999,23.74,23.799999,265100,23.799999
2017-01-12,23.709999,23.955,23.629999,23.809999,359000,23.809999
2017-01-11,23.65,23.790001,23.60,23.73,341400,23.73
2017-01-10,23.58,23.65,23.540001,23.65,287900,23.65
2017-01-09,23.639999,23.65,23.540001,23.58,286500,23.58
2017-01-06,23.66,23.68,23.549999,23.610001,362500,23.610001
2017-01-05,23.59,23.68,23.549999,23.639999,388400,23.639999
2017-01-04,23.52,23.700001,23.51,23.549999,484700,23.549999
2017-01-03,23.629999,23.67,23.49,23.540001,319100,23.540001
2016-12-30,23.629999,23.65,23.52,23.58,170800,23.58
2016-12-29,23.450001,23.629999,23.450001,23.620001,459300,23.620001
2016-12-28,23.50,23.50,23.43,23.49,334100,23.49
2016-12-23,23.450001,23.59,23.440001,23.49,297300,23.49
2016-12-22,23.440001,23.58,23.440001,23.49,241700,23.49
2016-12-21,23.469999,23.540001,23.40,23.50,271600,23.50
2016-12-20,23.50,23.52,23.40,23.42,241400,23.42
