Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,11.06,11.40,11.06,11.22,816900,11.22
2017-02-09,10.94,11.12,10.90,11.05,567100,11.05
2017-02-08,11.01,11.05,10.81,10.90,866400,10.90
2017-02-07,11.00,11.18,10.68,10.99,1407600,10.99
2017-02-06,10.60,11.01,10.45,10.89,1719800,10.89
2017-02-03,10.17,10.62,9.75,10.39,2591700,10.39
2017-02-02,10.11,10.20,9.96,10.00,453100,10.00
2017-02-01,10.00,10.13,9.99,10.10,403500,10.10
2017-01-31,9.96,10.29,9.91,10.00,880900,10.00
2017-01-30,10.30,10.30,9.97,10.00,909800,10.00
2017-01-27,10.42,10.43,10.28,10.36,692700,10.36
2017-01-26,10.70,10.70,10.37,10.38,984000,10.38
2017-01-25,10.61,10.88,10.52,10.65,1483500,10.65
2017-01-24,10.03,10.63,9.97,10.49,1561500,10.49
2017-01-23,9.75,10.02,9.69,10.02,1202400,10.02
2017-01-20,9.69,9.78,9.67,9.72,940000,9.72
2017-01-19,9.70,9.71,9.55,9.64,757700,9.64
2017-01-18,9.77,9.83,9.54,9.68,1152100,9.68
2017-01-17,9.99,10.00,9.64,9.77,1417900,9.77
2017-01-16,9.67,9.96,9.63,9.94,1951500,9.94
2017-01-13,9.12,9.51,9.05,9.50,3108900,9.50
2017-01-12,9.50,9.50,8.97,9.08,2124900,9.08
2017-01-11,10.16,10.16,9.26,9.40,2627400,9.40
2017-01-10,10.67,10.81,10.11,10.16,3144000,10.16
2017-01-09,12.22,12.22,11.60,11.66,1035700,11.66
2017-01-06,12.60,12.60,12.02,12.14,1662400,12.14
2017-01-05,12.75,12.75,12.12,12.59,1445200,12.59
2017-01-04,13.24,13.27,13.12,13.13,635900,13.13
2017-01-03,13.27,13.32,13.10,13.19,688000,13.19
2016-12-30,13.27,13.33,13.17,13.19,250100,13.19
2016-12-29,13.44,13.44,13.18,13.27,413900,13.27
2016-12-28,13.28,13.45,13.24,13.39,572700,13.39
2016-12-23,13.13,13.34,13.09,13.19,641000,13.14
2016-12-22,13.21,13.30,13.08,13.10,434500,13.050342
2016-12-21,13.41,13.42,13.10,13.17,443100,13.120076
2016-12-20,13.45,13.48,13.33,13.41,353000,13.359166
2016-12-19,13.46,13.51,13.35,13.42,286300,13.369128
2016-12-16,13.55,13.62,13.48,13.52,420700,13.46875
2016-12-15,13.48,13.59,13.36,13.54,490700,13.488673
2016-12-14,13.52,13.67,13.50,13.52,379600,13.46875
2016-12-13,13.52,13.74,13.45,13.58,792600,13.528522
2016-12-12,13.80,13.80,13.63,13.76,431600,13.70784
2016-12-09,13.83,13.87,13.73,13.83,1158700,13.777574
2016-12-08,13.52,13.81,13.36,13.79,798300,13.737726
2016-12-07,13.55,13.68,13.31,13.45,770300,13.399014
2016-12-06,14.16,14.16,13.50,13.52,1894900,13.46875
2016-12-05,14.91,14.91,14.45,14.54,397000,14.484883
2016-12-02,14.91,15.04,14.82,14.89,285100,14.833556
2016-12-01,14.78,15.35,14.72,14.92,599700,14.863442
2016-11-30,14.92,14.95,14.61,14.77,582900,14.714011
2016-11-29,14.72,15.03,14.45,14.93,798500,14.873405
2016-11-28,14.19,14.82,13.88,14.59,899500,14.534693
2016-11-25,14.04,14.23,13.91,14.13,391400,14.076437
2016-11-24,14.14,14.18,13.97,14.04,221100,13.986778
2016-11-23,14.26,14.44,13.88,13.96,1104900,13.907081
2016-11-22,14.31,14.53,14.17,14.28,745100,14.225868
