Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,11.11,11.60,11.01,11.57,3061500,11.57
2017-02-09,10.81,10.87,10.46,10.73,1698300,10.73
2017-02-08,10.86,10.91,10.66,10.82,2064900,10.82
2017-02-07,10.49,10.63,10.43,10.61,2338900,10.61
2017-02-06,10.41,10.62,10.37,10.49,1293600,10.49
2017-02-03,10.32,10.47,10.16,10.33,1970100,10.33
2017-02-02,10.31,10.59,10.25,10.47,1741000,10.47
2017-02-01,10.31,10.54,10.19,10.45,1874800,10.45
2017-01-31,10.41,10.55,10.07,10.19,2881800,10.19
2017-01-30,10.40,10.52,10.05,10.22,2359300,10.22
2017-01-27,10.22,10.84,10.21,10.57,2665700,10.57
2017-01-26,10.52,10.59,10.13,10.22,2585700,10.22
2017-01-25,9.96,10.77,9.95,10.57,5003700,10.57
2017-01-24,9.50,10.04,9.50,10.01,3443400,10.01
2017-01-23,9.41,9.52,9.21,9.34,1998300,9.34
2017-01-20,9.08,9.31,9.07,9.20,1658900,9.20
2017-01-19,8.90,9.17,8.86,9.02,1663200,9.02
2017-01-18,9.16,9.25,8.81,8.85,1619500,8.85
2017-01-17,9.09,9.45,9.02,9.03,2523500,9.03
2017-01-16,9.39,9.39,9.11,9.17,1289200,9.17
2017-01-13,9.28,9.41,9.20,9.37,3026900,9.37
2017-01-12,9.45,9.46,9.01,9.20,1946800,9.20
2017-01-11,9.15,9.44,9.05,9.13,2226700,9.13
2017-01-10,9.00,9.14,8.90,9.11,3911800,9.11
2017-01-09,8.59,8.76,8.47,8.54,1951600,8.54
2017-01-06,8.63,8.86,8.40,8.55,2135900,8.55
2017-01-05,8.60,8.94,8.53,8.74,2910900,8.74
2017-01-04,8.15,8.57,8.12,8.55,2321800,8.55
2017-01-03,7.87,8.02,7.76,7.99,1866200,7.99
2016-12-30,7.59,8.01,7.56,7.68,1599200,7.68
2016-12-29,7.72,7.74,7.45,7.49,1236500,7.49
2016-12-28,7.70,7.84,7.55,7.68,1409200,7.68
2016-12-23,7.51,7.64,7.48,7.54,704100,7.54
2016-12-22,7.85,7.87,7.56,7.60,1412500,7.60
2016-12-21,8.08,8.30,7.83,7.92,1287900,7.92
2016-12-20,7.72,8.12,7.63,8.12,2695500,8.12
2016-12-19,8.05,8.14,7.49,7.64,2516500,7.64
2016-12-16,8.58,8.74,8.19,8.19,1554500,8.19
2016-12-15,8.44,8.61,8.32,8.56,1439400,8.56
2016-12-14,8.70,8.88,8.57,8.61,3062200,8.61
2016-12-13,8.88,9.06,8.39,8.70,2676600,8.70
2016-12-12,9.23,9.45,8.85,8.97,1866300,8.97
2016-12-09,9.44,9.61,9.26,9.36,1739700,9.36
2016-12-08,9.50,9.73,9.29,9.48,1803100,9.48
2016-12-07,9.40,9.62,9.30,9.50,1770600,9.50
2016-12-06,9.33,9.53,9.18,9.28,1739600,9.28
2016-12-05,9.24,9.66,9.20,9.63,1979000,9.63
2016-12-02,8.79,9.10,8.77,9.07,1279900,9.07
2016-12-01,9.06,9.35,8.87,8.93,1702500,8.93
2016-11-30,9.00,9.34,8.98,9.06,1947100,9.06
2016-11-29,8.88,9.11,8.86,8.98,1869300,8.98
2016-11-28,9.40,9.52,9.11,9.24,2127800,9.24
2016-11-25,9.54,9.55,9.29,9.49,1493600,9.49
2016-11-24,9.49,9.75,9.38,9.49,1657000,9.49
2016-11-23,8.69,9.29,8.60,9.28,3266700,9.28
2016-11-22,8.15,8.89,8.15,8.83,3878800,8.83
2016-11-21,7.98,8.22,7.90,8.08,3062000,8.08
2016-11-18,7.66,7.75,7.55,7.69,1963700,7.69
2016-11-17,7.85,8.00,7.62,7.69,2196500,7.69
2016-11-16,7.66,7.88,7.46,7.70,3332200,7.70
2016-11-15,7.50,8.14,7.43,8.03,3236400,8.03
2016-11-14,7.74,8.40,7.74,7.88,4057300,7.88
2016-11-11,8.22,8.33,7.51,7.75,4022800,7.75
2016-11-10,7.65,8.13,7.64,7.99,6716400,7.99
2016-11-09,7.40,7.67,6.94,7.40,4880800,7.40
2016-11-08,6.50,7.20,6.46,7.10,7676000,7.10
2016-11-07,6.10,6.63,6.05,6.51,4085900,6.51
2016-11-04,6.01,6.13,5.88,5.91,1023700,5.91
2016-11-03,6.02,6.06,5.86,6.00,4290500,6.00
2016-11-02,5.87,5.97,5.43,5.63,1408700,5.63
2016-11-01,5.75,5.90,5.70,5.78,2714900,5.78
2016-10-31,5.51,5.65,5.46,5.65,1161300,5.65
2016-10-28,5.34,5.50,5.29,5.47,1494400,5.47
2016-10-27,5.23,5.32,5.08,5.29,1570200,5.29
2016-10-26,5.35,5.38,5.17,5.17,743800,5.17
2016-10-25,5.43,5.47,5.34,5.35,1942400,5.35
2016-10-24,5.42,5.44,5.32,5.35,1188000,5.35
2016-10-21,5.31,5.41,5.27,5.40,2532700,5.40
2016-10-20,5.35,5.42,5.35,5.37,860700,5.37
2016-10-19,5.42,5.45,5.30,5.39,3139400,5.39
2016-10-18,5.00,5.46,5.00,5.40,2567800,5.40
2016-10-17,5.01,5.07,4.94,5.00,1151000,5.00
2016-10-14,5.04,5.10,4.98,5.01,1640200,5.01
2016-10-13,4.95,5.09,4.85,5.04,1568600,5.04
2016-10-12,5.04,5.11,5.04,5.07,1269800,5.07
2016-10-11,5.03,5.15,5.01,5.06,1168300,5.06
2016-10-07,5.17,5.17,4.96,4.98,1388900,4.98
2016-10-06,5.09,5.16,5.02,5.05,1204700,5.05
2016-10-05,5.17,5.23,5.06,5.16,1551400,5.16
2016-10-04,5.17,5.17,5.02,5.07,2066000,5.07
2016-10-03,5.17,5.25,5.06,5.23,1487400,5.23
2016-09-30,4.97,5.28,4.91,5.19,4124100,5.19
