Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,28.799999,29.85,28.66,29.709999,334300,29.709999
2017-02-09,28.809999,29.190001,27.719999,28.799999,746200,28.799999
2017-02-08,29.959999,30.540001,29.719999,30.370001,388100,30.370001
2017-02-07,29.299999,29.91,29.290001,29.870001,204700,29.870001
2017-02-06,29.50,29.82,29.200001,29.27,183000,29.27
2017-02-03,29.469999,29.790001,29.18,29.360001,273700,29.360001
2017-02-02,29.23,29.25,28.59,28.870001,437400,28.870001
2017-02-01,30.00,30.00,29.08,29.27,209800,29.27
2017-01-31,30.15,30.299999,29.639999,29.73,193500,29.73
2017-01-30,30.09,30.200001,29.83,30.10,112200,30.10
2017-01-27,30.209999,30.25,29.860001,29.98,181600,29.98
2017-01-26,30.00,30.139999,29.780001,30.00,160300,30.00
2017-01-25,29.709999,30.049999,29.50,29.77,337300,29.77
2017-01-24,29.83,30.07,29.540001,29.58,181600,29.58
2017-01-23,29.90,30.139999,29.27,29.629999,107300,29.629999
2017-01-20,29.620001,30.15,29.620001,29.870001,188700,29.870001
2017-01-19,29.67,30.040001,29.549999,29.60,98400,29.60
2017-01-18,29.93,30.07,29.66,29.74,101500,29.74
2017-01-17,29.940001,30.049999,29.59,29.799999,227300,29.799999
2017-01-16,30.040001,30.629999,30.040001,30.50,49900,30.50
2017-01-13,30.389999,30.690001,29.940001,30.059999,153400,30.059999
2017-01-12,31.040001,31.34,30.25,30.43,210000,30.43
2017-01-11,31.379999,31.719999,31.02,31.370001,312400,31.370001
2017-01-10,30.190001,31.24,29.940001,31.120001,253400,31.120001
2017-01-09,30.65,30.65,29.35,30.540001,328000,30.540001
2017-01-06,31.540001,31.629999,31.16,31.280001,101600,31.280001
2017-01-05,31.90,31.98,31.34,31.57,97700,31.57
2017-01-04,31.99,32.00,31.74,31.85,269900,31.85
2017-01-03,31.25,32.259998,31.25,31.790001,215200,31.790001
2016-12-30,31.780001,31.879999,31.23,31.34,164500,31.34
2016-12-29,31.48,31.799999,31.299999,31.549999,304300,31.549999
2016-12-28,30.57,31.58,30.389999,31.10,391500,31.10
2016-12-23,29.76,30.67,29.76,30.50,289000,30.50
2016-12-22,29.299999,29.860001,29.299999,29.790001,130600,29.790001
2016-12-21,29.32,29.549999,29.17,29.34,77600,29.34
2016-12-20,29.879999,30.110001,29.190001,29.360001,90300,29.360001
2016-12-19,30.549999,30.60,29.76,29.860001,88800,29.860001
2016-12-16,29.92,30.84,29.700001,30.379999,245400,30.379999
2016-12-15,29.290001,30.18,29.23,29.940001,163600,29.940001
2016-12-14,29.18,29.59,29.120001,29.23,175300,29.23
2016-12-13,29.17,29.370001,28.809999,29.15,148300,29.15
2016-12-12,30.190001,30.299999,29.040001,29.110001,170600,29.110001
2016-12-09,30.17,30.450001,29.85,30.040001,109200,30.040001
2016-12-08,29.790001,30.74,29.709999,30.16,350800,30.16
2016-12-07,29.41,29.84,28.879999,29.629999,191900,29.629999
2016-12-06,30.15,30.15,29.35,29.58,194100,29.58
2016-12-05,30.59,30.59,30.040001,30.15,206600,30.15
2016-12-02,29.83,30.639999,29.83,30.24,140700,30.24
2016-12-01,30.139999,30.139999,29.26,30.10,167900,30.10
2016-11-30,29.540001,30.25,29.540001,29.719999,178300,29.719999
2016-11-29,28.77,29.83,28.50,29.59,187800,29.59
2016-11-28,28.559999,29.32,28.33,29.120001,493800,29.120001
2016-11-25,28.379999,28.59,28.219999,28.34,79600,28.34
2016-11-24,28.24,28.34,27.950001,28.25,120900,28.25
2016-11-23,27.299999,28.219999,27.299999,27.959999,242300,27.959999
2016-11-22,27.200001,27.68,27.17,27.35,157200,27.35
2016-11-21,27.00,27.309999,26.92,27.15,146400,27.15
2016-11-18,27.129999,27.15,26.76,26.98,196100,26.98
2016-11-17,27.41,27.41,26.790001,27.139999,80600,27.139999
2016-11-16,27.65,27.709999,27.15,27.379999,182500,27.379999
2016-11-15,26.99,27.780001,26.700001,27.549999,199200,27.549999
2016-11-14,26.469999,26.969999,26.200001,26.889999,150800,26.889999
