Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,16.59,17.15,16.59,17.110001,678100,17.110001
2017-02-09,16.139999,16.870001,16.10,16.57,470500,16.57
2017-02-08,15.45,16.280001,15.31,16.15,645000,16.15
2017-02-07,14.80,15.51,14.80,15.44,1917700,15.44
2017-02-06,14.47,14.89,14.25,14.84,312300,14.84
2017-02-03,14.14,14.45,13.91,14.45,180200,14.45
2017-02-02,13.79,14.15,13.62,14.06,178100,14.06
2017-02-01,13.80,13.85,13.49,13.85,159100,13.85
2017-01-31,14.12,14.14,13.62,13.81,151600,13.81
2017-01-30,14.51,14.51,14.12,14.20,81900,14.20
2017-01-27,14.42,14.69,14.40,14.53,70000,14.53
2017-01-26,14.47,14.74,14.19,14.34,88200,14.34
2017-01-25,14.09,14.49,14.09,14.47,132500,14.47
2017-01-24,13.69,14.21,13.66,14.07,144000,14.07
2017-01-23,14.13,14.18,13.52,13.70,127600,13.70
2017-01-20,14.48,14.55,14.06,14.28,77100,14.28
2017-01-19,14.59,14.59,14.30,14.47,94100,14.47
2017-01-18,14.38,14.81,14.32,14.74,88100,14.74
2017-01-17,14.63,14.65,14.41,14.43,109200,14.43
2017-01-16,14.64,14.73,14.50,14.62,294500,14.62
2017-01-13,14.48,14.95,14.48,14.76,126700,14.76
2017-01-12,14.67,14.67,14.45,14.56,130200,14.56
2017-01-11,14.43,14.62,14.37,14.59,85100,14.59
2017-01-10,14.05,14.49,14.05,14.39,99400,14.39
2017-01-09,14.03,14.30,13.97,14.03,169300,14.03
2017-01-06,14.49,14.49,14.01,14.05,183900,14.05
2017-01-05,14.60,14.74,14.25,14.42,311100,14.42
2017-01-04,14.95,15.21,14.95,15.10,82300,15.10
2017-01-03,15.06,15.09,14.66,14.90,83800,14.90
2016-12-30,15.11,15.19,14.98,15.03,67500,15.03
2016-12-29,15.08,15.19,14.89,15.11,51100,15.11
2016-12-28,15.13,15.53,15.06,15.09,57000,15.09
2016-12-23,15.29,15.34,14.94,15.25,67200,15.25
2016-12-22,15.45,15.50,15.07,15.22,53100,15.22
2016-12-21,15.41,15.72,15.39,15.52,91800,15.52
