Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,28.629999,28.77,28.280001,28.639999,1550500,28.639999
2017-02-09,28.50,28.76,28.290001,28.389999,603400,28.389999
2017-02-08,28.07,28.49,27.719999,28.459999,842900,28.459999
2017-02-07,28.299999,28.35,28.00,28.08,843000,28.08
2017-02-06,29.00,29.02,28.190001,28.299999,757000,28.299999
2017-02-03,28.610001,29.139999,28.540001,28.940001,1088600,28.940001
2017-02-02,28.10,28.379999,28.059999,28.360001,639500,28.360001
2017-02-01,28.370001,28.40,28.00,28.10,615600,28.10
2017-01-31,28.459999,28.59,28.139999,28.219999,1306300,28.219999
2017-01-30,28.75,28.75,28.27,28.43,642300,28.43
2017-01-27,28.99,29.030001,28.629999,28.77,480300,28.77
2017-01-26,28.879999,29.07,28.709999,28.99,720100,28.99
2017-01-25,28.98,29.00,28.700001,28.84,1028000,28.84
2017-01-24,28.59,28.870001,28.52,28.75,1793000,28.75
2017-01-23,28.950001,28.950001,28.51,28.540001,410700,28.540001
2017-01-20,28.799999,29.16,28.799999,28.959999,682400,28.959999
2017-01-19,28.559999,28.940001,28.50,28.709999,693300,28.709999
2017-01-18,28.82,28.91,28.48,28.620001,1281900,28.485001
2017-01-17,29.26,29.26,28.690001,28.84,1078600,28.703962
2017-01-16,29.129999,29.26,29.10,29.18,166300,29.042358
2017-01-13,29.24,29.25,29.049999,29.139999,437300,29.002546
2017-01-12,29.440001,29.440001,29.02,29.219999,435000,29.082169
2017-01-11,28.969999,29.40,28.969999,29.309999,584900,29.171744
2017-01-10,29.40,29.42,28.950001,28.950001,702200,28.813444
2017-01-09,29.540001,29.540001,29.25,29.389999,550900,29.251367
2017-01-06,29.700001,29.709999,29.48,29.559999,652600,29.420565
2017-01-05,29.85,29.889999,29.58,29.700001,974500,29.559906
2017-01-04,29.84,30.07,29.77,29.85,1057800,29.709198
2017-01-03,29.75,29.93,29.610001,29.719999,627000,29.57981
2016-12-30,29.85,29.85,29.549999,29.639999,500700,29.500188
2016-12-29,29.73,29.99,29.709999,29.85,453500,29.709198
2016-12-28,29.719999,29.780001,29.459999,29.719999,573400,29.57981
2016-12-23,29.860001,29.870001,29.709999,29.719999,211100,29.57981
2016-12-22,29.549999,29.860001,29.540001,29.84,767300,29.699245
2016-12-21,29.60,29.73,29.540001,29.549999,367800,29.410612
2016-12-20,29.690001,29.700001,29.450001,29.610001,1367300,29.47033
2016-12-19,29.85,30.049999,29.66,29.709999,744200,29.435494
2016-12-16,29.190001,30.00,29.129999,29.790001,5068400,29.514756
2016-12-15,29.00,29.15,28.67,29.08,1063900,28.811315
2016-12-14,29.290001,29.33,28.92,29.02,777400,28.75187
2016-12-13,28.870001,29.42,28.870001,29.290001,1225000,29.019376
2016-12-12,28.43,28.82,28.32,28.74,1160600,28.474457
2016-12-09,28.110001,28.389999,28.10,28.23,546000,27.969169
2016-12-08,28.139999,28.15,27.870001,28.139999,547900,27.88
2016-12-07,27.799999,28.139999,27.66,28.129999,699400,27.870092
2016-12-06,27.50,27.860001,27.299999,27.790001,851200,27.533235
2016-12-05,27.879999,27.879999,27.450001,27.549999,901900,27.295451
2016-12-02,27.370001,27.790001,27.35,27.74,768000,27.483696
2016-12-01,27.60,27.639999,27.35,27.43,886300,27.176561
2016-11-30,27.530001,27.68,27.209999,27.309999,2661300,27.057669
2016-11-29,27.27,27.299999,26.83,27.16,756500,26.909055
2016-11-28,27.700001,27.700001,27.35,27.450001,512900,27.196377
2016-11-25,27.41,27.67,27.33,27.59,459300,27.335082
2016-11-24,27.60,27.60,27.299999,27.469999,740700,27.21619
2016-11-23,27.49,27.709999,27.440001,27.639999,391700,27.38462
2016-11-22,27.76,27.76,27.469999,27.58,564200,27.325175
2016-11-21,27.49,27.85,27.459999,27.68,896200,27.424251
2016-11-18,27.17,27.450001,27.110001,27.35,566800,27.0973
2016-11-17,27.049999,27.41,26.889999,27.33,749000,26.943733
2016-11-16,26.799999,27.030001,26.65,26.90,631400,26.51981
2016-11-15,26.469999,26.73,26.280001,26.700001,675200,26.322638
2016-11-14,26.540001,26.60,25.799999,26.209999,1356100,25.839561
2016-11-11,26.559999,26.700001,26.059999,26.48,902000,26.105746
2016-11-10,27.030001,27.049999,26.559999,26.709999,743400,26.332495
2016-11-09,27.27,27.27,26.780001,26.950001,716400,26.569104
2016-11-08,26.959999,27.200001,26.950001,27.040001,418700,26.657832
2016-11-07,27.00,27.110001,26.76,26.959999,521000,26.578961
2016-11-04,27.09,27.25,26.51,26.57,834900,26.194474
2016-11-03,27.049999,27.16,26.85,27.120001,694200,26.736702
2016-11-02,27.700001,27.780001,26.870001,27.040001,1052100,26.657832
2016-11-01,27.85,27.969999,27.629999,27.780001,783100,27.387373
2016-10-31,27.889999,27.93,27.60,27.809999,727200,27.416948
2016-10-28,28.00,28.370001,27.85,27.959999,509700,27.564828
2016-10-27,28.040001,28.18,27.959999,28.049999,482100,27.653556
2016-10-26,28.09,28.26,27.860001,27.969999,730500,27.574687
2016-10-25,28.65,28.66,28.00,28.24,581200,27.840871
2016-10-24,28.32,28.889999,28.17,28.66,662000,28.254935
2016-10-21,28.25,28.379999,28.16,28.33,600500,27.929599
2016-10-20,27.889999,28.25,27.889999,28.24,727000,27.840871
2016-10-19,28.190001,28.190001,27.969999,28.129999,537700,27.732425
2016-10-18,28.08,28.23,27.959999,28.15,648600,27.62398
2016-10-17,27.950001,28.10,27.809999,27.969999,483200,27.447344
2016-10-14,28.200001,28.379999,27.799999,27.940001,529500,27.417905
2016-10-13,28.049999,28.23,27.90,28.120001,762100,27.594542
2016-10-12,28.07,28.200001,27.84,28.049999,456100,27.525849
2016-10-11,27.700001,28.290001,27.690001,28.139999,1365700,27.614167
2016-10-07,27.809999,27.85,27.450001,27.59,559700,27.074445
2016-10-06,27.75,27.950001,27.75,27.780001,537400,27.260895
2016-10-05,27.90,28.08,27.709999,27.74,549100,27.221642
2016-10-04,27.90,27.90,27.49,27.709999,622400,27.192202
2016-10-03,27.799999,28.040001,27.50,27.889999,600700,27.368839
2016-09-30,27.93,28.01,27.700001,27.700001,697500,27.18239
2016-09-29,27.719999,28.049999,27.68,27.77,568900,27.251082
2016-09-28,27.549999,27.74,27.26,27.700001,1320900,27.18239
2016-09-27,27.200001,27.559999,27.110001,27.389999,473200,26.878182
2016-09-26,27.459999,27.629999,27.299999,27.33,413300,26.819303
2016-09-23,27.540001,27.60,27.40,27.450001,399900,26.937062
2016-09-22,27.620001,27.68,27.43,27.549999,470700,27.035192
2016-09-21,27.360001,27.58,27.23,27.469999,522200,26.956687
2016-09-20,27.360001,27.450001,27.200001,27.209999,654200,26.701545
2016-09-19,27.84,27.85,27.15,27.40,993100,26.760424
2016-09-16,27.41,27.77,27.049999,27.77,2211300,27.121788
2016-09-15,27.16,27.68,27.15,27.43,663500,26.789724
2016-09-14,26.549999,27.10,26.40,27.07,807900,26.438127
2016-09-13,27.549999,27.549999,26.49,26.50,1314800,25.881432
2016-09-12,27.73,27.84,27.43,27.709999,752100,27.063187
2016-09-09,28.50,28.50,27.700001,27.75,893300,27.102254
2016-09-08,28.52,28.790001,28.469999,28.60,760100,27.932414
2016-09-07,28.23,28.43,28.129999,28.40,617300,27.737081
2016-09-06,28.65,28.65,28.120001,28.24,1270800,27.580816
2016-09-02,28.60,28.700001,28.450001,28.65,484500,27.981246
2016-09-01,28.389999,28.559999,28.25,28.52,507400,27.854281
2016-08-31,28.48,28.610001,28.139999,28.52,1012500,27.854281
2016-08-30,28.65,28.73,28.389999,28.49,492000,27.824981
2016-08-29,28.690001,28.74,28.549999,28.66,605500,27.991013
2016-08-26,28.610001,28.780001,28.49,28.74,428400,28.069145
2016-08-25,28.559999,28.74,28.290001,28.559999,647600,27.893346
2016-08-24,28.200001,28.59,28.10,28.530001,1249000,27.864048
2016-08-23,27.709999,28.27,27.709999,28.23,1202900,27.571049
2016-08-22,27.65,27.940001,27.559999,27.68,778000,27.033888
2016-08-19,27.719999,28.030001,27.59,27.75,1058800,27.102254
2016-08-18,27.24,27.950001,27.18,27.700001,1981900,27.053422
2016-08-17,27.299999,27.309999,27.129999,27.25,3129500,26.486959
2016-08-16,27.60,27.700001,27.25,27.299999,763600,26.535559
2016-08-15,27.389999,27.68,27.389999,27.52,756500,26.7494
2016-08-12,27.35,27.48,27.200001,27.280001,643000,26.51612
2016-08-11,27.219999,27.379999,27.16,27.34,819800,26.574439
2016-08-10,27.24,27.27,27.049999,27.129999,951000,26.370319
2016-08-09,27.10,27.290001,27.00,27.16,2383500,26.399479
2016-08-08,27.610001,27.85,27.48,27.780001,676600,27.002119
2016-08-05,27.200001,27.57,27.139999,27.24,662500,26.477239
2016-08-04,27.299999,27.879999,27.09,27.09,616100,26.33144
2016-08-03,27.15,27.559999,26.889999,27.360001,422000,26.59388
2016-08-02,27.01,27.18,26.700001,27.059999,288400,26.302279
2016-07-29,26.76,27.309999,26.50,27.280001,564200,26.51612
2016-07-28,26.83,27.00,26.790001,26.879999,320000,26.127319
2016-07-27,27.360001,27.360001,26.799999,26.85,381400,26.09816
2016-07-26,27.10,27.48,27.10,27.299999,327200,26.535559
2016-07-25,27.469999,27.530001,27.02,27.219999,336000,26.457799
2016-07-22,27.610001,27.639999,27.32,27.52,265700,26.7494
2016-07-21,27.629999,27.809999,27.52,27.540001,341100,26.76884
2016-07-20,27.35,27.780001,27.35,27.610001,512800,26.83688
2016-07-19,27.48,27.549999,27.23,27.52,343200,26.623041
2016-07-18,27.27,27.52,27.110001,27.52,437400,26.623041
2016-07-15,27.51,27.700001,27.129999,27.24,585800,26.352166
2016-07-14,28.040001,28.15,27.42,27.459999,590000,26.564995
2016-07-13,28.00,28.07,27.66,27.82,551700,26.913262
2016-07-12,27.790001,28.030001,27.75,27.99,451400,27.077721
2016-07-11,27.42,27.700001,27.34,27.549999,537500,26.652062
2016-07-08,27.77,27.799999,27.299999,27.34,415300,26.448907
2016-07-07,27.860001,28.030001,27.389999,27.549999,412400,26.652062
2016-07-06,27.540001,27.799999,27.389999,27.719999,519100,26.816521
2016-07-05,27.85,28.17,27.51,27.68,651900,26.777826
2016-07-04,27.59,28.110001,27.58,28.01,416700,27.09707
2016-06-30,27.17,27.50,27.10,27.40,750300,26.506951
2016-06-29,26.99,27.280001,26.98,27.17,719300,26.284448
2016-06-28,26.360001,26.809999,26.23,26.709999,294300,25.83944
2016-06-27,26.129999,26.32,25.719999,26.08,365400,25.229974
2016-06-24,26.00,26.57,25.99,26.360001,472700,25.500849
2016-06-23,26.969999,27.120001,26.870001,26.92,369300,26.042596
2016-06-22,27.299999,27.299999,26.809999,26.809999,338900,25.936181
2016-06-21,26.90,27.42,26.77,27.190001,473800,26.303797
2016-06-20,27.049999,27.23,26.76,26.92,437100,26.042596
2016-06-17,26.60,26.92,26.559999,26.77,1950100,25.771722
2016-06-16,26.700001,26.74,26.24,26.459999,427700,25.473281
2016-06-15,26.92,27.139999,26.709999,26.74,469600,25.74284
2016-06-14,27.51,27.75,26.75,26.959999,675200,25.954636
2016-06-13,27.10,27.700001,26.940001,27.66,629500,26.628533
2016-06-10,27.51,27.67,27.25,27.290001,450300,26.272331
2016-06-09,27.60,27.870001,27.59,27.709999,394300,26.676667
2016-06-08,28.42,28.48,27.559999,27.76,571700,26.724804
2016-06-07,28.01,28.42,27.950001,28.299999,678000,27.244666
2016-06-06,27.629999,28.00,27.469999,27.92,630700,26.878837
2016-06-03,27.15,27.639999,27.09,27.43,574800,26.40711
2016-06-02,26.75,27.190001,26.709999,27.129999,683100,26.118296
2016-06-01,26.530001,27.120001,26.450001,27.10,818600,26.089416
2016-05-31,26.799999,26.940001,26.42,26.65,1499200,25.656196
2016-05-30,27.059999,27.07,26.700001,26.700001,301800,25.704333
2016-05-27,26.870001,27.10,26.67,27.07,478700,26.060534
2016-05-26,27.15,27.209999,26.700001,26.870001,600200,25.867993
2016-05-25,26.719999,27.10,26.68,27.059999,919400,26.050907
2016-05-24,26.85,26.85,26.139999,26.629999,1053700,25.636942
2016-05-20,26.360001,26.90,26.360001,26.52,682800,25.531045
2016-05-19,25.85,26.379999,25.40,26.360001,858500,25.377012
2016-05-18,26.84,26.84,26.01,26.290001,987800,25.18447
2016-05-17,26.309999,27.030001,26.139999,26.780001,1563000,25.653865
2016-05-16,25.84,26.40,25.75,26.299999,706900,25.194048
2016-05-13,25.40,25.700001,25.370001,25.51,394100,24.43727
2016-05-12,26.00,26.110001,25.27,25.450001,734000,24.379793
2016-05-11,25.26,25.889999,25.120001,25.870001,859100,24.782132
2016-05-10,25.299999,25.40,24.92,25.26,637200,24.197782
2016-05-09,25.440001,25.549999,24.93,25.15,661000,24.092408
2016-05-06,25.35,25.780001,25.209999,25.559999,538500,24.485166
2016-05-05,25.469999,25.93,25.190001,25.389999,608400,24.322315
2016-05-04,25.84,25.84,25.200001,25.299999,603300,24.236099
2016-05-03,26.379999,26.450001,25.620001,25.700001,582500,24.61928
2016-05-02,26.799999,26.879999,26.370001,26.530001,512500,25.414378
2016-04-29,26.76,27.02,26.639999,26.83,1209600,25.701762
2016-04-28,26.809999,27.17,26.549999,26.860001,641800,25.730501
2016-04-27,26.799999,27.049999,26.66,26.91,539900,25.778397
2016-04-26,26.530001,27.07,26.41,26.700001,767600,25.577229
2016-04-25,26.84,26.870001,26.309999,26.40,489400,25.289843
2016-04-22,26.90,27.379999,26.709999,26.75,507500,25.625126
2016-04-21,27.02,27.040001,26.700001,26.85,503700,25.720921
2016-04-20,26.540001,27.040001,26.50,26.82,755700,25.692182
2016-04-19,26.75,26.75,26.41,26.620001,779800,25.37606
2016-04-18,26.00,26.84,26.00,26.57,498100,25.328395
2016-04-15,26.40,26.620001,26.049999,26.379999,599000,25.147273
2016-04-14,26.870001,26.950001,26.33,26.77,520900,25.51905
2016-04-13,26.99,27.00,26.48,26.85,508800,25.595312
2016-04-12,26.40,26.889999,26.110001,26.74,658000,25.490451
2016-04-11,26.10,26.32,26.030001,26.25,422700,25.023349
2016-04-08,26.120001,26.34,25.809999,26.040001,693600,24.823163
2016-04-07,26.25,26.299999,25.65,25.93,789300,24.718303
2016-04-06,26.02,26.440001,25.99,26.299999,665400,25.071012
2016-04-05,25.799999,26.049999,25.60,25.870001,639600,24.661107
2016-04-04,26.18,26.43,25.85,25.90,597100,24.689704
2016-04-01,26.43,26.440001,25.799999,25.959999,808300,24.7469
2016-03-31,25.85,26.940001,25.85,26.75,1132300,25.499984
2016-03-30,25.76,26.120001,25.68,25.93,745200,24.718303
2016-03-29,25.049999,25.530001,25.040001,25.379999,616800,24.194003
2016-03-28,25.50,25.620001,25.049999,25.440001,429700,24.2512
2016-03-24,25.27,25.780001,25.10,25.549999,494500,24.356059
2016-03-23,26.040001,26.040001,25.450001,25.549999,464900,24.356059
2016-03-22,25.50,26.07,25.459999,25.83,514300,24.622975
2016-03-21,25.469999,25.700001,25.459999,25.52,474800,24.327462
2016-03-18,26.07,26.120001,25.209999,25.549999,1957700,24.356059
2016-03-17,26.09,26.26,26.00,26.23,948100,24.880358
2016-03-16,26.00,26.190001,25.68,25.809999,690100,24.481968
2016-03-15,25.709999,25.860001,25.549999,25.83,544700,24.50094
2016-03-14,25.790001,25.90,25.58,25.76,706600,24.434542
2016-03-11,25.73,25.98,25.469999,25.90,735700,24.567338
2016-03-10,25.299999,25.40,24.940001,25.24,781900,23.941298
2016-03-09,25.309999,26.120001,25.110001,25.24,1164800,23.941298
2016-03-08,25.50,25.50,24.889999,25.08,944700,23.78953
2016-03-07,25.469999,25.91,25.389999,25.50,1048800,24.18792
2016-03-04,25.139999,25.50,25.00,25.450001,641400,24.140493
2016-03-03,24.950001,25.41,24.690001,24.92,835600,23.637763
2016-03-02,24.66,24.879999,24.16,24.719999,612000,23.448053
2016-03-01,24.99,25.389999,24.52,24.860001,775700,23.580851
2016-02-29,24.59,24.90,24.440001,24.82,1387700,23.542908
2016-02-26,24.18,24.540001,24.10,24.440001,590100,23.182462
2016-02-25,23.91,23.92,23.129999,23.780001,619100,22.556422
2016-02-24,23.389999,23.889999,23.209999,23.799999,923500,22.575391
2016-02-23,24.58,25.09,24.00,24.17,1078100,22.926354
2016-02-22,23.98,24.68,23.85,24.440001,1470300,23.182462
2016-02-19,22.379999,23.530001,22.26,23.43,1429000,22.22443
2016-02-18,22.51,23.00,22.26,22.879999,1302200,21.579418
2016-02-17,21.690001,22.129999,21.26,22.02,1403100,20.768305
2016-02-16,21.07,21.299999,20.85,21.190001,830800,19.985485
2016-02-12,20.73,21.24,20.530001,20.75,896600,19.570496
2016-02-11,20.10,20.67,20.10,20.450001,813700,19.28755
2016-02-10,20.799999,20.98,20.299999,20.48,909900,19.315843
2016-02-09,21.50,21.610001,20.43,20.77,1107700,19.589359
2016-02-08,22.370001,22.379999,21.530001,21.629999,920900,20.400473
