Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,10.00,10.40,9.71,9.82,1128400,9.82
2017-01-23,9.80,9.99,9.77,9.97,192500,9.97
2017-01-20,9.99,10.00,9.81,9.83,90800,9.83
2017-01-19,10.00,10.15,9.74,9.84,560700,9.84
2017-01-18,10.36,10.36,9.64,10.00,649400,10.00
2017-01-17,10.20,10.47,10.19,10.39,218000,10.39
2017-01-16,10.11,10.32,9.97,10.15,75100,10.15
2017-01-13,9.38,10.37,9.34,10.06,1157500,10.06
2017-01-12,9.43,9.56,9.37,9.50,37800,9.50
2017-01-11,9.40,9.69,9.23,9.50,89800,9.50
2017-01-10,9.36,9.42,9.24,9.38,49700,9.38
2017-01-09,9.50,9.50,9.25,9.37,69600,9.37
2017-01-06,9.50,9.60,9.38,9.58,136500,9.58
2017-01-05,9.39,9.68,9.39,9.53,166700,9.53
2017-01-04,9.42,9.45,9.36,9.40,71200,9.40
2017-01-03,9.43,9.45,9.16,9.32,105300,9.32
2016-12-30,9.15,9.43,9.12,9.38,95200,9.38
2016-12-29,9.36,9.43,9.18,9.20,31900,9.20
2016-12-28,9.08,9.60,8.96,9.30,193000,9.30
2016-12-23,9.18,9.22,8.79,9.03,304900,9.03
2016-12-22,9.33,9.41,9.18,9.23,153300,9.23
2016-12-21,9.33,9.42,9.205,9.35,367500,9.35
2016-12-20,9.50,9.63,9.22,9.30,210900,9.30
2016-12-19,9.84,9.89,9.50,9.55,214700,9.55
2016-12-16,8.97,9.96,8.90,9.93,594200,9.93
2016-12-15,8.40,8.62,8.34,8.53,285200,8.53
2016-12-14,8.02,8.50,7.92,8.38,485000,8.38
2016-12-13,8.23,8.23,7.97,8.03,139100,8.03
2016-12-12,8.50,8.51,8.22,8.23,114600,8.23
2016-12-09,8.68,8.69,8.36,8.53,169900,8.53
2016-12-08,9.02,9.10,8.60,8.69,161200,8.69
2016-12-07,9.08,9.23,9.00,9.14,137000,9.14
2016-12-06,8.90,9.09,8.90,9.04,44000,9.04
2016-12-05,9.43,9.60,8.72,8.90,197400,8.90
2016-12-02,9.00,9.75,8.67,9.43,238800,9.43
2016-12-01,8.59,8.97,8.35,8.92,128300,8.92
2016-11-30,8.47,8.55,8.33,8.53,128500,8.53
2016-11-29,8.35,8.43,8.11,8.43,127400,8.43
2016-11-28,8.13,8.47,7.99,8.37,132500,8.37
2016-11-25,8.00,8.13,7.95,8.08,98100,8.08
2016-11-24,7.80,8.00,7.80,7.95,42900,7.95
2016-11-23,7.93,8.00,7.76,7.80,159100,7.80
2016-11-22,8.37,8.51,7.89,8.00,126000,8.00
2016-11-21,8.06,8.30,8.06,8.27,67200,8.27
2016-11-18,8.15,8.26,7.70,8.08,501200,8.08
2016-11-17,8.61,8.63,8.12,8.12,227800,8.12
2016-11-16,8.79,8.80,8.46,8.67,698800,8.67
2016-11-15,8.90,9.10,7.09,8.77,889000,8.77
2016-11-14,9.15,9.41,8.89,9.02,423000,9.02
2016-11-11,8.63,9.07,8.57,9.06,310800,9.06
2016-11-10,8.72,8.96,8.55,8.79,186600,8.79
2016-11-09,8.20,8.70,8.08,8.50,304000,8.50
2016-11-08,9.00,9.01,8.30,8.59,621300,8.59
2016-11-07,7.58,9.25,7.57,8.96,1173000,8.96
2016-11-04,7.41,7.42,6.96,7.13,491100,7.13
2016-11-03,7.73,7.75,7.30,7.40,566800,7.40
2016-11-02,8.12,8.12,7.69,7.75,390900,7.75
2016-11-01,8.30,8.30,7.80,8.12,476000,8.12
2016-10-31,8.50,8.545,8.26,8.29,248300,8.29
2016-10-28,8.28,8.74,8.28,8.55,276200,8.55
2016-10-27,8.81,8.82,8.18,8.25,370100,8.25
2016-10-26,9.20,9.28,8.70,8.82,688100,8.82
2016-10-25,9.60,9.61,9.14,9.25,354500,9.25
2016-10-24,9.82,9.82,9.33,9.50,323800,9.50
2016-10-21,9.54,9.70,9.29,9.30,482400,9.30
2016-10-20,10.05,10.05,9.73,9.85,389700,9.85
2016-10-19,10.09,10.20,9.97,10.00,174300,10.00
2016-10-18,10.33,10.36,9.92,10.06,446700,10.06
2016-10-17,10.21,10.40,10.18,10.30,165100,10.30
2016-10-14,10.50,10.59,10.15,10.20,168600,10.20
2016-10-13,10.28,10.61,10.06,10.48,211700,10.48
2016-10-12,10.50,10.78,10.20,10.28,242800,10.28
2016-10-11,10.87,10.87,10.405,10.45,365200,10.45
2016-10-07,11.15,11.15,10.75,10.90,363700,10.90
2016-10-06,11.27,11.41,11.13,11.21,204200,11.21
2016-10-05,11.16,11.49,11.06,11.18,761800,11.18
2016-10-04,10.54,11.14,10.06,11.03,959600,11.03
2016-10-03,10.80,10.90,10.49,10.60,566500,10.60
2016-09-30,11.07,11.15,10.60,10.80,1061900,10.80
2016-09-29,11.17,11.20,11.00,11.06,391000,11.06
2016-09-28,11.31,11.35,10.96,11.16,260700,11.16
2016-09-27,11.56,11.58,11.40,11.40,323900,11.40
2016-09-26,12.00,12.00,11.42,11.56,472000,11.56
2016-09-23,11.81,12.19,11.77,12.02,659100,12.02
2016-09-22,11.61,12.05,11.61,11.91,468500,11.91
2016-09-21,11.25,11.56,11.20,11.56,390200,11.56
2016-09-20,11.03,11.25,11.02,11.21,163700,11.21
2016-09-19,11.26,11.36,11.06,11.06,125500,11.06
2016-09-16,11.01,11.28,11.01,11.23,252800,11.23
2016-09-15,11.00,11.07,10.87,11.05,489300,11.05
2016-09-14,10.65,10.97,10.58,10.93,261100,10.93
2016-09-13,10.60,10.71,10.56,10.68,200500,10.68
2016-09-12,10.76,10.84,10.64,10.71,270600,10.71
2016-09-09,11.13,11.13,10.73,10.91,376100,10.91
2016-09-08,11.28,11.30,11.02,11.20,175600,11.20
2016-09-07,11.34,11.48,11.00,11.35,421800,11.35
2016-09-06,11.00,11.42,10.75,11.40,898500,11.40
2016-09-02,10.21,10.64,10.18,10.54,869300,10.54
2016-09-01,10.20,10.30,10.00,10.14,408700,10.14
2016-08-31,10.26,10.34,10.09,10.23,197300,10.23
