Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,2.02,2.05,2.01,2.05,34400,2.05
2017-02-09,1.98,2.06,1.98,2.02,127000,2.02
2017-02-08,2.05,2.05,1.98,1.98,53600,1.98
2017-02-07,2.06,2.08,2.02,2.02,86700,2.02
2017-02-06,2.07,2.14,2.05,2.05,24900,2.05
2017-02-03,2.10,2.12,2.09,2.09,2800,2.09
2017-02-02,2.11,2.14,2.07,2.07,19100,2.07
2017-02-01,2.15,2.15,2.08,2.11,5900,2.11
2017-01-31,2.17,2.17,2.06,2.07,31600,2.07
2017-01-30,2.18,2.18,2.08,2.11,15500,2.11
2017-01-27,2.18,2.18,2.15,2.17,22600,2.17
2017-01-26,2.10,2.23,2.10,2.17,136100,2.17
2017-01-25,2.07,2.18,2.03,2.07,13900,2.07
2017-01-24,2.00,2.19,1.97,2.19,40300,2.19
2017-01-23,2.19,2.19,1.94,1.94,54900,1.94
2017-01-20,2.14,2.19,2.10,2.10,36100,2.10
2017-01-19,2.27,2.28,2.13,2.13,57300,2.13
2017-01-18,2.23,2.30,2.19,2.27,19500,2.27
2017-01-17,2.23,2.30,2.22,2.26,55200,2.26
2017-01-16,2.20,2.22,2.11,2.22,69500,2.22
2017-01-13,2.05,2.25,2.03,2.14,77100,2.14
2017-01-12,2.08,2.08,2.02,2.02,10300,2.02
2017-01-11,2.10,2.10,2.02,2.03,21300,2.03
2017-01-10,2.19,2.19,2.03,2.06,90000,2.06
2017-01-09,2.22,2.22,2.06,2.11,54400,2.11
2017-01-06,2.18,2.20,2.13,2.13,55200,2.13
2017-01-05,2.18,2.24,2.13,2.13,80900,2.13
2017-01-04,2.12,2.19,2.12,2.16,55200,2.16
2017-01-03,2.21,2.21,2.11,2.12,13800,2.12
2016-12-30,2.16,2.26,2.15,2.16,20700,2.16
2016-12-29,2.09,2.15,1.90,2.07,66000,2.07
2016-12-28,2.21,2.21,2.14,2.15,6900,2.15
2016-12-23,2.18,2.24,2.15,2.22,7700,2.22
2016-12-22,2.29,2.30,2.19,2.19,87200,2.19
2016-12-21,2.12,2.25,2.12,2.25,45100,2.25
2016-12-20,2.04,2.14,2.04,2.07,32300,2.07
2016-12-19,2.17,2.17,2.07,2.07,32300,2.07
2016-12-16,2.14,2.18,2.07,2.13,62400,2.13
2016-12-15,2.11,2.15,2.11,2.13,51300,2.13
2016-12-14,2.12,2.16,2.12,2.12,52000,2.12
2016-12-13,1.96,2.15,1.96,2.15,63700,2.15
2016-12-12,1.88,2.00,1.86,2.00,87000,2.00
2016-12-09,1.80,1.86,1.80,1.86,40700,1.86
2016-12-08,1.85,1.90,1.77,1.80,98200,1.80
2016-12-07,2.02,2.05,1.86,1.92,106900,1.92
2016-12-06,2.09,2.09,2.05,2.05,18200,2.05
2016-12-05,2.02,2.08,2.01,2.08,21700,2.08
2016-12-02,2.12,2.12,2.03,2.06,15500,2.06
2016-12-01,2.08,2.15,2.01,2.12,41800,2.12
2016-11-30,2.10,2.10,2.05,2.05,14100,2.05
2016-11-29,2.10,2.14,2.08,2.14,53600,2.14
2016-11-28,2.20,2.20,2.03,2.08,86600,2.08
2016-11-25,2.23,2.23,2.18,2.20,5700,2.20
2016-11-24,2.25,2.25,2.16,2.20,20200,2.20
2016-11-23,2.25,2.28,2.17,2.21,40600,2.21
2016-11-22,2.21,2.28,2.15,2.22,67300,2.22
2016-11-21,2.17,2.22,2.10,2.21,28500,2.21
2016-11-18,2.20,2.24,2.15,2.20,38100,2.20
2016-11-17,2.06,2.27,2.06,2.16,78100,2.16
2016-11-16,2.12,2.12,2.05,2.07,81700,2.07
2016-11-15,2.25,2.29,2.11,2.11,103600,2.11
2016-11-14,2.38,2.40,2.25,2.25,127500,2.25
2016-11-11,2.21,2.30,2.11,2.30,191600,2.30
2016-11-10,2.15,2.26,2.02,2.13,373800,2.13
2016-11-09,2.22,2.57,2.10,2.20,303700,2.20
2016-11-08,2.60,2.60,2.36,2.39,141300,2.39
2016-11-07,2.35,2.60,2.34,2.60,119900,2.60
2016-11-04,2.25,2.42,2.00,2.33,265800,2.33
2016-11-03,2.50,2.60,2.30,2.30,125000,2.30
2016-11-02,2.69,2.69,2.39,2.44,174900,2.44
2016-11-01,2.48,2.72,2.48,2.49,293400,2.49
2016-10-31,2.40,2.41,2.35,2.39,72800,2.39
2016-10-28,2.32,2.37,2.28,2.30,44600,2.30
2016-10-27,2.21,2.35,2.20,2.22,101400,2.22
2016-10-26,2.20,2.35,2.18,2.20,40100,2.20
2016-10-25,2.35,2.37,2.20,2.20,134600,2.20
2016-10-24,2.35,2.48,2.32,2.37,172100,2.37
2016-10-21,2.10,2.45,2.05,2.30,194100,2.30
2016-10-20,2.14,2.30,2.13,2.19,123400,2.19
2016-10-19,2.00,2.25,2.00,2.12,150700,2.12
2016-10-18,1.87,1.99,1.84,1.99,100500,1.99
2016-10-17,1.75,1.84,1.75,1.82,40200,1.82
2016-10-14,1.68,1.79,1.68,1.70,71000,1.70
2016-10-13,1.68,1.68,1.62,1.67,53300,1.67
2016-10-12,1.67,1.68,1.67,1.68,1400,1.68
2016-10-11,1.68,1.69,1.64,1.69,18900,1.69
2016-10-07,1.69,1.90,1.64,1.69,78000,1.69
2016-10-06,1.67,1.71,1.65,1.65,4200,1.65
2016-10-05,1.70,1.70,1.65,1.66,14400,1.66
2016-10-04,1.67,1.71,1.67,1.68,4900,1.68
2016-10-03,1.73,1.82,1.73,1.75,8900,1.75
2016-09-30,1.72,1.73,1.67,1.73,5100,1.73
2016-09-29,1.70,1.75,1.67,1.67,6000,1.67
2016-09-28,1.70,1.72,1.63,1.70,25800,1.70
2016-09-27,1.75,1.75,1.75,1.75,5000,1.75
2016-09-26,1.80,1.81,1.77,1.77,25400,1.77
2016-09-23,1.85,1.85,1.80,1.80,13700,1.80
2016-09-22,1.85,1.85,1.81,1.81,12900,1.81
2016-09-21,1.85,1.86,1.80,1.80,120800,1.80
2016-09-20,1.74,1.95,1.64,1.89,189400,1.89
2016-09-19,1.68,1.75,1.68,1.74,42500,1.74
2016-09-16,1.72,1.75,1.66,1.66,45900,1.66
2016-09-15,1.67,1.75,1.67,1.70,36200,1.70
2016-09-14,1.65,1.70,1.65,1.67,4000,1.67
2016-09-13,1.68,1.69,1.62,1.66,10600,1.66
