Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,24.190001,24.24,23.709999,23.780001,94800,23.780001
2017-02-09,24.040001,24.139999,23.77,23.969999,109000,23.969999
2017-02-08,24.459999,24.459999,24.040001,24.07,111900,24.07
2017-02-07,24.57,24.639999,24.48,24.49,63600,24.49
2017-02-06,24.780001,24.91,24.459999,24.60,91900,24.60
2017-02-03,24.860001,24.889999,24.459999,24.620001,68100,24.620001
2017-02-02,23.959999,24.879999,23.959999,24.76,242500,24.76
2017-02-01,23.73,24.02,23.610001,23.940001,120700,23.940001
2017-01-31,23.969999,24.030001,23.51,23.73,724900,23.73
2017-01-30,24.440001,24.639999,23.83,24.00,186700,24.00
2017-01-27,24.219999,24.559999,23.92,24.43,142800,24.43
2017-01-26,24.40,24.40,23.93,24.23,230700,24.23
2017-01-25,24.75,25.049999,24.24,24.379999,266200,24.379999
2017-01-24,24.389999,24.879999,24.280001,24.65,181600,24.65
2017-01-23,24.41,24.50,24.200001,24.389999,153100,24.389999
2017-01-20,24.299999,24.73,24.299999,24.43,97700,24.43
2017-01-19,23.719999,24.40,23.719999,24.27,113000,24.27
2017-01-18,24.01,24.040001,23.60,23.77,126500,23.77
2017-01-17,23.940001,24.15,23.889999,23.98,58700,23.98
2017-01-16,23.610001,24.059999,23.58,23.950001,44300,23.950001
2017-01-13,23.84,23.84,23.549999,23.58,70800,23.58
2017-01-12,24.16,24.16,23.610001,23.809999,99800,23.809999
2017-01-11,23.870001,24.15,23.77,24.139999,94500,24.139999
2017-01-10,23.99,24.040001,23.50,23.860001,144600,23.860001
2017-01-09,23.91,24.059999,23.91,23.959999,78300,23.959999
2017-01-06,24.190001,24.219999,23.84,24.120001,178400,24.120001
2017-01-05,24.50,24.50,24.01,24.129999,122000,24.129999
2017-01-04,24.690001,24.77,24.25,24.459999,151100,24.459999
2017-01-03,24.99,25.059999,24.450001,24.790001,128100,24.790001
2016-12-30,25.450001,25.49,25.17,25.18,60200,25.18
2016-12-29,25.200001,25.469999,25.120001,25.40,74000,25.40
2016-12-28,24.889999,25.33,24.799999,25.24,93700,25.24
2016-12-23,24.91,24.969999,24.709999,24.77,40000,24.77
2016-12-22,24.83,24.83,24.41,24.719999,79100,24.719999
2016-12-21,24.870001,25.040001,24.610001,24.780001,72800,24.780001
2016-12-20,24.60,24.99,24.60,24.84,172900,24.84
2016-12-19,24.82,24.84,24.280001,24.52,138400,24.52
2016-12-16,23.610001,25.08,23.540001,24.809999,193400,24.809999
2016-12-15,23.25,23.77,23.219999,23.540001,255300,23.540001
2016-12-14,23.860001,24.00,23.26,23.299999,315300,23.299999
2016-12-13,24.190001,24.24,23.690001,23.879999,123400,23.879999
2016-12-12,24.85,24.85,24.18,24.209999,243900,24.025999
2016-12-09,24.25,24.83,24.24,24.67,110700,24.482503
2016-12-08,24.700001,24.84,24.16,24.190001,128700,24.006152
2016-12-07,25.040001,25.08,24.629999,24.74,231200,24.551971
2016-12-06,25.43,25.549999,25.09,25.110001,154500,24.91916
2016-12-05,24.959999,25.379999,24.90,25.23,178000,25.038247
2016-12-02,24.610001,25.24,24.360001,24.959999,191700,24.770298
2016-12-01,24.700001,25.74,24.559999,24.639999,241000,24.452731
2016-11-30,24.110001,24.799999,24.110001,24.68,165000,24.492428
2016-11-29,23.83,24.49,23.74,24.09,109700,23.906912
2016-11-28,23.940001,23.98,23.52,23.799999,76100,23.619115
2016-11-25,24.00,24.030001,23.83,23.959999,66200,23.777899
2016-11-24,23.860001,24.040001,23.799999,24.030001,77100,23.847368
2016-11-23,23.67,23.950001,23.67,23.870001,136900,23.688584
