Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,7.47,7.65,7.45,7.65,429200,7.65
2017-02-09,7.59,7.70,7.37,7.49,859800,7.49
2017-02-08,7.80,7.94,7.75,7.94,284400,7.94
2017-02-07,7.88,7.91,7.75,7.77,266300,7.77
2017-02-06,7.75,7.90,7.74,7.87,344100,7.87
2017-02-03,7.67,7.80,7.67,7.74,227200,7.74
2017-02-02,7.71,7.71,7.63,7.66,85300,7.66
2017-02-01,7.79,7.80,7.68,7.71,123600,7.71
2017-01-31,7.65,7.73,7.59,7.73,273000,7.73
2017-01-30,7.71,7.71,7.46,7.61,335300,7.61
2017-01-27,7.72,7.75,7.65,7.69,260700,7.69
2017-01-26,7.67,7.77,7.63,7.68,514900,7.68
2017-01-25,7.60,7.67,7.56,7.63,315200,7.63
2017-01-24,7.41,7.60,7.41,7.54,450800,7.54
2017-01-23,7.40,7.43,7.35,7.41,183200,7.41
2017-01-20,7.37,7.44,7.35,7.38,282800,7.38
2017-01-19,7.25,7.42,7.25,7.34,589400,7.34
2017-01-18,7.20,7.27,7.18,7.25,317500,7.25
2017-01-17,7.16,7.28,7.16,7.18,230400,7.18
2017-01-16,7.21,7.21,7.15,7.16,91800,7.16
2017-01-13,7.22,7.24,7.17,7.19,128700,7.19
2017-01-12,7.17,7.22,7.15,7.19,174200,7.19
2017-01-11,7.20,7.20,7.12,7.17,148900,7.17
2017-01-10,7.18,7.19,7.12,7.17,177600,7.17
2017-01-09,7.24,7.24,7.10,7.17,210300,7.17
2017-01-06,7.24,7.30,7.09,7.22,221600,7.22
2017-01-05,7.38,7.38,7.15,7.21,374500,7.21
2017-01-04,7.35,7.37,7.28,7.36,247500,7.36
2017-01-03,7.35,7.38,7.28,7.30,240300,7.30
2016-12-30,7.38,7.39,7.32,7.34,134900,7.34
2016-12-29,7.27,7.35,7.20,7.35,217400,7.35
2016-12-28,7.20,7.28,7.18,7.26,216400,7.26
2016-12-23,7.17,7.24,7.13,7.16,175000,7.16
2016-12-22,7.22,7.22,7.11,7.14,112700,7.14
2016-12-21,7.09,7.24,7.02,7.21,301700,7.21
2016-12-20,7.20,7.20,7.02,7.05,282000,7.05
2016-12-19,7.20,7.26,7.16,7.17,251000,7.17
2016-12-16,7.11,7.20,7.11,7.18,392200,7.18
2016-12-15,7.00,7.22,6.96,7.10,402100,7.10
2016-12-14,7.24,7.27,6.99,7.00,440000,7.00
2016-12-13,7.30,7.39,7.20,7.22,325300,7.22
2016-12-12,7.51,7.55,7.38,7.40,305300,7.275
2016-12-09,7.49,7.52,7.42,7.46,290700,7.333986
2016-12-08,7.38,7.45,7.35,7.45,273800,7.324155
2016-12-07,7.40,7.43,7.24,7.35,417700,7.225844
2016-12-06,7.41,7.52,7.39,7.41,201500,7.284831
2016-12-05,7.49,7.57,7.41,7.42,185300,7.294662
2016-12-02,7.57,7.58,7.42,7.43,246300,7.304493
2016-12-01,7.45,7.58,7.41,7.55,312700,7.422466
2016-11-30,7.36,7.47,7.32,7.35,271000,7.225844
2016-11-29,7.38,7.43,7.33,7.36,223400,7.235676
2016-11-28,7.37,7.46,7.24,7.38,200800,7.255338
2016-11-25,7.36,7.42,7.33,7.36,169600,7.235676
2016-11-24,7.30,7.36,7.26,7.36,120000,7.235676
2016-11-23,7.21,7.31,7.20,7.29,221200,7.166858
2016-11-22,7.27,7.37,7.02,7.22,563100,7.09804
2016-11-21,7.34,7.36,7.21,7.26,366500,7.137365
2016-11-18,7.23,7.36,7.20,7.24,411400,7.117702
2016-11-17,6.99,7.24,6.95,7.17,343100,7.048885
2016-11-16,6.85,7.04,6.85,6.99,356200,6.871925
2016-11-15,6.84,6.99,6.81,6.89,457500,6.773615
2016-11-14,6.67,6.81,6.59,6.80,414000,6.685135
2016-11-11,6.79,6.85,6.59,6.64,385100,6.527838
2016-11-10,6.70,6.88,6.64,6.79,522500,6.675304
2016-11-09,6.65,6.68,6.58,6.58,245700,6.468851
2016-11-08,6.76,6.83,6.71,6.74,201300,6.626148
2016-11-07,6.97,6.99,6.82,6.83,196000,6.714628
2016-11-04,6.80,6.92,6.78,6.91,286600,6.793277
2016-11-03,6.87,6.87,6.75,6.79,161600,6.675304
2016-11-02,6.95,7.00,6.82,6.86,359900,6.744122
2016-11-01,7.03,7.17,6.91,7.01,592200,6.891588
2016-10-31,7.16,7.16,7.03,7.04,144100,6.921081
2016-10-28,7.19,7.23,7.09,7.12,244400,6.99973
2016-10-27,7.20,7.23,7.17,7.21,148400,7.088209
2016-10-26,7.15,7.30,7.15,7.19,387200,7.068547
2016-10-25,7.11,7.24,7.10,7.18,245800,7.058716
2016-10-24,7.16,7.22,7.10,7.16,414800,7.039054
2016-10-21,7.18,7.26,7.15,7.18,306000,7.058716
2016-10-20,7.17,7.23,7.13,7.17,346800,7.048885
2016-10-19,7.13,7.23,7.08,7.16,310100,7.039054
2016-10-18,7.11,7.19,7.04,7.07,860800,6.950574
2016-10-17,7.04,7.16,6.97,7.05,333600,6.930912
2016-10-14,7.00,7.18,6.91,7.02,548400,6.901419
2016-10-13,6.95,7.02,6.83,6.95,442100,6.832601
2016-10-12,6.69,6.97,6.65,6.95,1701700,6.832601
2016-10-11,6.54,6.54,6.41,6.44,347600,6.331216
2016-10-07,6.58,6.60,6.50,6.52,341400,6.409865
2016-10-06,6.60,6.65,6.55,6.59,241100,6.478683
2016-10-05,6.62,6.64,6.55,6.57,289800,6.45902
2016-10-04,6.59,6.65,6.57,6.61,281200,6.498345
2016-10-03,6.67,6.69,6.57,6.61,215300,6.498345
2016-09-30,6.62,6.69,6.57,6.65,302500,6.537669
2016-09-29,6.77,6.78,6.61,6.63,221100,6.518007
2016-09-28,6.70,6.79,6.61,6.77,210300,6.655642
2016-09-27,6.74,6.80,6.66,6.67,217100,6.557331
2016-09-26,6.84,6.91,6.78,6.78,214300,6.665473
2016-09-23,6.96,6.97,6.80,6.81,269700,6.694966
2016-09-22,7.00,7.04,6.91,6.93,240200,6.812939
2016-09-21,7.16,7.17,6.97,6.97,371900,6.852263
2016-09-20,6.89,7.16,6.89,7.12,423400,6.99973
2016-09-19,6.87,6.97,6.81,6.84,439700,6.72446
2016-09-16,6.70,6.99,6.67,6.82,981700,6.704797
2016-09-15,6.80,6.81,6.61,6.64,299000,6.527838
2016-09-14,6.75,6.85,6.75,6.80,186300,6.685135
2016-09-13,7.15,7.15,6.68,6.74,485100,6.626148
2016-09-12,7.25,7.25,7.16,7.22,192300,6.975152
2016-09-09,7.22,7.26,7.19,7.22,144400,6.975152
2016-09-08,7.26,7.28,7.21,7.24,181500,6.994473
2016-09-07,7.21,7.27,7.17,7.26,156000,7.013796
2016-09-06,7.21,7.31,7.15,7.23,317900,6.984813
2016-09-02,7.18,7.25,7.13,7.19,250500,6.946169
2016-09-01,7.20,7.25,7.11,7.14,350800,6.897865
2016-08-31,7.25,7.29,7.16,7.22,190000,6.975152
2016-08-30,7.30,7.33,7.23,7.24,108900,6.994473
2016-08-29,7.28,7.38,7.25,7.28,247500,7.033117
2016-08-26,7.36,7.41,7.27,7.28,258300,7.033117
2016-08-25,7.22,7.37,7.21,7.37,152900,7.120065
2016-08-24,7.39,7.40,7.13,7.20,267000,6.95583
2016-08-23,7.49,7.49,7.34,7.37,195200,7.120065
2016-08-22,7.35,7.41,7.33,7.41,2495900,7.158708
2016-08-19,7.35,7.41,7.28,7.36,188000,7.110404
2016-08-18,7.31,7.41,7.30,7.38,171900,7.129726
2016-08-17,7.09,7.36,7.08,7.36,314200,7.110404
2016-08-16,7.16,7.19,7.05,7.09,379500,6.849561
2016-08-15,7.37,7.37,7.04,7.11,562000,6.868882
2016-08-12,7.36,7.42,7.16,7.31,346400,7.0621
2016-08-11,7.82,7.90,7.20,7.20,1176400,6.95583
2016-08-10,7.87,7.91,7.82,7.85,221600,7.583787
2016-08-09,7.91,7.94,7.84,7.87,263700,7.603109
2016-08-08,7.87,7.98,7.87,7.91,203800,7.641752
2016-08-05,7.95,8.02,7.87,7.93,90900,7.661074
2016-08-04,7.92,7.96,7.87,7.92,100800,7.651413
2016-08-03,7.90,7.96,7.79,7.94,130900,7.670735
2016-08-02,8.02,8.09,7.83,7.87,328700,7.603109
2016-07-29,8.19,8.19,8.07,8.11,125600,7.834969
2016-07-28,8.06,8.22,8.06,8.16,152100,7.883274
2016-07-27,8.19,8.25,8.03,8.05,97900,7.777005
2016-07-26,8.12,8.20,8.06,8.18,109800,7.902596
2016-07-25,8.20,8.24,8.13,8.13,234900,7.854292
2016-07-22,8.15,8.22,8.12,8.18,164100,7.902596
2016-07-21,8.11,8.20,8.11,8.16,141500,7.883274
2016-07-20,8.02,8.20,8.00,8.14,297300,7.863953
2016-07-19,8.03,8.15,7.96,7.99,141600,7.719039
2016-07-18,7.92,8.05,7.87,8.03,307400,7.757683
2016-07-15,7.88,7.93,7.84,7.88,188800,7.61277
2016-07-14,7.82,7.93,7.80,7.87,384000,7.603109
2016-07-13,7.85,7.86,7.78,7.80,568900,7.535483
2016-07-12,7.95,7.98,7.76,7.83,531000,7.564465
2016-07-11,7.93,8.02,7.92,7.94,392900,7.670735
2016-07-08,7.88,8.02,7.84,7.90,435100,7.632092
2016-07-07,8.00,8.07,7.82,7.82,345600,7.554805
2016-07-06,7.87,7.99,7.84,7.93,191200,7.661074
2016-07-05,7.85,8.00,7.85,7.94,120200,7.670735
2016-07-04,7.96,8.03,7.86,7.90,71600,7.632092
2016-06-30,7.90,7.91,7.84,7.84,241100,7.574126
2016-06-29,7.87,8.09,7.84,7.91,172300,7.641752
2016-06-28,7.87,7.89,7.78,7.82,254100,7.554805
2016-06-27,7.90,7.92,7.77,7.79,252300,7.525822
2016-06-24,7.91,8.03,7.85,7.95,196300,7.680396
2016-06-23,8.23,8.25,8.02,8.04,176500,7.767344
2016-06-22,8.11,8.23,8.10,8.21,162100,7.931579
2016-06-21,8.01,8.12,7.99,8.11,85800,7.834969
2016-06-20,7.96,8.17,7.96,8.04,136200,7.767344
2016-06-17,8.09,8.19,7.77,7.91,894500,7.641752
2016-06-16,8.14,8.21,7.96,8.09,213000,7.815648
2016-06-15,8.20,8.33,8.17,8.21,170000,7.931579
2016-06-14,8.20,8.26,8.13,8.21,94400,7.931579
2016-06-13,8.27,8.30,8.11,8.23,416700,7.9509
2016-06-10,8.34,8.40,8.31,8.36,184500,7.955731
2016-06-09,8.36,8.43,8.31,8.38,143900,7.974764
2016-06-08,8.42,8.53,8.36,8.44,169600,8.031862
2016-06-07,8.54,8.54,8.31,8.41,220600,8.003313
2016-06-06,8.63,8.73,8.56,8.57,125100,8.155576
2016-06-03,8.50,8.67,8.47,8.61,196000,8.193641
2016-06-02,8.30,8.53,8.28,8.48,204200,8.069928
2016-06-01,8.20,8.44,8.13,8.31,267800,7.908149
2016-05-31,8.18,8.24,8.15,8.16,265900,7.765402
2016-05-30,8.25,8.33,8.13,8.21,77800,7.812985
2016-05-27,8.00,8.31,8.00,8.23,440600,7.832017
2016-05-26,8.14,8.18,8.01,8.03,292600,7.641689
2016-05-25,8.00,8.24,7.99,8.11,293400,7.71782
2016-05-24,8.01,8.14,7.90,7.94,230900,7.556041
2016-05-20,7.91,7.92,7.84,7.89,316200,7.508459
2016-05-19,7.82,7.92,7.72,7.86,872300,7.47991
2016-05-18,7.98,7.98,7.71,7.71,331100,7.337163
2016-05-17,7.95,8.02,7.94,7.96,144100,7.575074
2016-05-16,8.05,8.06,7.97,7.97,108900,7.58459
2016-05-13,8.06,8.06,7.92,7.99,122100,7.603623
2016-05-12,8.20,8.31,8.04,8.06,205800,7.670239
2016-05-11,7.93,8.16,7.88,8.15,233100,7.755886
2016-05-10,7.70,7.96,7.63,7.91,321300,7.527492
2016-05-09,7.72,7.80,7.65,7.68,153600,7.308614
2016-05-06,7.71,7.71,7.65,7.69,206700,7.318131
2016-05-05,7.81,7.81,7.70,7.70,88400,7.327647
2016-05-04,7.81,7.89,7.75,7.75,161200,7.375229
2016-05-03,8.07,8.12,7.64,7.80,286200,7.422811
2016-05-02,7.95,8.12,7.95,8.12,84700,7.727337
2016-04-29,8.09,8.10,7.95,7.99,458400,7.603623
2016-04-28,7.88,8.16,7.88,8.09,233100,7.698788
2016-04-27,7.80,7.97,7.80,7.95,423400,7.565557
2016-04-26,7.87,7.92,7.75,7.79,313500,7.413295
2016-04-25,7.78,7.82,7.75,7.82,148900,7.441844
2016-04-22,7.85,7.89,7.70,7.78,221800,7.403778
2016-04-21,7.75,7.83,7.69,7.81,178500,7.432328
2016-04-20,7.92,7.96,7.70,7.71,336200,7.337163
2016-04-19,7.82,7.92,7.81,7.92,104200,7.537008
2016-04-18,7.80,7.90,7.77,7.79,130800,7.413295
2016-04-15,8.00,8.01,7.75,7.82,170500,7.441844
2016-04-14,7.75,8.02,7.69,8.01,299100,7.622656
2016-04-13,7.61,7.72,7.60,7.69,258900,7.318131
2016-04-12,7.76,7.77,7.60,7.61,220900,7.241999
2016-04-11,7.69,7.79,7.67,7.76,95800,7.384746
2016-04-08,7.80,7.80,7.65,7.67,107800,7.299098
2016-04-07,7.85,7.88,7.69,7.72,65600,7.34668
2016-04-06,7.84,7.90,7.81,7.84,139200,7.460877
2016-04-05,7.90,7.94,7.75,7.84,219500,7.460877
2016-04-04,7.90,7.94,7.79,7.92,142400,7.537008
2016-04-01,7.75,7.92,7.68,7.90,235100,7.517975
2016-03-31,7.97,7.97,7.72,7.72,353400,7.34668
2016-03-30,7.90,8.03,7.87,7.92,184100,7.537008
2016-03-29,7.79,7.92,7.76,7.89,107700,7.508459
2016-03-28,7.89,7.89,7.70,7.84,93100,7.460877
2016-03-24,7.84,7.89,7.74,7.85,184600,7.470393
2016-03-23,7.85,7.93,7.80,7.82,138400,7.441844
2016-03-22,8.07,8.07,7.83,7.86,265500,7.47991
2016-03-21,7.78,8.13,7.78,8.08,323500,7.689271
2016-03-18,8.10,8.10,7.64,7.75,669100,7.375229
2016-03-17,8.00,8.09,7.95,8.05,180300,7.660722
2016-03-16,8.03,8.04,7.88,7.97,183800,7.58459
2016-03-15,7.85,8.15,7.80,8.01,291600,7.622656
2016-03-14,7.90,7.93,7.79,7.84,192600,7.460877
2016-03-11,8.02,8.05,7.88,7.90,263600,7.517975
2016-03-10,8.14,8.24,8.00,8.07,241300,7.560799
