Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,4.68,4.76,4.64,4.75,3755800,4.75
2017-01-26,4.70,4.83,4.67,4.70,4627700,4.70
2017-01-25,4.98,4.99,4.77,4.86,5683200,4.86
2017-01-24,4.99,5.13,4.96,5.06,12212900,5.06
2017-01-23,4.87,5.00,4.82,4.99,5102100,4.99
2017-01-20,4.71,4.84,4.67,4.78,4247700,4.78
2017-01-19,4.70,4.81,4.62,4.68,4820500,4.68
2017-01-18,4.73,4.85,4.64,4.70,6364900,4.70
2017-01-17,4.61,4.75,4.57,4.73,9257200,4.73
2017-01-16,4.44,4.47,4.40,4.47,523100,4.47
2017-01-13,4.25,4.42,4.24,4.41,4301400,4.41
2017-01-12,4.53,4.56,4.30,4.36,6736800,4.36
2017-01-11,4.44,4.48,4.31,4.44,6126200,4.44
2017-01-10,4.47,4.52,4.40,4.48,5090300,4.48
2017-01-09,4.51,4.54,4.40,4.42,7963400,4.42
2017-01-06,4.51,4.54,4.34,4.41,9742000,4.41
2017-01-05,4.49,4.62,4.45,4.58,10126900,4.58
2017-01-04,4.47,4.48,4.33,4.38,6221600,4.38
2017-01-03,4.23,4.42,4.21,4.41,5650200,4.41
2016-12-30,4.42,4.53,4.17,4.19,5729600,4.19
2016-12-29,4.27,4.48,4.26,4.40,5073200,4.40
2016-12-28,4.07,4.24,4.05,4.21,5180300,4.21
2016-12-23,3.96,4.04,3.94,3.97,3359300,3.97
2016-12-22,3.92,4.01,3.90,3.93,3663900,3.93
2016-12-21,4.05,4.06,3.96,3.99,2004300,3.99
2016-12-20,3.98,4.04,3.87,4.04,4393400,4.04
2016-12-19,4.04,4.13,4.01,4.04,4792700,4.04
2016-12-16,4.27,4.27,4.07,4.07,16431900,4.07
2016-12-15,4.12,4.20,4.00,4.17,6317800,4.17
2016-12-14,4.55,4.67,4.25,4.25,7006700,4.25
2016-12-13,4.36,4.48,4.32,4.47,5084600,4.47
2016-12-12,4.26,4.37,4.20,4.35,3925300,4.35
2016-12-09,4.40,4.40,4.22,4.23,4701600,4.23
2016-12-08,4.50,4.51,4.40,4.43,4593800,4.43
2016-12-07,4.59,4.61,4.45,4.50,4463200,4.50
2016-12-06,4.54,4.63,4.46,4.49,4985400,4.49
2016-12-05,4.45,4.58,4.31,4.52,7419400,4.52
2016-12-02,4.46,4.69,4.43,4.61,4068300,4.61
2016-12-01,4.39,4.54,4.29,4.41,5115300,4.41
2016-11-30,4.45,4.47,4.34,4.44,5951300,4.44
2016-11-29,4.40,4.59,4.39,4.52,3412100,4.52
2016-11-28,4.39,4.54,4.28,4.54,5525600,4.54
2016-11-25,4.32,4.38,4.26,4.30,2373200,4.30
2016-11-24,4.25,4.32,4.23,4.27,980000,4.27
2016-11-23,4.42,4.42,4.20,4.26,7330700,4.26
2016-11-22,4.61,4.65,4.46,4.64,4480000,4.64
2016-11-21,4.65,4.72,4.56,4.61,4749800,4.61
2016-11-18,4.65,4.77,4.50,4.58,5186900,4.58
2016-11-17,4.89,5.01,4.66,4.79,7267100,4.79
2016-11-16,4.86,4.87,4.70,4.85,5443900,4.85
2016-11-15,4.58,4.84,4.52,4.81,6817600,4.81
2016-11-14,4.21,4.76,4.20,4.56,8995800,4.56
2016-11-11,4.80,4.87,4.39,4.39,7748000,4.39
2016-11-10,5.32,5.32,4.79,4.82,8407700,4.82
2016-11-09,5.72,5.73,5.20,5.32,7192200,5.32
2016-11-08,5.31,5.42,5.15,5.20,8088000,5.20
2016-11-07,5.30,5.42,5.27,5.28,5542500,5.28
2016-11-04,5.75,5.75,5.49,5.50,6738700,5.50
