Date,Open,High,Low,Close,Volume,Adj Close
2017-01-31,6.45,6.46,6.35,6.44,606900,6.44
2017-01-30,6.55,6.58,6.28,6.30,653900,6.30
2017-01-27,6.31,6.54,6.30,6.53,313700,6.53
2017-01-26,6.14,6.50,6.13,6.41,902200,6.41
2017-01-25,6.58,6.73,6.33,6.39,861000,6.39
2017-01-24,6.89,6.95,6.64,6.70,546500,6.70
2017-01-23,6.82,6.95,6.73,6.90,410000,6.90
2017-01-20,6.68,6.85,6.57,6.76,961100,6.76
2017-01-19,6.80,6.86,6.52,6.68,1390100,6.68
2017-01-18,7.01,7.04,6.79,6.88,938100,6.88
2017-01-17,7.00,7.03,6.77,7.02,1995000,7.02
2017-01-16,6.77,6.82,6.65,6.82,162800,6.82
2017-01-13,6.43,6.80,6.37,6.77,1143600,6.77
2017-01-12,6.75,6.75,6.46,6.50,701300,6.50
2017-01-11,6.54,6.70,6.42,6.68,1817900,6.68
2017-01-10,6.48,6.69,6.48,6.59,891900,6.59
2017-01-09,6.45,6.63,6.31,6.44,1309700,6.44
2017-01-06,6.33,6.54,6.15,6.31,1476100,6.31
2017-01-05,6.34,6.51,6.27,6.49,1179900,6.49
2017-01-04,6.43,6.44,6.08,6.21,859400,6.21
2017-01-03,6.25,6.39,6.18,6.37,1121100,6.37
2016-12-30,6.43,6.52,6.15,6.25,1106700,6.25
2016-12-29,6.20,6.40,5.98,6.37,938000,6.37
2016-12-28,5.65,6.05,5.59,5.99,648600,5.99
2016-12-23,5.57,5.67,5.52,5.55,371100,5.55
2016-12-22,5.51,5.68,5.50,5.54,444400,5.54
2016-12-21,5.50,5.60,5.44,5.52,476600,5.52
2016-12-20,5.33,5.53,5.29,5.52,667300,5.52
2016-12-19,5.42,5.58,5.38,5.51,743600,5.51
2016-12-16,5.62,5.71,5.40,5.46,12642600,5.46
2016-12-15,5.75,5.78,5.45,5.53,2022900,5.53
2016-12-14,6.20,6.30,5.90,5.93,5088400,5.93
2016-12-13,6.24,6.33,6.06,6.13,915000,6.13
2016-12-12,6.52,6.52,6.22,6.24,1554500,6.24
2016-12-09,6.47,6.62,6.41,6.42,1139800,6.42
2016-12-08,6.56,6.63,6.40,6.51,555900,6.51
2016-12-07,6.77,6.84,6.51,6.58,795800,6.58
2016-12-06,6.78,6.81,6.67,6.71,700600,6.71
2016-12-05,6.81,6.82,6.60,6.79,962800,6.79
2016-12-02,6.58,7.00,6.53,6.88,1451900,6.88
2016-12-01,6.40,6.61,6.23,6.49,1115300,6.49
2016-11-30,6.57,6.57,6.41,6.50,1179600,6.50
2016-11-29,6.53,6.62,6.48,6.56,721100,6.56
2016-11-28,6.45,6.68,6.36,6.59,748000,6.59
2016-11-25,6.62,6.64,6.33,6.42,472100,6.42
2016-11-24,6.43,6.52,6.43,6.49,133000,6.49
