Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,6.63,6.77,6.53,6.74,2303400,6.74
2017-01-23,6.82,6.82,6.47,6.54,1530700,6.54
2017-01-20,6.90,7.06,6.80,6.82,894000,6.82
2017-01-19,6.86,6.87,6.70,6.80,798700,6.80
2017-01-18,6.78,6.91,6.64,6.74,1238700,6.74
2017-01-17,6.85,6.96,6.79,6.84,820400,6.84
2017-01-16,6.80,6.82,6.72,6.80,170600,6.80
2017-01-13,6.75,6.93,6.70,6.82,579800,6.82
2017-01-12,6.88,6.89,6.65,6.82,1772600,6.82
2017-01-11,6.84,6.92,6.73,6.76,876000,6.76
2017-01-10,7.05,7.14,6.74,6.79,1259000,6.79
2017-01-09,7.23,7.25,6.98,7.02,847500,7.02
2017-01-06,7.31,7.36,7.16,7.27,1205400,7.27
2017-01-05,7.12,7.49,7.08,7.29,2381900,7.29
2017-01-04,6.86,6.92,6.73,6.88,1048700,6.88
2017-01-03,6.88,7.00,6.70,6.85,1122200,6.85
2016-12-30,6.71,6.84,6.71,6.77,365800,6.77
2016-12-29,6.69,6.75,6.60,6.73,239200,6.73
2016-12-28,6.70,6.79,6.68,6.69,380500,6.69
2016-12-23,6.71,6.71,6.58,6.59,434900,6.59
2016-12-22,6.75,6.78,6.67,6.69,556100,6.69
2016-12-21,6.66,6.83,6.63,6.72,959600,6.72
2016-12-20,6.51,6.63,6.45,6.61,913900,6.61
2016-12-19,6.42,6.51,6.39,6.45,525600,6.45
2016-12-16,6.53,6.58,6.45,6.49,928000,6.49
2016-12-15,6.38,6.63,6.32,6.46,1346900,6.46
2016-12-14,6.67,6.74,6.44,6.46,2290200,6.46
2016-12-13,6.64,6.84,6.51,6.76,1239300,6.76
2016-12-12,6.88,7.06,6.49,6.54,2268700,6.54
2016-12-09,6.64,6.68,6.53,6.54,1480100,6.54
2016-12-08,6.57,6.61,6.43,6.57,593000,6.57
2016-12-07,6.59,6.71,6.48,6.50,860300,6.50
2016-12-06,6.63,6.68,6.59,6.62,1150100,6.62
2016-12-05,6.81,6.90,6.64,6.68,1330500,6.68
2016-12-02,6.67,6.81,6.63,6.68,1325600,6.68
2016-12-01,6.58,7.06,6.58,6.69,2404100,6.69
2016-11-30,6.20,6.44,6.12,6.39,2876500,6.39
2016-11-29,5.76,5.90,5.69,5.71,2241800,5.71
2016-11-28,6.14,6.15,5.93,5.93,1243100,5.93
2016-11-25,6.34,6.34,6.04,6.05,2036200,6.05
2016-11-24,6.36,6.40,6.31,6.36,309500,6.36
2016-11-23,6.29,6.50,6.29,6.35,635400,6.35
2016-11-22,6.42,6.50,6.23,6.39,591400,6.39
2016-11-21,6.29,6.57,6.29,6.41,1813600,6.41
2016-11-18,6.07,6.24,6.06,6.09,923300,6.09
2016-11-17,6.17,6.27,6.03,6.03,2633900,6.03
2016-11-16,6.17,6.18,6.04,6.09,1800500,6.09
2016-11-15,6.02,6.26,6.02,6.19,1666800,6.19
2016-11-14,5.62,5.98,5.62,5.94,1253100,5.94
2016-11-11,5.65,5.74,5.43,5.65,1593300,5.65
2016-11-10,6.06,6.06,5.68,5.71,3367800,5.71
2016-11-09,5.81,6.11,5.81,6.10,2622600,6.10
2016-11-08,6.05,6.12,5.85,5.86,2218400,5.86
2016-11-07,6.18,6.22,6.05,6.12,1021700,6.12
2016-11-04,5.91,6.07,5.87,6.00,1318400,6.00
2016-11-03,5.95,6.12,5.95,6.00,966200,6.00
2016-11-02,6.06,6.15,5.93,5.97,1650600,5.97
2016-11-01,6.02,6.23,5.99,6.18,1321300,6.18
2016-10-31,6.02,6.03,5.87,5.93,1410100,5.93
2016-10-28,6.22,6.30,6.01,6.05,841600,6.05
2016-10-27,6.27,6.35,6.21,6.23,1456400,6.23
2016-10-26,6.31,6.47,6.00,6.17,3649500,6.17
