Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,59.830002,60.32,59.759998,60.099998,46600,60.099998
2017-02-09,58.900002,59.959999,58.900002,59.66,53700,59.66
2017-02-08,58.82,59.099998,58.549999,58.98,47500,58.98
2017-02-07,58.709999,59.07,58.560001,59.00,82800,59.00
2017-02-06,58.720001,59.00,58.540001,58.709999,64000,58.709999
2017-02-03,59.099998,59.400002,58.77,58.900002,75600,58.900002
2017-02-02,58.639999,59.029999,58.549999,58.84,66200,58.84
2017-02-01,59.189999,59.27,58.43,58.759998,80900,58.759998
2017-01-31,58.990002,59.119999,58.389999,58.860001,186000,58.860001
2017-01-30,59.779999,59.790001,58.919998,59.139999,84100,59.139999
2017-01-27,60.07,60.330002,59.610001,59.779999,68100,59.779999
2017-01-26,60.119999,60.459999,59.970001,60.060001,81800,60.060001
2017-01-25,59.669998,60.400002,59.369999,59.959999,155000,59.959999
2017-01-24,57.66,59.650002,57.66,59.580002,221600,59.580002
2017-01-23,57.709999,58.09,57.619999,57.84,118100,57.84
2017-01-20,58.50,58.75,57.75,57.93,101200,57.93
2017-01-19,58.209999,58.669998,58.200001,58.389999,51600,58.389999
2017-01-18,58.52,58.599998,57.939999,58.299999,100800,58.299999
2017-01-17,58.259998,58.66,58.119999,58.580002,94700,58.580002
2017-01-16,58.450001,58.470001,57.98,58.299999,51800,58.299999
2017-01-13,58.580002,58.950001,58.200001,58.470001,87500,58.470001
2017-01-12,58.919998,59.259998,58.240002,58.66,124400,58.66
2017-01-11,58.330002,59.259998,58.290001,59.080002,91900,59.080002
2017-01-10,58.599998,58.66,58.299999,58.41,60300,58.41
2017-01-09,58.50,58.939999,58.23,58.650002,62200,58.650002
2017-01-06,58.75,58.84,58.450001,58.689999,44800,58.689999
2017-01-05,58.799999,59.169998,58.549999,58.790001,61600,58.790001
2017-01-04,58.23,58.880001,57.900002,58.700001,107600,58.700001
2017-01-03,57.990002,58.84,57.98,58.310001,106400,58.310001
2016-12-30,58.00,58.00,57.669998,57.73,48300,57.73
2016-12-29,58.200001,58.360001,56.700001,57.939999,86800,57.939999
2016-12-28,58.66,59.209999,58.650002,58.82,96900,58.21
2016-12-23,58.66,58.939999,58.560001,58.849998,64200,58.239688
2016-12-22,58.220001,58.790001,58.18,58.720001,87800,58.111039
2016-12-21,58.150002,58.540001,58.150002,58.349998,159800,57.744873
2016-12-20,58.009998,58.540001,57.669998,58.25,149900,57.645912
2016-12-19,58.209999,58.349998,57.700001,58.060001,100600,57.457884
2016-12-16,57.91,58.52,57.610001,58.209999,451200,57.606326
2016-12-15,57.41,58.119999,57.41,57.720001,161100,57.121409
2016-12-14,57.299999,57.82,57.130001,57.599998,229600,57.002651
2016-12-13,57.299999,57.75,57.040001,57.43,207900,56.834416
2016-12-12,57.09,57.349998,56.75,57.299999,202700,56.705763
2016-12-09,56.650002,57.110001,56.540001,57.00,98400,56.408875
2016-12-08,55.490002,56.75,55.400002,56.549999,146700,55.963541
2016-12-07,55.029999,55.48,55.029999,55.380001,187400,54.805677
2016-12-06,53.799999,55.23,53.799999,55.060001,176500,54.488995
2016-12-05,54.290001,54.450001,53.98,54.240002,88500,53.6775
2016-12-02,54.009998,54.310001,53.799999,54.09,85700,53.529054
2016-12-01,53.540001,54.290001,53.349998,54.09,136500,53.529054
2016-11-30,53.459999,53.639999,53.25,53.349998,103700,52.796726
2016-11-29,52.889999,53.400002,52.66,53.400002,77900,52.846211
2016-11-28,53.349998,53.490002,52.77,52.889999,60800,52.341498
2016-11-25,53.529999,53.73,53.400002,53.450001,44500,52.895692
2016-11-24,53.369999,53.709999,53.360001,53.509998,28000,52.955067
2016-11-23,53.029999,53.549999,52.880001,53.509998,134600,52.955067
2016-11-22,52.580002,53.139999,52.509998,53.029999,130700,52.480045
2016-11-21,51.889999,52.59,51.889999,52.419998,154300,51.876371
2016-11-18,51.25,51.77,51.240002,51.650002,68100,51.114359
2016-11-17,50.860001,51.23,50.599998,51.189999,71900,50.659127
2016-11-16,50.98,50.98,50.59,50.720001,56900,50.194004
2016-11-15,51.00,51.130001,50.73,51.040001,204700,50.510685
2016-11-14,50.77,51.110001,50.68,51.040001,113100,50.510685
2016-11-11,50.57,50.810001,50.330002,50.580002,52100,50.055456
2016-11-10,50.169998,50.91,50.09,50.799999,149000,50.273172
2016-11-09,49.09,50.119999,49.09,49.970001,119900,49.451782
2016-11-08,49.709999,49.939999,49.349998,49.759998,46100,49.243957
2016-11-07,49.419998,49.869999,49.400002,49.709999,113400,49.194476
2016-11-04,49.599998,49.630001,49.049999,49.290001,89000,48.778833
2016-11-03,49.599998,49.869999,49.529999,49.700001,78700,49.184581
2016-11-02,50.060001,50.060001,49.560001,49.630001,81600,49.115308
2016-11-01,49.610001,50.16,49.540001,50.150002,252400,49.629915
2016-10-31,49.799999,50.049999,49.57,49.57,124400,49.055928
2016-10-28,49.68,49.790001,49.59,49.740002,89200,49.224167
2016-10-27,49.73,49.860001,49.369999,49.68,89600,49.164788
2016-10-26,49.299999,49.869999,49.290001,49.59,171600,49.075721
2016-10-25,49.400002,49.490002,49.220001,49.439999,79900,48.927276
2016-10-24,49.50,49.599998,49.200001,49.32,40900,48.808521
2016-10-21,48.919998,49.75,48.75,49.34,100100,48.828314
2016-10-20,48.68,49.130001,48.68,48.950001,49200,48.442359
2016-10-19,48.849998,48.849998,48.59,48.650002,47500,48.145471
2016-10-18,48.84,48.849998,48.549999,48.75,68500,48.244433
2016-10-17,48.73,48.759998,48.509998,48.57,60300,48.066299
2016-10-14,48.869999,49.060001,48.669998,48.700001,65000,48.194952
2016-10-13,48.639999,48.919998,48.400002,48.759998,70000,48.254327
2016-10-12,48.68,48.849998,48.509998,48.720001,61900,48.214745
2016-10-11,48.880001,48.98,48.529999,48.68,83400,48.175159
2016-10-07,49.360001,49.459999,48.509998,48.810001,145200,48.303812
2016-10-06,49.599998,49.860001,49.240002,49.330002,122500,48.81842
2016-10-05,49.630001,50.18,49.549999,49.619999,224800,49.105409
2016-10-04,48.919998,50.029999,48.919998,49.540001,281300,49.026241
2016-10-03,49.18,49.400002,48.380001,48.669998,116700,48.16526
2016-09-30,49.150002,49.369999,48.84,49.02,202300,48.511633
2016-09-29,49.509998,49.700001,48.959999,49.220001,145500,48.70956
2016-09-28,49.099998,49.939999,49.09,49.939999,304200,48.828313
2016-09-27,48.68,49.130001,48.599998,49.09,294400,47.997236
2016-09-26,48.52,48.75,48.299999,48.599998,115100,47.518142
2016-09-23,48.869999,48.869999,48.529999,48.68,76800,47.596363
2016-09-22,48.709999,48.970001,48.599998,48.73,88700,47.645249
2016-09-21,48.450001,48.93,48.400002,48.68,92200,47.596363
2016-09-20,48.52,48.639999,48.290001,48.290001,84500,47.215045
2016-09-19,48.389999,48.689999,48.169998,48.380001,86000,47.303042
2016-09-16,48.32,48.560001,48.110001,48.110001,138700,47.039051
2016-09-15,48.259998,48.709999,48.189999,48.470001,74800,47.391038
2016-09-14,48.330002,48.43,48.060001,48.259998,104100,47.18571
2016-09-13,48.50,48.549999,48.18,48.279999,82400,47.205265
2016-09-12,48.77,48.889999,48.43,48.599998,82200,47.518142
2016-09-09,49.209999,49.25,48.77,48.959999,81600,47.870129
2016-09-08,49.439999,49.450001,49.099998,49.27,78400,48.173229
2016-09-07,49.639999,49.639999,49.25,49.400002,54200,48.300336
2016-09-06,49.450001,49.73,49.34,49.57,85500,48.46655
2016-09-02,49.50,49.630001,49.369999,49.509998,372000,48.407885
2016-09-01,49.240002,49.450001,48.720001,49.419998,116000,48.319888
2016-08-31,48.900002,49.599998,48.900002,49.16,185200,48.065677
2016-08-30,49.07,49.59,49.07,49.50,146100,48.398109
2016-08-29,49.189999,49.290001,49.009998,49.150002,76000,48.055901
2016-08-26,48.77,49.200001,48.759998,49.139999,99500,48.046122
2016-08-25,48.50,48.779999,48.48,48.759998,102000,47.67458
2016-08-24,48.189999,48.720001,48.189999,48.529999,101600,47.4497
2016-08-23,48.41,48.599998,48.200001,48.27,60200,47.19549
2016-08-22,48.00,48.299999,47.889999,48.259998,37900,47.18571
2016-08-19,48.110001,48.220001,47.75,48.169998,170100,47.097713
2016-08-18,48.52,48.599998,48.130001,48.299999,62900,47.224821
2016-08-17,48.630001,48.740002,48.400002,48.619999,80200,47.537697
2016-08-16,48.400002,48.91,48.259998,48.73,117000,47.645249
2016-08-15,48.150002,48.470001,48.130001,48.41,37000,47.332373
2016-08-12,48.509998,48.650002,47.939999,48.130001,223600,47.058607
2016-08-11,49.00,49.00,48.619999,48.709999,107600,47.625694
2016-08-10,48.950001,49.299999,48.84,48.939999,98400,47.850573
2016-08-09,49.139999,49.299999,48.759998,48.82,98500,47.733246
2016-08-08,48.400002,49.290001,48.380001,49.139999,143000,48.046122
2016-08-05,48.07,48.43,48.07,48.330002,40400,47.254155
2016-08-04,48.220001,48.220001,47.830002,48.02,91400,46.951055
2016-08-03,47.939999,48.450001,47.939999,48.150002,54800,47.078162
2016-08-02,48.490002,48.59,47.810001,48.02,155900,46.951055
2016-07-29,48.50,48.709999,48.389999,48.41,63700,47.332373
2016-07-28,48.709999,48.860001,48.259998,48.529999,86200,47.4497
2016-07-27,48.630001,48.84,48.580002,48.639999,80200,47.557252
2016-07-26,48.900002,48.900002,48.459999,48.470001,125900,47.391038
2016-07-25,48.970001,49.099998,48.630001,48.799999,86200,47.71369
2016-07-22,48.75,49.299999,48.639999,48.959999,257700,47.870129
2016-07-21,48.669998,48.84,48.540001,48.740002,415600,47.655028
2016-07-20,48.610001,48.700001,48.369999,48.669998,531000,47.586583
2016-07-19,48.599998,48.77,48.549999,48.639999,112500,47.557252
2016-07-18,48.650002,48.810001,48.48,48.619999,82500,47.537697
2016-07-15,48.700001,48.73,48.580002,48.650002,63500,47.567032
2016-07-14,48.720001,48.799999,48.549999,48.599998,88400,47.518142
2016-07-13,48.66,48.810001,48.450001,48.549999,85700,47.469256
2016-07-12,48.669998,48.959999,48.529999,48.66,115600,47.576807
2016-07-11,48.43,48.619999,48.43,48.549999,65200,47.469256
2016-07-08,48.279999,48.59,48.200001,48.220001,129600,47.146603
2016-07-07,48.16,48.299999,47.91,48.099998,70600,47.029272
2016-07-06,48.169998,48.310001,47.950001,48.060001,104600,46.990165
2016-07-05,48.43,48.459999,48.110001,48.290001,165200,47.215045
2016-07-04,48.27,48.59,48.27,48.459999,132800,47.381259
2016-06-30,48.349998,48.48,47.669998,48.240002,607800,47.166159
2016-06-29,49.650002,49.650002,49.349998,49.549999,78600,48.446995
2016-06-28,49.549999,49.93,49.439999,49.869999,100400,48.173228
2016-06-27,50.00,50.00,48.810001,48.990002,158000,47.323172
2016-06-24,50.02,51.220001,50.02,50.130001,76400,48.424384
