Date,Open,High,Low,Close,Volume,Adj Close
2017-02-08,18.889999,18.889999,18.08,18.40,203700,18.40
2017-02-07,18.57,19.17,18.440001,18.57,110000,18.57
2017-02-06,18.719999,18.91,18.469999,18.559999,110800,18.559999
2017-02-03,19.09,19.09,18.68,18.76,154100,18.76
2017-02-02,19.17,19.43,19.00,19.040001,186400,19.040001
2017-02-01,18.690001,19.60,18.379999,19.540001,261400,19.540001
2017-01-31,19.129999,19.389999,18.60,18.780001,129700,18.780001
2017-01-30,18.99,19.190001,18.60,18.92,209800,18.92
2017-01-27,18.75,19.389999,18.74,19.26,118500,19.26
2017-01-26,19.32,19.469999,18.51,18.780001,176100,18.780001
2017-01-25,19.139999,19.60,19.059999,19.40,168100,19.40
2017-01-24,18.889999,19.50,18.889999,19.139999,204700,19.139999
2017-01-23,18.49,18.77,18.24,18.76,120100,18.76
2017-01-20,17.77,18.35,17.709999,18.25,166500,18.25
2017-01-19,18.01,18.200001,17.790001,17.889999,112300,17.889999
2017-01-18,18.82,18.82,18.10,18.18,129700,18.18
2017-01-17,19.00,19.18,18.67,18.809999,266300,18.809999
2017-01-16,19.17,19.77,19.07,19.129999,80700,19.129999
2017-01-13,19.219999,19.33,18.870001,19.17,108200,19.17
2017-01-12,19.360001,19.40,19.08,19.27,198600,19.27
2017-01-11,18.74,19.25,18.68,19.07,268600,19.07
2017-01-10,18.10,18.67,18.10,18.530001,179900,18.530001
2017-01-09,17.219999,18.110001,17.219999,17.76,183100,17.76
2017-01-06,18.290001,18.290001,17.379999,17.700001,241100,17.700001
2017-01-05,18.559999,18.700001,18.42,18.51,91600,18.51
2017-01-04,18.799999,18.799999,18.24,18.549999,340600,18.549999
2017-01-03,18.66,18.83,18.639999,18.709999,99800,18.709999
2016-12-30,18.84,18.84,18.51,18.620001,118700,18.620001
2016-12-29,18.73,18.82,18.58,18.73,108300,18.73
2016-12-28,18.40,18.73,18.379999,18.709999,116000,18.709999
2016-12-23,18.59,18.719999,18.309999,18.40,91400,18.15
2016-12-22,18.92,18.93,18.33,18.440001,128900,18.189457
2016-12-21,18.74,19.110001,18.59,18.969999,212200,18.712255
2016-12-20,18.629999,18.870001,18.18,18.58,271700,18.327555
2016-12-19,19.120001,19.309999,18.610001,18.75,205600,18.495245
2016-12-16,19.18,19.629999,19.110001,19.40,496600,19.136413
2016-12-15,19.280001,19.66,19.25,19.40,232200,19.136413
2016-12-14,19.690001,19.950001,19.209999,19.25,366800,18.988451
2016-12-13,19.799999,20.110001,19.65,19.959999,184700,19.688804
2016-12-12,20.00,20.139999,19.049999,19.74,752200,19.471794
2016-12-09,20.50,20.50,20.00,20.25,275000,19.974864
2016-12-08,20.00,20.549999,19.950001,20.41,419000,20.13269
2016-12-07,18.700001,19.879999,18.700001,19.639999,357100,19.373152
2016-12-06,18.60,18.950001,18.34,18.639999,168400,18.386739
2016-12-05,17.950001,18.700001,17.870001,18.629999,206500,18.376875
2016-12-02,17.790001,18.00,17.639999,17.91,194400,17.666658
2016-12-01,17.629999,17.950001,17.610001,17.75,182000,17.508832
2016-11-30,17.77,17.98,17.40,17.440001,196800,17.203044
2016-11-29,17.65,17.799999,17.43,17.690001,292500,17.449648
2016-11-28,17.879999,18.10,17.540001,17.700001,220400,17.459512
2016-11-25,17.65,17.959999,17.40,17.76,162600,17.518696
2016-11-24,17.540001,17.879999,17.40,17.610001,132500,17.370735
2016-11-23,17.459999,17.469999,17.059999,17.299999,360300,17.064945
2016-11-22,17.00,17.93,17.00,17.469999,537400,17.232636
2016-11-21,16.10,16.950001,16.10,16.879999,161100,16.650652
2016-11-18,16.299999,16.549999,16.120001,16.18,148900,15.960164
2016-11-17,16.379999,16.75,16.309999,16.42,425600,16.196903
2016-11-16,16.24,16.52,15.95,16.34,920500,16.11799
2016-11-15,16.110001,16.450001,15.82,16.280001,1159800,16.058805
2016-11-14,16.52,16.67,16.08,16.280001,823900,16.058805
2016-11-11,16.450001,16.780001,16.129999,16.549999,285000,16.325135
2016-11-10,16.030001,16.57,16.030001,16.370001,443500,16.147583
2016-11-09,15.72,16.690001,15.60,15.99,703700,15.772745
2016-11-08,14.90,16.75,14.68,16.09,389800,15.871386
2016-11-07,14.51,14.85,14.51,14.80,243300,14.598914
2016-11-04,14.11,14.46,13.97,14.34,72400,14.145163
2016-11-03,14.15,14.40,14.07,14.20,62600,14.007065
2016-11-02,14.70,14.70,14.05,14.16,109700,13.967609
2016-11-01,14.69,14.93,14.45,14.50,225800,14.302989
2016-10-31,14.54,14.75,14.45,14.69,88700,14.490407
2016-10-28,14.36,14.77,14.36,14.58,276600,14.381902
2016-10-27,13.71,14.43,13.71,14.39,263900,14.194484
2016-10-26,13.85,14.06,13.72,13.72,145800,13.533587
2016-10-25,13.99,14.02,13.73,13.99,257900,13.799919
2016-10-24,13.78,13.78,13.42,13.50,114800,13.316576
2016-10-21,13.55,13.75,13.50,13.61,120100,13.425081
2016-10-20,13.75,13.90,13.59,13.62,166700,13.434946
2016-10-19,13.80,14.22,13.72,13.96,152000,13.770326
2016-10-18,13.61,13.87,13.51,13.72,99900,13.533587
2016-10-17,13.62,13.62,13.33,13.51,102600,13.326441
2016-10-14,13.85,13.85,13.42,13.54,105200,13.356033
2016-10-13,13.66,13.86,13.41,13.81,113300,13.622365
2016-10-12,13.21,13.89,13.21,13.79,210300,13.602636
2016-10-11,13.48,13.59,13.03,13.20,134400,13.020652
2016-10-07,13.41,13.52,13.28,13.48,67600,13.296848
2016-10-06,13.07,13.44,13.07,13.39,53000,13.208071
2016-10-05,13.35,13.45,13.04,13.22,79900,13.040381
2016-10-04,13.52,13.62,13.09,13.09,101100,12.912147
2016-10-03,13.90,13.90,13.45,13.67,122300,13.484267
2016-09-30,13.84,13.98,13.71,13.90,112500,13.711141
2016-09-29,13.62,13.87,13.51,13.78,122000,13.592772
2016-09-28,13.49,13.56,13.23,13.53,138900,13.346168
2016-09-27,13.37,13.56,13.32,13.52,80100,13.089701
2016-09-26,13.63,13.64,13.46,13.48,85200,13.050974
2016-09-23,13.53,13.65,13.44,13.60,69400,13.167155
2016-09-22,13.85,14.11,13.48,13.55,131400,13.118746
2016-09-21,13.63,13.93,13.46,13.74,193500,13.302699
2016-09-20,13.14,13.43,13.00,13.42,137300,12.992884
2016-09-19,13.27,13.42,12.89,13.00,134800,12.586251
2016-09-16,13.22,13.39,13.11,13.14,151400,12.721795
2016-09-15,13.10,13.36,13.04,13.27,72500,12.847658
2016-09-14,13.22,13.44,12.98,13.09,103700,12.673387
2016-09-13,13.08,13.21,12.82,13.02,110100,12.605615
2016-09-12,13.20,13.34,12.95,13.33,102300,12.905748
2016-09-09,13.29,13.40,13.24,13.29,163700,12.867021
2016-09-08,12.98,13.52,12.79,13.46,213500,13.031611
2016-09-07,13.19,13.24,12.63,12.67,184900,12.266754
2016-09-06,13.18,13.57,13.14,13.19,124100,12.770203
2016-09-02,13.18,13.23,12.93,13.06,93700,12.644342
2016-09-01,12.96,13.22,12.89,12.99,157200,12.576569
2016-08-31,13.00,13.12,12.77,13.00,115700,12.586251
2016-08-30,13.25,13.31,13.05,13.14,83700,12.721795
2016-08-29,13.38,13.53,13.16,13.25,117500,12.828294
2016-08-26,13.26,13.60,13.14,13.45,115200,13.021929
2016-08-25,13.05,13.28,12.95,13.11,107000,12.69275
2016-08-24,13.35,13.35,12.95,13.01,226100,12.595933
2016-08-23,13.35,13.38,13.31,13.33,88200,12.905748
2016-08-22,13.11,13.47,13.02,13.33,178800,12.905748
2016-08-19,13.11,13.30,13.05,13.20,93200,12.779885
2016-08-18,13.10,13.46,13.07,13.24,119200,12.818612
2016-08-17,13.11,13.22,13.02,13.07,244900,12.654023
2016-08-16,13.37,13.37,13.01,13.21,125400,12.789567
2016-08-15,13.21,13.55,13.21,13.24,131400,12.818612
2016-08-12,13.42,13.70,13.10,13.17,133400,12.75084
2016-08-11,13.57,13.75,13.27,13.36,143800,12.934793
2016-08-10,14.04,14.07,13.52,13.56,192900,13.128428
2016-08-09,14.25,14.40,13.93,13.99,133500,13.544742
2016-08-08,14.20,14.53,14.08,14.30,246800,13.844876
2016-08-05,14.06,14.23,13.60,14.05,245500,13.602833
2016-08-04,13.90,14.18,13.57,14.09,194500,13.64156
2016-08-03,14.50,14.51,13.90,13.93,316800,13.486652
2016-08-02,14.90,15.02,14.40,14.49,101200,14.028829
2016-07-29,14.49,15.04,14.32,14.96,306200,14.48387
2016-07-28,14.43,14.50,14.29,14.45,226800,13.990102
2016-07-27,14.75,14.75,14.24,14.35,117900,13.893285
2016-07-26,14.44,14.83,14.40,14.56,109900,14.096601
2016-07-25,14.81,14.85,14.34,14.40,108400,13.941693
2016-07-22,14.75,14.90,14.66,14.76,108000,14.290236
2016-07-21,14.65,14.92,14.60,14.79,128800,14.319281
2016-07-20,14.29,14.82,14.10,14.62,257000,14.154691
2016-07-19,14.45,14.80,14.28,14.53,206200,14.067556
2016-07-18,15.16,15.16,14.60,14.90,136600,14.42578
2016-07-15,15.35,15.50,15.07,15.30,318700,14.813049
2016-07-14,15.00,15.44,14.92,15.33,361900,14.842094
2016-07-13,14.70,15.04,14.66,14.78,300200,14.309599
2016-07-12,14.34,14.63,14.30,14.61,372600,14.145009
2016-07-11,13.79,14.34,13.78,14.11,184100,13.660923
2016-07-08,13.00,13.80,12.80,13.64,163100,13.205882
2016-07-07,13.21,13.28,13.03,13.07,99400,12.654023
2016-07-06,13.18,13.32,12.91,13.14,160400,12.721795
2016-07-05,12.98,13.36,12.78,13.34,232300,12.91543
2016-07-04,12.50,13.21,12.40,13.15,181200,12.731477
2016-06-30,12.28,12.49,12.17,12.41,109000,12.015029
2016-06-29,12.24,12.25,11.98,12.21,91600,11.821394
2016-06-28,11.75,12.10,11.58,11.94,128400,11.559987
2016-06-27,11.96,12.17,11.53,11.68,132600,11.06622
2016-06-24,12.01,12.43,11.93,12.07,218400,11.435725
2016-06-23,12.50,12.74,12.38,12.49,178100,11.833654
2016-06-22,12.88,12.99,12.20,12.30,195800,11.653639
2016-06-21,12.97,12.97,12.51,12.78,164400,12.108414
2016-06-20,12.67,13.07,12.56,13.04,92900,12.354752
2016-06-17,12.42,12.83,12.42,12.56,311600,11.899976
2016-06-16,12.51,12.57,12.07,12.34,181100,11.691537
2016-06-15,12.30,12.98,12.30,12.68,117300,12.01367
2016-06-14,12.32,12.34,11.97,12.15,94500,11.511521
2016-06-13,12.14,12.80,12.14,12.36,115100,11.710485
2016-06-10,12.65,12.74,12.18,12.31,106000,11.663113
2016-06-09,13.00,13.06,12.67,12.69,109000,12.023144
2016-06-08,12.90,13.10,12.81,12.97,110800,12.28843
2016-06-07,12.87,13.09,12.65,12.74,108200,12.070516
2016-06-06,12.56,13.05,12.55,12.89,153200,12.212634
2016-06-03,12.04,12.40,11.95,12.37,210500,11.71996
2016-06-02,11.55,11.96,11.44,11.85,140700,11.227286
2016-06-01,11.75,12.07,11.61,11.64,146500,11.028322
2016-05-31,11.75,12.20,11.55,11.80,311900,11.179913
2016-05-30,11.70,11.95,11.50,11.71,69300,11.094643
2016-05-27,11.64,12.02,11.22,11.54,320900,10.933576
2016-05-26,11.91,11.91,11.47,11.47,342700,10.867255
2016-05-25,11.49,11.88,11.38,11.83,135200,11.208337
2016-05-24,12.22,12.22,11.33,11.50,198800,10.895678
2016-05-20,12.25,12.31,11.94,12.04,98300,11.407301
2016-05-19,11.98,12.40,11.76,12.25,230400,11.606266
2016-05-18,12.19,12.29,11.85,11.94,179600,11.312556
2016-05-17,12.10,12.54,11.95,12.34,94300,11.691537
2016-05-16,12.23,12.39,11.90,12.08,141100,11.445199
2016-05-13,12.41,12.41,11.57,11.67,196400,11.056745
2016-05-12,12.80,12.88,12.20,12.34,141800,11.691537
2016-05-11,12.69,12.86,12.56,12.71,105800,12.042093
2016-05-10,12.13,12.60,12.13,12.56,162100,11.899976
2016-05-09,13.10,13.10,12.01,12.13,293400,11.492572
