Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,2.98,2.99,2.97,2.97,142100,2.97
2017-02-02,2.99,2.99,2.95,2.98,211100,2.98
2017-02-01,2.98,3.02,2.93,2.99,574100,2.99
2017-01-31,2.93,3.00,2.92,2.94,484200,2.94
2017-01-30,3.01,3.01,2.89,2.93,362700,2.93
2017-01-27,3.08,3.09,3.01,3.02,157000,3.02
2017-01-26,3.17,3.17,3.05,3.06,213000,3.06
2017-01-25,3.05,3.17,3.05,3.17,604300,3.17
2017-01-24,2.89,3.00,2.88,2.97,215000,2.97
2017-01-23,2.94,2.96,2.83,2.87,388600,2.87
2017-01-20,3.03,3.04,2.92,2.93,296900,2.93
2017-01-19,2.95,3.03,2.95,3.02,167300,3.02
2017-01-18,2.98,2.99,2.89,2.93,327700,2.93
2017-01-17,3.06,3.06,2.98,2.99,288300,2.99
2017-01-16,3.10,3.10,3.07,3.10,70100,3.10
2017-01-13,3.12,3.12,3.09,3.10,290400,3.10
2017-01-12,3.08,3.10,3.07,3.09,317600,3.09
2017-01-11,3.10,3.10,3.05,3.06,161500,3.06
2017-01-10,3.09,3.13,3.09,3.10,359500,3.10
2017-01-09,3.10,3.11,3.07,3.07,197400,3.07
2017-01-06,3.09,3.09,3.05,3.09,153200,3.09
2017-01-05,3.14,3.14,3.09,3.10,255500,3.10
2017-01-04,3.16,3.17,3.10,3.11,242000,3.11
2017-01-03,3.14,3.17,3.07,3.11,369600,3.11
2016-12-30,3.15,3.17,3.03,3.04,426900,3.04
2016-12-29,3.05,3.18,3.05,3.13,430600,3.13
2016-12-28,3.05,3.08,3.00,3.01,369800,3.01
2016-12-23,3.01,3.03,3.00,3.03,698200,3.03
2016-12-22,2.97,3.04,2.97,2.98,208700,2.98
2016-12-21,2.90,2.96,2.89,2.95,587100,2.95
2016-12-20,2.91,2.96,2.86,2.91,1688800,2.91
2016-12-19,3.00,3.01,2.92,2.93,437000,2.93
2016-12-16,3.00,3.00,2.95,2.97,669100,2.97
2016-12-15,2.96,2.99,2.92,2.94,644800,2.94
2016-12-14,3.10,3.13,2.94,2.97,956200,2.97
2016-12-13,3.20,3.23,3.10,3.10,599700,3.10
2016-12-12,3.23,3.24,3.16,3.20,355600,3.20
2016-12-09,3.24,3.27,3.16,3.18,449900,3.18
2016-12-08,3.19,3.19,3.12,3.16,224100,3.16
2016-12-07,3.15,3.19,3.15,3.19,409500,3.19
2016-12-06,3.15,3.19,3.08,3.11,958200,3.11
2016-12-05,3.30,3.31,3.11,3.12,577000,3.12
2016-12-02,3.33,3.35,3.30,3.34,330300,3.34
2016-12-01,3.30,3.35,3.28,3.34,379600,3.34
2016-11-30,3.37,3.38,3.26,3.26,459700,3.26
2016-11-29,3.36,3.39,3.32,3.37,223500,3.37
2016-11-28,3.32,3.35,3.29,3.35,3196000,3.35
2016-11-25,3.39,3.39,3.34,3.35,155300,3.35
2016-11-24,3.42,3.45,3.37,3.38,205300,3.38
2016-11-23,3.45,3.51,3.41,3.46,495400,3.46
2016-11-22,3.42,3.46,3.40,3.45,378900,3.45
2016-11-21,3.58,3.58,3.40,3.43,590400,3.43
2016-11-18,3.54,3.54,3.48,3.54,328400,3.54
2016-11-17,3.56,3.57,3.48,3.54,760600,3.54
2016-11-16,3.57,3.57,3.45,3.49,685400,3.49
2016-11-15,3.44,3.59,3.44,3.58,827000,3.58
2016-11-14,3.34,3.45,3.34,3.43,892700,3.43
2016-11-11,3.30,3.36,3.27,3.34,965000,3.34
2016-11-10,3.35,3.43,3.20,3.25,870900,3.25
2016-11-09,3.59,3.59,3.33,3.33,1394500,3.33
2016-11-08,3.75,3.81,3.71,3.75,414400,3.75
2016-11-07,3.72,3.75,3.70,3.74,568900,3.74
2016-11-04,3.75,3.76,3.68,3.71,350700,3.71
2016-11-03,3.71,3.75,3.70,3.73,280900,3.73
2016-11-02,3.78,3.84,3.69,3.71,472300,3.71
2016-11-01,3.83,3.90,3.80,3.80,644700,3.80
2016-10-31,3.95,3.97,3.79,3.79,830000,3.79
2016-10-28,3.96,4.01,3.95,3.97,341300,3.97
2016-10-27,3.93,4.02,3.90,3.99,328100,3.99
2016-10-26,4.05,4.11,3.87,3.90,1080700,3.90
2016-10-25,4.10,4.12,4.01,4.04,690400,4.04
2016-10-24,4.14,4.19,4.14,4.16,451500,4.16
2016-10-21,4.12,4.20,4.12,4.17,394000,4.17
2016-10-20,4.13,4.21,4.12,4.15,615500,4.15
2016-10-19,4.13,4.17,4.12,4.14,399600,4.14
2016-10-18,3.95,4.18,3.93,4.15,1021000,4.15
2016-10-17,3.93,3.97,3.92,3.95,310300,3.95
2016-10-14,3.93,3.96,3.90,3.94,238200,3.94
2016-10-13,3.88,3.96,3.86,3.94,308500,3.94
2016-10-12,3.91,3.95,3.89,3.89,361100,3.89
2016-10-11,3.90,3.95,3.88,3.92,289200,3.92
2016-10-07,3.95,3.96,3.91,3.95,277000,3.95
2016-10-06,3.93,3.96,3.91,3.95,247300,3.95
2016-10-05,3.84,3.95,3.83,3.93,599000,3.93
2016-10-04,3.91,3.94,3.73,3.76,681300,3.76
2016-10-03,3.93,3.96,3.87,3.90,358600,3.90
2016-09-30,3.94,3.95,3.90,3.91,336000,3.91
2016-09-29,3.94,3.97,3.93,3.93,454900,3.93
2016-09-28,3.95,3.95,3.88,3.93,699400,3.93
2016-09-27,3.94,3.99,3.92,3.94,599000,3.94
2016-09-26,3.95,3.98,3.95,3.96,244000,3.96
2016-09-23,3.98,4.00,3.92,3.98,417900,3.98
2016-09-22,4.02,4.02,3.98,4.00,397800,4.00
2016-09-21,4.00,4.03,3.97,4.03,576300,4.03
2016-09-20,3.99,4.00,3.96,3.98,672000,3.98
2016-09-19,3.99,4.01,3.95,3.98,540900,3.98
2016-09-16,3.98,4.02,3.96,3.97,1260700,3.97
2016-09-15,3.99,4.01,3.96,4.00,352700,4.00
2016-09-14,4.07,4.09,3.95,3.99,585200,3.99
2016-09-13,4.12,4.13,4.04,4.08,368800,4.08
2016-09-12,3.98,4.13,3.95,4.12,326200,4.12
2016-09-09,4.06,4.06,3.97,4.02,322000,4.02
2016-09-08,4.07,4.14,4.04,4.08,569100,4.08
2016-09-07,3.93,4.07,3.91,4.07,787700,4.07
2016-09-06,3.88,3.94,3.87,3.91,484600,3.91
2016-09-02,3.90,3.95,3.84,3.89,585200,3.89
2016-09-01,3.70,4.01,3.61,3.94,1676200,3.94
2016-08-31,3.70,3.73,3.55,3.60,1103600,3.60
