Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,7.65,8.13,7.64,8.07,5504500,8.07
2017-01-24,7.66,7.75,7.61,7.71,3071900,7.71
2017-01-23,7.68,7.70,7.43,7.49,1895200,7.49
2017-01-20,7.68,7.77,7.55,7.58,3045600,7.58
2017-01-19,7.51,7.64,7.51,7.63,2744900,7.63
2017-01-18,7.40,7.51,7.26,7.28,4082600,7.28
2017-01-17,7.51,7.64,7.37,7.42,4514900,7.42
2017-01-16,7.87,7.97,7.60,7.63,2022500,7.63
2017-01-13,7.83,8.28,7.79,8.27,3580800,8.27
2017-01-12,7.91,7.96,7.79,7.86,2616600,7.86
2017-01-11,7.84,7.85,7.70,7.79,2325100,7.79
2017-01-10,7.35,7.80,7.35,7.78,4294900,7.78
2017-01-09,7.07,7.17,7.02,7.14,1718000,7.14
2017-01-06,7.10,7.16,6.97,7.08,1695600,7.08
2017-01-05,6.89,7.22,6.88,7.22,3156200,7.22
2017-01-04,6.72,6.91,6.71,6.86,2715600,6.86
2017-01-03,6.53,6.65,6.49,6.65,2519700,6.65
2016-12-30,6.53,6.56,6.36,6.40,1119800,6.40
2016-12-29,6.62,6.62,6.50,6.51,782900,6.51
2016-12-28,6.68,6.74,6.55,6.59,929400,6.59
2016-12-23,6.54,6.56,6.44,6.52,875800,6.52
2016-12-22,6.71,6.71,6.50,6.51,1267100,6.51
2016-12-21,6.74,6.78,6.66,6.72,1015800,6.72
2016-12-20,6.38,6.72,6.34,6.71,3510900,6.71
2016-12-19,6.67,6.71,6.30,6.36,3716500,6.36
2016-12-16,6.90,6.95,6.73,6.74,2475800,6.74
2016-12-15,6.76,6.77,6.64,6.74,1874000,6.74
2016-12-14,6.80,6.90,6.74,6.77,1971700,6.77
2016-12-13,6.89,7.00,6.67,6.84,4650600,6.84
2016-12-12,7.04,7.04,6.82,6.82,1616300,6.82
2016-12-09,7.02,7.15,6.96,7.02,2318900,7.02
2016-12-08,7.07,7.12,6.95,6.99,4848700,6.99
2016-12-07,7.14,7.14,6.92,7.00,3238300,7.00
2016-12-06,6.98,7.12,6.97,7.11,3483800,7.11
2016-12-05,6.95,7.10,6.95,7.09,5435700,7.09
2016-12-02,6.80,6.91,6.78,6.86,2207400,6.86
2016-12-01,6.70,6.95,6.70,6.91,4692100,6.91
2016-11-30,6.71,6.73,6.55,6.59,2465100,6.59
2016-11-29,6.70,6.78,6.56,6.59,2769300,6.59
2016-11-28,6.92,7.01,6.90,6.95,1826200,6.95
2016-11-25,6.99,7.00,6.89,6.92,947700,6.92
2016-11-24,7.05,7.12,6.97,7.07,1289300,7.07
2016-11-23,6.64,7.07,6.61,6.98,4567400,6.98
2016-11-22,6.40,6.82,6.40,6.79,3743100,6.79
2016-11-21,6.41,6.41,6.29,6.33,2792400,6.33
2016-11-18,6.31,6.35,6.25,6.26,1686700,6.26
2016-11-17,6.34,6.42,6.33,6.36,2926400,6.36
2016-11-16,6.31,6.38,6.20,6.35,2539600,6.35
