Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,21.00,21.00,20.389999,20.77,301000,20.77
2017-02-08,21.379999,21.639999,20.610001,20.99,266200,20.99
2017-02-07,20.67,21.639999,20.629999,21.110001,348400,21.110001
2017-02-06,19.84,20.92,19.559999,20.799999,336100,20.799999
2017-02-03,19.690001,19.83,19.33,19.52,196600,19.52
2017-02-02,19.610001,19.92,19.379999,19.83,412100,19.83
2017-02-01,18.27,19.17,18.209999,19.059999,326900,19.059999
2017-01-31,18.530001,18.629999,18.190001,18.50,261800,18.50
2017-01-30,18.370001,18.389999,17.90,18.07,329000,18.07
2017-01-27,17.620001,18.18,17.41,18.08,234900,18.08
2017-01-26,17.50,17.67,17.15,17.52,362800,17.52
2017-01-25,17.530001,17.93,17.34,17.92,232300,17.92
2017-01-24,18.290001,18.610001,17.629999,17.92,352400,17.92
2017-01-23,18.190001,18.370001,17.91,18.290001,322000,18.290001
2017-01-20,17.51,18.030001,17.190001,17.77,447800,17.77
2017-01-19,17.10,17.59,16.959999,17.41,338100,17.41
2017-01-18,17.07,17.719999,17.07,17.280001,270700,17.280001
2017-01-17,17.60,17.709999,16.959999,17.190001,216100,17.190001
2017-01-16,17.10,17.25,16.969999,17.25,52400,17.25
2017-01-13,16.57,17.00,16.34,16.91,249100,16.91
2017-01-12,17.23,17.40,16.389999,16.60,258900,16.60
2017-01-11,16.82,17.209999,16.27,16.84,339400,16.84
2017-01-10,16.290001,17.139999,16.290001,16.75,255300,16.75
2017-01-09,16.200001,16.57,15.78,15.93,373200,15.93
2017-01-06,16.620001,16.620001,15.33,15.82,321100,15.82
2017-01-05,16.23,17.17,16.200001,16.969999,365800,16.969999
2017-01-04,15.95,16.08,15.30,15.87,432800,15.87
2017-01-03,14.80,15.59,14.80,15.58,252600,15.58
2016-12-30,15.91,16.450001,14.62,14.78,290800,14.78
2016-12-29,14.73,15.78,14.60,15.72,425000,15.72
2016-12-28,14.26,14.66,13.94,14.57,301000,14.57
2016-12-23,13.22,14.06,13.18,14.04,431000,14.04
2016-12-22,13.15,13.48,12.98,13.10,343700,13.10
2016-12-21,13.16,13.16,12.76,12.87,225600,12.87
2016-12-20,13.16,13.30,12.78,13.09,302000,13.09
2016-12-19,13.49,13.67,12.75,13.37,408200,13.37
2016-12-16,14.08,14.24,13.28,13.45,1211900,13.45
2016-12-15,14.69,14.69,13.55,13.90,385600,13.90
2016-12-14,16.129999,16.25,14.92,15.09,269400,15.09
2016-12-13,15.45,16.07,15.38,15.95,201800,15.95
2016-12-12,15.45,16.129999,15.16,15.46,345500,15.46
2016-12-09,16.66,16.74,15.29,15.34,251900,15.34
2016-12-08,17.379999,17.530001,16.52,16.790001,158200,16.790001
2016-12-07,18.02,18.219999,17.40,17.50,159500,17.50
2016-12-06,17.639999,18.16,17.43,17.709999,333400,17.709999
2016-12-05,17.08,17.940001,16.85,17.549999,195700,17.549999
2016-12-02,16.639999,17.66,16.57,17.469999,191600,17.469999
2016-12-01,16.549999,17.07,16.08,16.52,224100,16.52
2016-11-30,17.25,17.309999,16.620001,16.66,324900,16.66
2016-11-29,16.59,17.51,16.450001,17.34,253400,17.34
2016-11-28,16.16,16.780001,16.049999,16.68,125600,16.68
2016-11-25,16.209999,16.620001,16.049999,16.049999,88900,16.049999
2016-11-24,16.139999,16.200001,15.89,16.09,17400,16.09
2016-11-23,16.68,16.90,16.07,16.32,194300,16.32
2016-11-22,16.48,17.34,16.219999,17.120001,286300,17.120001
2016-11-21,16.00,16.27,15.66,16.030001,144600,16.030001
2016-11-18,15.78,16.15,15.31,15.83,145100,15.83
2016-11-17,16.360001,16.809999,15.69,15.98,215700,15.98
2016-11-16,16.889999,16.889999,16.01,16.360001,153900,16.360001
2016-11-15,16.059999,17.01,16.00,16.92,202300,16.92
2016-11-14,15.81,16.50,15.13,16.10,271600,16.10
2016-11-11,18.209999,18.290001,15.56,15.79,417700,15.79
2016-11-10,19.68,19.73,18.059999,18.25,377300,18.25
2016-11-09,20.139999,20.450001,19.040001,19.48,287400,19.48
2016-11-08,19.200001,19.940001,18.76,19.18,155500,19.18
2016-11-07,19.389999,19.389999,18.620001,19.190001,149900,19.190001
2016-11-04,20.83,20.889999,19.50,19.73,384700,19.73
2016-11-03,20.15,20.84,20.15,20.780001,210600,20.780001
2016-11-02,20.91,21.75,20.200001,20.32,322400,20.32
2016-11-01,19.85,20.809999,19.85,20.440001,252200,20.440001
2016-10-31,19.700001,19.700001,19.110001,19.68,302400,19.68
2016-10-28,19.190001,19.76,18.91,19.34,199600,19.34
2016-10-27,19.530001,19.540001,19.030001,19.16,162200,19.16
2016-10-26,19.84,20.059999,19.16,19.35,139800,19.35
2016-10-25,20.08,20.200001,19.440001,19.92,202400,19.92
2016-10-24,20.66,20.91,19.440001,19.809999,385800,19.809999
2016-10-21,19.76,20.549999,19.76,20.530001,307000,20.530001
2016-10-20,19.00,19.700001,19.00,19.67,474100,19.67
2016-10-19,18.780001,19.01,18.290001,18.91,178700,18.91
2016-10-18,18.049999,18.48,18.040001,18.459999,192800,18.459999
2016-10-17,17.60,18.17,17.60,18.120001,282500,18.120001
2016-10-14,17.719999,18.129999,17.43,17.51,172200,17.51
2016-10-13,17.799999,18.15,17.57,17.879999,330600,17.879999
2016-10-12,17.790001,18.040001,17.549999,17.84,350800,17.84
2016-10-11,17.76,18.129999,17.49,17.74,347800,17.74
2016-10-07,18.27,18.73,17.51,18.040001,473000,18.040001
2016-10-06,18.059999,18.469999,17.530001,17.84,302000,17.84
2016-10-05,18.51,18.809999,17.83,18.530001,448800,18.530001
2016-10-04,19.99,20.110001,17.879999,18.129999,443300,18.129999
2016-10-03,20.780001,21.040001,19.790001,20.280001,313300,20.280001
2016-09-30,20.51,20.700001,19.610001,19.77,145200,19.77
2016-09-29,19.940001,20.35,19.639999,20.209999,131800,20.209999
2016-09-28,20.309999,20.33,19.42,20.08,167100,20.08
2016-09-27,20.26,20.360001,19.709999,20.040001,196900,20.040001
2016-09-26,21.129999,21.530001,20.32,20.43,223900,20.43
2016-09-23,21.879999,21.950001,20.799999,21.040001,160200,21.040001
2016-09-22,22.51,22.530001,21.77,21.93,302900,21.93
2016-09-21,21.00,22.290001,21.00,22.25,424100,22.25
2016-09-20,20.620001,20.82,20.08,20.700001,176800,20.700001
2016-09-19,20.530001,20.790001,20.290001,20.60,180700,20.60
2016-09-16,20.67,21.01,19.91,20.40,2058400,20.40
2016-09-15,20.15,21.26,19.98,20.809999,358300,20.809999
2016-09-14,20.66,21.059999,19.969999,20.200001,479800,20.200001
2016-09-13,21.52,21.65,20.25,20.48,522300,20.48
2016-09-12,21.059999,22.049999,20.75,21.73,776200,21.73
2016-09-09,22.49,22.74,21.219999,21.43,316400,21.43
2016-09-08,23.309999,23.32,22.280001,22.57,207500,22.57
2016-09-07,22.52,23.280001,22.200001,23.09,217000,23.09
2016-09-06,22.129999,22.690001,22.00,22.50,382300,22.50
2016-09-02,20.559999,21.719999,20.110001,21.690001,419400,21.690001
2016-09-01,19.32,20.129999,19.030001,20.10,274700,20.10
2016-08-31,19.719999,19.83,18.879999,19.450001,433600,19.450001
2016-08-30,20.629999,20.90,19.620001,19.92,269000,19.92
2016-08-29,20.219999,20.950001,19.809999,20.59,291900,20.59
2016-08-26,20.10,21.049999,19.49,20.379999,481200,20.379999
2016-08-25,19.219999,20.030001,18.889999,19.74,305800,19.74
2016-08-24,20.120001,20.120001,19.15,19.290001,305000,19.290001
2016-08-23,20.799999,20.879999,20.209999,20.290001,215600,20.290001
2016-08-22,20.82,21.02,20.50,20.709999,181400,20.709999
2016-08-19,21.139999,21.700001,20.860001,21.10,167300,21.10
2016-08-18,21.450001,21.65,21.24,21.49,183100,21.49
2016-08-17,22.110001,22.110001,20.959999,21.57,317300,21.57
2016-08-16,21.35,22.59,21.26,22.360001,308000,22.360001
2016-08-15,21.16,22.139999,21.16,21.299999,222900,21.299999
2016-08-12,22.23,22.370001,21.23,21.65,127300,21.65
2016-08-11,22.25,22.35,21.90,21.969999,206100,21.969999
2016-08-10,21.66,22.370001,21.66,22.18,226200,22.18
2016-08-09,21.02,21.549999,21.02,21.42,189100,21.42
2016-08-08,20.91,21.59,20.74,20.90,154700,20.90
2016-08-05,20.60,21.129999,20.309999,20.870001,205400,20.870001
2016-08-04,20.780001,21.10,20.719999,20.889999,147600,20.889999
2016-08-03,21.23,21.450001,20.809999,20.860001,178400,20.860001
2016-08-02,21.00,21.879999,21.00,21.290001,236500,21.290001
2016-07-29,20.51,20.68,20.26,20.50,251700,20.50
2016-07-28,20.200001,20.450001,19.780001,20.35,176800,20.35
2016-07-27,19.92,20.35,19.389999,20.17,273800,20.17
2016-07-26,19.27,19.969999,19.10,19.73,175100,19.73
2016-07-25,19.559999,19.559999,18.76,19.18,243100,19.18
2016-07-22,19.35,19.68,19.120001,19.65,195200,19.65
2016-07-21,19.450001,19.58,19.200001,19.48,188000,19.48
2016-07-20,19.690001,19.790001,19.10,19.25,351500,19.25
2016-07-19,20.25,20.49,19.92,20.07,225100,20.07
2016-07-18,20.129999,20.49,20.030001,20.309999,157000,20.309999
2016-07-15,20.299999,20.68,20.23,20.34,274100,20.34
2016-07-14,20.120001,20.549999,19.879999,20.52,238700,20.52
2016-07-13,19.68,20.540001,19.68,20.42,291700,20.42
2016-07-12,19.50,19.50,19.07,19.370001,318300,19.370001
2016-07-11,19.049999,19.66,19.02,19.60,174200,19.60
2016-07-08,18.35,19.209999,18.35,19.120001,206000,19.120001
2016-07-07,18.74,18.799999,18.10,18.43,247400,18.43
