Date,Open,High,Low,Close,Volume,Adj Close
2016-12-23,2.08,2.09,2.00,2.00,6600,2.00
2016-12-22,2.12,2.15,2.00,2.00,11500,2.00
2016-12-21,1.97,2.21,1.97,2.12,25100,2.12
2016-12-20,1.95,2.03,1.95,1.95,31100,1.95
2016-12-19,1.80,1.95,1.80,1.95,11300,1.95
2016-12-16,1.78,1.85,1.78,1.81,15900,1.81
2016-12-15,1.72,1.78,1.72,1.75,3900,1.75
2016-12-14,1.73,1.82,1.73,1.80,25400,1.80
2016-12-13,1.73,1.78,1.73,1.74,9900,1.74
2016-12-12,1.68,1.80,1.68,1.80,21300,1.80
2016-12-09,1.60,1.75,1.51,1.75,30700,1.75
2016-12-08,1.62,1.62,1.45,1.50,27000,1.50
2016-12-07,1.67,1.67,1.58,1.61,19900,1.61
2016-12-06,1.65,1.65,1.60,1.64,2700,1.64
2016-12-05,1.75,1.75,1.70,1.72,16600,1.72
2016-12-02,1.66,1.75,1.60,1.75,6200,1.75
2016-12-01,1.47,1.65,1.47,1.65,11100,1.65
2016-11-30,1.42,1.55,1.42,1.44,19100,1.44
2016-11-29,1.44,1.55,1.32,1.40,10700,1.40
2016-11-28,1.37,1.50,1.35,1.45,22800,1.45
2016-11-25,1.48,1.48,1.36,1.41,15100,1.41
2016-11-24,1.50,1.50,1.43,1.48,7400,1.48
2016-11-23,1.59,1.59,1.50,1.50,3300,1.50
2016-11-22,1.42,1.54,1.42,1.54,16900,1.54
2016-11-21,1.43,1.75,1.38,1.40,24400,1.40
2016-11-18,1.45,1.50,1.40,1.45,13700,1.45
2016-11-17,1.49,1.50,1.44,1.44,17500,1.44
2016-11-16,1.53,1.53,1.38,1.49,44200,1.49
2016-11-15,1.53,1.53,1.53,1.53,1600,1.53
2016-11-14,1.53,1.57,1.53,1.55,3900,1.55
2016-11-11,1.53,1.53,1.53,1.53,2000,1.53
2016-11-10,1.53,1.58,1.53,1.58,4500,1.58
2016-11-09,1.53,1.57,1.53,1.57,400,1.57
2016-11-08,1.55,1.55,1.53,1.53,12200,1.53
2016-11-07,1.55,1.55,1.53,1.53,3500,1.53
2016-11-04,1.61,1.61,1.53,1.58,8700,1.58
2016-11-03,1.70,1.70,1.60,1.64,3400,1.64
2016-11-02,1.70,1.75,1.68,1.68,4600,1.68
2016-11-01,1.75,1.75,1.70,1.70,5800,1.70
2016-10-31,1.72,1.75,1.70,1.75,3900,1.75
2016-10-28,1.70,1.72,1.64,1.72,6100,1.72
2016-10-27,1.75,1.79,1.70,1.75,10600,1.75
2016-10-26,1.68,1.71,1.68,1.71,5200,1.71
2016-10-25,1.63,1.72,1.63,1.67,15100,1.67
2016-10-24,1.70,1.70,1.65,1.65,5700,1.65
2016-10-21,1.68,1.74,1.65,1.65,5600,1.65
2016-10-20,1.62,1.70,1.60,1.65,4300,1.65
2016-10-19,1.67,1.67,1.67,1.67,500,1.67
2016-10-18,1.70,1.74,1.70,1.74,7600,1.74
2016-10-17,1.67,1.69,1.67,1.69,1500,1.69
2016-10-14,1.71,1.71,1.71,1.71,000,1.71
2016-10-13,1.70,1.71,1.70,1.71,2500,1.71
2016-10-12,1.70,1.75,1.70,1.75,12800,1.75
