Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,9.45,9.47,9.33,9.43,57900,9.43
2017-01-17,9.25,9.47,9.23,9.39,47100,9.39
2017-01-16,9.45,9.67,9.26,9.35,11800,9.35
2017-01-13,9.49,9.55,9.42,9.47,20100,9.47
2017-01-12,9.48,9.48,9.33,9.46,164600,9.46
2017-01-11,9.46,9.58,9.42,9.50,61800,9.50
2017-01-10,9.31,9.52,9.14,9.45,138100,9.45
2017-01-09,9.28,9.43,9.27,9.31,17600,9.31
2017-01-06,9.32,9.46,9.28,9.33,19700,9.33
2017-01-05,9.49,9.56,9.29,9.41,34300,9.41
2017-01-04,9.29,9.61,9.19,9.54,76300,9.54
2017-01-03,9.09,9.34,9.09,9.26,116700,9.26
2016-12-30,9.21,9.22,9.12,9.12,21200,9.12
2016-12-29,9.17,9.24,9.14,9.22,6300,9.22
2016-12-28,9.23,9.25,9.09,9.16,41400,9.16
2016-12-23,8.72,9.16,8.71,9.04,287600,9.04
2016-12-22,8.85,8.91,8.73,8.74,453300,8.74
2016-12-21,8.95,8.95,8.82,8.85,128100,8.85
2016-12-20,8.67,9.06,8.65,8.95,493300,8.95
2016-12-19,10.00,10.58,9.36,9.40,627000,9.40
2016-12-16,9.62,9.98,9.62,9.89,130100,9.89
2016-12-15,9.34,9.67,9.33,9.63,77800,9.63
2016-12-14,9.26,9.42,9.12,9.35,211500,9.35
2016-12-13,9.24,9.30,9.17,9.21,78500,9.21
2016-12-12,9.41,9.46,9.23,9.27,179900,9.27
2016-12-09,9.76,9.77,9.52,9.56,137300,9.56
2016-12-08,9.64,9.96,9.64,9.74,51700,9.74
2016-12-07,9.73,9.78,9.58,9.66,38400,9.66
2016-12-06,9.53,9.71,9.41,9.67,80300,9.67
2016-12-05,9.52,9.67,9.46,9.48,87100,9.48
2016-12-02,9.20,9.50,9.20,9.44,60200,9.44
2016-12-01,9.66,9.71,9.26,9.26,153300,9.26
2016-11-30,9.79,9.80,9.66,9.67,68400,9.67
2016-11-29,9.65,9.79,9.60,9.75,42300,9.75
2016-11-28,9.43,9.71,9.43,9.68,152200,9.68
2016-11-25,9.25,9.65,9.21,9.56,45900,9.56
2016-11-24,9.46,9.46,9.23,9.26,11100,9.26
2016-11-23,9.37,9.43,9.23,9.31,63800,9.31
