Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,8.22,8.45,8.22,8.44,108100,8.44
2017-02-08,8.31,8.34,8.10,8.20,374800,8.20
2017-02-07,8.37,8.42,8.32,8.35,159600,8.35
2017-02-06,8.39,8.41,8.28,8.33,99200,8.33
2017-02-03,8.31,8.40,8.28,8.38,100100,8.38
2017-02-02,8.38,8.38,8.20,8.30,335600,8.30
2017-02-01,8.26,8.44,8.16,8.37,627200,8.37
2017-01-31,8.27,8.30,8.14,8.24,155400,8.24
2017-01-30,8.46,8.50,8.23,8.26,134900,8.26
2017-01-27,8.47,8.53,8.42,8.48,125800,8.48
2017-01-26,8.56,8.60,8.39,8.40,148000,8.40
2017-01-25,8.40,8.50,8.35,8.50,160400,8.50
2017-01-24,8.19,8.39,8.18,8.35,190100,8.35
2017-01-23,8.11,8.18,7.97,8.13,200000,8.13
2017-01-20,8.13,8.29,8.08,8.11,188800,8.11
2017-01-19,8.14,8.23,8.08,8.10,142300,8.10
2017-01-18,8.38,8.38,8.14,8.17,229600,8.17
2017-01-17,8.29,8.38,8.25,8.38,297400,8.38
2017-01-16,8.75,8.75,8.27,8.28,387800,8.28
2017-01-13,8.80,8.83,8.71,8.82,107400,8.82
2017-01-12,8.85,8.85,8.69,8.77,124600,8.77
2017-01-11,8.69,8.82,8.66,8.80,162900,8.80
2017-01-10,8.74,8.77,8.59,8.75,196400,8.75
2017-01-09,9.07,9.07,8.58,8.59,237500,8.59
2017-01-06,9.08,9.14,9.01,9.07,162500,9.07
2017-01-05,9.15,9.17,9.03,9.06,168800,9.06
2017-01-04,8.83,9.18,8.83,9.15,443700,9.15
2017-01-03,8.61,8.82,8.55,8.79,264500,8.79
2016-12-30,8.69,8.69,8.55,8.59,176100,8.59
2016-12-29,8.56,8.70,8.55,8.68,166700,8.68
2016-12-28,8.55,8.62,8.49,8.57,229800,8.57
2016-12-23,8.35,8.56,8.33,8.51,144100,8.48
2016-12-22,8.37,8.46,8.29,8.40,164800,8.370387
2016-12-21,8.43,8.45,8.31,8.40,366600,8.370387
2016-12-20,8.42,8.50,8.31,8.47,349400,8.440141
2016-12-19,8.69,8.80,8.62,8.69,245700,8.659365
2016-12-16,8.57,8.69,8.55,8.66,355700,8.629471
2016-12-15,8.40,8.57,8.31,8.54,520500,8.509894
2016-12-14,8.59,8.59,8.41,8.43,344000,8.400282
2016-12-13,8.45,8.64,8.45,8.56,403700,8.529824
2016-12-12,8.82,8.86,8.34,8.49,342700,8.46007
2016-12-09,8.66,8.78,8.50,8.66,467700,8.629471
2016-12-08,8.45,8.73,8.41,8.57,604300,8.539788
2016-12-07,7.86,8.48,7.86,8.41,1480400,8.380352
2016-12-06,7.76,7.84,7.70,7.83,350500,7.802397
2016-12-05,7.69,7.95,7.67,7.74,456100,7.712714
2016-12-02,7.72,7.76,7.58,7.65,337200,7.623032
2016-12-01,7.60,7.78,7.59,7.71,377400,7.68282
