Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,18.790001,19.030001,18.700001,18.98,72000,18.98
2017-02-09,18.809999,19.01,18.60,18.719999,70200,18.719999
2017-02-08,19.049999,19.049999,18.75,18.790001,80000,18.790001
2017-02-07,19.01,19.049999,18.860001,18.969999,32600,18.969999
2017-02-06,18.870001,19.00,18.67,18.889999,34800,18.889999
2017-02-03,18.67,18.93,18.530001,18.83,65000,18.83
2017-02-02,18.60,18.68,18.51,18.59,26000,18.59
2017-02-01,18.549999,18.66,18.530001,18.540001,35900,18.540001
2017-01-31,18.559999,18.700001,18.40,18.59,49200,18.59
2017-01-30,18.51,18.74,18.450001,18.60,45800,18.60
2017-01-27,18.60,18.639999,18.440001,18.52,30700,18.52
2017-01-26,18.629999,18.83,18.51,18.629999,31700,18.564999
2017-01-25,18.48,18.799999,18.48,18.73,46600,18.66465
2017-01-24,18.57,18.66,18.40,18.549999,63500,18.485278
2017-01-23,18.57,18.629999,18.50,18.59,52600,18.525139
2017-01-20,18.709999,18.75,18.389999,18.40,48300,18.335802
2017-01-19,18.389999,18.73,18.389999,18.610001,43000,18.54507
2017-01-18,18.610001,18.73,18.32,18.41,228900,18.345767
2017-01-17,18.98,19.07,18.549999,18.68,76200,18.614825
2017-01-16,18.74,19.10,18.74,18.959999,34100,18.893847
2017-01-13,18.99,19.09,18.780001,18.799999,87600,18.734406
2017-01-12,19.24,19.26,18.83,18.99,46600,18.923743
2017-01-11,19.24,19.27,19.059999,19.200001,33200,19.133012
2017-01-10,19.200001,19.32,19.049999,19.219999,62600,19.15294
2017-01-09,19.299999,19.299999,19.10,19.15,31100,19.083185
2017-01-06,19.16,19.41,18.940001,19.23,156100,19.162906
2017-01-05,19.26,19.360001,18.940001,19.110001,33000,19.043325
2017-01-04,18.959999,19.32,18.940001,19.25,78500,19.182836
2017-01-03,19.219999,19.23,18.74,18.940001,42000,18.873919
2016-12-30,19.290001,19.32,19.049999,19.190001,37400,19.123046
2016-12-29,19.209999,19.299999,19.040001,19.23,32400,19.162906
2016-12-28,19.200001,19.32,19.00,19.17,53700,19.103116
2016-12-23,18.959999,19.200001,18.959999,19.200001,35300,19.068239
2016-12-22,19.040001,19.17,18.879999,19.00,41200,18.869611
2016-12-21,18.879999,19.200001,18.799999,19.049999,89400,18.919267
2016-12-20,18.60,18.889999,18.549999,18.85,58500,18.720641
2016-12-19,18.65,18.73,18.530001,18.610001,30200,18.482288
2016-12-16,18.74,18.85,18.58,18.639999,309800,18.512081
2016-12-15,18.549999,18.82,18.49,18.68,70200,18.551807
2016-12-14,18.709999,18.709999,18.43,18.549999,203100,18.422698
2016-12-13,18.700001,18.889999,18.68,18.75,38100,18.621327
2016-12-12,18.370001,18.67,18.360001,18.67,43900,18.541876
2016-12-09,18.370001,18.58,18.34,18.48,33800,18.353179
2016-12-08,18.540001,18.66,18.42,18.43,46100,18.303523
2016-12-07,18.16,18.67,18.16,18.59,74000,18.462425
2016-12-06,18.049999,18.209999,17.959999,18.16,114700,18.035375
2016-12-05,18.41,18.469999,17.780001,18.049999,144600,17.92613
2016-12-02,18.219999,18.59,18.219999,18.379999,67000,18.253865
2016-12-01,18.99,18.99,18.219999,18.309999,112200,18.184346
2016-11-30,19.02,19.299999,18.790001,18.85,135300,18.720641
2016-11-29,19.00,19.209999,18.860001,19.01,93800,18.879543
2016-11-28,19.309999,19.32,18.99,19.02,55300,18.889474
2016-11-25,19.40,19.43,19.290001,19.290001,28500,19.093068
2016-11-24,19.309999,19.40,19.24,19.379999,49000,19.182147
2016-11-23,19.450001,19.450001,19.299999,19.389999,47400,19.192045
2016-11-22,19.40,19.700001,19.33,19.50,78200,19.300923
2016-11-21,19.15,19.389999,19.08,19.33,46300,19.132658
2016-11-18,19.10,19.17,18.99,19.049999,49300,18.855516
2016-11-17,19.280001,19.35,18.93,19.110001,103600,18.914905
2016-11-16,19.26,19.41,19.190001,19.219999,134500,19.023781
2016-11-15,18.50,19.27,18.50,19.23,158500,19.033679
2016-11-14,18.77,19.00,18.549999,18.59,119400,18.400213
2016-11-11,18.860001,18.92,18.34,18.809999,191800,18.617967
2016-11-10,19.85,19.85,18.82,18.85,289400,18.657559
2016-11-09,19.90,20.030001,19.40,19.99,222800,19.78592
2016-11-08,19.879999,19.92,19.65,19.92,49400,19.716635
2016-11-07,19.719999,19.98,19.58,19.84,35700,19.637452
2016-11-04,19.65,19.84,19.50,19.719999,58900,19.518676
2016-11-03,19.780001,20.049999,19.690001,19.73,77100,19.528574
2016-11-02,20.040001,20.129999,19.75,19.799999,85100,19.597859
2016-11-01,20.08,20.139999,19.870001,19.93,49900,19.726533
2016-10-31,20.01,20.120001,19.92,20.040001,50500,19.835411
2016-10-28,20.15,20.27,19.950001,20.00,48500,19.795818
2016-10-27,20.24,20.32,20.18,20.23,60500,20.02347
2016-10-26,20.25,20.52,19.940001,20.309999,443500,20.038316
2016-10-25,20.25,20.389999,20.07,20.25,115300,19.979119
2016-10-24,19.700001,20.52,19.700001,20.43,187600,20.156712
2016-10-21,19.40,19.719999,19.35,19.68,89800,19.416744
2016-10-20,19.450001,19.48,19.33,19.459999,48700,19.199686
2016-10-19,19.48,19.60,19.379999,19.450001,50600,19.189821
2016-10-18,19.35,19.530001,19.299999,19.459999,59400,19.199686
2016-10-17,19.450001,19.450001,19.219999,19.280001,66400,19.022095
2016-10-14,19.50,19.51,19.360001,19.450001,49000,19.189821
2016-10-13,19.42,19.450001,19.32,19.41,65500,19.150356
2016-10-12,19.50,19.610001,19.389999,19.48,57900,19.219419
2016-10-11,19.40,19.540001,19.32,19.450001,139400,19.189821
2016-10-07,19.34,19.370001,19.09,19.360001,49000,19.101025
2016-10-06,19.24,19.49,19.24,19.370001,104100,19.110892
2016-10-05,19.41,19.459999,19.16,19.219999,67500,18.962897
2016-10-04,19.209999,19.370001,19.129999,19.33,108300,19.071426
2016-10-03,19.00,19.280001,18.940001,19.18,78400,18.923433
2016-09-30,18.99,19.040001,18.85,18.99,103300,18.735974
2016-09-29,19.120001,19.219999,18.91,18.940001,73600,18.686643
2016-09-28,18.83,19.280001,18.83,19.190001,108400,18.933299
2016-09-27,18.780001,18.950001,18.709999,18.84,61800,18.52385
2016-09-26,18.85,18.90,18.74,18.85,68700,18.533682
2016-09-23,18.790001,19.07,18.709999,18.93,69000,18.61234
2016-09-22,18.790001,19.00,18.719999,18.84,73500,18.52385
2016-09-21,18.639999,18.98,18.639999,18.73,94400,18.415695
2016-09-20,18.75,18.82,18.68,18.690001,53700,18.376367
2016-09-19,18.620001,18.799999,18.52,18.74,120500,18.425528
2016-09-16,18.620001,18.799999,18.42,18.540001,2646500,18.228885
2016-09-15,18.809999,19.219999,18.68,18.700001,191400,18.3862
2016-09-14,18.92,19.200001,18.67,18.790001,230100,18.47469
2016-09-13,19.10,19.40,18.84,18.969999,190400,18.651668
2016-09-12,18.780001,19.25,18.67,19.24,258700,18.917137
2016-09-09,18.860001,18.98,18.60,18.700001,129500,18.3862
2016-09-08,19.07,19.15,18.85,18.889999,83900,18.57301
2016-09-07,19.450001,19.450001,19.02,19.049999,72600,18.730325
2016-09-06,19.07,19.57,18.969999,19.41,150100,19.084285
2016-09-02,18.74,19.09,18.549999,19.030001,138800,18.710662
2016-09-01,18.379999,18.67,18.32,18.67,83200,18.356703
2016-08-31,18.35,18.469999,18.26,18.370001,113800,18.061738
2016-08-30,18.209999,18.360001,18.200001,18.35,52700,18.042073
2016-08-29,18.190001,18.35,17.950001,18.17,124600,17.865093
2016-08-26,18.190001,18.34,18.030001,18.24,31100,17.870009
2016-08-25,18.24,18.32,18.110001,18.120001,64800,17.752444
2016-08-24,18.23,18.50,18.209999,18.219999,17200,17.850414
2016-08-23,18.209999,18.50,18.18,18.209999,76000,17.840617
2016-08-22,18.290001,18.290001,18.200001,18.23,16200,17.860211
2016-08-19,18.299999,18.33,18.209999,18.309999,24200,17.938589
2016-08-18,18.32,18.370001,18.25,18.299999,96400,17.928791
2016-08-17,18.42,18.50,18.26,18.290001,52500,17.918996
2016-08-16,18.43,18.83,18.200001,18.389999,61600,18.016966
2016-08-15,18.440001,18.65,18.23,18.459999,70500,18.085546
2016-08-12,18.50,18.639999,18.389999,18.42,56000,18.046358
2016-08-11,18.40,18.67,18.35,18.49,67000,18.114938
2016-08-10,18.35,18.49,18.209999,18.40,64700,18.026763
2016-08-09,18.450001,18.469999,18.35,18.40,66200,18.026763
2016-08-08,18.42,18.50,18.299999,18.35,52600,17.977778
2016-08-05,18.51,18.629999,18.370001,18.379999,60600,18.007168
2016-08-04,18.639999,18.639999,18.139999,18.51,27200,18.134532
2016-08-03,18.620001,18.620001,18.360001,18.450001,13900,18.07575
2016-08-02,18.450001,18.48,18.309999,18.48,21900,18.10514
2016-07-29,18.67,18.700001,18.450001,18.60,29400,18.222707
2016-07-28,18.120001,18.709999,18.120001,18.68,53600,18.301084
2016-07-27,18.75,18.75,18.08,18.09,90700,17.723052
2016-07-26,18.799999,18.92,18.709999,18.75,57500,18.305983
2016-07-25,18.870001,18.870001,18.65,18.74,62700,18.296219
2016-07-22,18.60,18.860001,18.60,18.809999,73700,18.364561
2016-07-21,18.33,18.719999,18.25,18.57,62400,18.130245
2016-07-20,18.59,18.59,18.32,18.379999,48900,17.944744
2016-07-19,18.110001,18.700001,18.110001,18.639999,94200,18.198587
2016-07-18,18.10,18.209999,18.040001,18.200001,33500,17.769008
2016-07-15,18.10,18.139999,18.01,18.10,21000,17.671376
2016-07-14,18.25,18.27,18.08,18.10,29300,17.671376
2016-07-13,18.02,18.35,18.00,18.23,36000,17.798296
2016-07-12,18.40,18.40,18.18,18.26,38000,17.827587
2016-07-11,18.290001,18.530001,18.25,18.379999,52100,17.944744
2016-07-08,18.27,18.32,18.08,18.290001,27800,17.856877
2016-07-07,17.99,18.280001,17.90,18.27,160100,17.83735
2016-07-06,18.18,18.34,17.91,17.969999,89400,17.544453
2016-07-05,17.469999,18.24,17.469999,18.24,100100,17.80806
2016-07-04,17.719999,17.809999,17.469999,17.59,31100,17.173453
2016-06-30,17.84,17.860001,17.700001,17.74,50200,17.3199
2016-06-29,17.60,17.82,17.51,17.790001,79000,17.368717
2016-06-28,17.059999,17.65,17.059999,17.530001,68200,17.114874
2016-06-27,17.530001,17.530001,16.93,17.00,156000,16.533964
2016-06-24,17.52,17.82,17.379999,17.49,66200,17.010531
2016-06-23,18.00,18.040001,17.82,17.889999,300300,17.399565
2016-06-22,17.780001,18.00,17.67,18.00,114200,17.50655
2016-06-21,17.530001,17.75,17.450001,17.75,114000,17.263403
2016-06-20,17.17,17.559999,17.16,17.450001,196400,16.971628
2016-06-17,17.02,17.049999,16.889999,16.969999,21700,16.504785
2016-06-16,17.040001,17.049999,16.879999,16.99,163800,16.524238
2016-06-15,16.93,17.09,16.90,17.049999,46900,16.582592
2016-06-14,16.92,17.030001,16.77,17.00,110800,16.533964
2016-06-13,17.190001,17.200001,16.90,16.950001,37500,16.485335
2016-06-10,17.33,17.35,17.049999,17.16,77600,16.689577
2016-06-09,17.42,17.450001,17.200001,17.35,66800,16.874369
2016-06-08,17.469999,17.52,17.32,17.42,53200,16.94245
2016-06-07,17.49,17.639999,17.32,17.40,554400,16.922998
2016-06-06,17.280001,17.49,17.17,17.389999,160400,16.913272
2016-06-03,17.09,17.24,17.030001,17.219999,46700,16.747932
2016-06-02,16.879999,17.18,16.83,17.15,141700,16.679851
2016-06-01,16.99,16.99,16.709999,16.83,88600,16.368624
2016-05-31,16.98,17.02,16.870001,16.98,155000,16.514511
2016-05-30,17.09,17.10,16.950001,17.01,194500,16.54369
2016-05-27,17.049999,17.110001,16.889999,16.950001,335000,16.485335
2016-05-26,17.24,17.24,17.00,17.10,106400,16.568004
2016-05-25,17.35,17.379999,17.110001,17.219999,136100,16.68427
2016-05-24,17.50,17.50,17.200001,17.370001,83600,16.829605
2016-05-20,17.27,17.450001,17.24,17.309999,69800,16.77147
2016-05-19,17.25,17.35,16.60,17.190001,116200,16.655204
2016-05-18,16.91,17.33,16.700001,17.23,154400,16.693959
2016-05-17,17.209999,17.209999,16.85,17.01,83400,16.480804
2016-05-16,17.77,17.77,17.07,17.200001,46800,16.664894
2016-05-13,17.77,17.870001,17.219999,17.65,109700,17.100893
2016-05-12,17.75,17.969999,17.48,17.879999,59800,17.323737
2016-05-11,17.48,17.74,17.280001,17.709999,83500,17.159025
2016-05-10,17.34,17.50,17.139999,17.469999,82000,16.926492
2016-05-09,17.15,17.280001,16.84,17.10,30400,16.568004
2016-05-06,17.379999,17.50,17.059999,17.15,27300,16.616448
2016-05-05,17.389999,17.59,17.190001,17.40,61000,16.85867
2016-05-04,16.93,17.450001,16.75,17.450001,63800,16.907116
2016-05-03,17.469999,17.469999,16.870001,17.030001,38800,16.500182
