Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,64.339996,64.660004,63.59,63.98,246000,63.98
2017-02-08,64.489998,64.790001,63.139999,63.93,306300,63.93
2017-02-07,65.199997,65.839996,64.790001,64.860001,319000,64.860001
2017-02-06,65.610001,66.169998,65.360001,65.550003,244000,65.550003
2017-02-03,65.440002,66.089996,65.190002,66.029999,145200,66.029999
2017-02-02,65.959999,66.260002,65.059998,65.550003,278000,65.550003
2017-02-01,65.00,66.360001,64.709999,65.959999,449700,65.959999
2017-01-31,65.870003,65.940002,64.620003,65.059998,474800,65.059998
2017-01-30,65.709999,65.809998,64.43,65.699997,362800,65.699997
2017-01-27,67.00,67.419998,65.110001,66.010002,733200,66.010002
2017-01-26,63.209999,67.57,63.200001,67.440002,1700900,67.440002
2017-01-25,60.509998,61.360001,60.18,61.360001,578400,61.360001
2017-01-24,59.740002,61.32,59.619999,60.91,524200,60.91
2017-01-23,59.380001,59.73,59.00,59.619999,228900,59.619999
2017-01-20,59.82,60.32,59.52,59.68,444100,59.68
2017-01-19,59.049999,59.759998,58.599998,59.23,229400,59.23
2017-01-18,59.369999,59.669998,58.66,58.990002,270600,58.990002
2017-01-17,60.09,60.290001,59.389999,59.470001,253000,59.470001
2017-01-16,61.110001,61.299999,59.91,60.09,112200,60.09
2017-01-13,62.09,62.599998,61.450001,61.650002,158500,61.650002
2017-01-12,63.00,63.380001,61.77,62.240002,292100,62.240002
2017-01-11,61.610001,62.91,61.610001,62.700001,282100,62.700001
2017-01-10,60.619999,61.77,60.619999,61.50,296900,61.50
2017-01-09,62.00,62.400002,60.549999,60.599998,176800,60.599998
2017-01-06,62.700001,62.75,61.299999,62.41,215600,62.41
2017-01-05,60.880001,62.75,60.630001,62.66,356700,62.66
2017-01-04,60.220001,61.27,60.220001,61.07,378100,61.07
2017-01-03,59.470001,60.18,59.00,60.150002,317500,60.150002
2016-12-30,60.25,60.50,58.849998,58.889999,129400,58.889999
2016-12-29,60.77,61.110001,59.75,60.200001,177800,60.200001
2016-12-28,60.669998,61.450001,59.849998,60.09,318800,60.09
2016-12-23,59.950001,60.080002,59.459999,59.779999,97100,59.779999
2016-12-22,60.310001,60.779999,59.560001,59.84,162000,59.84
