Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,3.94,4.46,3.88,4.41,4902400,4.41
2017-02-09,4.00,4.02,3.85,4.00,3205500,4.00
2017-02-08,3.95,4.00,3.78,4.00,4096400,4.00
2017-02-07,3.96,4.00,3.86,3.89,2007700,3.89
2017-02-06,3.87,3.99,3.85,3.92,1798500,3.92
2017-02-03,3.92,3.92,3.78,3.82,1339800,3.82
2017-02-02,3.98,4.00,3.85,3.88,2149600,3.88
2017-02-01,3.76,3.96,3.66,3.95,2678600,3.95
2017-01-31,3.99,3.99,3.71,3.77,2307600,3.77
2017-01-30,4.05,4.19,3.82,3.91,3686800,3.91
2017-01-27,3.81,4.00,3.75,3.92,2206400,3.92
2017-01-26,3.85,3.93,3.60,3.86,4589200,3.86
2017-01-25,4.18,4.18,3.61,4.05,6433600,4.05
2017-01-24,4.15,4.54,4.03,4.37,8767900,4.37
2017-01-23,3.66,3.95,3.64,3.92,5746800,3.92
2017-01-20,3.35,3.65,3.31,3.48,4640800,3.48
2017-01-19,3.29,3.34,3.03,3.27,2747400,3.27
2017-01-18,3.37,3.45,3.28,3.34,3020800,3.34
2017-01-17,3.22,3.37,3.18,3.26,3786700,3.26
2017-01-16,3.10,3.23,3.05,3.14,2474500,3.14
2017-01-13,2.71,3.08,2.69,2.98,2681000,2.98
2017-01-12,2.64,2.80,2.54,2.72,3547300,2.72
2017-01-11,2.77,2.82,2.74,2.77,957700,2.77
2017-01-10,2.70,2.89,2.70,2.73,1957500,2.73
2017-01-09,2.65,2.74,2.59,2.69,2591500,2.69
2017-01-06,2.69,2.71,2.52,2.54,1056300,2.54
2017-01-05,2.50,2.74,2.49,2.71,1651700,2.71
2017-01-04,2.59,2.59,2.30,2.49,1980900,2.49
2017-01-03,2.76,2.77,2.55,2.59,1845700,2.59
2016-12-30,2.95,2.99,2.70,2.77,1896300,2.77
2016-12-29,3.00,3.04,2.86,2.96,2034600,2.96
2016-12-28,3.00,3.12,2.78,2.91,3853300,2.91
2016-12-23,2.37,2.64,2.34,2.54,2069600,2.54
2016-12-22,2.33,2.40,2.27,2.30,772600,2.30
2016-12-21,2.37,2.47,2.23,2.32,1579400,2.32
2016-12-20,2.33,2.40,2.22,2.36,835400,2.36
2016-12-19,2.12,2.37,2.10,2.35,2294400,2.35
2016-12-16,2.19,2.21,2.07,2.10,1356700,2.10
2016-12-15,2.15,2.25,2.05,2.13,1161100,2.13
2016-12-14,2.18,2.36,2.15,2.18,2173300,2.18
2016-12-13,2.15,2.18,2.00,2.18,1898100,2.18
2016-12-12,2.25,2.29,2.17,2.19,1422400,2.19
2016-12-09,2.65,2.70,2.15,2.27,4113600,2.27
2016-12-08,2.15,2.57,2.03,2.53,4019400,2.53
2016-12-07,1.93,2.16,1.92,1.99,3083600,1.99
2016-12-06,1.94,2.00,1.86,1.92,1727300,1.92
2016-12-05,1.93,1.98,1.83,1.95,1394700,1.95
2016-12-02,1.58,1.98,1.57,1.90,3683700,1.90
2016-12-01,1.60,1.60,1.54,1.58,724300,1.58
2016-11-30,1.65,1.66,1.59,1.59,331200,1.59
2016-11-29,1.60,1.65,1.60,1.63,558000,1.63
2016-11-28,1.74,1.74,1.60,1.63,878300,1.63
2016-11-25,1.72,1.74,1.65,1.69,280600,1.69
2016-11-24,1.73,1.74,1.68,1.72,292400,1.72
2016-11-23,1.63,1.74,1.57,1.71,1119600,1.71
2016-11-22,1.80,1.80,1.68,1.70,1503500,1.70
2016-11-21,1.88,1.89,1.66,1.75,1483600,1.75
2016-11-18,1.57,1.88,1.53,1.75,2028400,1.75
2016-11-17,1.77,1.77,1.56,1.62,1703600,1.62
2016-11-16,1.70,2.08,1.56,1.75,6284500,1.75
2016-11-15,1.25,1.68,1.24,1.66,3843200,1.66
2016-11-14,1.18,1.23,1.17,1.22,907300,1.22
2016-11-11,1.18,1.20,1.11,1.18,344500,1.18
2016-11-10,1.25,1.25,1.19,1.20,871400,1.20
2016-11-09,1.21,1.26,1.14,1.24,3940500,1.24
2016-11-08,0.99,1.02,0.99,1.01,1315100,1.01
2016-11-07,1.00,1.00,0.93,0.99,819000,0.99
2016-11-04,1.03,1.04,0.95,0.97,1690300,0.97
2016-11-03,1.14,1.14,1.02,1.02,954800,1.02
2016-11-02,1.14,1.17,1.11,1.13,1228800,1.13
2016-11-01,1.22,1.22,1.12,1.13,765400,1.13
2016-10-31,1.11,1.22,1.10,1.12,1818300,1.12
2016-10-28,1.04,1.39,1.03,1.11,4283300,1.11
2016-10-27,1.01,1.01,0.94,0.97,115600,0.97
2016-10-26,1.01,1.01,0.97,0.98,50900,0.98
2016-10-25,1.03,1.03,0.98,0.99,229300,0.99
2016-10-24,0.92,1.05,0.91,1.00,907900,1.00
2016-10-21,0.88,0.94,0.88,0.91,111400,0.91
2016-10-20,0.93,0.94,0.89,0.91,245700,0.91
2016-10-19,0.90,0.95,0.90,0.92,383900,0.92
2016-10-18,0.80,0.90,0.80,0.89,445100,0.89
2016-10-17,0.83,0.84,0.79,0.79,146600,0.79
2016-10-14,0.79,0.83,0.79,0.81,99300,0.81
2016-10-13,0.75,0.79,0.71,0.78,273600,0.78
2016-10-12,0.80,0.80,0.75,0.76,266100,0.76
2016-10-11,0.80,0.84,0.79,0.79,147000,0.79
2016-10-07,0.79,0.84,0.79,0.81,185400,0.81
2016-10-06,0.77,0.82,0.76,0.78,379500,0.78
2016-10-05,0.85,0.85,0.82,0.82,281100,0.82
2016-10-04,0.88,0.88,0.80,0.84,915500,0.84
2016-10-03,0.92,0.92,0.89,0.91,430200,0.91
2016-09-30,0.95,0.96,0.91,0.92,314600,0.92
2016-09-29,0.97,0.97,0.92,0.93,528200,0.93
2016-09-28,0.96,0.98,0.90,0.98,598500,0.98
2016-09-27,0.98,1.00,0.95,0.96,505300,0.96
2016-09-26,1.06,1.06,0.98,1.01,711000,1.01
2016-09-23,1.06,1.11,1.03,1.05,431000,1.05
2016-09-22,1.12,1.17,1.04,1.05,785600,1.05
2016-09-21,0.99,1.11,0.98,1.09,692200,1.09
2016-09-20,0.98,0.99,0.97,0.98,162000,0.98
2016-09-19,0.98,1.00,0.94,0.99,182300,0.99
2016-09-16,1.00,1.00,0.98,0.99,78700,0.99
2016-09-15,1.00,1.01,0.95,0.99,187700,0.99
2016-09-14,1.03,1.04,1.01,1.02,148300,1.02
2016-09-13,1.02,1.03,0.99,1.03,289200,1.03
2016-09-12,0.99,1.04,0.98,1.03,564300,1.03
2016-09-09,1.06,1.08,1.01,1.03,341000,1.03
2016-09-08,1.10,1.10,1.05,1.06,583700,1.06
2016-09-07,1.11,1.12,1.04,1.07,1119400,1.07
2016-09-06,1.03,1.12,1.03,1.10,891400,1.10
2016-09-02,0.98,1.02,0.94,1.01,767300,1.01
2016-09-01,0.93,0.98,0.87,0.96,556300,0.96
2016-08-31,0.96,0.97,0.90,0.91,475300,0.91
2016-08-30,0.98,1.02,0.95,0.96,640200,0.96
2016-08-29,1.02,1.03,0.98,0.98,465700,0.98
2016-08-26,1.05,1.07,1.00,1.01,856900,1.01
2016-08-25,0.99,1.04,0.97,1.00,662400,1.00
2016-08-24,1.05,1.08,0.97,0.99,968500,0.99
2016-08-23,0.97,1.09,0.96,1.07,1696600,1.07
2016-08-22,1.10,1.13,0.96,1.00,2311200,1.00
2016-08-19,1.16,1.18,1.10,1.13,1337300,1.13
2016-08-18,1.27,1.33,1.13,1.17,3026500,1.17
2016-08-17,1.33,1.34,1.09,1.24,4355800,1.24
2016-08-16,1.28,1.48,1.26,1.33,4373900,1.33
2016-08-15,1.15,1.27,1.13,1.22,3283700,1.22
2016-08-12,1.08,1.15,1.06,1.10,6193300,1.10
2016-08-11,0.95,0.96,0.91,0.93,826400,0.93
2016-08-10,0.92,0.98,0.91,0.95,1308700,0.95
2016-08-09,1.02,1.04,0.91,0.91,1363800,0.91
2016-08-08,0.97,1.04,0.96,1.01,2465700,1.01
2016-08-05,0.89,0.93,0.87,0.93,1099600,0.93
2016-08-04,0.87,0.90,0.86,0.88,1519700,0.88
2016-08-03,0.82,0.89,0.81,0.84,1939400,0.84
2016-08-02,0.75,0.80,0.74,0.78,2066000,0.78
2016-07-29,0.67,0.71,0.67,0.70,989600,0.70
2016-07-28,0.63,0.68,0.63,0.66,1416900,0.66
2016-07-27,0.59,0.63,0.58,0.63,676200,0.63
2016-07-26,0.60,0.60,0.58,0.60,199900,0.60
2016-07-25,0.58,0.59,0.56,0.59,441000,0.59
2016-07-22,0.57,0.60,0.54,0.59,326900,0.59
2016-07-21,0.58,0.61,0.58,0.60,193300,0.60
2016-07-20,0.59,0.60,0.58,0.58,203700,0.58
2016-07-19,0.64,0.64,0.60,0.60,256500,0.60
2016-07-18,0.66,0.67,0.63,0.64,424400,0.64
2016-07-15,0.65,0.69,0.64,0.65,875100,0.65
2016-07-14,0.59,0.65,0.57,0.65,1813800,0.65
2016-07-13,0.61,0.63,0.58,0.58,1240900,0.58
2016-07-12,0.69,0.69,0.60,0.61,2061400,0.61
2016-07-11,0.59,0.76,0.58,0.69,3187200,0.69
2016-07-08,0.44,0.57,0.44,0.56,2982800,0.56
2016-07-07,0.45,0.45,0.44,0.44,1212700,0.44
2016-07-06,0.47,0.47,0.43,0.45,1478700,0.45
2016-07-05,0.41,0.47,0.40,0.45,707900,0.45
2016-07-04,0.41,0.41,0.39,0.39,331300,0.39
2016-06-30,0.41,0.41,0.40,0.40,203800,0.40
2016-06-29,0.38,0.41,0.38,0.41,271900,0.41
2016-06-28,0.39,0.40,0.38,0.40,135000,0.40
2016-06-27,0.39,0.40,0.39,0.39,160000,0.39
2016-06-24,0.40,0.43,0.37,0.39,765700,0.39
2016-06-23,0.41,0.41,0.39,0.39,90400,0.39
2016-06-22,0.41,0.41,0.40,0.40,102600,0.40
2016-06-21,0.41,0.42,0.40,0.41,292700,0.41
2016-06-20,0.42,0.44,0.41,0.41,212400,0.41
2016-06-17,0.44,0.44,0.43,0.43,96800,0.43
2016-06-16,0.44,0.44,0.40,0.43,698200,0.43
2016-06-15,0.43,0.44,0.43,0.44,118700,0.44
2016-06-14,0.42,0.42,0.41,0.42,193600,0.42
2016-06-13,0.42,0.43,0.42,0.43,231800,0.43
2016-06-10,0.46,0.46,0.41,0.42,576900,0.42
2016-06-09,0.42,0.47,0.42,0.46,229000,0.46
2016-06-08,0.45,0.47,0.42,0.44,244600,0.44
2016-06-07,0.46,0.46,0.45,0.45,192800,0.45
2016-06-06,0.46,0.48,0.44,0.47,279400,0.47
2016-06-03,0.42,0.45,0.42,0.44,374500,0.44
2016-06-02,0.41,0.42,0.40,0.42,158900,0.42
2016-06-01,0.42,0.42,0.41,0.41,108600,0.41
2016-05-31,0.43,0.43,0.40,0.41,442100,0.41
2016-05-30,0.42,0.43,0.42,0.43,30400,0.43
2016-05-27,0.42,0.43,0.41,0.43,345200,0.43
2016-05-26,0.43,0.45,0.43,0.44,111200,0.44
2016-05-25,0.44,0.45,0.44,0.45,319500,0.45
2016-05-24,0.46,0.46,0.44,0.44,182400,0.44
2016-05-20,0.46,0.46,0.44,0.45,78500,0.45
2016-05-19,0.43,0.44,0.43,0.44,79300,0.44
2016-05-18,0.45,0.46,0.43,0.43,351500,0.43
2016-05-17,0.45,0.46,0.44,0.46,151100,0.46
2016-05-16,0.46,0.46,0.44,0.45,188900,0.45
2016-05-13,0.45,0.46,0.44,0.46,130200,0.46
2016-05-12,0.45,0.46,0.44,0.46,343400,0.46
2016-05-11,0.44,0.45,0.43,0.45,303200,0.45
2016-05-10,0.45,0.45,0.43,0.44,408100,0.44
2016-05-09,0.48,0.48,0.44,0.44,293900,0.44
2016-05-06,0.49,0.50,0.48,0.48,838900,0.48
2016-05-05,0.50,0.50,0.48,0.48,445400,0.48
2016-05-04,0.53,0.53,0.49,0.51,132900,0.51
2016-05-03,0.54,0.54,0.51,0.52,382900,0.52
2016-05-02,0.55,0.55,0.53,0.54,1075700,0.54
2016-04-29,0.50,0.54,0.50,0.54,398500,0.54
2016-04-28,0.51,0.51,0.49,0.50,816500,0.50
2016-04-27,0.55,0.56,0.52,0.52,432400,0.52
2016-04-26,0.54,0.56,0.53,0.56,396900,0.56
2016-04-25,0.55,0.57,0.52,0.56,696500,0.56
2016-04-22,0.54,0.56,0.53,0.55,406800,0.55
2016-04-21,0.52,0.55,0.51,0.54,331100,0.54
2016-04-20,0.50,0.52,0.50,0.51,489700,0.51
2016-04-19,0.50,0.52,0.49,0.50,858100,0.50
2016-04-18,0.47,0.50,0.47,0.50,818800,0.50
2016-04-15,0.45,0.47,0.43,0.47,179400,0.47
2016-04-14,0.44,0.44,0.42,0.44,41800,0.44
2016-04-13,0.43,0.45,0.42,0.45,339100,0.45
2016-04-12,0.41,0.43,0.40,0.43,168800,0.43
2016-04-11,0.44,0.44,0.40,0.41,510900,0.41
2016-04-08,0.39,0.42,0.38,0.42,101600,0.42
2016-04-07,0.42,0.43,0.39,0.39,285100,0.39
2016-04-06,0.41,0.41,0.40,0.41,12000,0.41
2016-04-05,0.43,0.43,0.40,0.40,194800,0.40
2016-04-04,0.43,0.43,0.40,0.41,236300,0.41
2016-04-01,0.43,0.44,0.41,0.44,42800,0.44
2016-03-31,0.42,0.44,0.41,0.42,332800,0.42
2016-03-30,0.44,0.44,0.42,0.44,81000,0.44
2016-03-29,0.45,0.45,0.43,0.43,493500,0.43
2016-03-28,0.45,0.45,0.41,0.43,110700,0.43
2016-03-24,0.41,0.45,0.41,0.45,34500,0.45
2016-03-23,0.44,0.44,0.41,0.42,308900,0.42
2016-03-22,0.45,0.45,0.44,0.45,99500,0.45
2016-03-21,0.45,0.46,0.44,0.46,124000,0.46
2016-03-18,0.45,0.45,0.45,0.45,204500,0.45
2016-03-17,0.45,0.46,0.44,0.45,106000,0.45
2016-03-16,0.44,0.45,0.43,0.43,205500,0.43
2016-03-15,0.48,0.48,0.43,0.44,472000,0.44
2016-03-14,0.50,0.51,0.46,0.50,308900,0.50
2016-03-11,0.49,0.52,0.48,0.50,814700,0.50
2016-03-10,0.47,0.49,0.45,0.49,643200,0.49
2016-03-09,0.46,0.47,0.46,0.46,81500,0.46
2016-03-08,0.48,0.48,0.45,0.45,236200,0.45
2016-03-07,0.45,0.48,0.45,0.46,554600,0.46
2016-03-04,0.46,0.47,0.44,0.45,328000,0.45
2016-03-03,0.43,0.46,0.42,0.46,326200,0.46
2016-03-02,0.46,0.46,0.42,0.44,188000,0.44
2016-03-01,0.47,0.48,0.46,0.46,148800,0.46
2016-02-29,0.46,0.48,0.46,0.47,53800,0.47
2016-02-26,0.48,0.50,0.43,0.44,277600,0.44
2016-02-25,0.49,0.49,0.48,0.48,70500,0.48
2016-02-24,0.50,0.51,0.49,0.49,258400,0.49
2016-02-23,0.50,0.50,0.49,0.49,319500,0.49
2016-02-22,0.48,0.51,0.48,0.49,109000,0.49
2016-02-19,0.49,0.51,0.49,0.50,233700,0.50
2016-02-18,0.49,0.49,0.46,0.49,264100,0.49
2016-02-17,0.47,0.51,0.47,0.48,314500,0.48
2016-02-16,0.47,0.51,0.46,0.48,269000,0.48
2016-02-12,0.47,0.49,0.45,0.45,155700,0.45
2016-02-11,0.45,0.50,0.45,0.45,577400,0.45
2016-02-10,0.42,0.44,0.41,0.41,300400,0.41
2016-02-09,0.42,0.48,0.41,0.41,683900,0.41
2016-02-08,0.39,0.42,0.38,0.42,187400,0.42
2016-02-05,0.39,0.40,0.39,0.39,3900,0.39
2016-02-04,0.39,0.39,0.38,0.39,83500,0.39
2016-02-03,0.37,0.39,0.37,0.39,91600,0.39
2016-02-02,0.39,0.39,0.36,0.37,103600,0.37
2016-02-01,0.39,0.39,0.38,0.39,168700,0.39
2016-01-29,0.36,0.39,0.36,0.38,72900,0.38
2016-01-28,0.38,0.38,0.36,0.36,57100,0.36
2016-01-27,0.37,0.38,0.37,0.38,141900,0.38
2016-01-26,0.38,0.38,0.36,0.36,100300,0.36
2016-01-25,0.35,0.39,0.35,0.37,184800,0.37
2016-01-22,0.32,0.36,0.32,0.32,90600,0.32
2016-01-21,0.30,0.32,0.30,0.31,118200,0.31
2016-01-20,0.32,0.32,0.29,0.30,29300,0.30
2016-01-19,0.32,0.34,0.32,0.32,58200,0.32
2016-01-18,0.33,0.33,0.28,0.31,31600,0.31
2016-01-15,0.35,0.37,0.31,0.36,209900,0.36
2016-01-14,0.38,0.40,0.36,0.36,506500,0.36
2016-01-13,0.40,0.40,0.40,0.40,61300,0.40
2016-01-12,0.41,0.41,0.40,0.40,39800,0.40
2016-01-11,0.40,0.41,0.40,0.40,15400,0.40
2016-01-08,0.41,0.41,0.40,0.40,116000,0.40
2016-01-07,0.41,0.42,0.40,0.40,66100,0.40
2016-01-06,0.42,0.43,0.41,0.41,29400,0.41
2016-01-05,0.43,0.44,0.42,0.42,101100,0.42
2016-01-04,0.42,0.44,0.40,0.43,110600,0.43
2015-12-31,0.40,0.42,0.40,0.42,123700,0.42
2015-12-30,0.41,0.41,0.41,0.41,700,0.41
2015-12-29,0.41,0.42,0.41,0.42,42500,0.42
2015-12-24,0.40,0.43,0.40,0.43,104900,0.43
2015-12-23,0.40,0.42,0.39,0.40,48800,0.40
2015-12-22,0.40,0.42,0.40,0.40,14900,0.40
2015-12-21,0.40,0.40,0.40,0.40,22800,0.40
2015-12-18,0.40,0.40,0.40,0.40,700,0.40
2015-12-17,0.40,0.42,0.40,0.40,11700,0.40
2015-12-16,0.39,0.42,0.39,0.42,166500,0.42
2015-12-15,0.40,0.42,0.39,0.39,58600,0.39
2015-12-14,0.40,0.40,0.38,0.39,98800,0.39
2015-12-11,0.40,0.40,0.40,0.40,7800,0.40
2015-12-10,0.40,0.43,0.39,0.43,59900,0.43
2015-12-09,0.42,0.42,0.41,0.42,35700,0.42
2015-12-08,0.41,0.41,0.40,0.41,25500,0.41
2015-12-07,0.43,0.43,0.40,0.40,41400,0.40
2015-12-04,0.42,0.43,0.42,0.43,26300,0.43
2015-12-03,0.41,0.42,0.40,0.40,56700,0.40
2015-12-02,0.39,0.42,0.39,0.40,37200,0.40
2015-12-01,0.40,0.41,0.39,0.40,406800,0.40
2015-11-30,0.40,0.43,0.40,0.40,150200,0.40
2015-11-27,0.40,0.41,0.40,0.40,182000,0.40
2015-11-26,0.41,0.41,0.40,0.40,24900,0.40
2015-11-25,0.40,0.41,0.40,0.40,62300,0.40
2015-11-24,0.40,0.41,0.39,0.41,210000,0.41
2015-11-23,0.41,0.41,0.38,0.40,183100,0.40
2015-11-20,0.41,0.41,0.39,0.39,140700,0.39
2015-11-19,0.41,0.43,0.40,0.41,116700,0.41
2015-11-18,0.44,0.44,0.40,0.41,100600,0.41
2015-11-17,0.43,0.43,0.40,0.41,677900,0.41
2015-11-16,0.45,0.46,0.41,0.42,279000,0.42
2015-11-13,0.43,0.45,0.43,0.45,39700,0.45
2015-11-12,0.46,0.46,0.43,0.45,56200,0.45
2015-11-11,0.48,0.48,0.46,0.46,47600,0.46
2015-11-10,0.47,0.49,0.47,0.47,220400,0.47
2015-11-09,0.49,0.49,0.47,0.47,10500,0.47
2015-11-06,0.50,0.53,0.47,0.49,111800,0.49
2015-11-05,0.53,0.53,0.51,0.51,8900,0.51
2015-11-04,0.55,0.55,0.53,0.54,4500,0.54
2015-11-03,0.55,0.55,0.52,0.55,15900,0.55
2015-11-02,0.53,0.58,0.53,0.55,47200,0.55
2015-10-30,0.55,0.56,0.55,0.55,13500,0.55
2015-10-29,0.51,0.55,0.51,0.55,23600,0.55
2015-10-28,0.56,0.58,0.56,0.58,37100,0.58
2015-10-27,0.55,0.56,0.52,0.56,56200,0.56
2015-10-26,0.52,0.55,0.50,0.55,99500,0.55
2015-10-23,0.47,0.48,0.47,0.48,9000,0.48
2015-10-22,0.46,0.47,0.46,0.47,8200,0.47
2015-10-21,0.46,0.46,0.46,0.46,000,0.46
2015-10-20,0.49,0.49,0.47,0.47,21900,0.47
2015-10-19,0.48,0.48,0.47,0.47,46500,0.47
2015-10-16,0.50,0.50,0.47,0.48,127100,0.48
2015-10-15,0.52,0.52,0.50,0.52,57100,0.52
2015-10-14,0.55,0.56,0.53,0.53,43900,0.53
2015-10-13,0.55,0.55,0.51,0.53,76200,0.53
2015-10-09,0.55,0.57,0.55,0.57,25600,0.57
2015-10-08,0.54,0.55,0.53,0.55,18900,0.55
