Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,6.56,6.87,6.49,6.78,384500,6.78
2017-01-25,6.62,6.70,6.57,6.70,275000,6.70
2017-01-24,6.75,6.86,6.64,6.77,331100,6.77
2017-01-23,6.99,6.99,6.72,6.77,307600,6.77
2017-01-20,6.76,6.96,6.72,6.81,267100,6.81
2017-01-19,6.66,6.86,6.54,6.76,305000,6.76
2017-01-18,6.85,6.91,6.65,6.73,296700,6.73
2017-01-17,6.92,7.10,6.78,6.83,371400,6.83
2017-01-16,6.79,6.79,6.70,6.77,61800,6.77
2017-01-13,6.49,6.72,6.42,6.71,313300,6.71
2017-01-12,6.74,6.80,6.53,6.57,341600,6.57
2017-01-11,6.64,6.74,6.47,6.59,483000,6.59
2017-01-10,6.51,6.78,6.48,6.69,418600,6.69
2017-01-09,6.49,6.79,6.42,6.47,581100,6.47
2017-01-06,6.56,6.81,6.08,6.31,732700,6.31
2017-01-05,6.37,6.77,6.37,6.74,467200,6.74
2017-01-04,6.27,6.34,6.13,6.22,488000,6.22
2017-01-03,6.14,6.23,5.94,6.20,506500,6.20
2016-12-30,6.41,6.57,6.11,6.14,614200,6.14
2016-12-29,6.03,6.39,5.96,6.36,481600,6.36
2016-12-28,5.62,5.95,5.54,5.95,354000,5.95
2016-12-23,5.31,5.54,5.31,5.47,219400,5.47
2016-12-22,5.26,5.40,5.24,5.27,163700,5.27
2016-12-21,5.25,5.36,5.19,5.27,219900,5.27
2016-12-20,5.15,5.30,5.09,5.24,279200,5.24
2016-12-19,5.27,5.31,5.12,5.24,404600,5.24
2016-12-16,5.35,5.50,5.21,5.27,750600,5.27
2016-12-15,5.33,5.45,5.21,5.28,399200,5.28
2016-12-14,5.89,5.89,5.43,5.46,852000,5.46
2016-12-13,5.80,5.92,5.72,5.83,296300,5.83
2016-12-12,5.87,5.87,5.71,5.79,299800,5.79
2016-12-09,5.91,6.06,5.81,5.82,468200,5.82
2016-12-08,6.00,6.07,5.95,6.04,204900,6.04
2016-12-07,6.17,6.20,5.97,6.02,405000,6.02
2016-12-06,6.29,6.39,6.01,6.06,329100,6.06
2016-12-05,5.93,6.26,5.83,6.23,405800,6.23
2016-12-02,6.13,6.22,5.99,6.05,474400,6.05
2016-12-01,6.08,6.35,5.98,6.07,493100,6.07
2016-11-30,6.09,6.18,6.03,6.16,367200,6.16
2016-11-29,5.90,6.23,5.89,6.18,280000,6.18
2016-11-28,5.91,6.10,5.82,6.05,270600,6.05
2016-11-25,5.83,6.01,5.82,5.82,187500,5.82
2016-11-24,5.82,5.82,5.74,5.78,77800,5.78
2016-11-23,5.82,5.96,5.76,5.88,414100,5.88
2016-11-22,6.12,6.15,5.87,6.08,352600,6.08
2016-11-21,6.07,6.16,5.99,6.09,299900,6.09
2016-11-18,5.95,6.15,5.87,6.00,382000,6.00
2016-11-17,6.07,6.36,5.95,6.05,648000,6.05
2016-11-16,6.13,6.13,5.99,6.07,464400,6.07
2016-11-15,6.09,6.20,5.96,6.15,600800,6.15
2016-11-14,5.59,6.12,5.49,6.04,764100,6.04
2016-11-11,6.08,6.12,5.53,5.72,620300,5.72
2016-11-10,6.51,6.55,6.08,6.09,440400,6.09
2016-11-09,7.13,7.13,6.38,6.50,828800,6.50
2016-11-08,6.72,6.89,6.42,6.48,376300,6.48
2016-11-07,6.98,6.99,6.66,6.69,461800,6.69
2016-11-04,7.23,7.40,7.05,7.28,502900,7.28
2016-11-03,7.02,7.28,6.95,7.22,489400,7.22
2016-11-02,7.23,7.41,7.01,7.03,1355200,7.03
2016-11-01,6.85,7.13,6.80,7.02,697400,7.02
2016-10-31,6.67,6.71,6.58,6.71,317100,6.71
2016-10-28,6.39,6.69,6.33,6.63,393400,6.63
2016-10-27,6.52,6.52,6.37,6.38,310100,6.38
2016-10-26,6.64,6.64,6.42,6.47,437300,6.47
2016-10-25,6.22,6.67,6.20,6.53,492100,6.53
2016-10-24,6.25,6.32,6.16,6.17,817200,6.17
2016-10-21,6.12,6.31,6.12,6.22,598800,6.22
2016-10-20,6.14,6.19,6.00,6.04,366200,6.04
2016-10-19,5.93,6.12,5.77,6.10,734300,6.10
2016-10-18,5.63,5.84,5.52,5.81,540200,5.81
2016-10-17,5.42,5.60,5.40,5.53,322900,5.53
2016-10-14,5.51,5.61,5.39,5.40,355400,5.40
2016-10-13,5.44,5.80,5.39,5.54,393400,5.54
2016-10-12,5.37,5.49,5.31,5.43,390400,5.43
2016-10-11,5.45,5.54,5.34,5.36,577000,5.36
2016-10-07,5.78,5.94,5.42,5.44,983200,5.44
2016-10-06,5.87,6.08,5.64,5.65,704300,5.65
2016-10-05,6.46,6.47,5.77,6.03,1742100,6.03
2016-10-04,7.04,7.04,6.40,6.41,942900,6.41
2016-10-03,7.34,7.38,7.13,7.24,297000,7.24
2016-09-30,7.59,7.67,7.25,7.33,536800,7.33
2016-09-29,7.42,7.58,7.36,7.51,391400,7.51
2016-09-28,7.41,7.60,7.33,7.50,454000,7.50
2016-09-27,7.25,7.54,7.25,7.35,586300,7.35
2016-09-26,7.29,7.37,7.24,7.26,265500,7.26
