Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,3.79,3.96,3.71,3.91,2972800,3.91
2017-02-09,4.03,4.03,3.81,3.83,1947100,3.83
2017-02-08,3.82,4.02,3.80,3.96,5631800,3.96
2017-02-07,3.73,3.76,3.66,3.71,2123500,3.71
2017-02-06,3.86,3.86,3.61,3.74,3109400,3.74
2017-02-03,3.76,3.80,3.69,3.78,1191900,3.78
2017-02-02,3.90,3.90,3.72,3.76,2505500,3.76
2017-02-01,3.50,3.79,3.34,3.72,4350300,3.72
2017-01-31,3.96,3.98,3.11,3.47,11346600,3.47
2017-01-30,4.80,4.85,3.86,3.88,10154600,3.88
2017-01-27,5.14,5.29,5.14,5.20,1498300,5.20
2017-01-26,5.04,5.23,5.03,5.15,1355100,5.15
2017-01-25,5.27,5.33,5.08,5.20,2586400,5.20
2017-01-24,5.74,5.79,5.39,5.41,3922100,5.41
2017-01-23,5.70,5.75,5.64,5.72,2253600,5.72
2017-01-20,5.54,5.66,5.45,5.59,1526900,5.59
2017-01-19,5.38,5.58,5.34,5.55,1309000,5.55
2017-01-18,5.47,5.54,5.37,5.42,1239800,5.42
2017-01-17,5.53,5.53,5.35,5.42,1600400,5.42
2017-01-16,5.44,5.44,5.33,5.41,548800,5.41
2017-01-13,5.23,5.38,5.15,5.36,1478600,5.36
2017-01-12,5.43,5.47,5.20,5.27,1773100,5.27
2017-01-11,5.30,5.40,5.17,5.30,1655300,5.30
2017-01-10,5.19,5.34,5.17,5.30,1522200,5.30
2017-01-09,5.20,5.26,5.06,5.11,1286400,5.11
2017-01-06,5.16,5.30,5.00,5.04,1886600,5.04
2017-01-05,4.99,5.31,4.90,5.28,2761100,5.28
2017-01-04,4.95,4.99,4.80,4.85,1955400,4.85
2017-01-03,4.74,4.93,4.72,4.90,2017800,4.90
2016-12-30,4.91,5.05,4.65,4.71,1907300,4.71
2016-12-29,4.60,4.92,4.54,4.90,1644400,4.90
2016-12-28,4.46,4.60,4.37,4.56,1476100,4.56
2016-12-23,4.26,4.32,4.23,4.27,718400,4.27
2016-12-22,4.21,4.33,4.18,4.23,1337900,4.23
2016-12-21,4.14,4.31,4.09,4.22,1401500,4.22
2016-12-20,4.21,4.21,4.04,4.10,3523400,4.10
2016-12-19,4.51,4.55,4.28,4.28,2225200,4.28
2016-12-16,4.53,4.62,4.41,4.49,1733300,4.49
2016-12-15,4.64,4.72,4.38,4.47,3183200,4.47
2016-12-14,5.04,5.15,4.78,4.78,3007500,4.78
2016-12-13,5.05,5.07,4.87,4.97,1907400,4.97
2016-12-12,5.08,5.14,4.97,5.06,1298500,5.06
2016-12-09,5.13,5.18,4.97,5.01,2145500,5.01
2016-12-08,5.18,5.24,5.12,5.17,1288700,5.17
2016-12-07,5.03,5.25,5.00,5.17,1844400,5.17
2016-12-06,4.90,5.08,4.90,4.92,1429400,4.92
2016-12-05,4.72,4.97,4.65,4.92,1942600,4.92
2016-12-02,4.75,4.89,4.69,4.80,1373900,4.80
2016-12-01,4.77,4.83,4.61,4.69,1575000,4.69
2016-11-30,4.92,4.94,4.78,4.79,1704700,4.79
2016-11-29,4.88,5.02,4.85,4.96,927300,4.96
2016-11-28,4.94,5.02,4.83,4.99,1598900,4.99
2016-11-25,4.95,5.00,4.84,4.86,955500,4.86
2016-11-24,4.95,4.95,4.90,4.93,179400,4.93
2016-11-23,5.03,5.11,4.91,4.95,2343100,4.95
2016-11-22,5.13,5.23,5.10,5.21,1947500,5.21
2016-11-21,5.17,5.20,5.04,5.12,1552900,5.12
2016-11-18,5.01,5.15,5.01,5.07,1545800,5.07
2016-11-17,5.15,5.30,5.01,5.07,2072600,5.07
2016-11-16,5.25,5.32,4.99,5.15,2442100,5.15
2016-11-15,4.94,5.31,4.93,5.25,2125500,5.25
2016-11-14,4.87,5.13,4.74,4.94,4004800,4.94
2016-11-11,5.39,5.54,4.94,4.96,3628800,4.96
2016-11-10,5.79,5.80,5.40,5.46,2611500,5.46
2016-11-09,5.86,6.09,5.56,5.72,3319500,5.72
2016-11-08,5.41,5.60,5.35,5.42,1873700,5.42
2016-11-07,5.38,5.48,5.21,5.39,1497100,5.39
2016-11-04,5.59,5.62,5.37,5.58,1917900,5.58
2016-11-03,5.38,5.66,5.37,5.56,1434700,5.56
2016-11-02,5.84,5.84,5.32,5.40,2366700,5.40
2016-11-01,5.44,5.72,5.42,5.63,2134900,5.63
2016-10-31,5.39,5.39,5.15,5.29,1726200,5.29
2016-10-28,5.11,5.54,5.11,5.38,3194900,5.38
2016-10-27,5.26,5.28,5.06,5.07,1153200,5.07
2016-10-26,5.46,5.49,5.10,5.21,1590200,5.21
2016-10-25,5.42,5.54,5.35,5.47,1481800,5.47
2016-10-24,5.53,5.61,5.22,5.34,1521500,5.34
2016-10-21,5.50,5.55,5.42,5.50,853400,5.50
2016-10-20,5.46,5.50,5.36,5.47,1193400,5.47
2016-10-19,5.54,5.57,5.33,5.47,1688100,5.47
2016-10-18,5.27,5.47,5.17,5.44,1800000,5.44
2016-10-17,5.11,5.21,5.04,5.15,1249700,5.15
2016-10-14,5.23,5.31,5.08,5.09,1014100,5.09
2016-10-13,5.23,5.44,5.12,5.25,1469900,5.25
2016-10-12,5.14,5.22,5.05,5.20,1543800,5.20
2016-10-11,5.15,5.34,5.10,5.12,1857200,5.12
2016-10-07,5.43,5.45,5.08,5.14,1733500,5.14
2016-10-06,5.12,5.42,5.09,5.25,2048400,5.25
2016-10-05,5.33,5.36,5.06,5.28,2182600,5.28
2016-10-04,5.38,5.38,5.12,5.22,2679000,5.22
2016-10-03,5.66,5.74,5.48,5.64,1335900,5.64
2016-09-30,5.91,5.94,5.69,5.69,1220300,5.69
2016-09-29,5.78,5.85,5.66,5.81,2125400,5.81
2016-09-28,5.95,5.96,5.78,5.83,3437300,5.83
2016-09-27,5.90,5.99,5.80,5.98,2930900,5.98
2016-09-26,6.07,6.10,5.96,5.97,2701900,5.97
2016-09-23,6.15,6.28,5.96,6.03,1946000,6.03
2016-09-22,6.46,6.47,6.08,6.16,2157400,6.16
2016-09-21,6.15,6.36,6.10,6.31,2994500,6.31
2016-09-20,6.02,6.17,5.91,5.99,1151500,5.99
2016-09-19,6.00,6.10,5.96,6.01,1899900,6.01
2016-09-16,5.93,6.22,5.84,5.84,3933500,5.84
2016-09-15,6.05,6.08,5.89,5.93,1941900,5.93
2016-09-14,6.18,6.26,6.02,6.07,3698700,6.07
2016-09-13,6.24,6.29,6.03,6.11,1565700,6.11
2016-09-12,6.00,6.38,5.98,6.30,2775000,6.30
2016-09-09,6.26,6.40,6.08,6.14,2388100,6.14
2016-09-08,6.67,6.68,6.34,6.40,2745200,6.40
2016-09-07,6.99,7.00,6.57,6.73,4844300,6.73
2016-09-06,7.05,7.32,6.98,7.25,2452000,7.25
2016-09-02,6.85,6.96,6.70,6.89,1672200,6.89
2016-09-01,6.25,6.68,6.20,6.62,1830400,6.62
2016-08-31,6.29,6.40,6.26,6.30,1611700,6.30
2016-08-30,6.65,6.70,6.23,6.32,2015300,6.32
2016-08-29,6.45,6.84,6.41,6.73,1677700,6.73
2016-08-26,6.74,6.87,6.41,6.52,2822100,6.52
2016-08-25,6.41,6.77,6.32,6.63,1791300,6.63
2016-08-24,6.80,6.92,6.38,6.49,2328500,6.49
2016-08-23,7.15,7.20,6.92,6.97,1715300,6.97
2016-08-22,7.16,7.22,7.07,7.09,1795000,7.09
2016-08-19,7.20,7.46,7.16,7.29,2546500,7.29
2016-08-18,7.35,7.51,7.21,7.38,1629200,7.38
2016-08-17,7.37,7.39,7.05,7.27,1663800,7.27
2016-08-16,7.45,7.51,7.37,7.38,1145900,7.38
2016-08-15,7.42,7.53,7.38,7.42,1103300,7.42
2016-08-12,7.54,7.64,7.35,7.40,1737200,7.40
2016-08-11,7.77,7.83,7.39,7.39,2305500,7.39
2016-08-10,7.70,7.87,7.56,7.77,2641800,7.77
2016-08-09,7.47,7.54,7.40,7.45,2246300,7.45
2016-08-08,7.34,7.56,7.29,7.42,1082400,7.42
2016-08-05,7.20,7.47,7.18,7.33,1959100,7.33
2016-08-04,7.37,7.62,7.33,7.49,1495100,7.49
2016-08-03,7.27,7.35,7.04,7.33,2028500,7.33
2016-08-02,6.97,7.35,6.97,7.33,3126500,7.33
2016-07-29,6.49,6.92,6.49,6.78,2675100,6.78
2016-07-28,6.36,6.47,6.22,6.36,2753000,6.36
2016-07-27,5.94,6.30,5.93,6.29,2627900,6.29
2016-07-26,5.69,5.83,5.64,5.83,1938500,5.83
2016-07-25,5.74,5.75,5.59,5.59,818000,5.59
2016-07-22,5.70,5.83,5.68,5.79,842400,5.79
2016-07-21,5.68,5.88,5.66,5.77,2079900,5.77
2016-07-20,5.86,5.87,5.59,5.63,1950000,5.63
2016-07-19,6.13,6.17,5.98,6.01,729600,6.01
2016-07-18,6.08,6.20,6.05,6.15,1423500,6.15
2016-07-15,6.11,6.21,6.03,6.06,1339100,6.06
2016-07-14,6.10,6.31,6.09,6.20,1424700,6.20
2016-07-13,6.20,6.34,6.07,6.29,2109300,6.29
2016-07-12,6.45,6.45,6.05,6.05,3131700,6.05
2016-07-11,6.27,6.57,6.24,6.37,1499000,6.37
2016-07-08,6.14,6.38,6.10,6.35,1747100,6.35
2016-07-07,6.28,6.28,6.08,6.14,1872900,6.14
2016-07-06,6.50,6.52,6.22,6.35,3746900,6.35
2016-07-05,6.20,6.28,6.02,6.24,1674000,6.24
2016-07-04,5.99,6.18,5.99,6.13,932800,6.13
2016-06-30,5.68,5.81,5.61,5.65,2392900,5.65
2016-06-29,5.70,5.78,5.54,5.62,2054200,5.62
2016-06-28,5.58,5.69,5.42,5.60,2265900,5.60
2016-06-27,5.81,5.86,5.39,5.62,2387900,5.62
2016-06-24,5.75,5.83,5.64,5.77,3445900,5.77
2016-06-23,5.25,5.29,5.15,5.22,1099300,5.22
2016-06-22,5.13,5.30,5.06,5.28,1273100,5.28
2016-06-21,5.21,5.32,5.10,5.11,961200,5.11
2016-06-20,5.28,5.46,5.11,5.39,1527700,5.39
2016-06-17,5.31,5.43,5.14,5.31,2193900,5.31
2016-06-16,5.69,5.69,5.20,5.21,2652700,5.21
2016-06-15,5.00,5.42,5.00,5.37,1942500,5.37
2016-06-14,5.23,5.25,5.01,5.06,1802400,5.06
2016-06-13,5.50,5.53,5.10,5.20,1588500,5.20
2016-06-10,5.50,5.58,5.28,5.31,1837800,5.31
2016-06-09,5.32,5.56,5.31,5.48,1483600,5.48
2016-06-08,5.32,5.41,5.30,5.32,1568900,5.32
2016-06-07,5.19,5.26,5.09,5.10,855500,5.10
2016-06-06,5.34,5.35,5.18,5.25,1071300,5.25
2016-06-03,5.15,5.32,5.13,5.29,2486700,5.29
2016-06-02,4.89,4.97,4.84,4.90,1288900,4.90
2016-06-01,5.15,5.15,4.82,4.89,1274200,4.89
2016-05-31,4.84,5.13,4.84,5.02,2372100,5.02
2016-05-30,4.83,4.89,4.75,4.77,429200,4.77
2016-05-27,4.94,5.00,4.86,4.87,1618500,4.87
2016-05-26,5.05,5.09,4.92,4.95,1245900,4.95
2016-05-25,4.98,5.14,4.85,4.96,4144800,4.96
2016-05-24,5.33,5.39,5.17,5.19,1698500,5.19
2016-05-20,5.62,5.74,5.44,5.54,1639900,5.54
2016-05-19,5.30,5.70,5.29,5.63,2941000,5.63
2016-05-18,6.00,6.03,5.47,5.48,2257900,5.48
2016-05-17,6.01,6.23,5.91,6.05,1947100,6.05
2016-05-16,6.14,6.25,6.00,6.06,1400500,6.06
2016-05-13,5.92,6.10,5.84,5.95,1486600,5.95
2016-05-12,6.07,6.16,5.88,5.90,1340800,5.90
