Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,24.219999,24.58,24.139999,24.25,298800,24.25
2017-02-02,23.90,24.280001,23.879999,24.129999,498400,24.129999
2017-02-01,23.90,24.00,23.73,23.91,302300,23.91
2017-01-31,23.59,23.98,23.52,23.940001,123100,23.940001
2017-01-30,23.75,23.75,23.52,23.59,143600,23.59
2017-01-27,23.67,23.83,23.459999,23.799999,190700,23.799999
2017-01-26,23.780001,23.940001,23.629999,23.67,85300,23.58
2017-01-25,23.959999,23.959999,23.809999,23.860001,130000,23.769278
2017-01-24,23.41,23.91,23.299999,23.75,247600,23.659695
2017-01-23,23.469999,23.57,23.200001,23.40,153600,23.311026
2017-01-20,23.75,23.93,23.469999,23.549999,201400,23.460455
2017-01-19,23.51,23.60,23.469999,23.51,184600,23.420608
2017-01-18,23.93,23.940001,23.49,23.620001,272100,23.530191
2017-01-17,23.91,24.01,23.809999,23.90,255700,23.809125
2017-01-16,23.90,24.00,23.799999,23.91,66500,23.819087
2017-01-13,23.93,24.040001,23.83,23.870001,180900,23.77924
2017-01-12,23.90,24.00,23.66,23.82,309300,23.729429
2017-01-11,23.68,23.83,23.450001,23.82,196800,23.729429
2017-01-10,23.60,23.90,23.52,23.620001,324100,23.530191
2017-01-09,23.43,23.559999,23.290001,23.43,158700,23.340912
2017-01-06,23.700001,23.709999,23.389999,23.459999,166300,23.370797
2017-01-05,23.49,23.559999,23.32,23.51,193800,23.420608
2017-01-04,23.379999,23.530001,23.32,23.389999,150900,23.301064
2017-01-03,23.389999,23.51,23.23,23.370001,230600,23.281141
2016-12-30,23.389999,23.48,23.219999,23.299999,128900,23.211406
2016-12-29,23.25,23.32,23.10,23.32,172200,23.23133
2016-12-28,22.91,23.24,22.85,23.24,152500,23.151634
2016-12-23,23.10,23.139999,22.99,23.040001,150200,22.862738
2016-12-22,23.17,23.23,23.059999,23.08,254600,22.902429
2016-12-21,23.00,23.24,22.969999,23.10,275400,22.922276
2016-12-20,23.190001,23.200001,22.84,23.01,201000,22.832968
2016-12-19,23.10,23.23,23.07,23.18,163900,23.00166
2016-12-16,22.950001,23.18,22.950001,23.18,285600,23.00166
2016-12-15,22.799999,23.049999,22.66,22.889999,199200,22.71389
2016-12-14,23.049999,23.07,22.799999,22.83,299500,22.654353
2016-12-13,23.040001,23.17,22.940001,22.98,289900,22.803198
2016-12-12,23.290001,23.290001,22.75,23.00,539400,22.823045
2016-12-09,22.40,23.24,22.25,23.17,987500,22.991737
2016-12-08,22.02,22.530001,21.93,22.34,370000,22.168123
2016-12-07,22.049999,22.18,21.860001,22.030001,313300,21.860508
2016-12-06,22.74,22.74,21.85,22.040001,547500,21.870432
2016-12-05,21.809999,22.85,21.809999,22.74,638500,22.565045
2016-12-02,21.60,21.719999,21.50,21.65,555700,21.483431
2016-12-01,21.799999,21.799999,21.25,21.610001,386100,21.44374
2016-11-30,21.77,21.92,21.59,21.719999,353200,21.552892
2016-11-29,21.73,21.940001,21.530001,21.75,216500,21.582662
2016-11-28,21.49,21.860001,21.43,21.68,194300,21.513201
2016-11-25,21.549999,21.73,21.360001,21.49,119400,21.235355
2016-11-24,21.50,21.719999,21.49,21.559999,76100,21.304525
2016-11-23,21.559999,21.77,21.450001,21.450001,194000,21.19583
2016-11-22,21.41,21.75,21.33,21.50,271200,21.245237
2016-11-21,21.389999,21.610001,21.27,21.370001,287700,21.116778
2016-11-18,21.549999,21.559999,21.309999,21.41,252000,21.156303
2016-11-17,21.030001,21.780001,21.01,21.559999,372500,21.304525
2016-11-16,21.07,21.290001,20.99,20.99,326500,20.74128
2016-11-15,21.190001,21.24,20.969999,21.09,847700,20.840095
2016-11-14,21.83,22.17,20.889999,21.00,551100,20.751161
