Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,4.07,4.12,4.05,4.08,575500,4.08
2017-02-08,4.00,4.07,3.99,4.06,936800,4.06
2017-02-07,4.04,4.07,3.98,4.01,678100,4.01
2017-02-06,4.00,4.04,3.99,4.04,796600,4.04
2017-02-03,4.03,4.08,4.03,4.06,326400,4.06
2017-02-02,4.13,4.13,3.98,4.04,838100,4.04
2017-02-01,4.11,4.14,4.09,4.13,526900,4.13
2017-01-31,4.11,4.14,4.06,4.10,707400,4.10
2017-01-30,4.17,4.17,4.03,4.06,737600,4.06
2017-01-27,4.22,4.27,4.15,4.18,673100,4.18
2017-01-26,4.33,4.38,4.20,4.22,893600,4.22
2017-01-25,4.30,4.39,4.23,4.38,639000,4.38
2017-01-24,4.23,4.31,4.19,4.30,3912500,4.30
2017-01-23,4.27,4.28,4.19,4.19,1073300,4.19
2017-01-20,4.28,4.30,4.24,4.27,193900,4.27
2017-01-19,4.23,4.28,4.19,4.27,310200,4.27
2017-01-18,4.28,4.31,4.21,4.23,949800,4.23
2017-01-17,4.49,4.55,4.25,4.27,800600,4.27
2017-01-16,4.60,4.60,4.43,4.48,189400,4.48
2017-01-13,4.54,4.63,4.51,4.59,1092700,4.59
2017-01-12,4.45,4.53,4.38,4.50,1537300,4.50
2017-01-11,4.34,4.42,4.33,4.38,476000,4.38
2017-01-10,4.28,4.36,4.27,4.32,900400,4.32
2017-01-09,4.31,4.32,4.18,4.22,643400,4.22
2017-01-06,4.41,4.43,4.25,4.28,298700,4.28
2017-01-05,4.45,4.46,4.35,4.42,356300,4.42
2017-01-04,4.25,4.42,4.21,4.40,712300,4.40
2017-01-03,4.19,4.24,4.16,4.23,344100,4.23
2016-12-30,4.24,4.27,4.14,4.15,468600,4.15
2016-12-29,4.33,4.33,4.23,4.25,404100,4.25
2016-12-28,4.27,4.33,4.24,4.32,374000,4.32
2016-12-23,4.26,4.30,4.22,4.29,248100,4.236
2016-12-22,4.38,4.38,4.24,4.26,438600,4.206378
2016-12-21,4.30,4.47,4.29,4.39,479000,4.334741
2016-12-20,4.23,4.33,4.20,4.29,595500,4.236
2016-12-19,4.32,4.35,4.20,4.22,613100,4.166881
2016-12-16,4.35,4.42,4.29,4.35,1353800,4.295245
2016-12-15,4.22,4.35,4.22,4.34,936600,4.285371
2016-12-14,4.27,4.32,4.24,4.31,1683600,4.255748
2016-12-13,4.35,4.37,4.19,4.28,899600,4.226126
2016-12-12,4.37,4.40,4.31,4.34,747200,4.285371
2016-12-09,4.52,4.54,4.33,4.34,946600,4.285371
2016-12-08,4.40,4.56,4.35,4.50,1657200,4.443357
