Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,6.77,6.84,6.61,6.64,214900,6.64
2017-01-26,6.90,6.93,6.80,6.81,317300,6.81
2017-01-25,6.74,6.85,6.73,6.84,314000,6.84
2017-01-24,6.60,6.82,6.56,6.77,566500,6.77
2017-01-23,6.78,6.78,6.46,6.54,465800,6.54
2017-01-20,6.80,6.97,6.75,6.78,282800,6.78
2017-01-19,6.76,6.79,6.63,6.69,452700,6.69
2017-01-18,6.69,6.81,6.60,6.73,524400,6.73
2017-01-17,6.82,6.94,6.68,6.71,598900,6.71
2017-01-16,6.67,6.67,6.53,6.63,138700,6.63
2017-01-13,6.77,6.80,6.65,6.67,374100,6.67
2017-01-12,6.71,6.81,6.54,6.79,552100,6.79
2017-01-11,6.67,6.67,6.58,6.63,555000,6.63
2017-01-10,6.75,6.78,6.59,6.61,383900,6.61
2017-01-09,6.81,6.84,6.69,6.73,472300,6.73
2017-01-06,6.93,6.93,6.84,6.87,409500,6.87
2017-01-05,7.05,7.15,6.87,6.90,357600,6.90
2017-01-04,6.88,7.04,6.87,7.02,628900,7.02
2017-01-03,7.06,7.10,6.83,6.86,643900,6.86
2016-12-30,6.91,7.04,6.90,6.94,235200,6.94
2016-12-29,6.85,6.94,6.85,6.90,202400,6.90
2016-12-28,6.88,6.93,6.85,6.86,353800,6.86
2016-12-23,6.95,6.97,6.84,6.85,402500,6.85
2016-12-22,6.88,6.99,6.84,6.97,476600,6.97
2016-12-21,6.55,7.00,6.55,6.87,593000,6.87
2016-12-20,6.56,6.66,6.51,6.52,935700,6.52
2016-12-19,6.66,6.71,6.54,6.55,817400,6.55
2016-12-16,6.83,6.88,6.60,6.67,1527200,6.67
2016-12-15,6.73,6.94,6.70,6.78,809400,6.78
2016-12-14,7.02,7.12,6.74,6.77,771200,6.77
2016-12-13,7.10,7.21,6.93,7.09,947600,7.09
2016-12-12,7.40,7.41,7.05,7.05,528300,7.05
2016-12-09,7.19,7.21,7.09,7.12,498700,7.12
2016-12-08,7.21,7.23,7.08,7.13,415000,7.13
2016-12-07,7.14,7.38,7.09,7.15,706100,7.15
2016-12-06,7.22,7.26,7.11,7.19,636700,7.19
2016-12-05,7.18,7.61,7.05,7.31,1107400,7.31
2016-12-02,7.05,7.06,6.96,6.99,356400,6.99
2016-12-01,7.10,7.42,6.97,7.01,798200,7.01
2016-11-30,6.92,7.10,6.79,6.98,1182200,6.98
2016-11-29,6.56,6.63,6.35,6.38,743000,6.38
2016-11-28,6.90,6.90,6.59,6.62,696200,6.62
2016-11-25,7.01,7.01,6.76,6.80,400100,6.80
2016-11-24,7.12,7.12,7.03,7.03,97600,7.03
2016-11-23,7.03,7.15,7.01,7.09,450400,7.09
2016-11-22,7.08,7.14,6.91,7.09,772900,7.09
2016-11-21,7.05,7.24,7.02,7.09,428100,7.09
2016-11-18,6.82,6.94,6.80,6.81,384500,6.81
2016-11-17,7.08,7.08,6.79,6.79,845800,6.79
2016-11-16,6.98,7.17,6.95,7.03,602300,7.03
2016-11-15,6.86,7.07,6.84,7.05,682400,7.05
2016-11-14,6.60,6.83,6.56,6.76,628200,6.76
2016-11-11,6.59,6.87,6.50,6.60,532700,6.60
2016-11-10,6.89,6.89,6.72,6.82,473200,6.82
2016-11-09,6.50,6.92,6.50,6.89,401000,6.89
2016-11-08,6.63,6.76,6.52,6.52,496800,6.52
2016-11-07,6.62,6.80,6.55,6.70,545200,6.70
2016-11-04,6.34,6.63,6.28,6.51,1001300,6.51
2016-11-03,6.52,6.58,6.32,6.41,1897200,6.41
2016-11-02,6.68,6.85,6.47,6.50,508300,6.50
2016-11-01,6.92,7.13,6.79,6.82,1034600,6.82
2016-10-31,6.80,6.97,6.63,6.82,810100,6.82
2016-10-28,7.06,7.09,6.83,6.84,423400,6.84
2016-10-27,7.03,7.21,7.03,7.08,562900,7.08
2016-10-26,6.95,7.18,6.89,7.00,639300,7.00
2016-10-25,7.41,7.41,6.97,7.03,797000,7.03
2016-10-24,7.50,7.60,7.37,7.41,457200,7.41
2016-10-21,7.42,7.69,7.42,7.61,632500,7.61
2016-10-20,7.38,7.63,7.38,7.48,565400,7.48
2016-10-19,7.60,7.62,7.43,7.45,773500,7.45
2016-10-18,7.75,7.76,7.53,7.54,685900,7.54
2016-10-17,7.70,7.72,7.57,7.63,379200,7.63
2016-10-14,7.60,7.80,7.55,7.71,662700,7.71
2016-10-13,7.50,7.58,7.27,7.55,1431800,7.55
2016-10-12,7.07,7.59,7.07,7.48,2795600,7.48
2016-10-11,7.25,7.46,6.99,7.10,718500,7.10
2016-10-07,7.24,7.40,7.03,7.13,665500,7.13
2016-10-06,7.05,7.42,7.05,7.23,880900,7.23
2016-10-05,6.78,7.07,6.78,6.97,550100,6.97
2016-10-04,6.76,6.77,6.56,6.64,219100,6.64
2016-10-03,6.80,6.80,6.55,6.72,418300,6.72
2016-09-30,6.81,6.97,6.68,6.76,411600,6.76
2016-09-29,6.72,7.00,6.59,6.80,884800,6.80
2016-09-28,6.31,6.73,6.17,6.71,589300,6.71
2016-09-27,6.35,6.38,6.23,6.23,415800,6.23
2016-09-26,6.40,6.52,6.39,6.42,572400,6.42
2016-09-23,6.64,6.66,6.23,6.33,1276400,6.33
2016-09-22,6.79,6.88,6.63,6.64,1020400,6.64
2016-09-21,6.72,6.74,6.54,6.64,699100,6.64
2016-09-20,6.44,6.72,6.44,6.61,598200,6.61
2016-09-19,6.70,6.75,6.40,6.46,798400,6.46
2016-09-16,6.46,6.77,6.42,6.67,1453900,6.67
2016-09-15,6.63,6.67,6.49,6.52,667800,6.52
2016-09-14,6.62,6.75,6.53,6.57,604500,6.57
2016-09-13,7.03,7.08,6.67,6.67,872700,6.67
2016-09-12,7.14,7.27,7.01,7.13,257800,7.13
2016-09-09,7.45,7.48,7.17,7.27,538600,7.27
2016-09-08,7.32,7.64,7.25,7.57,548800,7.57
2016-09-07,7.23,7.29,7.11,7.24,480700,7.24
2016-09-06,7.28,7.30,7.15,7.20,325600,7.20
2016-09-02,7.40,7.45,7.25,7.25,568600,7.25
2016-09-01,7.17,7.41,7.13,7.28,473700,7.28
2016-08-31,7.18,7.28,7.01,7.22,372900,7.22
2016-08-30,7.33,7.41,7.21,7.21,241500,7.21
2016-08-29,7.23,7.35,7.16,7.31,411400,7.31
2016-08-26,7.20,7.40,7.16,7.32,272200,7.32
2016-08-25,7.09,7.25,7.00,7.21,188900,7.21
2016-08-24,7.34,7.35,7.16,7.18,605200,7.18
2016-08-23,7.20,7.36,7.17,7.33,458800,7.33
2016-08-22,7.07,7.26,7.07,7.21,637800,7.21
2016-08-19,7.19,7.27,7.05,7.20,520000,7.20
2016-08-18,6.98,7.29,6.96,7.16,519100,7.16
2016-08-17,6.97,7.00,6.79,6.91,366000,6.91
2016-08-16,6.95,7.08,6.88,7.00,332800,7.00
2016-08-15,6.91,7.12,6.90,6.95,351200,6.95
2016-08-12,6.84,6.95,6.67,6.84,373200,6.84
2016-08-11,6.62,6.96,6.62,6.87,555700,6.87
2016-08-10,6.65,6.99,6.55,6.67,1404200,6.67
2016-08-09,6.51,6.56,6.27,6.35,211800,6.35
2016-08-08,6.50,6.58,6.40,6.42,338800,6.42
2016-08-05,6.17,6.44,6.10,6.40,341800,6.40
2016-08-04,6.19,6.42,6.19,6.25,259800,6.25
2016-08-03,6.03,6.28,6.03,6.25,540800,6.25
2016-08-02,6.19,6.30,5.80,6.07,839500,6.07
2016-07-29,6.06,6.35,6.03,6.33,255200,6.33
2016-07-28,6.00,6.21,5.97,6.13,572800,6.13
2016-07-27,5.93,6.22,5.87,6.01,884200,6.01
2016-07-26,5.80,5.94,5.66,5.92,1150100,5.92
2016-07-25,6.50,6.50,5.84,5.96,868700,5.96
2016-07-22,6.61,6.71,6.45,6.58,489900,6.58
2016-07-21,6.56,6.74,6.56,6.60,343900,6.60
2016-07-20,6.60,6.70,6.50,6.57,580700,6.57
2016-07-19,6.91,6.91,6.63,6.65,480600,6.65
2016-07-18,6.79,6.97,6.71,6.95,332700,6.95
2016-07-15,6.76,7.10,6.65,6.88,510800,6.88
2016-07-14,6.49,6.74,6.44,6.69,292000,6.69
2016-07-13,6.51,6.60,6.27,6.43,566300,6.43
2016-07-12,6.58,6.60,6.38,6.55,138200,6.55
2016-07-11,6.63,6.67,6.32,6.37,169200,6.37
2016-07-08,6.45,6.57,6.40,6.54,220500,6.54
2016-07-07,6.72,6.83,6.33,6.35,950300,6.35
2016-07-06,6.08,6.55,6.04,6.53,583100,6.53
2016-07-05,6.20,6.25,6.07,6.14,229100,6.14
2016-07-04,6.28,6.53,6.28,6.36,127700,6.36
2016-06-30,6.20,6.28,6.06,6.25,299200,6.25
2016-06-29,6.00,6.30,6.00,6.25,527600,6.25
2016-06-28,5.83,6.03,5.83,5.97,294000,5.97
2016-06-27,5.95,6.04,5.74,5.81,197200,5.81
2016-06-24,5.78,6.15,5.78,6.00,448900,6.00
2016-06-23,6.43,6.43,6.21,6.32,253500,6.32
2016-06-22,6.64,6.64,6.25,6.28,269300,6.28
2016-06-21,6.41,6.70,6.38,6.61,436200,6.61
2016-06-20,6.22,6.60,6.17,6.49,445500,6.49
2016-06-17,6.20,6.33,6.07,6.12,617600,6.12
2016-06-16,6.01,6.15,5.88,6.13,843200,6.13
2016-06-15,6.22,6.27,6.08,6.12,788300,6.12
2016-06-14,6.10,6.39,6.08,6.15,857300,6.15
2016-06-13,6.34,6.43,6.08,6.17,454100,6.17
2016-06-10,6.55,6.63,6.28,6.40,471800,6.40
2016-06-09,6.65,6.86,6.53,6.68,491600,6.68
2016-06-08,7.15,7.18,6.71,6.73,771200,6.73
2016-06-07,6.83,7.12,6.83,6.97,512700,6.97
