Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1.40,1.56,1.40,1.54,110200,1.54
2017-01-31,1.71,1.78,1.48,1.48,750700,1.48
2017-01-30,1.90,1.91,1.68,1.68,125700,1.68
2017-01-27,2.02,2.02,1.90,1.93,61900,1.93
2017-01-26,2.01,2.01,1.91,1.94,46600,1.94
2017-01-25,1.97,2.13,1.97,2.01,85800,2.01
2017-01-24,1.86,2.00,1.86,2.00,202500,2.00
2017-01-23,2.17,2.17,1.92,1.92,177600,1.92
2017-01-20,2.21,2.25,2.03,2.20,188900,2.20
2017-01-19,2.25,2.32,2.15,2.18,186600,2.18
2017-01-18,2.40,2.41,2.25,2.34,200900,2.34
2017-01-17,2.44,2.44,2.36,2.41,74500,2.41
2017-01-16,2.47,2.47,2.35,2.42,19000,2.42
2017-01-13,2.39,2.42,2.36,2.41,81000,2.41
2017-01-12,2.50,2.50,2.40,2.43,57900,2.43
2017-01-11,2.60,2.60,2.45,2.49,130100,2.49
2017-01-10,2.73,2.82,2.55,2.60,233200,2.60
2017-01-09,2.46,2.74,2.39,2.72,206100,2.72
2017-01-06,2.43,2.47,2.34,2.46,90200,2.46
2017-01-05,2.51,2.55,2.41,2.45,38400,2.45
2017-01-04,2.30,2.60,2.30,2.50,232600,2.50
2017-01-03,2.32,2.35,2.25,2.33,105700,2.33
2016-12-30,2.35,2.42,2.25,2.32,132000,2.32
2016-12-29,2.34,2.34,2.20,2.27,111200,2.27
2016-12-28,2.41,2.41,2.26,2.34,263500,2.34
2016-12-23,2.20,2.70,2.20,2.58,713400,2.58
2016-12-22,2.33,2.33,2.18,2.23,128400,2.23
2016-12-21,2.40,2.40,2.23,2.29,150000,2.29
2016-12-20,2.25,2.66,2.13,2.40,948400,2.40
2016-12-19,2.65,2.72,2.26,2.34,520700,2.34
2016-12-16,2.78,2.88,2.25,2.53,377200,2.53
2016-12-15,2.69,2.78,2.69,2.75,258600,2.75
2016-12-14,2.85,2.89,2.64,2.78,671500,2.78
2016-12-13,3.65,4.10,3.02,3.05,2062900,3.05
2016-12-12,2.79,2.99,2.65,2.95,918400,2.95
2016-12-09,2.78,3.09,2.65,2.68,1614200,2.68
2016-12-08,2.56,2.90,2.45,2.59,1337200,2.59
2016-12-07,3.22,3.38,2.60,2.85,2450300,2.85
2016-12-06,2.33,4.44,2.16,3.21,9010300,3.21
2016-12-05,1.25,1.90,1.25,1.90,3201000,1.90
2016-12-02,1.13,1.35,0.97,1.16,2421200,1.16
2016-12-01,0.72,0.72,0.67,0.70,61000,0.70
2016-11-30,0.70,0.70,0.68,0.70,33400,0.70
2016-11-29,0.75,0.75,0.71,0.72,35300,0.72
2016-11-28,0.71,0.81,0.71,0.75,209700,0.75
2016-11-25,0.71,0.71,0.69,0.71,21600,0.71
2016-11-24,0.68,0.70,0.68,0.69,46600,0.69
2016-11-23,0.71,0.81,0.69,0.70,408600,0.70
