Date,Open,High,Low,Close,Volume,Adj Close
2017-01-30,29.549999,29.60,29.24,29.379999,131000,29.379999
2017-01-27,30.01,30.049999,29.549999,29.60,98200,29.60
2017-01-26,29.83,30.049999,29.83,29.93,123600,29.93
2017-01-25,30.00,30.00,29.68,29.91,176300,29.91
2017-01-24,29.75,30.00,29.639999,29.959999,133900,29.959999
2017-01-23,30.190001,30.200001,29.690001,29.77,108800,29.77
2017-01-20,29.60,30.23,29.459999,30.120001,184900,30.120001
2017-01-19,29.389999,29.85,29.389999,29.48,180300,29.48
2017-01-18,29.68,29.68,29.07,29.379999,250100,29.379999
2017-01-17,28.799999,29.77,28.799999,29.68,603700,29.68
2017-01-16,28.68,29.25,28.68,29.10,238600,29.10
2017-01-13,27.76,28.01,27.639999,27.93,80700,27.93
2017-01-12,27.90,27.90,27.60,27.700001,61400,27.700001
2017-01-11,27.620001,28.01,27.379999,27.879999,98100,27.879999
2017-01-10,27.790001,27.879999,27.559999,27.57,104900,27.57
2017-01-09,27.280001,27.860001,27.280001,27.74,83400,27.74
2017-01-06,28.00,28.00,27.33,27.379999,89300,27.379999
2017-01-05,27.82,28.23,27.700001,27.92,119600,27.92
2017-01-04,27.549999,27.91,27.549999,27.65,115000,27.65
2017-01-03,27.639999,27.67,27.35,27.559999,106600,27.559999
2016-12-30,27.84,27.84,27.379999,27.52,51400,27.52
2016-12-29,27.00,27.879999,27.00,27.83,127700,27.83
2016-12-28,27.370001,27.379999,26.85,26.99,126700,26.99
2016-12-23,27.459999,27.58,27.40,27.51,51800,27.200001
2016-12-22,27.190001,27.459999,27.030001,27.41,189500,27.101127
2016-12-21,27.719999,27.83,27.17,27.219999,163600,26.913268
2016-12-20,27.780001,27.870001,27.35,27.50,140300,27.190113
2016-12-19,27.620001,27.84,27.41,27.73,139100,27.417521
2016-12-16,27.440001,27.780001,27.40,27.440001,247200,27.13079
2016-12-15,27.200001,27.809999,27.200001,27.57,281000,27.259324
2016-12-14,26.110001,27.110001,26.059999,27.110001,276100,26.804508
2016-12-13,25.84,26.40,25.799999,26.10,135700,25.80589
2016-12-12,26.280001,26.52,26.10,26.10,75800,25.80589
2016-12-09,25.68,26.309999,25.68,26.25,134200,25.954199
2016-12-08,25.280001,25.610001,25.280001,25.530001,85300,25.242313
2016-12-07,25.879999,25.879999,25.17,25.469999,119100,25.182988
2016-12-06,25.379999,25.82,25.25,25.540001,171800,25.2522
2016-12-05,25.469999,25.469999,25.23,25.32,61800,25.034678
2016-12-02,25.450001,25.610001,25.219999,25.360001,61100,25.074229
2016-12-01,25.27,25.49,25.08,25.40,62800,25.113777
2016-11-30,24.82,25.139999,24.799999,25.049999,209300,24.76772
2016-11-29,24.90,24.98,24.73,24.790001,53600,24.510652
2016-11-28,25.00,25.08,24.700001,24.92,75200,24.639186
2016-11-25,24.950001,25.27,24.75,25.110001,49100,24.827046
2016-11-24,25.17,25.17,24.790001,24.85,64600,24.569975
2016-11-23,24.709999,25.33,24.59,25.049999,106400,24.76772
2016-11-22,24.799999,25.059999,24.60,24.68,83700,24.401891
2016-11-21,24.75,24.799999,24.52,24.77,40900,24.490877
2016-11-18,24.959999,25.00,24.469999,24.629999,72200,24.352453
2016-11-17,24.90,25.290001,24.66,24.959999,112200,24.678734
2016-11-16,24.799999,24.969999,24.559999,24.67,91100,24.392003
2016-11-15,24.35,24.860001,24.309999,24.639999,170100,24.362341
2016-11-14,24.719999,24.719999,24.08,24.200001,139100,23.9273
2016-11-11,24.940001,24.940001,24.59,24.59,58400,24.312905
2016-11-10,25.280001,25.280001,24.780001,24.99,120700,24.708397
2016-11-09,25.27,25.57,25.00,25.139999,104800,24.856706
2016-11-08,25.57,25.639999,25.379999,25.540001,56900,25.2522
2016-11-07,25.389999,25.700001,25.33,25.540001,65800,25.2522
2016-11-04,25.190001,25.389999,24.940001,25.139999,89600,24.856706
2016-11-03,25.030001,25.129999,24.82,25.040001,183700,24.757835
2016-11-02,25.50,25.540001,24.93,25.030001,262300,24.747947
2016-11-01,25.60,25.73,25.280001,25.52,76000,25.232425
2016-10-31,25.58,25.790001,25.389999,25.60,86100,25.311524
2016-10-28,25.50,25.629999,25.440001,25.59,67400,25.301636
2016-10-27,25.66,25.879999,25.43,25.469999,73700,25.182988
2016-10-26,25.76,26.00,25.450001,25.65,97800,25.36096
2016-10-25,26.10,26.10,25.68,25.76,80400,25.469721
2016-10-24,26.07,26.200001,25.860001,26.07,67100,25.776227
2016-10-21,26.129999,26.25,25.90,25.969999,43400,25.677353
2016-10-20,26.02,26.200001,26.02,26.10,40300,25.80589
2016-10-19,26.35,26.35,25.879999,26.09,90800,25.796002
2016-10-18,26.25,26.299999,25.85,26.26,127000,25.964086
2016-10-17,26.299999,26.42,25.68,26.01,103400,25.716904
2016-10-14,25.799999,26.280001,25.799999,26.26,74100,25.964086
2016-10-13,25.90,25.90,25.610001,25.799999,89100,25.509269
2016-10-12,25.040001,26.01,24.99,25.860001,93700,25.568594
2016-10-11,25.27,25.27,24.58,24.98,211200,24.69851
2016-10-07,25.75,25.790001,25.24,25.299999,150000,25.014903
2016-10-06,25.719999,25.93,25.35,25.74,109900,25.449946
2016-10-05,25.450001,25.860001,25.129999,25.780001,129200,25.489496
2016-10-04,25.870001,25.870001,25.15,25.299999,152000,25.014903
2016-10-03,25.83,25.969999,25.610001,25.77,89600,25.479608
2016-09-30,26.02,26.09,25.83,25.84,282000,25.548819
2016-09-29,26.09,26.25,25.870001,25.969999,78700,25.677353
2016-09-28,26.709999,26.709999,26.049999,26.129999,89300,25.83555
2016-09-27,26.60,26.889999,26.25,26.799999,102600,26.191494
2016-09-26,26.700001,27.030001,26.629999,26.65,87000,26.0449
2016-09-23,26.91,26.91,26.559999,26.73,58800,26.123083
2016-09-22,27.26,27.280001,26.82,26.870001,93700,26.259906
2016-09-21,26.700001,27.16,26.700001,27.10,91300,26.484683
2016-09-20,26.92,27.24,26.65,26.690001,102500,26.083992
2016-09-19,26.860001,26.92,26.50,26.870001,153800,26.259906
2016-09-16,26.50,26.889999,26.280001,26.59,277500,25.986263
2016-09-15,26.459999,26.559999,26.129999,26.459999,114300,25.859213
2016-09-14,26.25,26.76,26.139999,26.379999,138300,25.78103
2016-09-13,26.26,26.459999,25.809999,26.10,233000,25.507388
2016-09-12,26.690001,27.030001,25.879999,26.48,360500,25.87876
2016-09-09,28.01,28.049999,26.610001,26.629999,254500,26.025353
2016-09-08,30.309999,30.309999,26.799999,28.00,341200,27.364248
2016-09-07,30.23,30.440001,29.940001,30.09,49900,29.406794
2016-09-06,29.860001,30.450001,29.860001,30.219999,98200,29.533841
2016-09-02,29.809999,29.879999,29.389999,29.780001,56100,29.103833
2016-09-01,29.299999,29.58,29.15,29.299999,81400,28.63473
2016-08-31,29.10,29.42,28.82,29.32,99700,28.654276
2016-08-30,29.200001,29.26,28.84,28.959999,105600,28.30245
2016-08-29,29.299999,29.469999,28.93,29.15,88700,28.488136
2016-08-26,29.290001,29.65,29.27,29.34,112900,28.673823
2016-08-25,29.74,29.75,29.18,29.24,95100,28.576093
2016-08-24,30.030001,30.030001,29.629999,29.74,64300,29.06474
2016-08-23,30.389999,30.389999,29.790001,29.99,46800,29.309064
2016-08-22,29.84,30.35,29.74,30.290001,57100,29.602253
2016-08-19,30.27,30.299999,29.809999,29.90,58000,29.221107
2016-08-18,30.290001,30.440001,30.030001,30.209999,49600,29.524068
2016-08-17,30.52,30.52,30.01,30.299999,76400,29.612025
2016-08-16,29.82,30.639999,29.700001,30.459999,67300,29.768392
2016-08-15,30.389999,30.389999,29.76,29.799999,119600,29.123377
2016-08-12,29.85,30.41,29.34,30.299999,89400,29.612025
2016-08-11,30.34,30.370001,29.75,29.82,90800,29.142924
2016-08-10,30.389999,30.50,30.10,30.25,89500,29.563161
2016-08-09,30.379999,30.58,30.18,30.26,121000,29.572934
2016-08-08,30.83,30.870001,30.110001,30.34,134700,29.651117
2016-08-05,30.120001,30.870001,30.120001,30.83,63600,30.129991
2016-08-04,30.120001,30.120001,29.75,29.98,41600,29.299291
2016-08-03,30.34,30.34,29.82,29.99,59600,29.309064
2016-08-02,30.50,30.73,29.65,30.40,86000,29.709754
2016-07-29,30.60,30.60,30.120001,30.50,51300,29.807484
2016-07-28,30.60,30.639999,30.01,30.57,98800,29.875895
2016-07-27,30.57,30.690001,30.15,30.60,59100,29.905214
2016-07-26,30.42,30.67,30.370001,30.51,149000,29.817257
2016-07-25,30.40,30.50,30.209999,30.370001,63800,29.680437
2016-07-22,30.360001,30.83,30.290001,30.41,48600,29.719528
2016-07-21,30.370001,30.41,29.92,30.280001,54000,29.59248
2016-07-20,30.139999,30.49,29.98,30.42,67100,29.729301
2016-07-19,29.73,30.309999,29.68,30.23,44300,29.543614
2016-07-18,29.50,29.809999,29.15,29.709999,71800,29.035421
2016-07-15,29.379999,29.639999,29.01,29.389999,86200,28.722687
2016-07-14,29.42,29.540001,29.23,29.33,56200,28.664049
2016-07-13,29.790001,29.91,29.40,29.40,70200,28.73246
2016-07-12,29.559999,29.83,29.48,29.809999,100500,29.13315
2016-07-11,29.309999,29.84,29.200001,29.719999,60700,29.045194
2016-07-08,29.40,29.809999,29.200001,29.42,74300,28.752006
2016-07-07,29.32,29.48,29.16,29.389999,72500,28.722687
2016-07-06,29.190001,29.549999,29.129999,29.35,152000,28.683596
2016-07-05,29.84,29.940001,29.09,29.26,186100,28.595639
2016-07-04,29.91,29.92,29.07,29.92,99100,29.240653
2016-06-30,29.049999,29.639999,28.98,29.459999,87100,28.791097
2016-06-29,28.940001,29.120001,28.700001,29.00,71400,28.341542
2016-06-28,29.07,29.23,28.65,28.90,60000,28.243813
2016-06-27,28.139999,29.26,28.10,29.049999,76400,28.087445
2016-06-24,28.48,29.360001,28.41,28.799999,59900,27.845729
2016-06-23,28.559999,28.700001,28.459999,28.639999,68600,27.69103
2016-06-22,28.459999,28.690001,28.43,28.450001,95900,27.507327
2016-06-21,28.700001,28.74,28.440001,28.459999,75600,27.516994
