Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,4.41,4.60,4.37,4.56,1089200,4.56
2017-02-09,4.40,4.45,4.34,4.41,1912200,4.41
2017-02-08,4.46,4.58,4.36,4.41,2506400,4.41
2017-02-07,4.38,4.53,4.37,4.49,1445400,4.49
2017-02-06,4.41,4.44,4.38,4.43,5335900,4.43
2017-02-03,4.29,4.41,4.25,4.36,2342200,4.36
2017-02-02,4.15,4.47,4.14,4.35,7950300,4.35
2017-02-01,4.53,4.74,4.47,4.65,2110300,4.65
2017-01-31,4.50,4.68,4.43,4.52,3152800,4.52
2017-01-30,4.36,4.47,4.27,4.43,1657400,4.43
2017-01-27,4.32,4.34,4.28,4.31,1832200,4.31
2017-01-26,4.20,4.35,4.18,4.33,2459900,4.33
2017-01-25,4.18,4.26,4.15,4.26,1340500,4.26
2017-01-24,4.20,4.28,4.19,4.25,1339600,4.25
2017-01-23,4.28,4.28,4.15,4.20,1432100,4.20
2017-01-20,4.05,4.23,3.97,4.17,2298500,4.17
2017-01-19,4.05,4.11,3.95,4.00,1880700,4.00
2017-01-18,4.11,4.16,4.07,4.10,1602600,4.10
2017-01-17,4.17,4.20,4.06,4.10,1783800,4.10
2017-01-16,4.08,4.13,4.08,4.11,734000,4.11
2017-01-13,4.07,4.13,4.05,4.09,1852600,4.09
2017-01-12,4.15,4.15,4.04,4.07,2383500,4.07
2017-01-11,4.10,4.12,3.95,4.04,2199000,4.04
2017-01-10,4.15,4.23,4.09,4.15,2408800,4.15
2017-01-09,4.26,4.31,4.16,4.17,2121100,4.17
2017-01-06,4.29,4.36,4.14,4.14,4138700,4.14
2017-01-05,4.11,4.38,4.10,4.33,3029200,4.33
2017-01-04,4.09,4.13,4.01,4.05,1688900,4.05
2017-01-03,3.92,4.09,3.92,4.06,1965800,4.06
2016-12-30,4.08,4.15,3.88,3.91,2165600,3.91
2016-12-29,3.75,4.08,3.75,4.06,2571000,4.06
2016-12-28,3.58,3.75,3.58,3.72,1756700,3.72
2016-12-23,3.41,3.56,3.38,3.51,1586400,3.51
2016-12-22,3.35,3.40,3.29,3.39,3552000,3.39
2016-12-21,3.41,3.42,3.33,3.36,1134000,3.36
2016-12-20,3.37,3.40,3.24,3.39,2364700,3.39
2016-12-19,3.51,3.52,3.39,3.42,2289100,3.42
2016-12-16,3.56,3.69,3.45,3.45,12404500,3.45
2016-12-15,3.80,3.80,3.50,3.54,6156900,3.54
2016-12-14,4.09,4.22,3.88,3.90,5229500,3.90
2016-12-13,3.79,3.95,3.70,3.93,3023700,3.93
2016-12-12,3.78,3.80,3.61,3.75,2413900,3.75
2016-12-09,3.84,3.89,3.61,3.67,1538400,3.67
2016-12-08,4.01,4.01,3.89,3.93,1326300,3.93
2016-12-07,3.89,4.06,3.89,4.01,1907300,4.01
2016-12-06,3.81,3.87,3.80,3.87,1548400,3.87
2016-12-05,3.86,3.86,3.73,3.80,1850700,3.80
2016-12-02,3.79,3.94,3.74,3.92,1401100,3.92
2016-12-01,3.71,3.85,3.59,3.74,1932000,3.74
2016-11-30,3.85,3.85,3.71,3.73,1523600,3.73
2016-11-29,3.85,3.90,3.79,3.87,1145600,3.87
2016-11-28,3.77,3.92,3.68,3.91,1152500,3.91
2016-11-25,3.78,3.82,3.70,3.73,569800,3.73
2016-11-24,3.75,3.78,3.68,3.74,163300,3.74
2016-11-23,3.81,3.81,3.63,3.75,1642300,3.75
2016-11-22,4.00,4.00,3.80,3.87,2200800,3.87
2016-11-21,3.90,4.07,3.90,3.98,1892400,3.98
2016-11-18,3.70,3.87,3.66,3.85,4387100,3.85
2016-11-17,3.71,3.84,3.67,3.75,3363200,3.75
2016-11-16,3.77,3.79,3.67,3.73,1783100,3.73
2016-11-15,3.60,3.79,3.57,3.77,1751900,3.77
2016-11-14,3.45,3.68,3.42,3.62,3766700,3.62
2016-11-11,3.62,3.66,3.42,3.52,2075700,3.52
2016-11-10,3.83,3.85,3.58,3.62,1991100,3.62
2016-11-09,3.94,3.94,3.79,3.84,2342200,3.84
2016-11-08,3.87,3.90,3.73,3.78,1575500,3.78
2016-11-07,3.88,3.94,3.78,3.85,1303000,3.85
2016-11-04,4.05,4.05,3.95,3.98,1747200,3.98
2016-11-03,4.08,4.11,3.97,4.04,2411800,4.04
2016-11-02,4.11,4.23,4.05,4.08,2645400,4.08
2016-11-01,4.17,4.21,4.02,4.10,3860100,4.10
2016-10-31,4.10,4.12,4.03,4.10,1193000,4.10
2016-10-28,4.06,4.18,4.02,4.09,1887400,4.09
2016-10-27,4.13,4.18,4.02,4.06,1913300,4.06
2016-10-26,4.23,4.27,4.04,4.11,2087700,4.11
2016-10-25,4.26,4.32,4.22,4.27,1593000,4.27
2016-10-24,4.24,4.32,4.16,4.23,2655600,4.23
2016-10-21,4.33,4.33,4.16,4.19,1801300,4.19
2016-10-20,4.20,4.39,4.13,4.34,3351500,4.34
2016-10-19,4.09,4.18,3.98,4.17,2770100,4.17
2016-10-18,3.92,4.09,3.90,4.01,4781200,4.01
2016-10-17,3.81,3.85,3.71,3.78,1776200,3.78
2016-10-14,3.80,3.85,3.67,3.71,1692500,3.71
2016-10-13,3.78,3.86,3.64,3.80,2296200,3.80
2016-10-12,3.72,3.80,3.65,3.77,1584400,3.77
2016-10-11,3.71,3.75,3.67,3.72,1278500,3.72
2016-10-07,3.75,3.86,3.68,3.73,2812500,3.73
2016-10-06,3.65,3.76,3.61,3.63,2804800,3.63
2016-10-05,3.69,3.79,3.57,3.74,2510600,3.74
2016-10-04,3.81,3.83,3.57,3.61,3513900,3.61
2016-10-03,3.93,3.97,3.77,3.84,2519800,3.84
2016-09-30,4.14,4.16,3.93,3.94,1993600,3.94
2016-09-29,3.99,4.11,3.98,4.09,1720800,4.09
2016-09-28,4.05,4.07,3.81,4.01,4550300,4.01
2016-09-27,4.38,4.39,3.93,4.05,6349000,4.05
2016-09-26,4.69,4.81,4.63,4.71,1471100,4.71
2016-09-23,4.78,4.79,4.62,4.67,1542500,4.67
2016-09-22,4.72,4.84,4.69,4.78,2566100,4.78
2016-09-21,4.47,4.65,4.47,4.63,1733400,4.63
2016-09-20,4.37,4.44,4.29,4.39,2894300,4.39
2016-09-19,4.30,4.38,4.28,4.36,1240300,4.36
2016-09-16,4.24,4.38,4.15,4.25,4060600,4.25
2016-09-15,4.38,4.43,4.25,4.28,1426600,4.28
2016-09-14,4.54,4.62,4.37,4.38,1734400,4.38
2016-09-13,4.75,4.78,4.45,4.49,1485000,4.49
2016-09-12,4.57,4.81,4.56,4.80,1993400,4.80
2016-09-09,4.80,4.83,4.64,4.65,2124700,4.65
2016-09-08,4.81,4.89,4.76,4.82,2059700,4.82
2016-09-07,4.87,4.91,4.75,4.85,4849900,4.85
2016-09-06,4.57,4.92,4.55,4.89,3332100,4.89
2016-09-02,4.40,4.50,4.36,4.47,2554000,4.47
2016-09-01,4.11,4.33,4.07,4.27,2534100,4.27
2016-08-31,4.15,4.23,4.13,4.13,1035600,4.13
2016-08-30,4.32,4.39,4.11,4.20,2571100,4.20
2016-08-29,4.40,4.49,4.34,4.34,1455600,4.34
2016-08-26,4.52,4.66,4.38,4.44,1962900,4.44
2016-08-25,4.42,4.60,4.34,4.44,2143900,4.44
2016-08-24,4.66,4.67,4.29,4.42,2004700,4.42
2016-08-23,4.94,4.95,4.68,4.71,1219700,4.71
2016-08-22,4.82,4.95,4.80,4.95,1291100,4.95
2016-08-19,4.84,4.95,4.80,4.94,2279400,4.94
2016-08-18,5.03,5.03,4.84,4.89,1632100,4.89
2016-08-17,4.99,5.01,4.76,4.97,2044800,4.97
2016-08-16,4.90,5.11,4.85,5.06,2226100,5.06
2016-08-15,4.89,4.95,4.84,4.90,969000,4.90
2016-08-12,4.95,4.99,4.75,4.88,2378000,4.88
2016-08-11,4.76,4.92,4.62,4.86,3144400,4.86
2016-08-10,4.47,4.68,4.47,4.66,4502100,4.66
2016-08-09,4.43,4.47,4.34,4.35,3428100,4.35
2016-08-08,4.46,4.54,4.41,4.42,1815900,4.42
2016-08-05,4.65,4.66,4.45,4.46,2474800,4.46
2016-08-04,4.72,4.79,4.70,4.75,1371000,4.75
2016-08-03,4.80,4.82,4.68,4.70,1081900,4.70
2016-08-02,4.89,4.89,4.77,4.82,2932000,4.82
2016-07-29,4.75,4.88,4.67,4.72,1993500,4.72
2016-07-28,4.89,4.90,4.60,4.66,1534700,4.66
2016-07-27,4.58,4.86,4.55,4.80,2706600,4.80
2016-07-26,4.40,4.57,4.39,4.53,1269700,4.53
2016-07-25,4.48,4.55,4.38,4.40,1296600,4.40
2016-07-22,4.51,4.55,4.43,4.49,933700,4.49
2016-07-21,4.47,4.64,4.45,4.55,1253500,4.55
2016-07-20,4.54,4.62,4.42,4.42,1856200,4.42
2016-07-19,4.75,4.81,4.58,4.62,1803400,4.62
2016-07-18,4.85,4.92,4.69,4.75,1958400,4.75
2016-07-15,5.04,5.06,4.84,4.85,1977400,4.85
2016-07-14,5.06,5.13,4.97,5.07,2807400,5.07
2016-07-13,5.31,5.38,5.15,5.20,2081400,5.20
2016-07-12,5.45,5.48,5.17,5.20,2004200,5.20
2016-07-11,5.40,5.49,5.34,5.48,1681900,5.48
2016-07-08,5.37,5.41,5.21,5.34,1872600,5.34
2016-07-07,5.48,5.48,5.20,5.30,2083000,5.30
2016-07-06,5.56,5.56,5.35,5.51,2790500,5.51
2016-07-05,5.44,5.44,5.12,5.40,1612100,5.40
2016-07-04,5.36,5.53,5.25,5.39,1236300,5.39
2016-06-30,5.08,5.10,4.77,4.93,3493900,4.93
2016-06-29,5.02,5.19,4.97,5.07,1126000,5.07
2016-06-28,4.93,5.01,4.86,4.96,1813100,4.96
2016-06-27,4.84,5.03,4.79,5.00,5278200,5.00
2016-06-24,4.75,4.82,4.69,4.78,3289900,4.78
2016-06-23,4.58,4.58,4.48,4.50,955500,4.50
2016-06-22,4.39,4.59,4.37,4.55,1732400,4.55
2016-06-21,4.49,4.52,4.40,4.40,2606700,4.40
2016-06-20,4.30,4.58,4.19,4.57,2628500,4.57
2016-06-17,4.41,4.45,4.32,4.39,2240600,4.39
2016-06-16,4.54,4.74,4.34,4.36,3510200,4.36
2016-06-15,4.25,4.45,4.22,4.40,1728800,4.40
2016-06-14,4.39,4.39,4.21,4.29,2073000,4.29
2016-06-13,4.49,4.56,4.26,4.34,1500800,4.34
2016-06-10,4.39,4.53,4.32,4.43,2808600,4.43
2016-06-09,4.29,4.45,4.24,4.39,1824300,4.39
2016-06-08,4.23,4.34,4.16,4.26,2306600,4.26
2016-06-07,4.14,4.18,4.03,4.09,1583900,4.09
2016-06-06,4.29,4.31,4.12,4.17,1602800,4.17
2016-06-03,4.06,4.33,4.05,4.26,2234800,4.26
2016-06-02,3.92,3.95,3.83,3.84,819700,3.84
2016-06-01,4.00,4.05,3.88,3.92,869200,3.92
2016-05-31,3.99,4.02,3.92,3.98,1904500,3.98
2016-05-30,3.93,3.98,3.87,3.93,579200,3.93
2016-05-27,4.10,4.15,3.93,3.93,1120700,3.93
2016-05-26,4.19,4.20,4.09,4.11,2683500,4.11
2016-05-25,4.00,4.16,3.92,4.10,1995000,4.10
2016-05-24,4.00,4.11,4.00,4.03,1961400,4.03
2016-05-20,4.20,4.22,4.12,4.15,2527800,4.15
2016-05-19,4.01,4.24,4.01,4.18,2064200,4.18
2016-05-18,4.36,4.40,4.10,4.12,2632300,4.12
2016-05-17,4.39,4.52,4.36,4.42,1485300,4.42
2016-05-16,4.57,4.58,4.35,4.38,1335400,4.38
2016-05-13,4.34,4.53,4.34,4.49,1579800,4.49
2016-05-12,4.56,4.58,4.20,4.34,1769300,4.34
2016-05-11,4.45,4.56,4.22,4.44,1686000,4.44
2016-05-10,4.34,4.38,4.18,4.35,1980000,4.35
2016-05-09,4.30,4.34,4.22,4.32,1510500,4.32
2016-05-06,4.33,4.50,4.30,4.45,2703000,4.45
2016-05-05,4.17,4.26,4.13,4.26,1726400,4.26
2016-05-04,4.20,4.33,3.96,4.04,2221400,4.04
2016-05-03,4.59,4.59,4.21,4.21,2883800,4.21
2016-05-02,4.60,4.64,4.46,4.55,4081500,4.55
2016-04-29,4.15,4.64,4.15,4.49,6241500,4.49
2016-04-28,3.96,4.19,3.95,4.07,2076900,4.07
2016-04-27,3.90,4.01,3.85,3.99,2555900,3.99
2016-04-26,3.93,3.98,3.87,3.87,1113800,3.87
2016-04-25,4.11,4.13,3.88,3.93,1662900,3.93
2016-04-22,4.13,4.34,4.07,4.10,2541400,4.10
2016-04-21,4.08,4.25,4.06,4.24,2984500,4.24
2016-04-20,4.09,4.16,4.00,4.00,2805200,4.00
2016-04-19,4.19,4.20,4.03,4.07,1843500,4.07
2016-04-18,4.15,4.16,4.03,4.09,1779000,4.09
2016-04-15,4.00,4.12,3.98,4.02,4535800,4.02
2016-04-14,4.04,4.11,3.90,3.99,3711400,3.99
