Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,15.62,15.65,15.21,15.23,408500,15.23
2017-02-08,15.64,15.90,15.61,15.65,748700,15.65
2017-02-07,15.27,15.61,15.27,15.56,495900,15.56
2017-02-06,14.85,15.35,14.78,15.34,607200,15.34
2017-02-03,14.62,14.80,14.56,14.77,428000,14.77
2017-02-02,14.80,14.80,14.55,14.65,415600,14.65
2017-02-01,14.20,14.62,14.12,14.57,423200,14.57
2017-01-31,14.33,14.39,14.175,14.28,484000,14.28
2017-01-30,14.17,14.32,14.08,14.15,312600,14.15
2017-01-27,13.94,14.17,13.86,14.15,261600,14.15
2017-01-26,13.77,14.07,13.77,13.94,340000,13.94
2017-01-25,13.88,14.01,13.77,14.00,363000,14.00
2017-01-24,14.12,14.31,13.88,13.96,475700,13.96
2017-01-23,14.09,14.21,14.00,14.13,216000,14.13
2017-01-20,13.98,14.09,13.85,14.00,411100,14.00
2017-01-19,13.83,14.09,13.73,13.95,481600,13.95
2017-01-18,14.01,14.08,13.81,13.93,436700,13.93
2017-01-17,14.26,14.30,13.97,14.04,657200,14.04
2017-01-16,14.04,14.07,13.97,14.06,90000,14.06
2017-01-13,14.00,14.08,13.735,13.97,572800,13.97
2017-01-12,14.46,14.46,13.99,14.04,512900,14.04
2017-01-11,14.18,14.33,13.97,14.32,794000,14.32
2017-01-10,14.11,14.37,14.03,14.13,682700,14.13
2017-01-09,14.00,14.24,13.85,14.06,796800,14.06
2017-01-06,13.95,14.31,13.65,13.81,820800,13.81
2017-01-05,13.46,14.23,13.40,14.15,1024500,14.15
2017-01-04,13.45,13.45,13.15,13.34,522700,13.34
2017-01-03,13.19,13.36,12.97,13.34,665100,13.34
2016-12-30,13.36,13.55,13.02,13.09,551400,13.09
2016-12-29,12.90,13.40,12.72,13.36,742200,13.36
2016-12-28,12.29,12.81,12.23,12.77,617400,12.77
2016-12-23,12.17,12.35,12.12,12.24,217400,12.24
2016-12-22,12.03,12.22,12.02,12.11,358000,12.11
2016-12-21,12.20,12.21,11.95,12.06,405400,12.06
2016-12-20,12.11,12.24,11.90,12.20,632900,12.20
2016-12-19,12.23,12.37,12.15,12.25,461000,12.25
2016-12-16,12.21,12.49,11.90,12.26,4539900,12.26
2016-12-15,12.30,12.40,12.01,12.15,1040600,12.15
2016-12-14,12.95,13.10,12.42,12.51,1153900,12.51
2016-12-13,12.99,13.03,12.63,12.90,1222100,12.90
2016-12-12,13.18,13.20,13.00,13.01,870100,13.01
2016-12-09,13.39,13.46,13.11,13.17,575300,13.17
2016-12-08,13.39,13.47,13.33,13.44,267800,13.44
2016-12-07,13.62,13.79,13.26,13.41,386200,13.41
2016-12-06,13.29,13.61,13.23,13.41,376100,13.41
2016-12-05,13.20,13.50,13.06,13.29,477300,13.29
2016-12-02,13.25,13.47,13.11,13.30,336500,13.30
2016-12-01,13.06,13.28,13.06,13.14,599200,13.14
2016-11-30,13.12,13.34,12.96,13.16,467600,13.16
2016-11-29,13.04,13.30,12.96,13.23,422200,13.23
2016-11-28,13.08,13.22,12.84,13.17,456000,13.17
2016-11-25,12.95,13.01,12.75,12.90,259000,12.90
2016-11-24,12.90,12.93,12.85,12.88,64200,12.88
2016-11-23,12.86,13.09,12.60,12.88,508500,12.88
2016-11-22,12.94,13.29,12.86,13.11,497900,13.11
2016-11-21,13.43,13.45,12.94,13.03,445800,13.03
2016-11-18,13.03,13.38,12.98,13.26,371200,13.26
2016-11-17,13.40,13.63,12.93,13.09,583100,13.09
2016-11-16,13.58,13.79,13.23,13.41,509400,13.41
2016-11-15,12.92,13.74,12.76,13.55,599300,13.55
2016-11-14,12.65,13.20,12.37,12.90,574100,12.90
2016-11-11,12.84,13.06,12.37,12.60,750800,12.60
2016-11-10,13.36,13.69,12.79,12.85,611200,12.85
2016-11-09,13.85,13.89,13.05,13.27,699500,13.27
2016-11-08,13.71,13.85,13.32,13.33,473800,13.33
2016-11-07,13.70,13.91,13.45,13.71,335100,13.71
2016-11-04,14.27,14.47,13.94,13.97,419700,13.97
2016-11-03,14.25,14.33,13.99,14.21,334500,14.21
2016-11-02,14.60,14.89,14.12,14.28,466600,14.28
2016-11-01,14.25,14.66,14.24,14.42,509900,14.42
2016-10-31,14.10,14.16,13.83,14.12,218700,14.12
2016-10-28,14.00,14.40,13.80,14.03,405300,14.03
2016-10-27,14.15,14.20,13.94,13.99,261500,13.99
2016-10-26,14.02,14.20,13.90,14.09,517400,14.09
2016-10-25,13.55,14.06,13.52,14.02,411200,14.02
2016-10-24,13.81,13.88,13.27,13.50,314600,13.50
2016-10-21,13.61,13.77,13.50,13.67,184800,13.67
2016-10-20,13.89,13.98,13.495,13.63,447600,13.63
2016-10-19,13.86,14.12,13.52,13.88,516200,13.88
2016-10-18,13.51,13.74,13.30,13.72,438400,13.72
2016-10-17,13.33,13.54,13.23,13.51,305400,13.51
2016-10-14,13.54,13.68,13.14,13.17,349000,13.17
2016-10-13,13.53,14.03,13.30,13.62,472400,13.62
2016-10-12,13.34,13.50,13.12,13.46,295800,13.46
2016-10-11,13.48,13.55,13.16,13.26,334000,13.26
2016-10-07,13.27,13.65,13.16,13.46,738100,13.46
2016-10-06,12.77,13.15,12.60,13.11,608400,13.11
2016-10-05,13.00,13.15,12.34,12.96,931400,12.96
2016-10-04,13.40,13.40,12.70,12.83,1117800,12.83
2016-10-03,14.34,14.36,13.50,13.71,582800,13.71
2016-09-30,14.55,14.85,14.25,14.36,410300,14.36
2016-09-29,14.48,14.53,14.27,14.50,397300,14.50
2016-09-28,14.50,14.77,14.35,14.55,305200,14.55
2016-09-27,14.76,14.87,14.49,14.57,372200,14.57
2016-09-26,14.99,15.13,14.77,14.87,225500,14.87
2016-09-23,15.21,15.35,14.87,14.97,225600,14.97
2016-09-22,15.50,15.65,15.11,15.27,291000,15.27
2016-09-21,14.95,15.55,14.93,15.39,514500,15.39
2016-09-20,14.75,15.06,14.70,14.79,300700,14.79
2016-09-19,14.75,14.87,14.59,14.77,513100,14.77
2016-09-16,15.30,15.61,14.42,14.60,3541700,14.60
2016-09-15,15.25,15.67,15.11,15.41,486200,15.41
2016-09-14,15.45,15.67,15.19,15.24,588300,15.24
2016-09-13,15.65,15.88,15.21,15.41,587400,15.41
2016-09-12,14.95,15.78,14.81,15.68,913700,15.68
2016-09-09,15.44,15.75,14.82,14.93,596300,14.93
2016-09-08,15.99,15.99,15.40,15.52,427600,15.52
2016-09-07,16.309999,16.40,15.85,16.00,493600,16.00
2016-09-06,16.299999,16.424999,16.139999,16.280001,833100,16.280001
2016-09-05,15.87,15.87,15.87,15.87,000,15.87
2016-09-02,16.00,16.290001,15.85,16.02,596300,16.02
2016-09-01,14.80,15.90,14.67,15.87,664900,15.87
2016-08-31,14.92,14.92,14.51,14.82,403500,14.82
2016-08-30,15.56,15.89,14.88,14.97,501500,14.97
2016-08-29,15.48,15.81,15.40,15.61,260100,15.61
2016-08-26,15.88,16.120001,15.33,15.57,505900,15.57
2016-08-25,15.59,16.18,15.40,15.70,423600,15.70
2016-08-24,16.219999,16.42,15.57,15.59,410600,15.59
2016-08-23,16.51,16.75,16.23,16.24,330100,16.24
2016-08-22,16.309999,16.629999,16.17,16.440001,224800,16.440001
2016-08-19,16.51,16.75,16.209999,16.309999,379100,16.309999
2016-08-18,16.280001,16.60,16.139999,16.549999,293000,16.549999
2016-08-17,16.40,16.60,16.110001,16.290001,399700,16.290001
2016-08-16,16.879999,17.00,16.290001,16.40,336400,16.40
2016-08-15,17.08,17.200001,16.879999,16.879999,185200,16.879999
2016-08-12,17.07,17.200001,16.84,16.950001,240100,16.950001
2016-08-11,17.290001,17.360001,16.879999,16.91,283700,16.91
2016-08-10,17.58,17.58,17.200001,17.23,325000,17.23
2016-08-09,17.40,17.49,17.17,17.27,192200,17.27
2016-08-08,17.40,17.450001,17.209999,17.24,352100,17.24
2016-08-05,17.66,18.17,17.280001,17.370001,508900,17.370001
2016-08-04,17.889999,18.17,17.629999,17.74,284000,17.74
2016-08-03,18.32,18.32,17.700001,17.84,248300,17.84
2016-08-02,17.90,18.639999,17.870001,18.24,612400,18.24
2016-07-29,17.40,17.50,17.26,17.34,272800,17.34
2016-07-28,17.01,17.27,16.77,17.200001,421700,17.200001
2016-07-27,16.67,16.99,16.17,16.959999,509300,16.959999
2016-07-26,16.16,16.690001,16.030001,16.530001,422200,16.530001
2016-07-25,16.32,16.34,15.85,15.90,380300,15.90
2016-07-22,16.57,16.629999,16.424999,16.49,514200,16.49
2016-07-21,16.48,16.799999,16.48,16.68,639700,16.68
2016-07-20,16.76,16.92,16.389999,16.42,369700,16.42
2016-07-19,17.190001,17.41,16.775,17.02,192800,17.02
2016-07-18,17.129999,17.42,17.00,17.23,190600,17.23
2016-07-15,17.24,17.450001,17.07,17.15,249500,17.15
2016-07-14,17.25,17.58,17.02,17.530001,266200,17.530001
2016-07-13,17.27,17.68,17.219999,17.360001,371200,17.360001
2016-07-12,17.50,17.639999,16.889999,17.02,261800,17.02
2016-07-11,17.73,17.90,17.42,17.540001,306000,17.540001
2016-07-08,17.35,17.889999,16.91,17.780001,431100,17.780001
2016-07-07,17.75,17.75,17.24,17.24,744400,17.24
2016-07-06,17.58,17.700001,17.370001,17.639999,458100,17.639999
2016-07-05,17.469999,17.549999,17.040001,17.309999,290100,17.309999
2016-07-04,17.280001,17.549999,17.26,17.450001,355100,17.450001
2016-06-30,16.940001,17.08,16.77,16.889999,286600,16.889999
2016-06-29,16.879999,17.15,16.700001,16.99,305400,16.99
2016-06-28,16.639999,17.00,16.49,16.59,404900,16.59
2016-06-27,16.91,17.08,16.549999,16.809999,555000,16.769999
2016-06-24,17.27,17.65,16.440001,16.77,715400,16.730096
2016-06-23,16.290001,16.379999,16.120001,16.200001,177500,16.161452
2016-06-22,16.34,16.559999,16.280001,16.41,237800,16.370952
2016-06-21,16.57,16.799999,16.360001,16.42,280900,16.380928
2016-06-20,16.360001,16.879999,16.120001,16.799999,296700,16.760023
2016-06-17,16.540001,16.73,15.99,16.629999,1923900,16.590427
2016-06-16,17.049999,17.10,16.33,16.33,849700,16.291142
2016-06-15,16.059999,16.85,15.97,16.629999,624700,16.590427
2016-06-14,16.610001,16.83,15.94,16.120001,604800,16.081643
2016-06-13,16.77,17.02,16.309999,16.559999,450200,16.520594
