Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,36.639999,37.740002,36.50,37.720001,185900,37.720001
2017-02-09,35.50,36.709999,35.200001,36.549999,405500,36.549999
2017-02-08,34.299999,35.450001,34.299999,35.34,211700,35.34
2017-02-07,33.84,34.41,33.84,34.18,132500,34.18
2017-02-06,33.599998,34.09,33.400002,33.799999,111300,33.799999
2017-02-03,33.799999,34.060001,33.32,33.759998,217100,33.759998
2017-02-02,32.799999,33.060001,32.610001,32.68,110000,32.68
2017-02-01,32.459999,32.779999,32.080002,32.619999,71600,32.619999
2017-01-31,32.52,32.639999,32.00,32.299999,89400,32.299999
2017-01-30,33.389999,33.470001,32.599998,32.860001,54800,32.860001
2017-01-27,33.709999,34.00,33.43,33.529999,83500,33.529999
2017-01-26,34.34,34.580002,33.490002,33.59,97500,33.59
2017-01-25,32.759998,34.610001,32.759998,34.32,137200,34.32
2017-01-24,31.610001,33.040001,31.610001,32.709999,127100,32.709999
2017-01-23,32.509998,32.650002,31.379999,31.549999,159400,31.549999
2017-01-20,33.59,33.610001,32.34,32.68,102500,32.68
2017-01-19,34.23,34.299999,33.349998,33.450001,92600,33.450001
2017-01-18,33.900002,34.389999,33.900002,34.220001,143400,34.220001
2017-01-17,34.50,34.700001,33.779999,33.959999,57400,33.959999
2017-01-16,34.509998,34.709999,34.43,34.549999,23600,34.549999
2017-01-13,34.060001,34.68,34.060001,34.43,61300,34.43
2017-01-12,34.490002,34.540001,33.830002,34.060001,91000,34.060001
2017-01-11,34.299999,34.689999,34.25,34.529999,39700,34.529999
2017-01-10,33.779999,34.59,33.779999,34.34,128800,34.34
2017-01-09,33.919998,34.110001,33.709999,33.830002,75300,33.830002
2017-01-06,33.82,34.040001,33.57,33.91,109100,33.91
2017-01-05,33.57,34.02,33.540001,33.73,104000,33.73
2017-01-04,33.34,34.00,33.34,33.610001,135500,33.610001
2017-01-03,33.970001,34.439999,33.150002,33.34,91700,33.34
2016-12-30,34.09,34.209999,33.700001,33.91,45800,33.91
2016-12-29,33.98,34.110001,33.619999,34.040001,51600,34.040001
2016-12-28,34.470001,34.93,33.950001,34.009998,69800,34.009998
2016-12-23,34.939999,34.959999,34.080002,34.43,64900,34.43
2016-12-22,35.490002,35.529999,34.50,34.869999,79100,34.869999
2016-12-21,35.110001,35.650002,35.099998,35.529999,61400,35.529999
2016-12-20,34.849998,35.330002,34.759998,35.060001,93700,35.060001
2016-12-19,33.720001,34.849998,33.720001,34.779999,179900,34.779999
2016-12-16,34.57,34.799999,33.900002,34.060001,160500,34.060001
2016-12-15,35.299999,35.400002,34.52,34.52,368200,34.52
2016-12-14,35.34,35.52,34.950001,35.299999,294900,35.299999
2016-12-13,35.34,35.580002,35.27,35.32,163900,35.32
2016-12-12,35.02,35.240002,34.869999,35.18,151200,35.18
2016-12-09,35.610001,36.00,34.860001,35.02,190700,35.02
2016-12-08,35.220001,35.790001,35.18,35.669998,279300,35.669998
2016-12-07,34.16,35.610001,34.130001,35.220001,315600,35.220001
2016-12-06,34.209999,34.419998,33.720001,34.27,249500,34.27
2016-12-05,33.700001,34.349998,33.57,34.259998,153500,34.259998
2016-12-02,33.25,33.990002,33.25,33.630001,163500,33.630001
2016-12-01,33.799999,33.959999,33.209999,33.27,180500,33.27
2016-11-30,33.48,33.84,33.369999,33.619999,190200,33.619999
2016-11-29,32.540001,33.59,32.52,33.459999,122000,33.459999
2016-11-28,32.93,32.93,32.310001,32.75,170200,32.65
2016-11-25,32.93,33.400002,32.869999,33.029999,105500,32.929144
2016-11-24,32.93,33.279999,32.689999,33.00,42000,32.899237
2016-11-23,33.25,33.419998,32.799999,32.98,205300,32.879298
2016-11-22,31.98,33.419998,31.82,33.389999,267700,33.288045
2016-11-21,31.49,31.959999,31.059999,31.77,279900,31.672993
2016-11-18,31.07,31.389999,30.940001,31.24,279900,31.144611
2016-11-17,29.75,31.120001,29.75,31.00,285200,30.905344
2016-11-16,29.91,29.91,29.26,29.540001,129300,29.449803
2016-11-15,30.67,30.67,29.91,29.93,231100,29.838611
2016-11-14,29.24,30.18,29.24,29.91,240600,29.818672
2016-11-11,29.35,29.35,28.91,29.08,189700,28.991206
2016-11-10,29.74,30.26,29.219999,29.299999,274300,29.210534
2016-11-09,30.00,30.35,29.52,29.76,532200,29.66913
2016-11-08,30.860001,30.950001,30.18,30.290001,249200,30.197513
2016-11-07,30.709999,31.26,30.68,30.969999,252100,30.875435
2016-11-04,31.01,31.08,30.52,30.52,264600,30.42681
2016-11-03,31.76,31.90,31.059999,31.059999,130300,30.96516
2016-11-02,32.209999,32.25,31.450001,31.799999,193300,31.7029
2016-11-01,31.66,32.310001,31.620001,32.200001,328700,32.10168
2016-10-31,31.469999,32.470001,31.360001,31.549999,419100,31.453664
2016-10-28,31.299999,31.700001,31.059999,31.26,431400,31.16455
2016-10-27,32.419998,32.419998,31.709999,31.809999,300900,31.71287
2016-10-26,33.52,33.75,32.32,32.34,288100,32.241252
2016-10-25,33.849998,33.860001,33.290001,33.650002,214800,33.547254
2016-10-24,34.75,34.990002,33.41,33.860001,436000,33.756612
2016-10-21,35.200001,35.470001,34.970001,35.389999,170700,35.281939
2016-10-20,34.549999,35.369999,34.509998,35.27,178100,35.162306
2016-10-19,34.68,34.799999,34.470001,34.619999,78300,34.514289
2016-10-18,34.709999,34.82,34.360001,34.709999,97100,34.604015
2016-10-17,34.580002,34.810001,34.380001,34.540001,101900,34.434536
2016-10-14,34.25,34.830002,34.25,34.709999,94400,34.604015
2016-10-13,34.299999,34.439999,34.00,34.200001,111500,34.095574
2016-10-12,34.25,34.77,34.25,34.619999,99600,34.514289
2016-10-11,34.009998,34.630001,34.009998,34.360001,104600,34.255085
2016-10-07,34.57,35.00,34.18,34.419998,252800,34.314899
2016-10-06,33.169998,34.599998,33.169998,34.560001,209300,34.454475
2016-10-05,32.91,33.50,32.91,33.299999,135600,33.19832
2016-10-04,33.509998,33.689999,32.860001,32.939999,128000,32.839419
2016-10-03,33.68,33.830002,33.240002,33.470001,165300,33.367803
2016-09-30,33.75,33.799999,33.299999,33.700001,134600,33.5971
2016-09-29,33.57,33.98,33.48,33.75,124600,33.646947
2016-09-28,32.450001,33.700001,32.450001,33.57,162000,33.467496
2016-09-27,32.41,32.639999,31.950001,32.639999,85100,32.540336
2016-09-26,32.080002,32.209999,31.51,32.00,130400,31.90229
2016-09-23,32.720001,33.029999,32.099998,32.169998,223700,32.071769
2016-09-22,32.310001,32.939999,32.18,32.860001,97100,32.759665
2016-09-21,32.080002,32.310001,31.41,32.139999,196500,32.041862
2016-09-20,31.709999,32.080002,31.709999,31.98,93200,31.882351
2016-09-19,31.459999,31.799999,31.309999,31.700001,114400,31.603207
2016-09-16,31.52,31.870001,31.27,31.450001,156300,31.35397
2016-09-15,31.60,32.080002,31.35,31.65,103000,31.553359
2016-09-14,31.27,32.130001,31.25,31.59,175600,31.493542
2016-09-13,31.549999,31.559999,30.959999,31.200001,132900,31.104734
2016-09-12,31.01,31.60,30.549999,31.549999,125000,31.453664
2016-09-09,32.220001,32.220001,30.940001,31.370001,144900,31.274215
2016-09-08,32.459999,32.50,32.139999,32.279999,100100,32.181434
2016-09-07,33.139999,33.23,32.25,32.459999,110900,32.360885
2016-09-06,32.98,33.360001,32.610001,33.18,184300,33.078688
2016-09-02,32.41,32.950001,32.169998,32.830002,197600,32.729758
2016-09-01,31.59,32.240002,31.42,32.209999,192900,32.111648
2016-08-31,31.379999,32.16,31.200001,31.50,180000,31.403817
2016-08-30,31.469999,31.690001,31.200001,31.379999,112600,31.284183
2016-08-29,31.129999,31.690001,31.129999,31.559999,166400,31.363938
2016-08-26,31.309999,31.74,30.91,31.040001,127200,30.847169
2016-08-25,31.40,31.50,30.90,31.25,97200,31.055864
2016-08-24,32.169998,32.209999,31.200001,31.389999,231000,31.194994
2016-08-23,31.25,32.610001,31.25,32.119999,223700,31.920458
2016-08-22,30.76,31.23,30.440001,31.129999,215600,30.936609
