Date,Open,High,Low,Close,Volume,Adj Close
2017-01-19,84.00,84.489998,83.169998,83.290001,239400,83.290001
2017-01-18,84.010002,84.389999,83.540001,83.949997,234300,83.949997
2017-01-17,84.599998,84.599998,83.50,84.019997,201600,84.019997
2017-01-16,84.25,84.760002,84.019997,84.650002,49300,84.650002
2017-01-13,84.199997,84.470001,84.029999,84.25,180000,84.25
2017-01-12,83.779999,84.709999,82.800003,84.239998,222200,84.239998
2017-01-11,83.650002,84.519997,83.349998,84.089996,225000,84.089996
2017-01-10,82.300003,83.919998,82.099998,83.480003,205800,83.480003
2017-01-09,82.629997,83.099998,82.290001,82.309998,164900,82.309998
2017-01-06,83.199997,83.199997,82.529999,82.760002,262400,82.760002
2017-01-05,83.260002,83.550003,82.529999,83.18,236600,83.18
2017-01-04,83.00,83.370003,82.199997,83.139999,312500,83.139999
2017-01-03,82.980003,83.379997,82.120003,82.620003,135000,82.620003
2016-12-30,83.839996,83.849998,82.800003,82.919998,174400,82.919998
2016-12-29,83.540001,84.239998,83.150002,83.809998,167200,83.809998
2016-12-28,83.540001,84.559998,83.32,83.389999,223400,83.389999
2016-12-23,83.029999,83.360001,82.93,83.150002,71900,83.150002
2016-12-22,83.50,83.830002,82.610001,82.82,163800,82.82
2016-12-21,82.800003,83.400002,82.440002,83.190002,224800,83.190002
2016-12-20,82.300003,83.410004,82.260002,82.669998,620600,82.669998
2016-12-19,80.989998,82.330002,80.699997,82.209999,380500,82.209999
2016-12-16,80.839996,81.309998,80.669998,80.699997,358100,80.699997
2016-12-15,81.07,82.220001,80.760002,81.190002,343400,81.190002
2016-12-14,80.75,81.459999,79.919998,81.07,808000,81.07
2016-12-13,80.50,82.879997,80.400002,81.459999,413000,81.459999
2016-12-12,78.50,80.559998,77.830002,80.550003,347300,80.550003
2016-12-09,81.099998,81.199997,80.50,80.57,220000,80.57
2016-12-08,81.599998,81.599998,80.82,81.010002,188700,81.010002
2016-12-07,81.589996,81.720001,80.389999,81.620003,199500,81.620003
2016-12-06,82.169998,82.25,80.169998,81.519997,289200,81.519997
2016-12-05,82.879997,83.300003,81.870003,82.199997,231000,82.199997
2016-12-02,82.699997,83.089996,82.419998,82.870003,245100,82.870003
2016-12-01,85.860001,85.889999,82.489998,83.07,256100,83.07
2016-11-30,85.120003,85.989998,85.099998,85.589996,445400,85.589996
2016-11-29,84.019997,85.550003,83.650002,85.169998,250300,85.169998
2016-11-28,83.580002,85.059998,83.580002,84.220001,305800,84.220001
2016-11-25,84.510002,84.75,83.970001,83.989998,82600,83.989998
2016-11-24,85.07,85.25,84.129997,84.260002,46100,84.260002
2016-11-23,83.50,84.919998,83.410004,84.910004,231000,84.910004
2016-11-22,82.220001,83.290001,81.709999,83.279999,148600,83.279999
2016-11-21,83.199997,83.199997,81.400002,82.050003,201100,82.050003
2016-11-18,83.110001,83.43,82.18,83.129997,233900,83.129997
2016-11-17,82.029999,83.220001,81.629997,83.209999,213500,83.209999
