Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,23.90,24.90,23.879999,24.73,198600,24.73
2017-01-26,23.889999,24.059999,23.66,23.860001,146200,23.860001
2017-01-25,23.83,24.41,23.83,24.379999,222900,24.379999
2017-01-24,25.030001,25.34,24.379999,24.620001,247600,24.620001
2017-01-23,24.790001,25.120001,24.629999,25.040001,364900,25.040001
2017-01-20,24.440001,24.85,24.209999,24.52,260000,24.52
2017-01-19,24.09,24.68,23.950001,24.32,366600,24.32
2017-01-18,23.969999,25.07,23.969999,24.290001,406500,24.290001
2017-01-17,23.75,24.049999,23.370001,24.00,536800,24.00
2017-01-16,23.35,23.799999,23.299999,23.440001,159000,23.440001
2017-01-13,22.219999,23.07,22.01,22.940001,347600,22.940001
2017-01-12,22.879999,23.07,22.00,22.26,381300,22.26
2017-01-11,22.549999,22.780001,22.030001,22.43,379600,22.43
2017-01-10,22.57,23.120001,22.200001,22.59,674300,22.59
2017-01-09,22.549999,22.870001,22.309999,22.379999,728900,22.379999
2017-01-06,22.379999,22.84,21.950001,22.299999,542200,22.299999
2017-01-05,21.84,23.17,21.84,22.90,642100,22.90
2017-01-04,21.370001,21.59,21.02,21.41,448800,21.41
2017-01-03,20.459999,21.18,20.35,21.120001,372500,21.120001
2016-12-30,21.24,21.709999,20.15,20.25,288900,20.25
2016-12-29,20.15,21.209999,20.07,21.18,356400,21.18
2016-12-28,20.059999,20.299999,19.74,19.950001,298300,19.950001
2016-12-23,19.110001,19.549999,19.110001,19.33,175900,19.33
2016-12-22,19.34,19.75,19.01,19.059999,286600,19.059999
2016-12-21,19.25,19.559999,19.15,19.33,333600,19.33
2016-12-20,19.27,19.440001,18.799999,19.26,365500,19.26
2016-12-19,19.620001,19.950001,19.52,19.65,387100,19.65
2016-12-16,20.030001,20.41,19.540001,19.66,605700,19.66
2016-12-15,20.690001,20.73,19.67,19.77,686200,19.77
2016-12-14,22.639999,22.73,21.27,21.299999,529300,21.299999
2016-12-13,21.77,22.379999,21.77,22.35,414700,22.35
2016-12-12,21.93,22.469999,21.879999,21.940001,264600,21.940001
2016-12-09,23.24,23.24,21.60,21.84,411800,21.84
2016-12-08,23.700001,23.91,23.040001,23.24,377400,23.24
2016-12-07,23.92,24.26,23.57,23.76,383500,23.76
2016-12-06,23.98,24.389999,23.10,23.35,400800,23.35
2016-12-05,23.459999,24.32,22.83,23.959999,517100,23.959999
2016-12-02,22.209999,23.889999,22.209999,23.799999,414800,23.799999
2016-12-01,22.549999,22.75,21.459999,22.09,538300,22.09
2016-11-30,22.719999,22.940001,22.290001,22.629999,336300,22.629999
2016-11-29,22.219999,23.049999,22.040001,22.93,375200,22.93
2016-11-28,22.43,22.82,21.92,22.66,391600,22.66
2016-11-25,22.309999,22.389999,21.959999,22.110001,146500,22.110001
2016-11-24,22.200001,22.40,22.040001,22.040001,56200,22.040001
2016-11-23,22.82,22.91,22.07,22.25,564500,22.25
2016-11-22,22.99,23.889999,22.65,23.780001,539300,23.763
2016-11-21,22.32,22.879999,22.120001,22.67,513300,22.653793
2016-11-18,21.629999,22.15,21.57,21.99,491500,21.974279
2016-11-17,22.60,23.34,21.42,21.82,815700,21.804401
2016-11-16,22.66,22.860001,21.700001,22.50,1420600,22.483915
2016-11-15,20.709999,22.73,20.01,22.530001,1422700,22.513894
2016-11-14,19.209999,20.129999,18.700001,19.59,692000,19.575995
2016-11-11,21.49,21.719999,19.379999,19.50,738900,19.486059
2016-11-10,22.799999,22.799999,21.379999,21.549999,623100,21.534593
2016-11-09,23.23,23.549999,22.059999,22.610001,923500,22.593837
2016-11-08,21.90,22.43,21.41,22.01,466600,21.994265
