Date,Open,High,Low,Close,Volume,Adj Close
2017-01-18,7.15,7.36,7.13,7.28,2467000,7.28
2017-01-17,7.08,7.31,7.03,7.22,911100,7.22
2017-01-16,7.12,7.12,6.99,7.06,578200,7.06
2017-01-13,7.30,7.33,7.05,7.13,2122600,7.13
2017-01-12,7.66,7.67,7.26,7.34,1823800,7.34
2017-01-11,7.74,7.75,7.53,7.61,3025700,7.61
2017-01-10,7.89,7.89,7.62,7.66,2266000,7.66
2017-01-09,7.71,8.11,7.68,7.72,2201700,7.72
2017-01-06,7.77,7.90,7.62,7.85,1519700,7.85
2017-01-05,7.84,7.85,7.54,7.62,1287100,7.62
2017-01-04,7.60,7.80,7.54,7.77,1532400,7.77
2017-01-03,7.41,7.61,7.30,7.43,1388200,7.43
2016-12-30,7.37,7.48,7.30,7.32,602600,7.32
2016-12-29,7.45,7.45,7.32,7.38,569800,7.38
2016-12-28,7.43,7.61,7.41,7.44,751300,7.44
2016-12-23,7.38,7.39,7.26,7.31,486800,7.31
2016-12-22,7.45,7.50,7.34,7.41,865500,7.41
2016-12-21,7.51,7.53,7.41,7.47,1111000,7.47
2016-12-20,7.49,7.55,7.33,7.44,1248000,7.44
2016-12-19,7.34,7.46,7.26,7.39,3100500,7.39
2016-12-16,7.51,7.54,7.27,7.31,1602000,7.31
2016-12-15,7.25,7.46,7.14,7.39,1109700,7.39
2016-12-14,7.49,7.53,7.29,7.34,1942900,7.34
2016-12-13,7.78,7.78,7.53,7.57,2484800,7.57
2016-12-12,8.17,8.21,7.51,7.53,2864000,7.53
2016-12-09,7.57,7.75,7.50,7.69,2274200,7.69
2016-12-08,7.40,7.57,7.32,7.48,1841600,7.48
2016-12-07,7.30,7.54,7.25,7.30,2550800,7.30
2016-12-06,7.33,7.59,7.20,7.37,2519100,7.37
2016-12-05,7.63,7.63,7.25,7.35,3730400,7.35
2016-12-02,7.07,7.54,7.05,7.40,2398700,7.40
2016-12-01,7.20,7.44,6.98,7.07,3940100,7.07
2016-11-30,6.73,7.15,6.57,7.12,6740100,7.12
2016-11-29,6.16,6.20,6.00,6.08,1802300,6.08
2016-11-28,6.66,6.66,6.19,6.20,1808600,6.20
2016-11-25,6.75,6.75,6.41,6.50,1736800,6.50
2016-11-24,6.94,6.94,6.81,6.84,321900,6.84
2016-11-23,6.66,6.90,6.58,6.90,1504600,6.90
2016-11-22,6.75,6.84,6.68,6.71,2019300,6.71
2016-11-21,6.49,6.75,6.49,6.71,1689300,6.71
2016-11-18,6.33,6.43,6.26,6.31,1047600,6.31
2016-11-17,6.35,6.45,6.26,6.30,1376100,6.30
2016-11-16,6.41,6.52,6.26,6.29,2115100,6.29
2016-11-15,6.01,6.55,6.01,6.52,3546800,6.52
2016-11-14,5.70,5.96,5.70,5.92,1263400,5.92
2016-11-11,6.02,6.03,5.72,5.74,1721000,5.74
2016-11-10,5.96,6.17,5.96,6.07,1200200,6.07
2016-11-09,5.64,6.20,5.62,5.99,2719000,5.99
2016-11-08,5.82,5.87,5.65,5.71,1829700,5.71
2016-11-07,5.85,5.92,5.74,5.90,1349300,5.90
