Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,29.24,29.309999,28.799999,29.10,985200,29.10
2017-01-24,28.290001,29.60,28.17,29.23,1805300,29.23
2017-01-23,29.24,29.299999,27.200001,28.219999,2968300,28.219999
2017-01-20,29.90,30.440001,29.75,29.91,662200,29.91
2017-01-19,29.690001,29.84,29.450001,29.51,388600,29.51
2017-01-18,29.67,29.950001,29.459999,29.58,1354000,29.58
2017-01-17,30.52,30.52,29.940001,30.02,540600,30.02
2017-01-16,30.940001,30.940001,29.860001,30.030001,287100,30.030001
2017-01-13,29.74,30.860001,29.709999,30.77,963200,30.77
2017-01-12,29.799999,29.950001,28.959999,29.690001,1243700,29.690001
2017-01-11,30.110001,30.15,29.41,29.57,978200,29.57
2017-01-10,30.200001,30.450001,30.030001,30.040001,964400,30.040001
2017-01-09,30.76,30.82,30.059999,30.129999,443200,30.129999
2017-01-06,31.40,31.67,30.84,30.959999,893000,30.959999
2017-01-05,31.74,31.940001,31.200001,31.34,391200,31.34
2017-01-04,32.34,32.360001,31.41,31.559999,750900,31.559999
2017-01-03,33.02,33.630001,32.23,32.439999,466500,32.439999
2016-12-30,33.380001,33.630001,33.16,33.209999,161500,33.209999
2016-12-29,33.540001,33.619999,33.130001,33.380001,214500,33.380001
2016-12-28,33.759998,33.950001,33.450001,33.639999,268800,33.639999
2016-12-23,33.98,33.98,33.57,33.580002,177500,33.470002
2016-12-22,33.75,34.00,33.75,33.790001,183400,33.679313
2016-12-21,33.709999,34.099998,33.650002,33.790001,226100,33.679313
2016-12-20,34.02,34.02,33.099998,33.419998,751800,33.310523
2016-12-19,33.98,34.349998,33.66,34.060001,288100,33.948429
2016-12-16,34.459999,34.619999,33.779999,33.880001,806800,33.769019
2016-12-15,33.66,34.610001,33.549999,34.470001,558900,34.357086
2016-12-14,34.330002,34.439999,33.68,33.740002,500000,33.629478
2016-12-13,34.200001,35.060001,34.00,34.560001,467500,34.446791
2016-12-12,34.73,35.169998,33.970001,34.00,526600,33.888624
2016-12-09,34.150002,34.669998,34.049999,34.220001,450200,34.107905
2016-12-08,34.310001,34.360001,33.59,34.139999,434200,34.028165
2016-12-07,34.369999,35.439999,33.959999,34.220001,759000,34.107905
2016-12-06,33.860001,34.549999,33.50,34.43,1138500,34.317216
2016-12-05,34.189999,35.50,33.77,34.009998,429900,33.89859
2016-12-02,33.459999,34.060001,33.400002,33.75,400800,33.639443
2016-12-01,33.779999,34.27,33.00,33.459999,786100,33.350392
2016-11-30,34.950001,35.07,32.950001,33.060001,1202100,32.951705
2016-11-29,33.639999,33.77,32.310001,32.360001,700500,32.253997
2016-11-28,34.43,34.630001,33.669998,33.709999,586600,33.599573
2016-11-25,34.91,35.119999,34.400002,34.52,154100,34.297281
2016-11-24,35.490002,35.490002,35.009998,35.16,96600,34.933151
2016-11-23,35.00,35.639999,34.82,35.490002,337500,35.261024
