Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,20.29,20.36,20.14,20.30,116800,20.30
2017-02-09,20.27,20.35,20.03,20.29,128700,20.29
2017-02-08,20.20,20.32,20.07,20.26,113000,20.26
2017-02-07,20.15,20.34,20.11,20.15,136300,20.15
2017-02-06,20.18,20.32,19.97,20.13,128000,20.13
2017-02-03,20.40,20.40,20.20,20.22,83500,20.22
2017-02-02,20.27,20.43,20.22,20.31,115300,20.31
2017-02-01,20.46,20.46,20.17,20.28,119800,20.28
2017-01-31,20.43,20.58,20.28,20.45,141800,20.45
2017-01-30,20.49,20.55,20.30,20.41,130500,20.41
2017-01-27,20.82,20.95,20.46,20.55,110600,20.55
2017-01-26,21.09,21.20,20.79,20.89,115800,20.89
2017-01-25,20.89,21.26,20.77,21.09,200800,21.09
2017-01-24,20.29,20.93,20.29,20.80,413300,20.80
2017-01-23,20.25,20.39,20.25,20.28,74100,20.28
2017-01-20,20.27,20.32,20.12,20.30,89500,20.30
2017-01-19,20.33,20.36,20.15,20.24,62800,20.24
2017-01-18,20.47,20.47,20.09,20.29,136800,20.29
2017-01-17,20.45,20.55,20.35,20.53,137300,20.41
2017-01-16,20.43,20.55,20.41,20.41,66600,20.2907
2017-01-13,20.28,20.45,20.28,20.40,79400,20.2808
2017-01-12,20.40,20.43,20.27,20.34,65000,20.2211
2017-01-11,20.36,20.42,20.20,20.36,73800,20.241
2017-01-10,20.51,20.60,20.27,20.36,115200,20.241
2017-01-09,20.38,20.68,20.31,20.57,213200,20.4498
2017-01-06,20.25,20.40,20.01,20.40,173300,20.2808
2017-01-05,20.73,20.88,20.22,20.30,200500,20.1813
2017-01-04,20.87,20.87,20.64,20.71,135600,20.5889
2017-01-03,20.97,21.03,20.75,20.84,93600,20.7182
2017-01-02,20.92,20.92,20.92,20.92,000,20.7977
2016-12-30,20.88,20.97,20.85,20.92,60300,20.7977
2016-12-29,20.72,20.98,20.72,20.89,83700,20.7679
2016-12-28,20.93,20.95,20.64,20.73,121200,20.6088
2016-12-27,20.89,20.89,20.89,20.89,000,20.7679
2016-12-26,20.89,20.89,20.89,20.89,000,20.7679
2016-12-23,20.68,20.94,20.68,20.89,69300,20.7679
2016-12-22,20.78,20.95,20.41,20.65,232700,20.5293
2016-12-21,21.29,21.42,20.68,20.75,288000,20.6287
2016-12-20,21.40,21.47,21.275,21.36,112200,21.2351
2016-12-19,21.42,21.46,21.22,21.40,201800,21.2749
2016-12-16,21.21,21.60,21.00,21.49,499700,21.3644
2016-12-15,21.69,22.08,21.64,21.69,134300,21.5632
2016-12-14,21.65,21.87,21.55,21.67,466500,21.5433
2016-12-13,21.93,22.21,21.66,21.72,206300,21.593
2016-12-12,22.15,22.15,21.92,21.94,74700,21.8118
2016-12-09,21.70,22.25,21.70,22.19,243400,22.0603
2016-12-08,21.65,21.88,21.57,21.70,123900,21.5732
2016-12-07,21.18,21.69,21.13,21.67,169300,21.5433
2016-12-06,21.10,21.23,21.03,21.15,72900,21.0264
2016-12-05,21.24,21.37,20.91,21.11,155300,20.9866
2016-12-02,20.90,21.38,20.83,21.24,174400,21.1158
2016-12-01,20.90,20.98,20.73,20.84,174600,20.7182
2016-11-30,20.65,21.00,20.52,20.71,277300,20.5889
2016-11-29,20.14,20.66,20.14,20.63,105200,20.5094
2016-11-28,20.24,20.24,20.05,20.10,51600,19.9825
2016-11-25,20.16,20.22,19.93,20.22,166400,20.1018
2016-11-24,20.01,20.20,19.91,20.12,73500,20.0024
2016-11-23,20.10,20.19,19.90,19.97,269600,19.8533
2016-11-22,20.19,20.46,20.14,20.15,131000,20.0322
2016-11-21,20.07,20.44,19.93,20.17,126100,20.0521
2016-11-18,20.29,20.34,20.00,20.08,74200,19.9626
2016-11-17,20.02,20.39,20.02,20.32,80400,20.2012
2016-11-16,20.07,20.44,19.99,20.06,118000,19.9427
2016-11-15,19.70,20.25,19.67,20.15,134300,20.0322
2016-11-14,19.90,20.13,19.37,19.71,202000,19.5948
2016-11-11,20.20,20.33,19.85,19.91,139500,19.7936
2016-11-10,20.51,20.57,20.20,20.22,127600,20.1018
2016-11-09,20.43,20.89,20.26,20.51,97500,20.3901
2016-11-08,20.00,20.85,20.00,20.71,167800,20.5889
2016-11-07,19.64,20.23,19.58,20.14,126200,20.0223
2016-11-04,20.10,20.24,19.87,19.92,107900,19.8036
2016-11-03,20.20,20.27,19.95,20.10,109300,19.9825
2016-11-02,20.42,20.53,20.21,20.24,133300,20.1217
2016-11-01,20.21,20.49,20.03,20.46,193100,20.3404
2016-10-31,20.24,20.47,20.16,20.20,116500,20.0819
2016-10-28,20.17,20.32,20.13,20.25,116200,20.1316
2016-10-27,20.33,20.33,20.09,20.13,158700,20.0123
2016-10-26,19.35,20.48,19.34,20.33,415300,20.2112
2016-10-25,19.62,19.65,19.41,19.43,101100,19.3164
2016-10-24,19.52,19.68,19.40,19.62,65800,19.5053
2016-10-21,19.39,19.53,19.34,19.43,88500,19.3164
2016-10-20,19.46,19.52,19.36,19.42,133000,19.3065
2016-10-19,19.50,19.53,19.25,19.45,104200,19.3363
2016-10-18,19.69,19.69,19.43,19.56,80500,19.3264
2016-10-17,19.64,19.74,19.43,19.60,106600,19.3659
2016-10-14,19.68,19.85,19.58,19.64,157600,19.4054
2016-10-13,19.18,19.73,19.09,19.64,205300,19.4054
2016-10-12,19.01,19.49,18.97,19.32,172800,19.0892
2016-10-11,18.99,19.33,18.90,19.00,225100,18.7731
2016-10-10,19.05,19.05,19.05,19.05,000,18.8225
2016-10-07,19.00,19.29,18.91,19.05,229500,18.8225
2016-10-06,19.81,19.81,18.86,19.04,270500,18.8126
2016-10-05,19.51,20.13,19.46,19.97,202200,19.7315
2016-10-04,19.74,19.84,19.15,19.24,116100,19.0102
2016-10-03,20.15,20.20,19.53,19.59,126100,19.356
2016-09-30,20.27,20.36,19.97,20.13,226700,19.8896
2016-09-29,19.86,20.37,19.86,20.26,138200,20.018
2016-09-28,20.01,20.02,19.64,19.87,104600,19.6327
2016-09-27,19.93,20.08,19.76,19.93,100600,19.692
2016-09-26,20.00,20.14,19.95,19.98,58400,19.7414
2016-09-23,20.00,20.18,19.73,20.09,112900,19.85
