Date,Open,High,Low,Close,Volume,Adj Close
2017-02-08,26.809999,26.809999,26.16,26.58,213900,26.58
2017-02-07,27.00,27.049999,26.709999,26.77,92800,26.77
2017-02-06,27.219999,27.379999,26.99,27.00,102400,27.00
2017-02-03,26.82,27.280001,26.82,27.209999,306200,27.209999
2017-02-02,27.389999,27.389999,26.74,26.860001,183100,26.860001
2017-02-01,27.32,27.370001,27.01,27.32,107500,27.32
2017-01-31,27.25,27.25,27.049999,27.16,161900,27.16
2017-01-30,27.59,27.59,27.00,27.219999,149400,27.219999
2017-01-27,27.60,27.76,27.50,27.610001,173500,27.610001
2017-01-26,27.799999,27.889999,27.60,27.73,100600,27.73
2017-01-25,27.60,28.030001,27.60,27.76,272200,27.76
2017-01-24,27.200001,27.709999,27.129999,27.60,142200,27.60
2017-01-23,27.15,27.25,27.040001,27.110001,101300,27.110001
2017-01-20,27.25,27.48,27.190001,27.219999,112400,27.219999
2017-01-19,27.33,27.48,27.209999,27.280001,232600,27.280001
2017-01-18,27.75,27.83,27.32,27.360001,165500,27.360001
2017-01-17,27.889999,28.040001,27.76,27.90,109600,27.804999
2017-01-16,28.07,28.08,27.709999,27.790001,69700,27.695375
2017-01-13,27.969999,28.25,27.870001,28.01,116400,27.914625
2017-01-12,28.139999,28.139999,27.799999,27.969999,184000,27.87476
2017-01-11,27.59,28.049999,27.40,28.01,219500,27.914625
2017-01-10,28.059999,28.120001,27.450001,27.52,187300,27.426294
2017-01-09,28.07,28.309999,28.049999,28.10,138600,28.004319
2017-01-06,28.190001,28.190001,27.73,28.09,167700,27.994353
2017-01-05,27.83,28.549999,27.639999,28.190001,283200,28.094013
2017-01-04,27.540001,27.700001,27.35,27.469999,136500,27.376463
2017-01-03,28.18,28.25,27.360001,27.540001,320200,27.446226
2016-12-30,27.98,28.32,27.959999,28.129999,94100,28.034216
2016-12-29,27.76,27.92,27.60,27.92,47900,27.824932
2016-12-28,27.540001,28.030001,27.540001,27.74,79900,27.645544
2016-12-23,27.700001,27.700001,27.50,27.60,117700,27.506021
2016-12-22,27.530001,27.84,27.50,27.620001,134000,27.525954
2016-12-21,27.51,27.75,27.50,27.530001,95800,27.43626
2016-12-20,27.549999,27.67,27.299999,27.549999,128600,27.456191
2016-12-19,27.809999,27.809999,27.469999,27.65,121300,27.461174
2016-12-16,27.50,27.799999,27.360001,27.780001,245700,27.590287
2016-12-15,27.290001,27.77,27.290001,27.50,148700,27.312199
2016-12-14,27.50,27.780001,27.459999,27.51,410700,27.322131
2016-12-13,27.10,27.66,27.10,27.530001,176100,27.341994
2016-12-12,27.940001,28.049999,26.809999,27.040001,184600,26.855341
2016-12-09,27.790001,27.969999,27.559999,27.85,100300,27.659809
2016-12-08,27.379999,27.92,27.370001,27.85,222600,27.659809
2016-12-07,27.40,27.40,27.08,27.360001,211200,27.173155
2016-12-06,27.34,27.50,27.10,27.40,136900,27.212881
2016-12-05,27.85,27.85,27.35,27.52,183200,27.332062
2016-12-02,27.77,28.219999,27.469999,27.75,351700,27.560491
2016-12-01,28.200001,28.200001,27.530001,27.91,212900,27.719398
2016-11-30,28.190001,28.629999,27.76,27.879999,340200,27.689603
2016-11-29,27.76,28.129999,27.549999,28.030001,209000,27.83858
2016-11-28,28.33,28.33,27.90,27.969999,142500,27.778988
2016-11-25,28.35,28.360001,28.09,28.200001,185800,28.007419
2016-11-24,28.299999,28.50,28.25,28.43,64000,28.235848
2016-11-23,28.190001,28.50,28.190001,28.309999,127600,28.116666
2016-11-22,28.299999,28.559999,28.040001,28.299999,220400,28.106735
2016-11-21,28.379999,28.450001,27.85,28.139999,210700,27.947827
2016-11-18,27.99,28.040001,27.559999,28.02,221500,27.828648
2016-11-17,28.07,28.16,27.67,27.969999,247400,27.684638
2016-11-16,27.90,27.90,27.530001,27.65,136000,27.367903
2016-11-15,27.26,28.219999,27.16,27.870001,265200,27.58566
2016-11-14,27.280001,27.799999,26.83,27.01,532300,26.734433
2016-11-11,27.50,27.60,26.639999,27.00,492600,26.724535
2016-11-10,28.299999,28.459999,27.41,27.610001,289900,27.328312
2016-11-09,28.290001,28.450001,28.059999,28.18,249200,27.892496
2016-11-08,28.209999,28.75,28.00,28.540001,334700,28.248824
2016-11-07,29.299999,29.65,28.120001,28.50,694100,28.209231
2016-11-04,29.90,29.90,28.700001,29.209999,441500,28.911987
2016-11-03,30.52,30.799999,30.50,30.549999,67200,30.238316
2016-11-02,30.940001,31.24,30.690001,30.709999,230400,30.396683
