Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1.19,1.20,1.16,1.18,21600,1.18
2017-02-08,1.18,1.20,1.18,1.18,38200,1.18
2017-02-07,1.27,1.27,1.18,1.20,22100,1.20
2017-02-06,1.27,1.27,1.27,1.27,800,1.27
2017-02-03,1.23,1.23,1.20,1.23,6000,1.23
2017-02-02,1.21,1.22,1.21,1.21,10900,1.21
2017-02-01,1.27,1.27,1.21,1.21,8600,1.21
2017-01-31,1.27,1.27,1.27,1.27,000,1.27
2017-01-30,1.23,1.27,1.23,1.27,3800,1.27
2017-01-27,1.30,1.30,1.26,1.28,46500,1.28
2017-01-26,1.30,1.30,1.25,1.26,45100,1.26
2017-01-25,1.25,1.34,1.25,1.29,64200,1.29
2017-01-24,1.17,1.20,1.16,1.20,8700,1.20
2017-01-23,1.19,1.19,1.15,1.18,24200,1.18
2017-01-20,1.22,1.22,1.22,1.22,3300,1.22
2017-01-19,1.17,1.20,1.17,1.20,39400,1.20
2017-01-18,1.23,1.23,1.18,1.18,39400,1.18
2017-01-17,1.25,1.25,1.22,1.22,4700,1.22
2017-01-16,1.21,1.26,1.21,1.26,8700,1.26
2017-01-13,1.21,1.22,1.21,1.21,16700,1.21
2017-01-12,1.22,1.22,1.20,1.20,25900,1.20
2017-01-11,1.24,1.24,1.20,1.20,47200,1.20
2017-01-10,1.24,1.25,1.24,1.25,2500,1.25
2017-01-09,1.25,1.25,1.24,1.25,26500,1.25
2017-01-06,1.25,1.25,1.24,1.25,3500,1.25
2017-01-05,1.21,1.24,1.21,1.24,4800,1.24
2017-01-04,1.21,1.21,1.20,1.21,10100,1.21
2017-01-03,1.25,1.25,1.20,1.20,34900,1.20
2016-12-30,1.23,1.25,1.21,1.21,36000,1.21
2016-12-29,1.27,1.27,1.25,1.25,48300,1.25
2016-12-28,1.27,1.30,1.25,1.26,24700,1.26
2016-12-23,1.30,1.30,1.25,1.25,43900,1.25
2016-12-22,1.25,1.25,1.25,1.25,300,1.25
2016-12-21,1.30,1.30,1.25,1.30,60700,1.30
2016-12-20,1.29,1.30,1.29,1.30,30900,1.30
2016-12-19,1.26,1.29,1.26,1.29,16400,1.29
2016-12-16,1.26,1.26,1.26,1.26,43900,1.26
2016-12-15,1.26,1.30,1.26,1.26,34100,1.26
2016-12-14,1.30,1.30,1.26,1.26,14400,1.26
2016-12-13,1.30,1.30,1.30,1.30,17900,1.30
2016-12-12,1.30,1.35,1.26,1.26,41200,1.26
2016-12-09,1.30,1.33,1.27,1.30,22500,1.30
2016-12-08,1.30,1.30,1.25,1.30,62800,1.30
2016-12-07,1.29,1.34,1.29,1.34,24700,1.34
