Date,Open,High,Low,Close,Volume,Adj Close
2016-12-16,4.82,5.08,4.82,5.02,4700,5.02
2016-12-15,4.89,4.92,4.67,4.87,6600,4.87
2016-12-14,4.59,4.92,4.59,4.92,300,4.92
2016-12-13,4.40,4.60,4.40,4.60,2700,4.541
2016-12-12,4.635,4.635,4.50,4.52,2400,4.462026
2016-12-09,4.65,4.65,4.55,4.55,10700,4.491642
2016-12-08,5.08,5.08,5.08,5.08,300,5.014843
2016-12-07,4.51,5.07,4.50,4.96,2500,4.896383
2016-12-06,4.65,4.65,4.65,4.65,10100,4.590359
2016-12-05,4.65,4.65,4.61,4.61,5000,4.550872
2016-12-02,4.64,4.79,4.64,4.66,11900,4.60023
2016-12-01,4.95,4.99,4.95,4.99,5100,4.925998
2016-11-30,5.01,5.01,5.00,5.00,200,4.93587
2016-11-29,5.17,5.17,5.17,5.17,1500,5.103689
2016-11-28,5.16,5.16,5.16,5.16,400,5.093817
2016-11-25,4.45,4.45,4.45,4.45,000,4.392924
2016-11-24,4.45,4.45,4.45,4.45,100,4.392924
2016-11-23,5.12,5.20,5.12,5.20,500,5.133304
2016-11-22,5.40,5.40,5.20,5.20,8400,5.133304
2016-11-21,5.28,5.28,5.28,5.28,000,5.212278
2016-11-18,5.27,5.33,5.25,5.28,700,5.212278
2016-11-17,5.185,5.27,5.185,5.19,2100,5.123433
2016-11-16,5.22,5.25,5.20,5.23,600,5.16292
2016-11-15,5.10,5.19,5.00,5.05,3800,4.985228
2016-11-14,5.43,5.43,5.43,5.43,100,5.360354
2016-11-11,5.24,5.24,4.83,5.03,1000,4.965485
2016-11-10,4.84,4.85,4.44,4.83,17100,4.76805
2016-11-09,6.12,6.50,6.12,6.45,1900,6.367272
2016-11-08,5.99,6.22,5.98,6.20,2000,6.120478
2016-11-07,6.68,6.68,6.68,6.68,200,6.594322
2016-11-04,6.77,6.77,6.77,6.77,100,6.683167
2016-11-03,7.48,7.48,7.48,7.48,000,7.384061
2016-11-02,7.58,7.58,7.48,7.48,800,7.384061
2016-11-01,7.04,7.04,7.04,7.04,000,6.949704
2016-10-31,6.94,7.04,6.94,7.04,300,6.949704
2016-10-28,7.70,7.70,7.70,7.70,000,7.601239
2016-10-27,7.70,7.70,7.70,7.70,000,7.601239
2016-10-26,7.70,7.70,7.70,7.70,000,7.601239
2016-10-25,7.70,7.70,7.70,7.70,200,7.601239
2016-10-24,7.57,7.76,7.57,7.76,300,7.66047
2016-10-21,7.28,7.50,7.28,7.50,800,7.403804
2016-10-20,7.08,7.08,7.08,7.08,000,6.989191
2016-10-19,7.08,7.08,7.08,7.08,300,6.989191
2016-10-18,7.28,7.28,7.28,7.28,300,7.186626
2016-10-17,7.19,7.19,6.77,6.77,1600,6.683167
2016-10-14,7.29,7.29,7.29,7.29,100,7.196498
2016-10-13,7.97,7.97,7.97,7.97,000,7.867776
2016-10-12,7.97,7.97,7.97,7.97,000,7.867776
2016-10-11,7.97,7.97,7.97,7.97,100,7.867776
2016-10-07,8.18,8.18,8.18,8.18,100,8.075083
2016-10-06,8.09,8.09,8.09,8.09,200,7.986237
2016-10-05,8.05,8.05,8.05,8.05,000,7.94675
2016-10-04,8.05,8.05,8.05,8.05,000,7.94675
2016-10-03,7.95,8.05,7.94,8.05,4000,7.94675
2016-09-30,7.71,7.96,7.71,7.96,700,7.857904
2016-09-29,7.84,7.84,7.84,7.84,900,7.739444
2016-09-28,8.00,8.00,8.00,8.00,000,7.897391
2016-09-27,8.00,8.00,8.00,8.00,100,7.897391
2016-09-26,7.86,7.92,7.85,7.92,700,7.818417
2016-09-23,7.80,7.80,7.80,7.80,000,7.699957
2016-09-22,7.80,7.80,7.80,7.80,000,7.699957
2016-09-21,7.80,7.80,7.80,7.80,000,7.699957
2016-09-20,7.80,7.80,7.80,7.80,000,7.699957
2016-09-19,7.80,7.80,7.80,7.80,000,7.699957
