Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,15.13,15.50,14.94,15.28,1038500,15.28
2017-02-09,15.89,15.93,15.32,15.35,542400,15.35
2017-02-08,15.75,16.00,15.63,15.87,699100,15.87
2017-02-07,16.07,16.48,15.72,15.92,786100,15.92
2017-02-06,14.51,16.25,14.50,16.200001,1039200,16.200001
2017-02-03,14.30,14.33,14.06,14.26,574200,14.26
2017-02-02,14.19,14.54,14.19,14.38,375700,14.38
2017-02-01,13.88,14.20,13.81,13.99,540700,13.99
2017-01-31,13.88,14.06,13.81,14.02,476100,14.02
2017-01-30,13.91,14.04,13.48,13.58,304500,13.58
2017-01-27,13.80,13.95,13.65,13.84,250000,13.84
2017-01-26,13.41,13.92,13.34,13.82,287600,13.82
2017-01-25,13.66,13.78,13.45,13.78,426400,13.78
2017-01-24,13.92,14.30,13.82,14.01,306700,14.01
2017-01-23,13.90,14.05,13.72,13.96,345700,13.96
2017-01-20,13.53,13.97,13.39,13.71,554900,13.71
2017-01-19,13.38,13.73,13.12,13.50,488500,13.50
2017-01-18,13.69,13.87,13.33,13.53,360900,13.53
2017-01-17,13.86,13.98,13.52,13.72,495200,13.72
2017-01-16,13.72,13.75,13.57,13.65,142200,13.65
2017-01-13,13.31,13.63,13.08,13.54,445200,13.54
2017-01-12,13.49,13.92,13.20,13.40,739700,13.40
2017-01-11,13.15,13.31,12.79,13.11,582200,13.11
2017-01-10,13.13,13.45,12.98,13.26,912100,13.26
2017-01-09,12.75,13.46,12.51,12.87,912800,12.87
2017-01-06,13.15,13.53,12.02,12.36,783200,12.36
2017-01-05,12.77,13.56,12.77,13.49,818200,13.49
2017-01-04,12.20,12.55,12.07,12.48,781700,12.48
2017-01-03,11.27,12.00,11.26,12.00,851300,12.00
2016-12-30,11.79,12.02,11.04,11.12,523000,11.12
2016-12-29,10.94,11.89,10.86,11.73,551300,11.73
2016-12-28,10.40,10.83,10.26,10.80,348800,10.80
2016-12-23,9.74,10.00,9.74,9.92,284800,9.92
2016-12-22,9.55,9.95,9.55,9.68,263900,9.68
2016-12-21,9.70,9.79,9.50,9.54,393700,9.54
2016-12-20,9.39,9.69,9.17,9.65,605900,9.65
2016-12-19,9.53,9.78,9.27,9.57,324500,9.57
2016-12-16,9.88,10.11,9.51,9.55,859400,9.55
2016-12-15,10.24,10.24,9.46,9.73,786400,9.73
2016-12-14,11.15,11.18,10.41,10.49,545800,10.49
2016-12-13,10.97,11.07,10.72,11.05,374500,11.05
2016-12-12,11.31,11.31,10.68,11.00,617000,11.00
2016-12-09,12.04,12.15,11.12,11.19,465500,11.19
2016-12-08,12.14,12.31,12.00,12.18,223700,12.18
2016-12-07,12.61,12.72,12.08,12.19,370000,12.19
2016-12-06,12.66,12.82,12.32,12.40,591900,12.40
2016-12-05,12.08,12.74,12.02,12.67,498500,12.67
2016-12-02,11.85,12.48,11.81,12.27,404500,12.27
2016-12-01,11.60,12.07,11.21,11.71,375000,11.71
2016-11-30,11.64,11.82,11.54,11.73,303700,11.73
2016-11-29,11.16,11.85,11.12,11.79,299800,11.79
2016-11-28,11.32,11.49,11.07,11.45,422300,11.45
2016-11-25,11.31,11.44,11.03,11.18,218900,11.18
2016-11-24,11.15,11.23,11.08,11.13,78400,11.13
2016-11-23,11.30,11.38,10.98,11.22,496400,11.22
2016-11-22,11.65,11.82,11.23,11.77,378500,11.77
2016-11-21,11.53,11.73,11.36,11.58,226800,11.58
2016-11-18,11.45,11.66,11.08,11.37,367100,11.37
2016-11-17,11.83,12.31,11.40,11.57,645900,11.57
2016-11-16,11.97,12.01,11.57,11.83,500200,11.83
2016-11-15,11.65,12.11,11.58,12.01,458600,12.01
2016-11-14,10.86,11.83,10.55,11.63,841200,11.63
2016-11-11,12.04,12.14,10.80,10.93,846000,10.93
2016-11-10,12.60,12.60,11.92,12.05,696400,12.05
2016-11-09,13.55,13.55,12.41,12.66,612000,12.66
2016-11-08,12.91,13.32,12.51,12.59,348300,12.59
2016-11-07,12.97,13.05,12.60,12.85,356100,12.85
2016-11-04,13.49,13.65,13.17,13.42,308100,13.42
2016-11-03,13.24,13.57,13.20,13.47,222700,13.47
2016-11-02,14.07,14.39,13.22,13.30,508200,13.30
2016-11-01,13.39,14.08,13.27,13.67,415900,13.67
2016-10-31,12.88,13.13,12.69,13.11,250000,13.11
2016-10-28,12.77,13.14,12.48,12.79,277100,12.79
2016-10-27,13.00,13.02,12.73,12.77,254300,12.77
2016-10-26,13.17,13.29,12.76,12.91,212300,12.91
2016-10-25,13.09,13.36,12.96,13.23,247800,13.23
2016-10-24,13.41,13.52,12.76,12.97,362400,12.97
2016-10-21,12.99,13.29,12.99,13.23,199900,13.23
2016-10-20,12.97,13.11,12.79,13.03,273500,13.03
2016-10-19,13.13,13.14,12.79,12.94,347900,12.94
2016-10-18,12.36,12.90,12.12,12.83,411700,12.83
2016-10-17,11.77,12.23,11.75,12.08,381200,12.08
2016-10-14,11.82,12.13,11.74,11.76,258900,11.76
2016-10-13,11.78,12.41,11.67,11.93,412100,11.93
2016-10-12,11.52,11.80,11.44,11.70,431800,11.70
2016-10-11,11.63,11.90,11.30,11.45,529900,11.45
2016-10-07,11.51,11.81,11.11,11.43,693600,11.43
2016-10-06,10.96,11.31,10.92,11.16,525000,11.16
2016-10-05,11.87,11.87,10.95,11.35,1039300,11.35
2016-10-04,12.75,12.75,11.54,11.62,1007600,11.62
2016-10-03,13.40,13.61,13.02,13.20,251400,13.20
2016-09-30,14.01,14.06,13.46,13.47,318700,13.47
2016-09-29,13.65,13.96,13.51,13.85,245300,13.85
2016-09-28,13.64,13.94,13.19,13.81,269900,13.81
2016-09-27,13.72,13.92,13.31,13.58,339800,13.58
2016-09-26,14.46,14.58,13.91,13.98,324000,13.98
2016-09-23,14.55,14.82,14.28,14.37,276700,14.37
2016-09-22,15.01,15.06,14.41,14.57,482200,14.57
2016-09-21,13.67,14.89,13.65,14.79,732200,14.79
2016-09-20,13.22,13.46,13.20,13.39,272300,13.39
2016-09-19,13.51,13.61,13.29,13.33,334700,13.33
2016-09-16,13.74,14.00,13.25,13.40,2205300,13.40
2016-09-15,14.20,14.26,13.76,13.91,508300,13.91
2016-09-14,14.45,14.63,14.02,14.25,770900,14.25
2016-09-13,14.28,14.43,14.04,14.28,662400,14.28
2016-09-12,13.66,14.52,13.55,14.48,696200,14.48
2016-09-09,15.01,15.01,13.78,13.92,665900,13.92
2016-09-08,15.06,15.58,15.02,15.11,762500,15.11
2016-09-07,14.86,15.16,14.54,15.12,966100,15.12
2016-09-06,14.24,15.19,14.13,15.00,922700,15.00
2016-09-02,13.80,14.04,13.42,13.92,1064600,13.92
2016-09-01,12.52,13.39,12.40,13.38,869900,13.38
2016-08-31,12.59,12.65,12.32,12.65,564100,12.65
2016-08-30,13.28,13.43,12.58,12.78,612100,12.78
2016-08-29,12.99,13.56,12.90,13.34,417600,13.34
2016-08-26,13.43,13.83,12.92,13.13,868600,13.13
2016-08-25,12.49,13.28,12.12,13.12,830200,13.12
2016-08-24,13.40,13.52,12.37,12.53,1066100,12.53
2016-08-23,14.75,14.79,13.55,13.72,818000,13.72
2016-08-22,14.60,14.71,14.39,14.63,328100,14.63
2016-08-19,14.88,15.11,14.62,14.67,404600,14.67
2016-08-18,14.98,15.23,14.71,15.20,729100,15.20
2016-08-17,15.15,15.15,14.51,14.98,785500,14.98
2016-08-16,15.44,15.44,15.13,15.15,323400,15.15
2016-08-15,15.25,15.53,15.19,15.20,314500,15.20
2016-08-12,15.47,15.55,15.10,15.24,331300,15.24
2016-08-11,15.64,15.68,15.03,15.17,451800,15.17
2016-08-10,15.82,15.94,15.58,15.67,418400,15.67
2016-08-09,15.06,15.67,15.06,15.57,359800,15.57
2016-08-08,15.20,15.52,15.03,15.07,530200,15.07
2016-08-05,15.31,15.35,14.95,15.22,334100,15.22
2016-08-04,15.61,15.87,15.55,15.57,409800,15.57
2016-08-03,15.60,15.61,15.24,15.49,249600,15.49
2016-08-02,15.78,15.87,15.51,15.64,480100,15.64
2016-07-29,15.36,15.78,15.18,15.51,606000,15.51
2016-07-28,15.00,15.42,14.64,15.11,483000,15.11
2016-07-27,14.35,15.02,14.11,14.88,550900,14.88
2016-07-26,13.94,14.36,13.90,14.16,278000,14.16
2016-07-25,14.26,14.26,13.67,13.79,334300,13.79
2016-07-22,14.01,14.53,13.98,14.35,408300,14.35
2016-07-21,14.00,14.50,13.76,14.20,1123200,14.20
2016-07-20,14.67,14.67,13.60,13.72,877000,13.72
2016-07-19,14.77,15.09,14.68,14.92,363000,14.92
2016-07-18,14.84,15.10,14.59,14.82,394300,14.82
2016-07-15,15.32,15.53,14.68,14.83,1599600,14.83
2016-07-14,15.16,15.75,15.16,15.55,457100,15.55
2016-07-13,15.54,16.01,15.42,15.78,584100,15.78
2016-07-12,15.72,16.17,15.20,15.25,752700,15.25
2016-07-11,15.44,15.90,15.35,15.82,630600,15.82
2016-07-08,15.02,15.63,14.98,15.55,794400,15.55
2016-07-07,15.34,15.37,14.92,15.09,671500,15.09
2016-07-06,15.47,15.69,15.22,15.53,1126700,15.53
