Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,34.68,34.810001,34.470001,34.68,309500,34.68
2017-02-08,34.549999,34.630001,34.259998,34.630001,460600,34.630001
2017-02-07,33.540001,34.889999,33.540001,34.700001,869500,34.700001
2017-02-06,33.560001,33.669998,33.369999,33.439999,288200,33.439999
2017-02-03,33.77,33.77,33.400002,33.610001,323100,33.610001
2017-02-02,33.59,33.84,33.43,33.599998,355800,33.599998
2017-02-01,33.950001,34.009998,33.389999,33.610001,487200,33.610001
2017-01-31,34.07,34.240002,33.330002,33.810001,520400,33.810001
2017-01-30,34.470001,34.490002,34.060001,34.169998,287200,34.169998
2017-01-27,34.900002,34.950001,34.50,34.57,418200,34.57
2017-01-26,34.860001,35.119999,34.720001,34.91,447400,34.91
2017-01-25,34.189999,35.119999,34.18,34.790001,1274800,34.790001
2017-01-24,33.540001,34.119999,33.349998,34.040001,576700,34.040001
2017-01-23,33.75,33.75,33.139999,33.48,367600,33.48
2017-01-20,33.50,33.790001,33.50,33.77,514300,33.77
2017-01-19,33.599998,33.790001,33.240002,33.490002,390400,33.490002
2017-01-18,33.720001,33.82,33.439999,33.560001,410500,33.560001
2017-01-17,33.73,33.84,33.57,33.759998,345800,33.759998
2017-01-16,34.07,34.169998,33.639999,33.700001,142500,33.700001
2017-01-13,33.740002,34.150002,33.740002,34.119999,453800,34.119999
2017-01-12,34.049999,34.130001,33.529999,33.700001,448700,33.700001
2017-01-11,34.00,34.200001,33.77,34.16,496200,34.16
2017-01-10,33.759998,34.029999,33.709999,33.990002,438200,33.990002
2017-01-09,33.869999,33.91,33.580002,33.75,330400,33.75
2017-01-06,34.09,34.189999,33.849998,33.970001,278200,33.970001
2017-01-05,34.09,34.310001,33.98,34.080002,412300,34.080002
2017-01-04,33.799999,34.130001,33.799999,34.099998,319700,34.099998
2017-01-03,33.66,33.880001,33.540001,33.720001,340800,33.720001
2016-12-30,33.650002,33.689999,33.490002,33.560001,220300,33.560001
2016-12-29,33.630001,33.77,33.400002,33.59,194900,33.59
2016-12-28,34.049999,34.080002,33.619999,33.700001,438500,33.700001
2016-12-23,34.299999,34.419998,34.27,34.360001,157700,33.967001
2016-12-22,34.470001,34.470001,34.220001,34.32,266400,33.927457
2016-12-21,34.25,34.48,34.209999,34.470001,358100,34.075743
2016-12-20,34.400002,34.549999,34.27,34.459999,502700,34.065855
2016-12-19,34.209999,34.439999,34.200001,34.32,281700,33.927457
2016-12-16,34.130001,34.380001,34.080002,34.150002,840900,33.759404
2016-12-15,34.099998,34.330002,34.02,34.130001,504000,33.739632
2016-12-14,34.43,34.470001,34.02,34.139999,633000,33.749516
2016-12-13,34.529999,34.75,34.50,34.50,368600,34.105399
2016-12-12,34.689999,34.849998,34.369999,34.419998,420900,34.026312
2016-12-09,34.549999,34.799999,34.529999,34.700001,428500,34.303112
2016-12-08,33.860001,34.650002,33.860001,34.529999,615000,34.135055
2016-12-07,33.810001,33.93,33.630001,33.860001,621900,33.47272
2016-12-06,33.580002,33.990002,33.580002,33.919998,557800,33.532031
2016-12-05,33.740002,33.91,33.709999,33.73,408100,33.344205
2016-12-02,33.860001,33.91,33.580002,33.689999,393700,33.304662
2016-12-01,34.00,34.00,33.790001,33.860001,412900,33.47272
2016-11-30,33.799999,33.959999,33.619999,33.919998,663600,33.532031
2016-11-29,33.490002,33.709999,33.439999,33.68,319900,33.294778
2016-11-28,33.610001,33.810001,33.360001,33.450001,389900,33.067409
2016-11-25,33.50,33.779999,33.50,33.610001,307400,33.225579
2016-11-24,33.150002,33.66,33.150002,33.540001,123900,33.15638
2016-11-23,33.130001,33.59,33.130001,33.400002,493900,33.017982
2016-11-22,33.240002,33.490002,32.990002,33.200001,440900,32.820269
2016-11-21,33.00,33.23,32.93,33.200001,411900,32.820269
2016-11-18,32.630001,33.00,32.529999,33.00,243800,32.622555
2016-11-17,32.610001,32.799999,32.549999,32.619999,296400,32.246901
2016-11-16,32.580002,32.650002,32.439999,32.619999,371800,32.246901
2016-11-15,32.75,32.849998,32.16,32.700001,371100,32.325988
2016-11-14,32.509998,33.029999,32.439999,32.849998,576000,32.47427
2016-11-11,32.740002,32.970001,32.400002,32.549999,291400,32.177702
2016-11-10,31.90,33.040001,31.860001,32.98,581800,32.602784
2016-11-09,31.24,31.870001,31.120001,31.809999,503200,31.446166
2016-11-08,31.49,31.67,31.360001,31.450001,276600,31.090285
2016-11-07,31.52,31.620001,31.27,31.530001,327300,31.16937
