Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,15.71,16.200001,15.62,15.67,1126100,15.67
2017-01-25,15.76,15.90,15.50,15.58,343400,15.58
2017-01-24,14.80,15.63,14.79,15.56,721200,15.56
2017-01-23,15.18,15.18,14.64,14.70,253100,14.70
2017-01-20,14.95,15.22,14.94,15.15,505100,15.15
2017-01-19,15.06,15.12,14.78,14.79,518400,14.79
2017-01-18,15.19,15.19,14.97,15.01,321800,15.01
2017-01-17,15.32,15.53,15.32,15.38,250800,15.38
2017-01-16,15.50,15.56,15.26,15.38,120200,15.38
2017-01-13,15.84,15.86,15.48,15.51,454100,15.51
2017-01-12,16.360001,16.360001,15.80,15.88,423700,15.88
2017-01-11,16.27,16.35,16.040001,16.209999,305100,16.209999
2017-01-10,16.799999,16.799999,16.10,16.16,396000,16.16
2017-01-09,17.09,17.110001,16.709999,16.85,192200,16.85
2017-01-06,17.43,17.48,17.030001,17.18,212400,17.18
2017-01-05,17.719999,17.73,17.190001,17.280001,210400,17.280001
2017-01-04,17.110001,17.60,17.110001,17.59,425500,17.59
2017-01-03,17.200001,17.370001,16.82,17.120001,278100,17.120001
2016-12-30,16.809999,17.200001,16.809999,16.90,224500,16.90
2016-12-29,16.959999,16.959999,16.75,16.82,136900,16.82
2016-12-28,17.00,17.27,16.809999,16.969999,229700,16.969999
2016-12-23,17.25,17.25,16.719999,16.91,169600,16.91
2016-12-22,17.33,17.40,17.10,17.15,104100,17.15
2016-12-21,17.32,17.49,17.17,17.27,371500,17.27
2016-12-20,17.35,17.40,17.129999,17.200001,147500,17.200001
2016-12-19,17.200001,17.49,17.030001,17.24,207100,17.24
2016-12-16,16.889999,17.25,16.860001,17.190001,333800,17.190001
2016-12-15,16.57,16.92,16.469999,16.77,408600,16.77
2016-12-14,16.98,17.040001,16.639999,16.700001,433700,16.700001
2016-12-13,17.00,17.110001,16.77,17.040001,244500,17.040001
2016-12-12,17.440001,17.469999,16.83,16.870001,352400,16.870001
2016-12-09,16.85,16.870001,16.629999,16.67,160600,16.67
2016-12-08,16.879999,17.00,16.450001,16.73,734100,16.73
2016-12-07,17.129999,17.34,16.780001,16.82,273600,16.82
2016-12-06,17.25,17.43,17.02,17.23,338700,17.23
2016-12-05,17.52,17.889999,17.50,17.65,160200,17.65
2016-12-02,17.50,18.040001,17.299999,17.40,493800,17.40
2016-12-01,17.700001,18.219999,17.43,17.469999,501900,17.469999
2016-11-30,16.83,17.790001,16.75,17.540001,721600,17.540001
2016-11-29,16.15,16.35,15.74,15.81,543200,15.81
