Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,39.04,39.14,38.51,38.89,93000,38.89
2017-01-20,39.10,39.42,38.97,39.13,194200,39.13
2017-01-19,38.84,39.45,38.84,39.17,151700,39.17
2017-01-18,38.64,39.00,38.54,38.90,598500,38.90
2017-01-17,38.71,38.90,38.50,38.69,586000,38.69
2017-01-16,38.86,38.86,38.33,38.71,27300,38.71
2017-01-13,38.37,38.40,38.22,38.37,66900,38.37
2017-01-12,38.00,38.39,37.82,38.29,133600,38.29
2017-01-11,38.37,38.51,38.00,38.05,203500,38.05
2017-01-10,38.14,38.78,38.10,38.29,224800,38.29
2017-01-09,38.19,38.52,38.01,38.12,275500,38.12
2017-01-06,37.30,37.50,37.08,37.37,74200,37.37
2017-01-05,37.40,37.46,37.14,37.15,144500,37.15
2017-01-04,37.38,37.57,37.17,37.42,115200,37.42
2017-01-03,37.35,37.47,37.00,37.24,134600,37.24
2017-01-02,37.32,37.32,37.32,37.32,000,37.32
2016-12-30,37.49,37.68,37.29,37.32,88600,37.32
2016-12-29,37.13,37.52,37.13,37.47,93800,37.47
2016-12-28,37.42,37.54,36.95,37.21,128100,37.21
2016-12-27,37.46,37.46,37.46,37.46,000,37.46
2016-12-26,37.46,37.46,37.46,37.46,000,37.46
2016-12-23,37.56,37.72,37.37,37.46,191000,37.46
2016-12-22,37.37,37.72,37.37,37.65,219800,37.65
2016-12-21,37.11,37.43,37.09,37.37,70900,37.37
2016-12-20,37.28,37.31,36.86,37.12,298000,37.12
2016-12-19,37.07,37.68,37.07,37.26,162900,37.26
2016-12-16,37.01,37.26,36.81,37.10,301000,37.10
2016-12-15,37.09,37.26,36.81,36.89,127200,36.89
2016-12-14,36.90,37.23,36.87,37.08,277500,37.08
2016-12-13,37.20,37.32,36.90,37.00,166900,37.00
2016-12-12,36.40,37.60,36.14,37.25,290500,37.25
2016-12-09,36.94,37.00,36.48,36.82,165000,36.82
2016-12-08,36.46,36.93,36.40,36.78,152200,36.78
2016-12-07,36.55,36.82,35.91,36.56,249000,36.56
2016-12-06,35.49,36.73,35.48,36.49,488700,36.49
2016-12-05,35.36,36.06,35.31,35.41,304900,35.41
2016-12-02,35.73,36.14,35.36,35.38,269700,35.38
2016-12-01,36.41,36.50,35.46,35.67,227100,35.67
2016-11-30,37.42,37.42,36.18,36.41,528000,36.41
2016-11-29,37.29,37.59,37.09,37.45,172300,37.45
2016-11-28,37.55,37.78,37.28,37.35,202000,37.35
2016-11-25,37.73,37.98,37.33,37.69,95900,37.69
2016-11-24,37.62,38.13,37.62,37.74,48800,37.74
2016-11-23,37.86,38.11,37.59,37.64,245200,37.64
2016-11-22,37.89,38.11,37.81,37.83,204500,37.83
2016-11-21,37.83,38.32,37.70,37.85,207800,37.85
2016-11-18,37.80,38.05,37.58,37.85,176700,37.85
2016-11-17,36.74,37.82,36.74,37.60,293500,37.60
2016-11-16,36.63,36.78,36.29,36.73,258500,36.73
2016-11-15,36.75,36.98,36.31,36.72,277600,36.675
2016-11-14,36.91,36.96,36.39,36.76,428400,36.7149
2016-11-11,37.38,37.40,36.955,37.00,186300,36.9547
2016-11-10,37.60,37.60,36.86,37.41,262900,37.3642
2016-11-09,37.12,37.51,37.06,37.47,253600,37.4241
2016-11-08,37.27,37.77,37.27,37.35,265700,37.3042
2016-11-07,37.36,37.56,36.95,37.29,261200,37.2443
2016-11-04,37.18,37.58,36.50,37.24,450100,37.1944
2016-11-03,37.34,37.37,36.25,36.88,225900,36.8348
2016-11-02,37.01,37.22,36.55,36.97,306100,36.9247
2016-11-01,37.55,37.55,36.97,37.07,374300,37.0246
2016-10-31,37.46,37.75,37.44,37.64,218500,37.5939
2016-10-28,37.76,37.98,37.30,37.48,248100,37.4341
2016-10-27,38.03,38.05,37.63,37.80,130000,37.7537
2016-10-26,37.81,38.23,37.81,38.05,156000,38.0034
2016-10-25,37.65,38.10,37.65,37.86,344600,37.8136
2016-10-24,37.99,38.13,37.34,37.55,289000,37.504
2016-10-21,38.15,38.29,37.96,37.99,237100,37.9434
2016-10-20,38.06,38.17,37.92,38.11,269500,38.0633
2016-10-19,38.19,38.20,37.81,38.06,382800,38.0134
2016-10-18,37.88,38.43,37.88,38.17,368900,38.1232
2016-10-17,37.71,38.18,37.60,37.88,303300,37.8336
2016-10-14,38.07,38.07,37.54,37.71,270700,37.6638
2016-10-13,37.82,38.17,37.36,38.05,421600,38.0034
2016-10-12,37.95,38.26,37.83,38.00,289600,37.9534
2016-10-11,38.60,38.60,37.93,37.99,301000,37.9434
2016-10-10,38.75,38.75,38.75,38.75,000,38.7025
2016-10-07,39.25,39.25,38.485,38.75,235300,38.7025
2016-10-06,39.53,39.53,39.07,39.32,178300,39.2718
2016-10-05,39.89,40.38,39.305,39.48,296100,39.4316
2016-10-04,39.83,40.12,39.47,39.91,258300,39.8611
2016-10-03,39.87,40.08,39.71,39.87,210400,39.8211
2016-09-30,40.10,40.19,39.84,39.87,257000,39.8211
2016-09-29,40.00,40.31,39.80,40.15,225800,40.1008
2016-09-28,39.85,40.25,39.85,40.00,221600,39.951
2016-09-27,39.65,40.05,39.59,39.81,235800,39.7612
2016-09-26,39.69,39.77,39.47,39.65,142000,39.6014
2016-09-23,39.59,39.815,39.52,39.73,330800,39.6813
2016-09-22,39.58,39.78,39.47,39.60,303700,39.5515
2016-09-21,39.55,39.64,39.24,39.46,214800,39.4116
2016-09-20,39.66,39.775,39.47,39.60,109900,39.5515
2016-09-19,39.77,39.88,39.07,39.52,221800,39.4716
2016-09-16,39.74,39.74,39.40,39.60,276300,39.5515
2016-09-15,39.77,39.87,39.18,39.82,105400,39.7712
2016-09-14,39.04,40.16,39.04,39.81,241600,39.7612
2016-09-13,39.28,39.38,38.73,38.91,92800,38.8623
2016-09-12,39.02,39.59,38.84,39.49,119100,39.4416
2016-09-09,39.50,39.535,38.98,39.24,111500,39.1919
2016-09-08,39.91,39.935,39.39,39.59,107800,39.5415
2016-09-07,40.32,40.33,39.73,39.96,130300,39.911
2016-09-06,40.21,40.76,40.14,40.43,180300,40.3805
2016-09-05,40.18,40.18,40.18,40.18,000,40.1308
2016-09-02,39.91,40.18,39.56,40.18,189300,40.1308
2016-09-01,40.09,40.28,39.18,39.92,252000,39.8711
2016-08-31,39.89,40.29,39.87,40.11,205500,40.0608
2016-08-30,39.97,40.28,39.65,39.89,135600,39.8411
