Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,7.14,7.14,7.11,7.11,3700,7.11
2017-01-23,7.01,7.14,7.00,7.13,3800,7.13
2017-01-20,7.30,7.30,7.13,7.19,3900,7.19
2017-01-19,7.40,7.41,7.32,7.32,2400,7.32
2017-01-18,7.07,7.43,7.07,7.43,1700,7.43
2017-01-17,7.29,7.46,7.29,7.31,2100,7.31
2017-01-16,7.39,7.54,7.39,7.54,2200,7.54
2017-01-13,7.40,7.41,7.34,7.35,800,7.35
2017-01-12,7.30,7.30,7.23,7.28,1400,7.28
2017-01-11,7.38,7.50,7.30,7.38,3600,7.38
2017-01-10,7.29,7.59,7.29,7.41,1900,7.41
2017-01-09,7.43,7.62,7.31,7.38,7200,7.38
2017-01-06,7.52,7.62,7.34,7.61,20800,7.61
2017-01-05,7.14,7.54,7.14,7.48,4000,7.48
2017-01-04,7.45,7.58,7.37,7.58,7400,7.58
2017-01-03,7.35,7.58,7.35,7.58,8400,7.58
2016-12-30,7.23,7.23,7.13,7.22,4800,7.22
2016-12-29,7.35,7.45,7.29,7.29,4900,7.29
2016-12-28,7.81,7.90,7.33,7.33,22900,7.33
2016-12-23,6.75,7.44,6.70,7.40,45600,7.40
2016-12-22,6.63,6.74,6.32,6.54,7300,6.54
2016-12-21,6.00,6.63,6.00,6.48,8500,6.48
2016-12-20,5.96,6.00,5.89,5.89,8700,5.89
2016-12-19,5.82,5.89,5.82,5.89,2500,5.89
2016-12-16,5.85,5.85,5.67,5.69,3600,5.69
2016-12-15,5.85,5.85,5.70,5.70,2500,5.70
2016-12-14,5.81,5.91,5.77,5.84,223600,5.84
2016-12-13,5.72,5.93,5.72,5.85,4500,5.85
2016-12-12,5.78,5.84,5.78,5.78,600,5.78
2016-12-09,5.80,5.80,5.80,5.80,800,5.80
2016-12-08,5.81,5.87,5.68,5.81,6800,5.81
2016-12-07,5.94,5.94,5.65,5.80,13100,5.80
2016-12-06,5.71,5.86,5.71,5.86,1500,5.86
2016-12-05,5.85,5.85,5.70,5.71,5300,5.71
2016-12-02,5.95,5.95,5.60,5.71,2200,5.71
2016-12-01,6.29,6.30,6.02,6.06,2200,6.06
2016-11-30,6.18,6.25,6.10,6.11,500,6.11
2016-11-29,6.02,6.07,5.86,5.92,4100,5.92
2016-11-28,6.39,6.39,5.68,5.71,2500,5.71
2016-11-25,6.16,6.22,6.14,6.22,300,6.22
2016-11-24,6.20,6.20,6.20,6.20,000,6.20
2016-11-23,5.88,6.36,5.88,6.20,7200,6.20
2016-11-22,5.76,5.97,5.63,5.63,1600,5.63
2016-11-21,5.75,5.83,5.75,5.75,600,5.75
2016-11-18,5.87,5.91,5.81,5.88,1100,5.88
2016-11-17,5.43,5.82,5.43,5.82,2000,5.82
2016-11-16,5.80,5.80,5.65,5.65,1400,5.65
2016-11-15,5.60,5.74,5.52,5.65,29100,5.65
2016-11-14,5.49,5.69,5.35,5.48,18300,5.48
2016-11-11,5.38,5.48,5.27,5.47,1400,5.47
2016-11-10,5.49,5.55,5.39,5.39,4800,5.39
2016-11-09,4.78,5.38,4.78,5.14,2000,5.14
2016-11-08,5.26,5.27,5.25,5.26,14300,5.26
2016-11-07,5.29,5.34,5.22,5.25,4300,5.25
2016-11-04,5.40,5.50,5.10,5.22,17900,5.22
2016-11-03,5.75,5.95,5.21,5.35,34400,5.35
2016-11-02,6.18,6.18,5.88,5.97,7900,5.97
2016-11-01,6.36,6.36,6.36,6.36,100,6.36
2016-10-31,6.36,6.37,6.36,6.37,700,6.37
2016-10-28,6.41,6.56,6.36,6.36,9200,6.36
2016-10-27,6.27,6.29,6.22,6.23,15900,6.23
2016-10-26,6.25,6.35,6.21,6.35,2400,6.35
2016-10-25,6.27,6.30,6.14,6.14,13400,6.14
2016-10-24,6.26,6.30,6.23,6.23,5200,6.23
2016-10-21,6.19,6.21,6.17,6.17,9700,6.17
2016-10-20,6.13,6.22,6.13,6.22,6900,6.22
2016-10-19,6.16,6.16,6.04,6.13,2400,6.13
2016-10-18,6.35,6.35,6.12,6.12,2000,6.12
2016-10-17,6.25,6.30,6.15,6.18,18700,6.18
2016-10-14,6.31,6.39,6.31,6.38,4900,6.38
2016-10-13,6.30,6.30,6.21,6.21,5500,6.21
2016-10-12,6.40,6.50,6.40,6.40,16400,6.40
2016-10-11,6.43,6.68,6.42,6.42,5300,6.42
2016-10-07,6.50,6.50,6.42,6.42,3400,6.42
2016-10-06,6.37,6.46,6.36,6.46,2800,6.46
2016-10-05,6.25,6.38,6.23,6.26,3300,6.26
2016-10-04,6.08,6.24,6.04,6.06,2500,6.06
2016-10-03,6.19,6.19,6.05,6.05,4100,6.05
2016-09-30,6.17,6.20,6.13,6.18,7000,6.18
2016-09-29,6.21,6.32,6.07,6.07,4000,6.07
2016-09-28,6.20,6.20,6.09,6.12,5600,6.12
2016-09-27,6.16,6.19,6.12,6.13,10200,6.13
2016-09-26,6.45,6.45,6.30,6.31,6800,6.31
2016-09-23,6.52,6.55,6.40,6.48,4700,6.48
2016-09-22,6.29,6.31,6.29,6.31,2200,6.31
2016-09-21,6.53,6.53,6.29,6.29,700,6.29
2016-09-20,6.41,6.41,6.28,6.28,4200,6.28
2016-09-19,6.36,6.48,6.35,6.45,5500,6.45
2016-09-16,6.35,6.54,6.35,6.47,2500,6.47
2016-09-15,6.42,6.46,6.42,6.43,1700,6.43
2016-09-14,6.45,6.45,6.42,6.43,3800,6.43
2016-09-13,6.65,6.65,6.45,6.45,2600,6.45
2016-09-12,6.61,6.83,6.50,6.60,14500,6.60
2016-09-09,7.23,7.23,7.23,7.23,000,7.23
2016-09-08,7.23,7.23,7.00,7.23,4900,7.23
2016-09-07,7.50,7.53,7.17,7.23,7800,7.23
2016-09-06,7.45,7.50,7.45,7.50,5300,7.50
2016-09-02,7.75,7.77,7.65,7.66,5100,7.66
2016-09-01,7.53,7.55,7.50,7.55,11200,7.55
2016-08-31,7.63,7.64,7.52,7.61,5700,7.61
2016-08-30,7.75,7.75,7.75,7.75,000,7.75
2016-08-29,7.77,7.77,7.75,7.75,400,7.75
2016-08-26,7.70,7.70,7.56,7.56,3300,7.56
2016-08-25,7.50,7.65,7.43,7.65,1700,7.65
2016-08-24,7.58,7.58,7.58,7.58,000,7.58
2016-08-23,7.50,7.58,7.50,7.58,300,7.58
2016-08-22,7.48,7.49,7.36,7.49,7600,7.49
2016-08-19,7.61,7.61,7.58,7.58,200,7.58
2016-08-18,7.75,7.75,7.66,7.66,1700,7.66
2016-08-17,7.63,7.63,7.63,7.63,000,7.63
2016-08-16,7.70,7.70,7.63,7.63,5500,7.63
2016-08-15,7.50,7.63,7.50,7.61,600,7.61
2016-08-12,7.54,7.66,7.52,7.59,5800,7.59
2016-08-11,7.76,7.76,7.76,7.76,000,7.76
2016-08-10,7.82,7.83,7.76,7.76,2300,7.76
2016-08-09,7.75,7.79,7.75,7.79,2200,7.79
2016-08-08,7.75,7.75,7.70,7.74,2800,7.74
2016-08-05,7.98,7.98,7.60,7.60,21300,7.60
2016-08-04,7.77,7.96,7.36,7.38,31300,7.38
2016-08-03,7.37,7.44,7.37,7.44,300,7.44
2016-08-02,7.25,7.25,7.25,7.25,1000,7.25
2016-07-29,7.19,7.24,7.15,7.24,3100,7.24
2016-07-28,7.36,7.36,7.30,7.32,2900,7.32
2016-07-27,7.21,7.21,7.21,7.21,200,7.21
2016-07-26,7.01,7.01,7.01,7.01,000,7.01
2016-07-25,7.01,7.01,7.01,7.01,1000,7.01
2016-07-22,7.10,7.13,7.09,7.13,400,7.13
2016-07-21,7.25,7.25,7.00,7.00,900,7.00
2016-07-20,7.15,7.21,7.02,7.11,6500,7.11
2016-07-19,7.23,7.24,7.03,7.08,9500,7.08
2016-07-18,7.30,7.30,7.07,7.07,4100,7.07
2016-07-15,7.34,7.37,7.22,7.27,3600,7.27
2016-07-14,7.41,7.45,7.28,7.28,6600,7.28
2016-07-13,7.25,7.42,7.25,7.42,1700,7.42
2016-07-12,7.29,7.35,7.22,7.27,25000,7.27
